,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
254,False,1,active,2020-08-08 19:32:52+00:00,0,True,True,363,1,363,17,True,0,,,2020-08-08 19:33:30,2020
255,False,0,active,2020-08-08 19:10:57+00:00,0,True,True,364,0,364,19,True,0,,,2020-08-08 19:33:30,2020
256,False,9,active,2020-08-08 19:21:32+00:00,0,True,True,365,0,365,10,True,0,,,2020-08-08 19:33:30,2020
257,False,3,active,2020-08-08 19:23:37+00:00,0,True,True,366,0,366,12,True,0,,,2020-08-08 19:33:30,2020
258,False,18,active,2020-08-08 18:41:52+00:00,0,True,True,367,0,367,1,True,0,,,2020-08-08 19:33:30,2020
259,False,4,active,2020-08-08 18:12:19+00:00,0,True,True,368,1,368,10,True,0,,,2020-08-08 19:33:30,2020
260,False,4,active,2020-08-08 19:23:09+00:00,0,True,True,369,1,369,10,True,0,,,2020-08-08 19:33:30,2020
261,False,8,active,2020-08-08 19:29:30+00:00,0,True,True,370,0,370,11,True,0,,,2020-08-08 19:33:30,2020
262,False,13,active,2020-08-08 18:57:21+00:00,0,True,True,371,0,371,6,True,0,,,2020-08-08 19:33:30,2020
263,False,5,active,2020-08-08 19:22:04+00:00,0,True,True,372,0,372,14,True,0,,,2020-08-08 19:33:30,2020
264,False,7,active,2020-08-08 17:59:18+00:00,0,True,True,373,0,373,8,True,0,,,2020-08-08 19:33:30,2020
265,False,10,active,2020-08-08 19:28:17+00:00,0,True,True,374,0,374,9,True,0,,,2020-08-08 19:33:30,2020
266,False,0,active,2020-08-08 18:58:07+00:00,0,True,True,376,1,376,14,True,0,,,2020-08-08 19:33:30,2020
267,False,11,active,2020-08-08 19:27:48+00:00,0,True,True,377,0,377,8,True,0,,,2020-08-08 19:33:30,2020
268,False,8,active,2020-08-08 19:27:04+00:00,0,True,True,378,0,378,11,True,0,,,2020-08-08 19:33:30,2020
269,False,3,active,2020-08-08 19:18:15+00:00,0,True,True,379,0,379,12,True,0,,,2020-08-08 19:33:30,2020
270,False,1,active,2020-08-08 19:28:48+00:00,0,True,True,380,0,380,17,True,0,,,2020-08-08 19:33:30,2020
271,False,11,active,2020-08-08 19:33:19+00:00,0,True,True,381,2,381,6,True,0,,,2020-08-08 19:33:30,2020
272,True,13,active,2020-08-08 19:26:05+00:00,0,True,True,384,0,384,6,True,0,,,2020-08-08 19:33:30,2020
273,False,7,active,2020-08-08 19:10:10+00:00,1,True,True,385,1,385,6,True,0,,,2020-08-08 19:33:30,2020
274,False,2,active,2020-08-08 19:18:09+00:00,0,True,True,386,0,386,17,True,0,,,2020-08-08 19:33:30,2020
275,False,10,active,2020-08-08 18:22:56+00:00,0,True,True,387,1,387,4,True,0,,,2020-08-08 19:33:30,2020
276,False,10,active,2020-08-08 16:12:58+00:00,0,True,True,388,0,388,1,True,0,,,2020-08-08 19:33:30,2020
277,False,14,active,2020-08-08 19:04:32+00:00,0,True,True,389,0,389,0,True,0,,,2020-08-08 19:33:30,2020
278,False,15,active,2020-08-08 19:00:36+00:00,0,True,True,390,0,390,0,True,0,,,2020-08-08 19:33:30,2020
279,False,12,active,2020-08-08 19:17:05+00:00,0,True,True,391,0,391,3,True,0,,,2020-08-08 19:33:30,2020
280,False,8,active,2020-08-08 17:41:14+00:00,0,True,True,392,0,392,7,True,0,,,2020-08-08 19:33:30,2020
281,False,5,active,2020-08-08 19:21:49+00:00,0,True,True,393,0,393,10,True,0,,,2020-08-08 19:33:30,2020
282,False,0,active,2020-08-08 08:58:43+00:00,0,True,True,394,0,394,14,True,0,,,2020-08-08 19:33:30,2020
283,False,11,active,2020-08-08 18:33:39+00:00,0,True,True,395,0,395,4,True,0,,,2020-08-08 19:33:30,2020
284,False,13,active,2020-08-08 15:58:34+00:00,0,True,True,396,0,396,2,True,0,,,2020-08-08 19:33:30,2020
285,False,15,active,2020-08-08 19:02:49+00:00,0,True,True,397,0,397,0,True,0,,,2020-08-08 19:33:30,2020
286,False,9,active,2020-08-08 19:31:20+00:00,0,True,True,398,1,398,9,True,0,,,2020-08-08 19:33:30,2020
287,False,5,active,2020-08-08 19:31:53+00:00,0,True,True,399,0,399,10,True,0,,,2020-08-08 19:33:30,2020
288,False,16,active,2020-08-08 18:45:36+00:00,0,True,True,400,0,400,11,True,0,,,2020-08-08 19:33:30,2020
289,False,11,active,2020-08-08 18:49:38+00:00,0,True,True,401,0,401,4,True,0,,,2020-08-08 19:33:30,2020
290,False,0,active,2020-08-08 18:41:18+00:00,0,True,True,402,0,402,15,True,0,,,2020-08-08 19:33:30,2020
291,False,13,active,2020-08-08 19:12:58+00:00,0,True,True,403,1,403,1,True,0,,,2020-08-08 19:33:30,2020
292,False,0,active,2020-08-08 19:06:29+00:00,0,True,True,404,0,404,16,True,0,,,2020-08-08 19:33:30,2020
