,eightd_has_available_keys,legacy_id,is_returning,last_reported,num_bikes_disabled,num_docks_available,station_id,num_docks_disabled,is_installed,num_bikes_available,is_renting,num_ebikes_available,station_status,timestamp_of_data_read_request,year_station_last_reported
72,False,81,True,2020-08-11 05:44:36+00:00,0,14,81,0,True,5,True,0,active,2020-08-11 06:58:45,2020
73,False,82,True,2020-08-11 01:05:23+00:00,0,14,82,0,True,1,True,0,active,2020-08-11 06:58:45,2020
74,False,84,True,2020-08-11 04:07:45+00:00,1,10,84,0,True,4,True,0,active,2020-08-11 06:58:45,2020
75,False,85,True,2020-08-11 02:45:23+00:00,0,19,85,0,True,0,True,0,active,2020-08-11 06:58:45,2020
76,False,86,True,2020-08-11 05:59:35+00:00,0,13,86,0,True,6,True,0,active,2020-08-11 06:58:45,2020
77,False,87,True,2020-08-11 04:02:43+00:00,0,3,87,0,True,12,True,0,active,2020-08-11 06:58:45,2020
78,False,89,True,2020-08-11 04:05:19+00:00,1,12,89,0,True,6,True,0,active,2020-08-11 06:58:45,2020
79,False,90,True,2020-08-11 03:43:15+00:00,1,1,90,0,True,17,True,0,active,2020-08-11 06:58:45,2020
80,False,91,True,2020-08-11 05:38:20+00:00,0,16,91,0,True,3,True,0,active,2020-08-11 06:58:45,2020
81,False,92,True,2020-08-11 00:43:16+00:00,0,10,92,0,True,9,True,0,active,2020-08-11 06:58:45,2020
82,False,93,True,2020-08-11 02:00:31+00:00,1,2,93,0,True,12,True,0,active,2020-08-11 06:58:45,2020
83,False,94,True,2020-08-11 03:12:29+00:00,0,8,94,0,True,3,True,0,active,2020-08-11 06:58:45,2020
84,False,95,True,2020-08-11 05:29:23+00:00,0,7,95,0,True,8,True,0,active,2020-08-11 06:58:45,2020
85,False,96,True,2020-08-11 05:01:45+00:00,0,1,96,0,True,18,True,0,active,2020-08-11 06:58:45,2020
86,False,97,True,2020-08-11 04:01:16+00:00,0,3,97,0,True,16,True,0,active,2020-08-11 06:58:45,2020
87,False,98,True,2020-08-11 04:32:37+00:00,0,15,98,0,True,8,True,0,active,2020-08-11 06:58:45,2020
88,False,99,True,2020-08-11 04:36:08+00:00,0,6,99,0,True,9,True,0,active,2020-08-11 06:58:45,2020
89,True,100,True,2020-08-11 06:49:28+00:00,0,11,100,0,True,14,True,0,active,2020-08-11 06:58:45,2020
90,False,101,True,2020-08-11 06:40:07+00:00,0,1,101,0,True,14,True,0,active,2020-08-11 06:58:45,2020
91,False,102,True,2020-08-11 03:33:19+00:00,0,12,102,0,True,3,True,0,active,2020-08-11 06:58:45,2020
92,False,103,True,2020-08-11 04:39:22+00:00,0,3,103,0,True,12,True,0,active,2020-08-11 06:58:45,2020
93,False,104,True,2020-08-11 04:03:54+00:00,0,11,104,0,True,8,True,0,active,2020-08-11 06:58:45,2020
94,False,105,True,2020-08-11 05:57:14+00:00,1,7,105,0,True,11,True,0,active,2020-08-11 06:58:45,2020
95,False,106,True,2020-08-10 23:29:51+00:00,1,8,106,0,True,6,True,0,active,2020-08-11 06:58:45,2020
96,False,107,True,2020-08-11 05:44:53+00:00,0,13,107,0,True,6,True,0,active,2020-08-11 06:58:45,2020
97,False,108,True,2020-08-11 04:36:06+00:00,0,14,108,0,True,3,True,0,active,2020-08-11 06:58:45,2020
98,False,109,True,2020-08-11 01:24:03+00:00,1,26,109,0,True,8,True,0,active,2020-08-11 06:58:45,2020
99,False,110,True,2020-08-11 04:42:59+00:00,0,11,110,0,True,4,True,0,active,2020-08-11 06:58:45,2020
100,False,111,True,2020-08-11 05:14:15+00:00,0,8,111,0,True,7,True,0,active,2020-08-11 06:58:45,2020
101,False,112,True,2020-08-11 03:55:19+00:00,0,5,112,0,True,10,True,0,active,2020-08-11 06:58:45,2020
102,False,113,True,2020-08-11 03:31:23+00:00,1,1,113,0,True,13,True,0,active,2020-08-11 06:58:45,2020
103,False,114,True,2020-08-11 06:46:32+00:00,0,12,114,0,True,3,True,0,active,2020-08-11 06:58:45,2020
104,False,115,True,2020-08-11 06:08:54+00:00,0,3,115,0,True,16,True,0,active,2020-08-11 06:58:45,2020
105,False,116,True,2020-08-11 04:50:43+00:00,0,6,116,0,True,17,True,0,active,2020-08-11 06:58:45,2020
106,False,117,True,2020-08-11 01:34:16+00:00,0,7,117,0,True,12,True,0,active,2020-08-11 06:58:45,2020
