,eightd_has_available_keys,legacy_id,num_bikes_available,is_installed,station_status,num_bikes_disabled,last_reported,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,is_returning,is_renting,timestamp_of_data_read_request,year_station_last_reported
139,True,160,2,True,active,0,2020-08-13 04:26:36+00:00,12,0,160,0,True,True,2020-08-13 04:27:10,2020
140,True,161,19,True,active,2,2020-08-13 03:23:41+00:00,2,0,161,0,True,True,2020-08-13 04:27:10,2020
141,False,162,4,True,active,0,2020-08-13 03:24:31+00:00,11,0,162,0,True,True,2020-08-13 04:27:10,2020
142,True,163,8,True,active,0,2020-08-13 03:23:49+00:00,11,0,163,0,True,True,2020-08-13 04:27:10,2020
143,False,167,5,True,active,0,2020-08-13 04:04:32+00:00,10,0,167,0,True,True,2020-08-13 04:27:10,2020
144,False,169,14,True,active,0,2020-08-13 02:45:56+00:00,5,0,169,0,True,True,2020-08-13 04:27:10,2020
145,True,170,4,True,active,1,2020-08-13 03:24:18+00:00,9,0,170,0,True,True,2020-08-13 04:27:10,2020
146,True,171,10,True,active,0,2020-08-12 23:58:34+00:00,13,0,171,0,True,True,2020-08-13 04:27:10,2020
147,True,173,9,True,active,0,2020-08-13 03:24:57+00:00,5,0,173,0,True,True,2020-08-13 04:27:10,2020
148,False,174,5,True,active,1,2020-08-13 03:23:26+00:00,9,0,174,0,True,True,2020-08-13 04:27:10,2020
149,True,175,8,True,active,1,2020-08-13 03:24:23+00:00,8,0,175,0,True,True,2020-08-13 04:27:10,2020
150,False,176,14,True,active,0,2020-08-13 03:23:48+00:00,1,0,176,0,True,True,2020-08-13 04:27:10,2020
151,False,177,4,True,active,0,2020-08-13 04:19:49+00:00,15,0,177,0,True,True,2020-08-13 04:27:10,2020
152,False,178,1,True,active,0,2020-08-13 03:54:58+00:00,18,0,178,0,True,True,2020-08-13 04:27:10,2020
153,False,179,15,True,active,0,2020-08-13 03:29:37+00:00,10,0,179,0,True,True,2020-08-13 04:27:10,2020
154,False,180,7,True,active,0,2020-08-13 03:43:23+00:00,12,0,180,0,True,True,2020-08-13 04:27:10,2020
155,False,181,12,True,active,0,2020-08-13 03:24:55+00:00,7,0,181,0,True,True,2020-08-13 04:27:10,2020
156,True,182,1,True,active,0,2020-08-13 03:24:10+00:00,18,0,182,0,True,True,2020-08-13 04:27:10,2020
157,False,183,3,True,active,1,2020-08-13 04:05:18+00:00,15,0,183,0,True,True,2020-08-13 04:27:10,2020
158,False,184,11,True,active,0,2020-08-13 03:23:51+00:00,8,0,184,0,True,True,2020-08-13 04:27:10,2020
159,False,185,7,True,active,0,2020-08-13 03:58:32+00:00,8,0,185,0,True,True,2020-08-13 04:27:10,2020
160,True,186,3,True,active,0,2020-08-13 04:24:41+00:00,12,0,186,0,True,True,2020-08-13 04:27:10,2020
161,False,187,7,True,active,0,2020-08-13 03:24:24+00:00,8,0,187,0,True,True,2020-08-13 04:27:10,2020
162,False,188,14,True,active,1,2020-08-13 03:24:30+00:00,0,0,188,0,True,True,2020-08-13 04:27:10,2020
163,True,189,0,True,active,0,2020-08-13 03:24:02+00:00,23,0,189,0,True,True,2020-08-13 04:27:10,2020
164,True,190,10,True,active,1,2020-08-13 03:58:36+00:00,26,0,190,0,True,True,2020-08-13 04:27:10,2020
165,False,191,6,True,active,0,2020-08-13 03:24:49+00:00,9,0,191,0,True,True,2020-08-13 04:27:10,2020
166,False,192,0,True,active,0,2020-08-13 03:24:20+00:00,19,0,192,0,True,True,2020-08-13 04:27:10,2020
167,True,193,3,True,active,2,2020-08-13 03:23:32+00:00,10,0,193,0,True,True,2020-08-13 04:27:10,2020
168,False,194,1,True,active,0,2020-08-13 03:24:45+00:00,18,0,194,0,True,True,2020-08-13 04:27:10,2020
169,False,195,15,True,active,0,2020-08-13 03:21:44+00:00,8,0,195,0,True,True,2020-08-13 04:27:10,2020
170,True,196,2,True,active,0,2020-08-13 03:29:50+00:00,8,0,196,0,True,True,2020-08-13 04:27:10,2020
171,False,197,5,True,active,1,2020-08-13 03:23:40+00:00,9,0,197,0,True,True,2020-08-13 04:27:10,2020
172,False,199,4,True,active,0,2020-08-13 04:03:08+00:00,11,0,199,0,True,True,2020-08-13 04:27:10,2020
173,False,200,14,True,active,1,2020-08-13 03:28:59+00:00,4,0,200,0,True,True,2020-08-13 04:27:10,2020
174,False,201,0,True,active,0,2020-08-13 03:24:32+00:00,15,0,201,0,True,True,2020-08-13 04:27:10,2020
175,False,202,5,True,active,0,2020-08-13 03:24:58+00:00,10,0,202,0,True,True,2020-08-13 04:27:10,2020
176,False,203,1,True,active,0,2020-08-13 03:23:40+00:00,14,0,203,0,True,True,2020-08-13 04:27:10,2020
177,False,204,0,True,active,1,2020-08-13 04:10:02+00:00,14,0,204,0,True,True,2020-08-13 04:27:10,2020
178,False,205,2,True,active,0,2020-08-13 03:23:54+00:00,13,0,205,0,True,True,2020-08-13 04:27:10,2020
