,station_id,is_installed,legacy_id,num_bikes_available,num_bikes_disabled,last_reported,is_returning,num_docks_disabled,num_ebikes_available,is_renting,station_status,eightd_has_available_keys,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
98,109,True,109,10,2,2020-08-04 22:40:08+00:00,True,0,0,True,active,False,23,,,2020-08-04 22:59:25,2020
99,110,True,110,8,0,2020-08-04 22:53:23+00:00,True,0,0,True,active,False,7,,,2020-08-04 22:59:25,2020
100,111,True,111,1,0,2020-08-04 19:14:24+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
101,112,True,112,9,0,2020-08-04 22:40:54+00:00,True,0,0,True,active,False,6,,,2020-08-04 22:59:25,2020
102,113,True,113,13,0,2020-08-04 22:39:38+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
103,114,True,114,12,0,2020-08-04 22:42:38+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
104,115,True,115,15,0,2020-08-04 22:43:40+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
105,116,True,116,23,0,2020-08-04 22:27:14+00:00,True,0,0,True,active,False,0,,,2020-08-04 22:59:25,2020
106,117,True,117,5,0,2020-08-04 22:48:01+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
107,118,True,118,17,0,2020-08-04 22:51:52+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
108,119,True,119,4,0,2020-08-04 22:49:38+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
109,120,True,120,3,0,2020-08-04 22:54:03+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
110,121,True,121,2,0,2020-08-04 22:55:49+00:00,True,0,0,True,active,False,15,,,2020-08-04 22:59:25,2020
111,122,True,122,3,0,2020-08-04 22:16:07+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
112,124,True,124,1,0,2020-08-04 21:00:19+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
113,125,True,125,3,0,2020-08-04 22:47:56+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
114,126,True,126,2,0,2020-08-04 19:26:30+00:00,True,0,0,True,active,False,13,,,2020-08-04 22:59:25,2020
115,128,True,128,14,0,2020-08-04 22:55:46+00:00,True,0,0,True,active,False,5,,,2020-08-04 22:59:25,2020
116,129,True,129,17,0,2020-08-04 22:37:04+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
117,130,True,130,12,0,2020-08-04 22:52:55+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
118,131,True,131,13,0,2020-08-04 22:53:48+00:00,True,0,0,True,active,False,5,,,2020-08-04 22:59:25,2020
119,133,True,133,11,1,2020-08-04 22:08:17+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
120,135,True,135,12,0,2020-08-04 18:45:12+00:00,True,0,0,True,active,False,5,,,2020-08-04 22:59:25,2020
121,136,True,136,9,1,2020-08-04 22:57:27+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
122,137,True,137,7,0,2020-08-04 22:40:19+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
123,138,True,138,9,1,2020-08-04 22:56:58+00:00,True,0,0,True,active,False,5,,,2020-08-04 22:59:25,2020
124,139,True,139,8,0,2020-08-04 22:24:09+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
125,140,True,140,15,0,2020-08-04 22:39:01+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
126,141,True,141,6,1,2020-08-04 22:51:09+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
127,142,True,142,9,2,2020-08-04 22:48:22+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
128,143,True,143,10,1,2020-08-04 22:56:35+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
129,144,True,144,1,0,2020-08-04 20:39:57+00:00,True,0,0,True,active,False,18,,,2020-08-04 22:59:25,2020
130,145,True,145,16,0,2020-08-04 22:52:48+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
131,146,True,146,9,2,2020-08-04 22:26:39+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
132,149,True,149,7,0,2020-08-04 22:14:31+00:00,True,0,0,True,active,True,11,,,2020-08-04 22:59:25,2020
133,150,True,150,3,0,2020-08-04 20:42:40+00:00,True,0,0,True,active,False,16,,,2020-08-04 22:59:25,2020
134,151,True,151,9,0,2020-08-04 22:36:10+00:00,True,0,0,True,active,False,10,,,2020-08-04 22:59:25,2020
135,152,True,152,13,0,2020-08-04 22:58:36+00:00,True,0,0,True,active,True,2,,,2020-08-04 22:59:25,2020
136,156,True,156,3,0,2020-08-04 22:18:05+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
137,157,True,157,9,2,2020-08-04 22:53:54+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
138,159,True,159,3,1,2020-08-04 21:42:20+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
139,160,True,160,2,0,2020-08-04 22:34:22+00:00,True,0,0,True,active,True,12,,,2020-08-04 22:59:25,2020
140,161,True,161,8,0,2020-08-04 22:52:54+00:00,True,0,0,True,active,True,15,,,2020-08-04 22:59:25,2020
141,162,True,162,3,1,2020-08-04 22:55:31+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
142,163,True,163,5,0,2020-08-04 20:19:09+00:00,True,0,0,True,active,True,14,,,2020-08-04 22:59:25,2020
143,167,True,167,15,0,2020-08-04 22:23:31+00:00,True,0,0,True,active,False,0,,,2020-08-04 22:59:25,2020
144,169,True,169,16,0,2020-08-04 21:44:42+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
145,170,True,170,0,0,2020-08-04 19:21:17+00:00,True,0,0,True,active,True,14,,,2020-08-04 22:59:25,2020
146,171,True,171,6,0,2020-08-04 22:20:17+00:00,True,0,0,True,active,True,17,,,2020-08-04 22:59:25,2020
147,173,True,173,11,0,2020-08-04 19:01:26+00:00,True,0,0,True,active,True,3,,,2020-08-04 22:59:25,2020
148,174,True,174,7,0,2020-08-04 22:50:30+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
149,175,True,175,2,0,2020-08-04 22:10:52+00:00,True,0,0,True,active,True,15,,,2020-08-04 22:59:25,2020
150,176,True,176,6,0,2020-08-04 22:44:39+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
151,177,True,177,8,0,2020-08-04 22:32:30+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
152,178,True,178,16,0,2020-08-04 22:58:12+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
153,179,True,179,7,0,2020-08-04 22:43:17+00:00,True,0,0,True,active,False,18,,,2020-08-04 22:59:25,2020
154,180,True,180,14,1,2020-08-04 22:41:24+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
155,181,True,181,17,1,2020-08-04 22:25:47+00:00,True,0,0,True,active,False,1,,,2020-08-04 22:59:25,2020
156,182,True,182,3,2,2020-08-04 22:37:11+00:00,True,0,0,True,active,True,14,,,2020-08-04 22:59:25,2020
157,183,True,183,11,0,2020-08-04 20:11:48+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
158,184,True,184,4,1,2020-08-04 22:57:37+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
159,185,True,185,3,1,2020-08-04 22:54:40+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
160,186,True,186,6,0,2020-08-04 22:52:41+00:00,True,0,0,True,active,True,9,,,2020-08-04 22:59:25,2020
161,187,True,187,14,0,2020-08-04 15:40:14+00:00,True,0,0,True,active,False,1,,,2020-08-04 22:59:25,2020
162,188,True,188,2,0,2020-08-04 18:46:44+00:00,True,0,0,True,active,False,13,,,2020-08-04 22:59:25,2020
163,189,True,189,7,0,2020-08-04 22:40:24+00:00,True,0,0,True,active,False,16,,,2020-08-04 22:59:25,2020
164,190,True,190,17,1,2020-08-04 22:49:05+00:00,True,0,0,True,active,True,19,,,2020-08-04 22:59:25,2020
165,191,True,191,2,0,2020-08-04 21:18:37+00:00,True,0,0,True,active,False,13,,,2020-08-04 22:59:25,2020
166,192,True,192,4,0,2020-08-04 22:33:11+00:00,True,0,0,True,active,False,15,,,2020-08-04 22:59:25,2020
167,193,True,193,10,1,2020-08-04 20:58:20+00:00,True,0,0,True,active,True,4,,,2020-08-04 22:59:25,2020
168,194,True,194,6,0,2020-08-04 22:42:14+00:00,True,0,0,True,active,False,13,,,2020-08-04 22:59:25,2020
169,195,True,195,13,0,2020-08-04 22:42:33+00:00,True,0,0,True,active,False,10,,,2020-08-04 22:59:25,2020
170,196,True,196,2,0,2020-08-04 22:12:24+00:00,True,0,0,True,active,True,8,,,2020-08-04 22:59:25,2020
171,197,True,197,1,0,2020-08-04 22:59:13+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
172,199,True,199,14,0,2020-08-04 22:49:17+00:00,True,0,0,True,active,False,1,,,2020-08-04 22:59:25,2020
173,200,True,200,15,1,2020-08-04 22:56:28+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
174,201,True,201,0,0,2020-08-04 12:17:44+00:00,True,0,0,True,active,False,15,,,2020-08-04 22:59:25,2020
175,202,True,202,0,1,2020-08-04 18:10:32+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
176,203,True,203,6,0,2020-08-04 08:21:44+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
177,204,True,204,2,1,2020-08-04 22:48:50+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
178,205,True,205,8,0,2020-08-04 19:24:51+00:00,True,0,0,True,active,False,7,,,2020-08-04 22:59:25,2020
179,206,True,206,9,0,2020-08-04 22:47:36+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
180,208,True,208,14,0,2020-08-04 22:52:12+00:00,True,0,0,True,active,True,1,,,2020-08-04 22:59:25,2020
181,209,True,209,8,0,2020-08-04 20:12:47+00:00,True,0,0,True,active,False,7,,,2020-08-04 22:59:25,2020
182,210,True,210,1,1,2020-08-04 18:57:17+00:00,True,0,0,True,active,False,13,,,2020-08-04 22:59:25,2020
183,211,True,211,17,0,2020-08-04 22:50:48+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
