,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
264,373,True,True,active,0,7,8,373,False,2020-08-21 04:40:22+00:00,True,0,0,2020-08-21 04:52:45,2020
265,374,True,True,active,0,18,1,374,False,2020-08-21 04:20:31+00:00,True,0,0,2020-08-21 04:52:45,2020
266,376,True,True,active,0,1,14,376,False,2020-08-21 04:52:15+00:00,True,0,0,2020-08-21 04:52:45,2020
267,377,True,True,active,0,10,9,377,False,2020-08-21 04:49:56+00:00,True,0,0,2020-08-21 04:52:45,2020
268,378,True,True,active,0,5,14,378,False,2020-08-21 00:38:15+00:00,True,0,0,2020-08-21 04:52:45,2020
269,379,True,True,active,0,1,14,379,False,2020-08-21 04:30:24+00:00,True,0,0,2020-08-21 04:52:45,2020
270,380,True,True,active,0,17,1,380,False,2020-08-21 04:14:26+00:00,True,0,0,2020-08-21 04:52:45,2020
271,381,True,True,active,0,2,17,381,False,2020-08-21 04:45:25+00:00,True,0,0,2020-08-21 04:52:45,2020
272,384,True,True,active,0,1,18,384,True,2020-08-21 03:49:00+00:00,True,0,0,2020-08-21 04:52:45,2020
273,385,True,True,active,0,11,3,385,False,2020-08-21 01:47:03+00:00,True,0,1,2020-08-21 04:52:45,2020
274,386,True,True,active,0,8,11,386,False,2020-08-21 03:58:24+00:00,True,0,0,2020-08-21 04:52:45,2020
275,387,True,True,active,0,5,10,387,False,2020-08-21 04:13:53+00:00,True,0,0,2020-08-21 04:52:45,2020
276,388,True,True,active,0,3,8,388,False,2020-08-20 09:01:03+00:00,True,0,0,2020-08-21 04:52:45,2020
277,389,True,True,active,0,7,7,389,False,2020-08-21 03:00:50+00:00,True,0,0,2020-08-21 04:52:45,2020
278,390,True,True,active,0,5,10,390,False,2020-08-21 02:07:15+00:00,True,0,0,2020-08-21 04:52:45,2020
279,391,True,True,active,0,2,13,391,False,2020-08-21 00:43:36+00:00,True,0,0,2020-08-21 04:52:45,2020
280,392,True,True,active,0,9,6,392,False,2020-08-20 20:19:47+00:00,True,0,0,2020-08-21 04:52:45,2020
281,393,True,True,active,0,6,9,393,False,2020-08-20 21:49:24+00:00,True,0,0,2020-08-21 04:52:45,2020
282,394,True,True,active,0,14,0,394,False,2020-08-20 09:00:38+00:00,True,0,0,2020-08-21 04:52:45,2020
283,395,True,True,active,0,3,12,395,False,2020-08-20 21:36:00+00:00,True,0,0,2020-08-21 04:52:45,2020
284,396,True,True,active,0,2,13,396,False,2020-08-20 08:56:31+00:00,True,0,0,2020-08-21 04:52:45,2020
285,397,True,True,active,0,3,12,397,False,2020-08-20 23:23:56+00:00,True,0,0,2020-08-21 04:52:45,2020
286,398,True,True,active,0,8,11,398,False,2020-08-21 04:05:58+00:00,True,0,0,2020-08-21 04:52:45,2020
287,399,True,True,active,0,6,9,399,False,2020-08-21 01:04:54+00:00,True,0,0,2020-08-21 04:52:45,2020
288,400,True,True,active,0,7,20,400,False,2020-08-21 03:56:07+00:00,True,0,0,2020-08-21 04:52:45,2020
289,401,True,True,active,0,3,12,401,False,2020-08-21 02:26:17+00:00,True,0,0,2020-08-21 04:52:45,2020
290,402,True,True,active,0,5,10,402,False,2020-08-21 03:14:00+00:00,True,0,0,2020-08-21 04:52:45,2020
291,403,True,True,active,1,2,12,403,False,2020-08-21 04:08:49+00:00,True,0,0,2020-08-21 04:52:45,2020
292,404,True,True,active,0,12,4,404,False,2020-08-21 04:23:57+00:00,True,0,0,2020-08-21 04:52:45,2020
293,405,True,True,active,0,3,16,405,False,2020-08-21 01:42:53+00:00,True,0,0,2020-08-21 04:52:45,2020
294,406,True,True,active,0,4,15,406,False,2020-08-21 03:40:07+00:00,True,0,0,2020-08-21 04:52:45,2020
295,407,True,True,active,0,15,4,407,False,2020-08-21 03:49:42+00:00,True,0,0,2020-08-21 04:52:45,2020
296,408,True,True,active,0,4,11,408,False,2020-08-21 02:28:21+00:00,True,0,0,2020-08-21 04:52:45,2020
297,409,True,True,active,1,4,14,409,False,2020-08-21 04:25:17+00:00,True,0,0,2020-08-21 04:52:45,2020
298,410,True,True,active,0,14,5,410,False,2020-08-21 02:03:06+00:00,True,0,0,2020-08-21 04:52:45,2020
299,411,True,True,active,0,12,3,411,False,2020-08-20 17:29:01+00:00,True,0,0,2020-08-21 04:52:45,2020
