,last_reported,num_ebikes_available,num_bikes_disabled,legacy_id,is_installed,num_bikes_available,is_renting,eightd_has_available_keys,station_id,station_status,num_docks_available,num_docks_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
63,2020-08-12 02:14:56+00:00,0,0,72,True,0,True,False,72,active,23,0,True,2020-08-12 02:19:25,2020
64,2020-08-12 02:04:55+00:00,0,1,73,True,4,True,False,73,active,10,0,True,2020-08-12 02:19:25,2020
65,2020-08-12 02:16:58+00:00,0,1,74,True,11,True,True,74,active,7,0,True,2020-08-12 02:19:25,2020
66,2020-08-12 01:09:00+00:00,0,0,75,True,5,True,False,75,active,10,0,True,2020-08-12 02:19:25,2020
67,2020-08-12 02:19:03+00:00,0,1,76,True,13,True,False,76,active,3,0,True,2020-08-12 02:19:25,2020
68,2020-08-12 00:00:32+00:00,0,0,77,True,6,True,False,77,active,9,0,True,2020-08-12 02:19:25,2020
69,2020-08-12 01:29:27+00:00,0,0,78,True,10,True,False,78,active,9,0,True,2020-08-12 02:19:25,2020
70,2020-08-12 01:50:52+00:00,0,1,79,True,16,True,False,79,active,2,0,True,2020-08-12 02:19:25,2020
71,2020-08-12 02:01:19+00:00,0,0,80,True,0,True,False,80,active,35,0,True,2020-08-12 02:19:25,2020
72,2020-08-12 01:59:06+00:00,0,4,81,True,13,True,False,81,active,2,0,True,2020-08-12 02:19:25,2020
73,2020-08-12 00:56:23+00:00,0,0,82,True,5,True,False,82,active,10,0,True,2020-08-12 02:19:25,2020
74,2020-08-12 01:45:12+00:00,0,0,84,True,12,True,False,84,active,3,0,True,2020-08-12 02:19:25,2020
75,2020-08-12 02:17:58+00:00,0,0,85,True,2,True,False,85,active,17,0,True,2020-08-12 02:19:25,2020
76,2020-08-12 01:42:11+00:00,0,0,86,True,8,True,False,86,active,11,0,True,2020-08-12 02:19:25,2020
77,2020-08-12 01:41:29+00:00,0,0,87,True,13,True,False,87,active,2,0,True,2020-08-12 02:19:25,2020
78,2020-08-12 02:14:00+00:00,0,0,89,True,5,True,False,89,active,14,0,True,2020-08-12 02:19:25,2020
79,2020-08-12 01:52:22+00:00,0,1,90,True,18,True,False,90,active,0,0,True,2020-08-12 02:19:25,2020
80,2020-08-12 02:12:54+00:00,0,1,91,True,0,True,False,91,active,18,0,True,2020-08-12 02:19:25,2020
81,2020-08-12 00:24:18+00:00,0,1,92,True,9,True,False,92,active,9,0,True,2020-08-12 02:19:25,2020
