,eightd_has_available_keys,station_id,num_docks_disabled,is_returning,is_renting,num_docks_available,last_reported,station_status,legacy_id,num_bikes_disabled,is_installed,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
71,False,80,0,True,True,33,2020-07-31 23:31:06+00:00,active,80,2,True,0,0,,,2020-07-31 23:42:35,2020
72,False,81,0,True,True,19,2020-07-31 23:42:02+00:00,active,81,0,True,0,0,,,2020-07-31 23:42:35,2020
73,False,82,0,True,True,9,2020-07-31 23:34:40+00:00,active,82,0,True,0,6,,,2020-07-31 23:42:35,2020
74,False,84,0,True,True,15,2020-07-31 23:29:57+00:00,active,84,0,True,0,0,,,2020-07-31 23:42:35,2020
75,False,85,0,True,True,18,2020-07-31 23:42:11+00:00,active,85,0,True,0,1,,,2020-07-31 23:42:35,2020
76,False,86,0,True,True,19,2020-07-31 23:40:50+00:00,active,86,0,True,0,0,,,2020-07-31 23:42:35,2020
77,False,87,0,True,True,4,2020-07-31 23:41:51+00:00,active,87,1,True,0,10,,,2020-07-31 23:42:35,2020
78,False,89,0,True,True,1,2020-07-31 23:41:04+00:00,active,89,0,True,0,18,,,2020-07-31 23:42:35,2020
79,False,90,0,True,True,15,2020-07-31 23:18:43+00:00,active,90,0,True,0,4,,,2020-07-31 23:42:35,2020
80,False,91,0,True,True,10,2020-07-31 23:41:50+00:00,active,91,0,True,0,9,,,2020-07-31 23:42:35,2020
81,False,92,0,True,True,6,2020-07-31 23:33:50+00:00,active,92,0,True,0,13,,,2020-07-31 23:42:35,2020
82,False,93,0,True,True,6,2020-07-31 23:17:18+00:00,active,93,3,True,0,6,,,2020-07-31 23:42:35,2020
83,False,94,0,True,True,1,2020-07-31 23:41:15+00:00,active,94,0,True,0,10,,,2020-07-31 23:42:35,2020
84,False,95,0,True,True,14,2020-07-31 23:22:55+00:00,active,95,0,True,0,1,,,2020-07-31 23:42:35,2020
85,False,96,0,True,True,11,2020-07-31 23:22:06+00:00,active,96,0,True,0,8,,,2020-07-31 23:42:35,2020
86,False,97,0,True,True,13,2020-07-31 23:42:29+00:00,active,97,0,True,0,6,,,2020-07-31 23:42:35,2020
