,num_docks_disabled,last_reported,is_installed,legacy_id,num_bikes_disabled,num_ebikes_available,eightd_has_available_keys,station_status,num_bikes_available,station_id,is_returning,is_renting,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
16,0,2020-07-30 08:50:16+00:00,True,20,0,0,False,active,15,20,True,True,8,2020-07-30 08:52:50,2020
17,0,2020-07-30 08:51:56+00:00,True,21,0,0,False,active,12,21,True,True,6,2020-07-30 08:52:50,2020
18,0,2020-07-30 07:28:37+00:00,True,22,1,0,True,active,11,22,True,True,35,2020-07-30 08:52:50,2020
19,0,2020-07-30 08:45:15+00:00,True,23,0,0,True,active,5,23,True,True,16,2020-07-30 08:52:50,2020
20,0,2020-07-30 08:40:03+00:00,True,24,0,0,False,active,15,24,True,True,4,2020-07-30 08:52:50,2020
21,0,2020-07-30 03:01:02+00:00,True,25,0,0,False,active,15,25,True,True,0,2020-07-30 08:52:50,2020
22,0,2020-07-30 02:50:30+00:00,True,26,1,0,False,active,4,26,True,True,10,2020-07-30 08:52:50,2020
23,0,2020-07-30 08:41:20+00:00,True,27,2,0,False,active,1,27,True,True,20,2020-07-30 08:52:50,2020
24,0,2020-07-30 08:30:37+00:00,True,29,0,0,False,active,7,29,True,True,8,2020-07-30 08:52:50,2020
25,0,2020-07-30 08:51:28+00:00,True,30,0,0,False,active,3,30,True,True,12,2020-07-30 08:52:50,2020
26,0,2020-07-30 08:48:23+00:00,True,31,1,0,True,active,7,31,True,True,11,2020-07-30 08:52:50,2020
27,0,2020-07-30 07:52:23+00:00,True,32,3,0,False,active,8,32,True,True,4,2020-07-30 08:52:50,2020
28,0,2020-07-30 08:51:32+00:00,True,33,1,0,False,active,24,33,True,True,2,2020-07-30 08:52:50,2020
29,0,2020-07-30 08:15:03+00:00,True,35,0,0,False,active,4,35,True,True,19,2020-07-30 08:52:50,2020
30,0,2020-07-30 08:51:07+00:00,True,36,0,0,True,active,10,36,True,True,23,2020-07-30 08:52:50,2020
31,0,2020-07-30 08:46:46+00:00,True,37,0,0,True,active,3,37,True,True,12,2020-07-30 08:52:50,2020
32,0,2020-07-30 06:54:32+00:00,True,39,1,0,False,active,17,39,True,True,5,2020-07-30 08:52:50,2020
33,0,2020-07-30 08:50:21+00:00,True,40,0,0,False,active,11,40,True,True,8,2020-07-30 08:52:50,2020
34,0,2020-07-30 05:07:31+00:00,True,41,1,0,True,active,25,41,True,True,1,2020-07-30 08:52:50,2020
35,0,2020-07-30 06:44:04+00:00,True,42,0,0,False,active,21,42,True,True,2,2020-07-30 08:52:50,2020
36,0,2020-07-30 02:37:40+00:00,True,43,0,0,True,active,6,43,True,True,9,2020-07-30 08:52:50,2020
37,0,2020-07-30 04:46:57+00:00,True,44,1,0,False,active,11,44,True,True,11,2020-07-30 08:52:50,2020
38,0,2020-07-30 08:40:10+00:00,True,46,1,0,False,active,16,46,True,True,2,2020-07-30 08:52:50,2020
39,0,2020-07-30 08:46:55+00:00,True,47,0,0,True,active,17,47,True,True,2,2020-07-30 08:52:50,2020
40,0,2020-07-30 08:16:31+00:00,True,48,0,0,False,active,0,48,True,True,19,2020-07-30 08:52:50,2020
41,0,2020-07-30 05:46:11+00:00,True,49,0,0,False,active,4,49,True,True,14,2020-07-30 08:52:50,2020
42,0,2020-07-30 08:50:19+00:00,True,50,0,0,True,active,0,50,True,True,15,2020-07-30 08:52:50,2020
43,0,2020-07-30 08:05:49+00:00,True,51,1,0,False,active,4,51,True,True,10,2020-07-30 08:52:50,2020
44,0,2020-07-30 08:50:13+00:00,True,52,0,0,True,active,10,52,True,True,13,2020-07-30 08:52:50,2020
45,0,2020-07-30 07:51:42+00:00,True,53,0,0,False,active,10,53,True,True,9,2020-07-30 08:52:50,2020
46,0,2020-07-30 08:31:52+00:00,True,54,0,0,False,active,1,54,True,True,14,2020-07-30 08:52:50,2020
47,0,2020-07-30 02:45:44+00:00,True,55,0,0,False,active,14,55,False,False,1,2020-07-30 08:52:50,2020
48,0,2020-07-30 06:18:14+00:00,True,56,0,0,True,active,14,56,True,True,4,2020-07-30 08:52:50,2020
49,0,2020-07-30 04:09:54+00:00,True,57,0,0,True,active,9,57,True,True,5,2020-07-30 08:52:50,2020
50,0,2020-07-30 03:36:04+00:00,True,58,0,0,True,active,9,58,True,True,10,2020-07-30 08:52:50,2020
51,0,2020-07-30 08:51:53+00:00,True,59,0,0,True,active,4,59,True,True,15,2020-07-30 08:52:50,2020
