,station_id,last_reported,num_bikes_available,num_docks_available,is_installed,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,is_returning,is_renting,timestamp_of_data_read_request,year_station_last_reported
181,209,2020-08-14 23:30:52+00:00,9,6,True,209,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
182,210,2020-08-14 23:20:05+00:00,1,13,True,210,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
183,211,2020-08-14 22:02:25+00:00,7,12,True,211,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
184,212,2020-08-14 22:43:31+00:00,24,8,True,212,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
185,213,2020-08-14 20:09:43+00:00,5,11,True,213,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
186,214,2020-08-14 23:32:25+00:00,11,4,True,214,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
187,215,2020-08-14 22:25:57+00:00,6,9,True,215,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
188,216,2020-08-14 17:44:26+00:00,18,0,True,216,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
189,217,2020-08-14 23:24:09+00:00,6,13,True,217,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
190,218,2020-08-15 00:01:03+00:00,14,0,True,218,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
191,219,2020-08-14 17:45:00+00:00,5,9,True,219,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
192,221,2020-08-14 17:42:04+00:00,5,14,True,221,active,0,False,0,0,False,False,2020-08-15 00:02:10,2020
193,222,2020-08-14 23:46:47+00:00,0,14,True,222,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
194,224,2020-08-14 23:45:50+00:00,13,3,True,224,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
195,225,2020-08-15 00:01:05+00:00,7,12,True,225,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
