,station_id,num_bikes_disabled,is_returning,station_status,legacy_id,is_renting,num_bikes_available,eightd_has_available_keys,last_reported,num_docks_available,num_docks_disabled,is_installed,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
82,93,2,True,active,93,True,7,False,2020-07-30 02:33:02+00:00,6,0,True,0,2020-07-30 03:16:05,2020
83,94,0,True,active,94,True,7,False,2020-07-30 03:04:16+00:00,4,0,True,0,2020-07-30 03:16:05,2020
84,95,2,True,active,95,True,11,False,2020-07-30 03:09:39+00:00,2,0,True,0,2020-07-30 03:16:05,2020
85,96,2,True,active,96,True,7,False,2020-07-30 01:51:42+00:00,10,0,True,0,2020-07-30 03:16:05,2020
86,97,1,True,active,97,True,2,False,2020-07-30 02:56:13+00:00,16,0,True,0,2020-07-30 03:16:05,2020
87,98,0,True,active,98,True,10,False,2020-07-30 03:00:20+00:00,12,0,True,0,2020-07-30 03:16:05,2020
88,99,0,True,active,99,True,11,False,2020-07-30 02:35:34+00:00,4,0,True,0,2020-07-30 03:16:05,2020
89,100,1,True,active,100,True,15,True,2020-07-30 02:55:58+00:00,9,0,True,0,2020-07-30 03:16:05,2020
90,101,0,True,active,101,True,2,False,2020-07-30 01:50:13+00:00,13,0,True,0,2020-07-30 03:16:05,2020
91,102,0,True,active,102,True,8,False,2020-07-30 02:25:49+00:00,7,0,True,0,2020-07-30 03:16:05,2020
92,103,1,True,active,103,True,7,False,2020-07-30 02:54:41+00:00,7,0,True,0,2020-07-30 03:16:05,2020
93,104,1,True,active,104,True,13,False,2020-07-30 02:56:55+00:00,5,0,True,0,2020-07-30 03:16:05,2020
94,105,0,True,active,105,True,14,False,2020-07-30 03:13:04+00:00,5,0,True,0,2020-07-30 03:16:05,2020
95,106,0,True,active,106,True,11,False,2020-07-29 12:13:40+00:00,4,0,True,0,2020-07-30 03:16:05,2020
96,107,1,True,active,107,True,10,False,2020-07-30 02:54:51+00:00,8,0,True,0,2020-07-30 03:16:05,2020
97,108,0,True,active,108,True,13,False,2020-07-30 02:50:22+00:00,4,0,True,0,2020-07-30 03:16:05,2020
98,109,2,True,active,109,True,24,False,2020-07-30 02:56:59+00:00,9,0,True,0,2020-07-30 03:16:05,2020
99,110,0,True,active,110,True,8,False,2020-07-30 03:03:14+00:00,7,0,True,0,2020-07-30 03:16:05,2020
100,111,0,True,active,111,True,4,False,2020-07-30 00:04:11+00:00,11,0,True,0,2020-07-30 03:16:05,2020
101,112,0,True,active,112,True,6,False,2020-07-30 01:00:19+00:00,9,0,True,0,2020-07-30 03:16:05,2020
