,num_docks_disabled,last_reported,num_ebikes_available,station_status,num_docks_available,is_installed,num_bikes_disabled,eightd_has_available_keys,num_bikes_available,legacy_id,is_returning,station_id,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
89,0,2020-08-15 18:58:28+00:00,0,active,13,True,1,True,11,100,True,100,True,,,2020-08-15 19:06:05,2020
90,0,2020-08-15 19:00:49+00:00,0,active,6,True,0,False,9,101,True,101,True,,,2020-08-15 19:06:05,2020
91,0,2020-08-15 19:05:33+00:00,0,active,8,True,0,False,7,102,True,102,True,,,2020-08-15 19:06:05,2020
92,0,2020-08-15 19:04:38+00:00,0,active,11,True,0,False,4,103,True,103,True,,,2020-08-15 19:06:05,2020
93,0,2020-08-15 18:55:19+00:00,0,active,17,True,0,False,2,104,True,104,True,,,2020-08-15 19:06:05,2020
94,0,2020-08-15 18:57:19+00:00,0,active,16,True,1,False,2,105,True,105,True,,,2020-08-15 19:06:05,2020
95,0,2020-08-15 17:15:07+00:00,0,active,10,True,0,False,5,106,True,106,True,,,2020-08-15 19:06:05,2020
96,0,2020-08-15 18:45:51+00:00,0,active,0,True,1,False,18,107,True,107,True,,,2020-08-15 19:06:05,2020
97,0,2020-08-15 18:52:07+00:00,0,active,11,True,1,False,5,108,True,108,True,,,2020-08-15 19:06:05,2020
98,0,2020-08-15 19:04:24+00:00,0,active,32,True,1,False,2,109,True,109,True,,,2020-08-15 19:06:05,2020
99,0,2020-08-15 18:46:57+00:00,0,active,1,True,2,False,12,110,True,110,True,,,2020-08-15 19:06:05,2020
100,0,2020-08-15 19:00:32+00:00,0,active,13,True,0,False,2,111,True,111,True,,,2020-08-15 19:06:05,2020
101,0,2020-08-15 19:04:10+00:00,0,active,7,True,0,False,8,112,True,112,True,,,2020-08-15 19:06:05,2020
102,0,2020-08-15 19:04:02+00:00,0,active,12,True,1,False,2,113,True,113,True,,,2020-08-15 19:06:05,2020
103,0,2020-08-15 19:04:53+00:00,0,active,10,True,0,False,5,114,True,114,True,,,2020-08-15 19:06:05,2020
104,0,2020-08-15 18:51:40+00:00,0,active,6,True,0,False,13,115,True,115,True,,,2020-08-15 19:06:05,2020
105,0,2020-08-15 18:44:28+00:00,0,active,20,True,0,False,3,116,True,116,True,,,2020-08-15 19:06:05,2020
106,0,2020-08-15 18:51:00+00:00,0,active,16,True,1,False,2,117,True,117,True,,,2020-08-15 19:06:05,2020
107,0,2020-08-15 18:33:32+00:00,0,active,5,True,1,False,13,118,True,118,True,,,2020-08-15 19:06:05,2020
108,0,2020-08-15 19:02:54+00:00,0,active,5,True,0,False,10,119,True,119,True,,,2020-08-15 19:06:05,2020
109,0,2020-08-15 19:00:51+00:00,0,active,9,True,0,False,6,120,True,120,True,,,2020-08-15 19:06:05,2020
110,0,2020-08-15 19:00:02+00:00,0,active,13,True,1,False,3,121,True,121,True,,,2020-08-15 19:06:05,2020
111,0,2020-08-15 18:58:47+00:00,0,active,3,True,0,False,12,122,True,122,True,,,2020-08-15 19:06:05,2020
112,0,2020-08-15 18:12:53+00:00,0,active,9,True,0,False,6,124,True,124,True,,,2020-08-15 19:06:05,2020
113,0,2020-08-15 17:54:21+00:00,0,active,5,True,2,False,8,125,True,125,True,,,2020-08-15 19:06:05,2020
114,0,2020-08-15 17:46:40+00:00,0,active,8,True,1,False,6,126,True,126,True,,,2020-08-15 19:06:05,2020
115,0,2020-08-15 18:09:20+00:00,0,active,5,True,0,False,14,128,True,128,True,,,2020-08-15 19:06:05,2020
116,0,2020-08-15 14:21:30+00:00,0,active,4,True,0,False,15,129,True,129,True,,,2020-08-15 19:06:05,2020
117,0,2020-08-15 16:52:12+00:00,0,active,1,True,0,False,14,130,True,130,True,,,2020-08-15 19:06:05,2020
118,0,2020-08-15 19:05:16+00:00,0,active,9,True,1,False,8,131,True,131,True,,,2020-08-15 19:06:05,2020
119,0,2020-08-15 18:17:45+00:00,0,active,20,True,0,False,3,133,True,133,True,,,2020-08-15 19:06:05,2020
120,0,2020-08-15 08:40:52+00:00,0,active,17,True,0,False,0,135,True,135,True,,,2020-08-15 19:06:05,2020
121,0,2020-08-15 18:51:10+00:00,0,active,13,True,0,False,6,136,True,136,True,,,2020-08-15 19:06:05,2020
122,0,2020-08-15 18:51:41+00:00,0,active,4,True,1,False,10,137,True,137,True,,,2020-08-15 19:06:05,2020
123,0,2020-08-15 18:37:47+00:00,0,active,2,True,3,False,10,138,True,138,True,,,2020-08-15 19:06:05,2020
124,0,2020-08-15 18:04:28+00:00,0,active,12,True,1,False,6,139,True,139,True,,,2020-08-15 19:06:05,2020
125,0,2020-08-15 18:46:27+00:00,0,active,6,True,0,False,11,140,True,140,True,,,2020-08-15 19:06:05,2020
126,0,2020-08-15 18:59:35+00:00,0,active,13,True,0,False,2,141,True,141,True,,,2020-08-15 19:06:05,2020
127,0,2020-08-15 18:38:29+00:00,0,active,1,True,0,False,22,142,True,142,True,,,2020-08-15 19:06:05,2020
128,0,2020-08-15 19:01:07+00:00,0,active,15,True,1,False,7,143,True,143,True,,,2020-08-15 19:06:05,2020
129,0,2020-08-15 18:55:12+00:00,0,active,4,True,0,False,15,144,True,144,True,,,2020-08-15 19:06:05,2020
130,0,2020-08-15 18:59:33+00:00,0,active,2,True,0,False,17,145,True,145,True,,,2020-08-15 19:06:05,2020
131,0,2020-08-15 19:05:07+00:00,0,active,6,True,1,False,12,146,True,146,True,,,2020-08-15 19:06:05,2020
132,0,2020-08-15 18:59:43+00:00,0,active,6,True,0,True,12,149,True,149,True,,,2020-08-15 19:06:05,2020
133,0,2020-08-15 18:46:54+00:00,0,active,2,True,1,False,16,150,True,150,True,,,2020-08-15 19:06:05,2020
134,0,2020-08-15 18:43:14+00:00,0,active,19,True,0,False,0,151,True,151,True,,,2020-08-15 19:06:05,2020
135,0,2020-08-15 18:35:35+00:00,0,active,10,True,0,True,5,152,True,152,True,,,2020-08-15 19:06:05,2020
136,0,2020-08-15 18:44:09+00:00,0,active,13,True,0,False,2,156,True,156,True,,,2020-08-15 19:06:05,2020
137,0,2020-08-15 19:05:52+00:00,0,active,7,True,2,False,6,157,True,157,True,,,2020-08-15 19:06:05,2020
138,0,2020-08-15 18:29:26+00:00,0,active,10,True,0,False,5,159,True,159,True,,,2020-08-15 19:06:05,2020
139,0,2020-08-15 18:51:50+00:00,0,active,13,True,0,True,1,160,True,160,True,,,2020-08-15 19:06:05,2020
140,0,2020-08-15 19:04:04+00:00,0,active,10,True,1,True,12,161,True,161,True,,,2020-08-15 19:06:05,2020
141,0,2020-08-15 18:52:24+00:00,0,active,13,True,0,False,2,162,True,162,True,,,2020-08-15 19:06:05,2020
142,0,2020-08-15 18:54:38+00:00,0,active,18,True,0,True,1,163,True,163,True,,,2020-08-15 19:06:05,2020
143,0,2020-08-15 18:28:51+00:00,0,active,8,True,0,False,7,167,True,167,True,,,2020-08-15 19:06:05,2020
144,0,2020-08-15 19:01:35+00:00,0,active,15,True,0,False,4,169,True,169,True,,,2020-08-15 19:06:05,2020
145,0,2020-08-15 17:55:28+00:00,0,active,13,True,0,True,1,170,True,170,True,,,2020-08-15 19:06:05,2020
146,0,2020-08-15 17:44:53+00:00,0,active,14,True,0,True,9,171,True,171,True,,,2020-08-15 19:06:05,2020
147,0,2020-08-15 17:57:38+00:00,0,active,6,True,0,True,8,173,True,173,True,,,2020-08-15 19:06:05,2020
148,0,2020-08-15 16:05:26+00:00,0,active,5,True,0,False,10,174,True,174,True,,,2020-08-15 19:06:05,2020
149,0,2020-08-15 18:51:43+00:00,0,active,13,True,0,True,4,175,True,175,True,,,2020-08-15 19:06:05,2020
150,0,2020-08-15 19:05:16+00:00,0,active,3,True,0,False,12,176,True,176,True,,,2020-08-15 19:06:05,2020
151,0,2020-08-15 19:05:31+00:00,0,active,11,True,1,False,7,177,True,177,True,,,2020-08-15 19:06:05,2020
152,0,2020-08-15 18:51:00+00:00,0,active,18,True,1,False,0,178,True,178,True,,,2020-08-15 19:06:05,2020
153,0,2020-08-15 18:59:47+00:00,0,active,16,True,0,False,9,179,True,179,True,,,2020-08-15 19:06:05,2020
154,0,2020-08-15 18:52:40+00:00,0,active,3,True,0,False,16,180,True,180,True,,,2020-08-15 19:06:05,2020
155,0,2020-08-15 19:03:29+00:00,0,active,8,True,0,False,11,181,True,181,True,,,2020-08-15 19:06:05,2020
156,0,2020-08-15 19:05:12+00:00,0,active,6,True,0,True,13,182,True,182,True,,,2020-08-15 19:06:05,2020
157,0,2020-08-15 18:54:10+00:00,0,active,12,True,0,False,7,183,True,183,True,,,2020-08-15 19:06:05,2020
158,0,2020-08-15 18:55:20+00:00,0,active,12,True,0,False,7,184,True,184,True,,,2020-08-15 19:06:05,2020
159,0,2020-08-15 19:04:04+00:00,0,active,11,True,1,False,3,185,True,185,True,,,2020-08-15 19:06:05,2020
160,0,2020-08-15 19:00:21+00:00,0,active,15,True,0,True,0,186,True,186,True,,,2020-08-15 19:06:05,2020
161,0,2020-08-15 17:39:38+00:00,0,active,6,True,0,False,9,187,True,187,True,,,2020-08-15 19:06:05,2020
162,0,2020-08-15 18:23:54+00:00,0,active,10,True,0,False,5,188,True,188,True,,,2020-08-15 19:06:05,2020
163,0,2020-08-15 19:03:32+00:00,0,active,16,True,0,True,7,189,True,189,True,,,2020-08-15 19:06:05,2020
164,0,2020-08-15 18:51:40+00:00,0,active,30,True,0,True,7,190,True,190,True,,,2020-08-15 19:06:05,2020
165,0,2020-08-15 18:58:30+00:00,0,active,9,True,0,False,6,191,True,191,True,,,2020-08-15 19:06:05,2020
166,0,2020-08-15 18:07:09+00:00,0,active,13,True,0,False,6,192,True,192,True,,,2020-08-15 19:06:05,2020
167,0,2020-08-15 18:58:26+00:00,0,active,2,True,1,True,12,193,True,193,True,,,2020-08-15 19:06:05,2020
168,0,2020-08-15 17:19:50+00:00,0,active,17,True,0,False,2,194,True,194,True,,,2020-08-15 19:06:05,2020
169,0,2020-08-15 19:05:28+00:00,0,active,14,True,0,False,9,195,True,195,True,,,2020-08-15 19:06:05,2020
170,0,2020-08-15 18:22:47+00:00,0,active,10,True,0,False,0,196,True,196,True,,,2020-08-15 19:06:05,2020
171,0,2020-08-15 18:01:59+00:00,0,active,9,True,0,False,6,197,True,197,True,,,2020-08-15 19:06:05,2020
172,0,2020-08-15 15:56:16+00:00,0,active,6,True,0,False,9,199,True,199,True,,,2020-08-15 19:06:05,2020
173,0,2020-08-15 18:58:33+00:00,0,active,6,True,0,False,13,200,True,200,True,,,2020-08-15 19:06:05,2020
174,0,2020-08-15 12:21:21+00:00,0,active,8,True,0,False,7,201,True,201,True,,,2020-08-15 19:06:05,2020
175,0,2020-08-15 18:49:06+00:00,0,active,4,True,0,False,11,202,True,202,True,,,2020-08-15 19:06:05,2020
176,0,2020-08-15 13:34:18+00:00,0,active,15,True,0,False,0,203,True,203,True,,,2020-08-15 19:06:05,2020
177,0,2020-08-15 10:45:22+00:00,0,active,13,True,0,False,2,204,True,204,True,,,2020-08-15 19:06:05,2020
178,0,2020-08-15 16:25:20+00:00,0,active,8,True,0,False,7,205,True,205,True,,,2020-08-15 19:06:05,2020
179,0,2020-08-15 18:44:59+00:00,0,active,20,True,1,True,2,206,True,206,True,,,2020-08-15 19:06:05,2020
180,0,2020-08-15 18:50:22+00:00,0,active,7,True,0,True,8,208,True,208,True,,,2020-08-15 19:06:05,2020
181,0,2020-08-15 17:52:09+00:00,0,active,3,True,0,False,12,209,True,209,True,,,2020-08-15 19:06:05,2020
182,0,2020-08-15 18:11:07+00:00,0,active,11,True,1,False,3,210,True,210,True,,,2020-08-15 19:06:05,2020
183,0,2020-08-15 18:47:27+00:00,0,active,14,True,0,False,5,211,True,211,True,,,2020-08-15 19:06:05,2020
184,0,2020-08-15 18:57:31+00:00,0,active,15,True,1,False,17,212,True,212,True,,,2020-08-15 19:06:05,2020
185,0,2020-08-15 17:21:58+00:00,0,active,13,True,0,True,3,213,True,213,True,,,2020-08-15 19:06:05,2020
186,0,2020-08-15 18:55:52+00:00,0,active,7,True,0,False,8,214,True,214,True,,,2020-08-15 19:06:05,2020
