,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
111,1,122,active,0,122,True,0,2020-08-01 17:54:54+00:00,True,0,True,14,False,,,2020-08-01 17:55:25,2020
112,6,124,active,0,124,True,0,2020-08-01 17:18:11+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
113,0,125,active,0,125,True,0,2020-08-01 17:46:28+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
114,10,126,active,0,126,True,2,2020-08-01 17:29:51+00:00,True,0,True,3,False,,,2020-08-01 17:55:25,2020
115,9,128,active,0,128,True,0,2020-08-01 17:12:25+00:00,True,0,True,10,False,,,2020-08-01 17:55:25,2020
116,10,129,active,0,129,True,0,2020-08-01 17:44:47+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
117,11,130,active,0,130,True,0,2020-08-01 14:59:56+00:00,True,0,True,4,False,,,2020-08-01 17:55:25,2020
118,5,131,active,0,131,True,6,2020-08-01 17:47:50+00:00,True,0,True,7,False,,,2020-08-01 17:55:25,2020
119,15,133,active,0,133,True,0,2020-08-01 17:52:12+00:00,True,0,True,8,False,,,2020-08-01 17:55:25,2020
120,4,135,active,0,135,True,0,2020-08-01 16:37:07+00:00,True,0,True,13,False,,,2020-08-01 17:55:25,2020
121,16,136,active,0,136,True,0,2020-08-01 17:13:23+00:00,True,0,True,3,False,,,2020-08-01 17:55:25,2020
122,7,137,active,0,137,True,0,2020-08-01 16:47:23+00:00,True,0,True,8,False,,,2020-08-01 17:55:25,2020
123,15,138,active,0,138,True,0,2020-08-01 17:10:18+00:00,True,0,True,0,False,,,2020-08-01 17:55:25,2020
124,11,139,active,0,139,True,0,2020-08-01 17:29:46+00:00,True,0,True,8,False,,,2020-08-01 17:55:25,2020
125,7,140,active,0,140,True,1,2020-08-01 17:38:31+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
126,7,141,active,0,141,True,0,2020-08-01 17:43:42+00:00,True,0,True,8,False,,,2020-08-01 17:55:25,2020
127,12,142,active,0,142,True,0,2020-08-01 17:48:15+00:00,True,0,True,11,False,,,2020-08-01 17:55:25,2020
128,3,143,active,0,143,True,0,2020-08-01 17:54:15+00:00,True,0,True,20,False,,,2020-08-01 17:55:25,2020
129,1,144,active,0,144,True,0,2020-08-01 17:29:16+00:00,True,0,True,18,False,,,2020-08-01 17:55:25,2020
130,13,145,active,0,145,True,0,2020-08-01 17:31:10+00:00,True,0,True,6,False,,,2020-08-01 17:55:25,2020
131,14,146,active,0,146,True,0,2020-08-01 17:53:12+00:00,True,0,True,5,False,,,2020-08-01 17:55:25,2020
132,10,149,active,0,149,True,0,2020-08-01 17:41:14+00:00,True,0,True,8,True,,,2020-08-01 17:55:25,2020
133,13,150,active,0,150,True,1,2020-08-01 17:28:15+00:00,True,0,True,5,False,,,2020-08-01 17:55:25,2020
134,14,151,active,0,151,True,3,2020-08-01 17:54:42+00:00,True,0,True,2,False,,,2020-08-01 17:55:25,2020
135,5,152,active,0,152,True,0,2020-08-01 17:47:43+00:00,True,0,True,10,True,,,2020-08-01 17:55:25,2020
136,3,156,active,0,156,True,0,2020-08-01 16:46:23+00:00,True,0,True,12,False,,,2020-08-01 17:55:25,2020
137,14,157,active,0,157,True,1,2020-08-01 17:50:05+00:00,True,0,True,0,False,,,2020-08-01 17:55:25,2020
138,3,159,active,0,159,True,1,2020-08-01 17:37:12+00:00,True,0,True,11,False,,,2020-08-01 17:55:25,2020
139,11,160,active,0,160,True,0,2020-08-01 17:30:52+00:00,True,0,True,3,True,,,2020-08-01 17:55:25,2020
140,7,161,active,0,161,True,0,2020-08-01 17:54:49+00:00,True,0,True,16,True,,,2020-08-01 17:55:25,2020
141,3,162,active,0,162,True,0,2020-08-01 17:52:36+00:00,True,0,True,12,False,,,2020-08-01 17:55:25,2020
142,17,163,active,0,163,True,0,2020-08-01 17:24:32+00:00,True,0,True,2,True,,,2020-08-01 17:55:25,2020
143,4,167,active,0,167,True,1,2020-08-01 17:16:02+00:00,True,0,True,10,False,,,2020-08-01 17:55:25,2020
144,4,169,active,0,169,True,0,2020-08-01 17:37:17+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
145,3,170,active,0,170,True,0,2020-08-01 16:30:50+00:00,True,0,True,11,True,,,2020-08-01 17:55:25,2020
146,10,171,active,0,171,True,0,2020-08-01 16:46:11+00:00,True,0,True,13,True,,,2020-08-01 17:55:25,2020
147,6,173,active,0,173,True,2,2020-08-01 17:02:33+00:00,True,0,True,6,True,,,2020-08-01 17:55:25,2020
148,8,174,active,0,174,True,0,2020-08-01 17:33:00+00:00,True,0,True,7,False,,,2020-08-01 17:55:25,2020
149,0,175,active,0,175,True,1,2020-08-01 17:23:52+00:00,True,0,True,16,True,,,2020-08-01 17:55:25,2020
150,2,176,active,0,176,True,0,2020-08-01 17:38:15+00:00,True,0,True,13,False,,,2020-08-01 17:55:25,2020
151,5,177,active,0,177,True,0,2020-08-01 17:46:46+00:00,True,0,True,14,False,,,2020-08-01 17:55:25,2020
152,6,178,active,0,178,True,0,2020-08-01 17:51:33+00:00,True,0,True,13,False,,,2020-08-01 17:55:25,2020
153,9,179,active,0,179,True,0,2020-08-01 17:49:11+00:00,True,0,True,16,False,,,2020-08-01 17:55:25,2020
154,10,180,active,0,180,True,0,2020-08-01 17:12:25+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
155,9,181,active,0,181,True,1,2020-08-01 16:55:55+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
156,4,182,active,0,182,True,2,2020-08-01 17:54:15+00:00,True,0,True,13,True,,,2020-08-01 17:55:25,2020
157,8,183,active,0,183,True,2,2020-08-01 17:54:02+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
158,4,184,active,0,184,True,0,2020-08-01 17:33:15+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
159,0,185,active,0,185,True,0,2020-08-01 17:52:05+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
