,num_bikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,is_renting,is_returning,station_id,last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
63,12,72,0,False,True,True,72,2020-07-28 22:33:56+00:00,True,0,0,11,active,,,2020-07-28 22:34:35,2020
64,12,73,0,False,True,True,73,2020-07-28 22:31:02+00:00,True,0,0,3,active,,,2020-07-28 22:34:35,2020
65,6,74,0,True,True,True,74,2020-07-28 22:34:01+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
66,5,75,0,False,True,True,75,2020-07-28 22:33:56+00:00,True,1,0,9,active,,,2020-07-28 22:34:35,2020
67,2,76,0,False,True,True,76,2020-07-28 22:21:24+00:00,True,0,0,15,active,,,2020-07-28 22:34:35,2020
68,7,77,0,False,True,True,77,2020-07-28 22:21:18+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
69,11,78,0,False,True,True,78,2020-07-28 22:28:54+00:00,True,1,0,7,active,,,2020-07-28 22:34:35,2020
70,3,79,0,False,True,True,79,2020-07-28 22:22:12+00:00,True,2,0,14,active,,,2020-07-28 22:34:35,2020
71,14,80,0,False,True,True,80,2020-07-28 22:31:30+00:00,True,0,0,21,active,,,2020-07-28 22:34:35,2020
72,6,81,0,False,True,True,81,2020-07-28 22:30:49+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
73,1,82,0,False,True,True,82,2020-07-28 22:17:47+00:00,True,0,0,14,active,,,2020-07-28 22:34:35,2020
74,1,84,0,False,True,True,84,2020-07-28 22:31:00+00:00,True,2,0,12,active,,,2020-07-28 22:34:35,2020
75,0,85,0,False,True,True,85,2020-07-28 21:50:33+00:00,True,0,0,19,active,,,2020-07-28 22:34:35,2020
76,10,86,0,False,True,True,86,2020-07-28 22:32:12+00:00,True,0,0,9,active,,,2020-07-28 22:34:35,2020
77,12,87,0,False,True,True,87,2020-07-28 22:30:09+00:00,True,0,0,3,active,,,2020-07-28 22:34:35,2020
78,3,89,0,False,True,True,89,2020-07-28 21:54:13+00:00,True,2,0,14,active,,,2020-07-28 22:34:35,2020
79,14,90,0,False,True,True,90,2020-07-28 22:30:27+00:00,True,0,0,5,active,,,2020-07-28 22:34:35,2020
80,1,91,0,False,True,True,91,2020-07-28 22:32:58+00:00,True,1,0,17,active,,,2020-07-28 22:34:35,2020
81,13,92,0,False,True,True,92,2020-07-28 21:53:34+00:00,True,1,0,5,active,,,2020-07-28 22:34:35,2020
82,8,93,0,False,True,True,93,2020-07-28 22:09:22+00:00,True,1,0,6,active,,,2020-07-28 22:34:35,2020
