,eightd_has_available_keys,legacy_id,num_docks_disabled,num_ebikes_available,is_installed,num_docks_available,is_renting,is_returning,station_status,num_bikes_disabled,num_bikes_available,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
132,True,149,0,0,True,0,True,True,active,0,18,2020-08-06 03:14:40+00:00,149,,,2020-08-06 06:33:15,2020
133,False,150,0,0,True,19,True,True,active,0,0,2020-08-06 02:19:04+00:00,150,,,2020-08-06 06:33:15,2020
134,False,151,0,0,True,13,True,True,active,0,6,2020-08-06 04:00:16+00:00,151,,,2020-08-06 06:33:15,2020
135,True,152,0,0,True,3,True,True,active,0,12,2020-08-06 01:32:46+00:00,152,,,2020-08-06 06:33:15,2020
136,False,156,0,0,True,8,True,True,active,0,7,2020-08-05 23:18:36+00:00,156,,,2020-08-06 06:33:15,2020
137,False,157,0,0,True,12,True,True,active,1,2,2020-08-06 05:00:59+00:00,157,,,2020-08-06 06:33:15,2020
138,False,159,0,0,True,3,True,True,active,3,9,2020-08-06 05:08:27+00:00,159,,,2020-08-06 06:33:15,2020
139,True,160,0,0,True,9,True,True,active,0,5,2020-08-06 04:19:22+00:00,160,,,2020-08-06 06:33:15,2020
140,True,161,0,0,True,1,True,True,active,0,22,2020-08-06 05:01:44+00:00,161,,,2020-08-06 06:33:15,2020
141,False,162,0,0,True,6,True,True,active,0,9,2020-08-06 02:32:22+00:00,162,,,2020-08-06 06:33:15,2020
142,True,163,0,0,True,11,True,True,active,0,8,2020-08-06 03:50:36+00:00,163,,,2020-08-06 06:33:15,2020
143,False,167,0,0,True,10,True,True,active,0,5,2020-08-06 04:56:13+00:00,167,,,2020-08-06 06:33:15,2020
144,False,169,0,0,True,5,True,True,active,1,13,2020-08-06 01:33:06+00:00,169,,,2020-08-06 06:33:15,2020
145,True,170,0,0,True,14,True,True,active,0,0,2020-08-05 18:31:26+00:00,170,,,2020-08-06 06:33:15,2020
146,True,171,0,0,True,15,True,True,active,0,8,2020-08-05 22:21:58+00:00,171,,,2020-08-06 06:33:15,2020
147,True,173,0,0,True,7,True,True,active,0,7,2020-08-06 01:50:53+00:00,173,,,2020-08-06 06:33:15,2020
148,False,174,0,0,True,11,True,True,active,2,2,2020-08-06 02:08:31+00:00,174,,,2020-08-06 06:33:15,2020
149,True,175,0,0,True,14,True,True,active,0,3,2020-08-06 04:36:53+00:00,175,,,2020-08-06 06:33:15,2020
150,False,176,0,0,True,2,True,True,active,0,13,2020-08-06 02:06:46+00:00,176,,,2020-08-06 06:33:15,2020
151,False,177,0,0,True,14,True,True,active,0,5,2020-08-06 04:36:30+00:00,177,,,2020-08-06 06:33:15,2020
