,num_ebikes_available,num_docks_available,num_bikes_disabled,is_renting,station_id,is_returning,station_status,legacy_id,is_installed,num_docks_disabled,last_reported,num_bikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
70,0,12,1,True,79,True,active,79,True,0,2020-08-20 20:56:10+00:00,6,False,,,2020-08-20 21:10:35,2020
71,0,6,1,True,80,True,active,80,True,0,2020-08-20 21:08:09+00:00,28,False,,,2020-08-20 21:10:35,2020
72,0,19,0,True,81,True,active,81,True,0,2020-08-20 21:02:39+00:00,0,False,,,2020-08-20 21:10:35,2020
73,0,12,0,True,82,True,active,82,True,0,2020-08-20 19:31:29+00:00,3,False,,,2020-08-20 21:10:35,2020
74,0,10,0,True,84,True,active,84,True,0,2020-08-20 20:59:30+00:00,5,False,,,2020-08-20 21:10:35,2020
75,0,13,0,True,85,True,active,85,True,0,2020-08-20 21:09:59+00:00,6,False,,,2020-08-20 21:10:35,2020
76,0,15,0,True,86,True,active,86,True,0,2020-08-20 20:57:36+00:00,4,False,,,2020-08-20 21:10:35,2020
77,0,10,0,True,87,True,active,87,True,0,2020-08-20 21:04:40+00:00,5,False,,,2020-08-20 21:10:35,2020
78,0,11,0,True,89,True,active,89,True,0,2020-08-20 20:22:23+00:00,8,False,,,2020-08-20 21:10:35,2020
79,0,16,0,True,90,True,active,90,True,0,2020-08-20 21:09:45+00:00,3,False,,,2020-08-20 21:10:35,2020
80,0,6,1,True,91,True,active,91,True,0,2020-08-20 21:01:49+00:00,12,False,,,2020-08-20 21:10:35,2020
81,0,8,1,True,92,True,active,92,True,0,2020-08-20 13:33:55+00:00,10,False,,,2020-08-20 21:10:35,2020
82,0,4,0,True,93,True,active,93,True,0,2020-08-20 19:47:44+00:00,11,False,,,2020-08-20 21:10:35,2020
83,0,4,1,True,94,True,active,94,True,0,2020-08-20 21:05:39+00:00,6,False,,,2020-08-20 21:10:35,2020
84,0,5,1,True,95,True,active,95,True,0,2020-08-20 21:02:53+00:00,9,False,,,2020-08-20 21:10:35,2020
85,0,10,1,True,96,True,active,96,True,0,2020-08-20 21:01:17+00:00,8,False,,,2020-08-20 21:10:35,2020
86,0,15,0,True,97,True,active,97,True,0,2020-08-20 20:50:32+00:00,4,False,,,2020-08-20 21:10:35,2020
87,0,11,0,True,98,True,active,98,True,0,2020-08-20 20:48:59+00:00,12,False,,,2020-08-20 21:10:35,2020
88,0,3,2,True,99,True,active,99,True,0,2020-08-20 20:54:54+00:00,10,False,,,2020-08-20 21:10:35,2020
89,0,7,0,True,100,True,active,100,True,0,2020-08-20 21:06:42+00:00,18,True,,,2020-08-20 21:10:35,2020
90,0,8,0,True,101,True,active,101,True,0,2020-08-20 18:31:01+00:00,7,False,,,2020-08-20 21:10:35,2020
91,0,15,0,True,102,True,active,102,True,0,2020-08-20 21:05:43+00:00,0,False,,,2020-08-20 21:10:35,2020
92,0,1,0,True,103,True,active,103,True,0,2020-08-20 20:37:31+00:00,14,False,,,2020-08-20 21:10:35,2020
93,0,19,0,True,104,True,active,104,True,0,2020-08-20 21:07:13+00:00,0,False,,,2020-08-20 21:10:35,2020
94,0,11,1,True,105,True,active,105,True,0,2020-08-20 21:09:03+00:00,7,False,,,2020-08-20 21:10:35,2020
95,0,9,0,True,106,True,active,106,True,0,2020-08-20 17:41:37+00:00,6,False,,,2020-08-20 21:10:35,2020
96,0,11,1,True,107,True,active,107,True,0,2020-08-20 21:07:45+00:00,7,False,,,2020-08-20 21:10:35,2020
97,0,13,0,True,108,True,active,108,True,0,2020-08-20 21:02:15+00:00,4,False,,,2020-08-20 21:10:35,2020
98,0,32,0,True,109,True,active,109,True,0,2020-08-20 19:56:10+00:00,3,False,,,2020-08-20 21:10:35,2020
99,0,6,0,True,110,True,active,110,True,0,2020-08-20 20:50:02+00:00,9,False,,,2020-08-20 21:10:35,2020
100,0,10,0,True,111,True,active,111,True,0,2020-08-20 18:13:42+00:00,5,False,,,2020-08-20 21:10:35,2020
101,0,12,0,True,112,True,active,112,True,0,2020-08-20 20:36:03+00:00,3,False,,,2020-08-20 21:10:35,2020
102,0,4,2,True,113,True,active,113,True,0,2020-08-20 21:07:55+00:00,9,False,,,2020-08-20 21:10:35,2020
103,0,11,0,True,114,True,active,114,True,0,2020-08-20 20:22:42+00:00,4,False,,,2020-08-20 21:10:35,2020
104,0,15,0,True,115,True,active,115,True,0,2020-08-20 21:08:34+00:00,4,False,,,2020-08-20 21:10:35,2020
105,0,20,1,True,116,True,active,116,True,0,2020-08-20 20:47:51+00:00,2,False,,,2020-08-20 21:10:35,2020
106,0,15,0,True,117,True,active,117,True,0,2020-08-20 20:59:02+00:00,4,False,,,2020-08-20 21:10:35,2020
107,0,9,1,True,118,True,active,118,True,0,2020-08-20 21:05:23+00:00,9,False,,,2020-08-20 21:10:35,2020
108,0,11,0,True,119,True,active,119,True,0,2020-08-20 21:09:05+00:00,4,False,,,2020-08-20 21:10:35,2020
109,0,12,0,True,120,True,active,120,True,0,2020-08-20 20:50:58+00:00,3,False,,,2020-08-20 21:10:35,2020
110,0,14,1,True,121,True,active,121,True,0,2020-08-20 21:08:58+00:00,2,False,,,2020-08-20 21:10:35,2020
111,0,0,0,True,122,True,active,122,True,0,2020-08-20 20:57:55+00:00,15,False,,,2020-08-20 21:10:35,2020
112,0,15,0,True,124,True,active,124,True,0,2020-08-20 19:43:43+00:00,0,False,,,2020-08-20 21:10:35,2020
113,0,14,1,True,125,True,active,125,True,0,2020-08-20 21:00:47+00:00,0,False,,,2020-08-20 21:10:35,2020
114,0,1,2,True,126,True,active,126,True,0,2020-08-20 19:28:56+00:00,12,False,,,2020-08-20 21:10:35,2020
115,0,10,0,True,128,True,active,128,True,0,2020-08-20 20:35:30+00:00,9,False,,,2020-08-20 21:10:35,2020
116,0,18,0,True,129,True,active,129,True,0,2020-08-20 20:57:20+00:00,1,False,,,2020-08-20 21:10:35,2020
117,0,3,0,True,130,True,active,130,True,0,2020-08-20 20:23:12+00:00,12,False,,,2020-08-20 21:10:35,2020
118,0,12,0,True,131,True,active,131,True,0,2020-08-20 20:59:44+00:00,6,False,,,2020-08-20 21:10:35,2020
119,0,11,1,True,133,True,active,133,True,0,2020-08-20 21:00:16+00:00,11,False,,,2020-08-20 21:10:35,2020
120,0,16,0,True,135,True,active,135,True,0,2020-08-20 20:51:53+00:00,1,False,,,2020-08-20 21:10:35,2020
121,0,18,0,True,136,True,active,136,True,0,2020-08-20 21:01:28+00:00,1,False,,,2020-08-20 21:10:35,2020
122,0,11,0,True,137,True,active,137,True,0,2020-08-20 20:26:54+00:00,4,False,,,2020-08-20 21:10:35,2020
123,0,7,0,True,138,True,active,138,True,0,2020-08-20 20:45:34+00:00,8,False,,,2020-08-20 21:10:35,2020
124,0,16,0,True,139,True,active,139,True,0,2020-08-20 21:05:51+00:00,3,False,,,2020-08-20 21:10:35,2020
125,0,6,0,True,140,True,active,140,True,0,2020-08-20 21:07:39+00:00,11,False,,,2020-08-20 21:10:35,2020
126,0,7,0,True,141,True,active,141,True,0,2020-08-20 20:43:30+00:00,8,False,,,2020-08-20 21:10:35,2020
127,0,8,0,True,142,True,active,142,True,0,2020-08-20 20:00:53+00:00,15,False,,,2020-08-20 21:10:35,2020
128,0,14,0,True,143,True,active,143,True,0,2020-08-20 21:09:51+00:00,9,False,,,2020-08-20 21:10:35,2020
129,0,2,0,True,144,True,active,144,True,0,2020-08-20 20:53:30+00:00,17,False,,,2020-08-20 21:10:35,2020
130,0,6,0,True,145,True,active,145,True,0,2020-08-20 21:07:56+00:00,13,False,,,2020-08-20 21:10:35,2020
131,0,8,1,True,146,True,active,146,True,0,2020-08-20 20:55:04+00:00,10,False,,,2020-08-20 21:10:35,2020
132,0,14,1,True,149,True,active,149,True,0,2020-08-20 21:04:24+00:00,3,True,,,2020-08-20 21:10:35,2020
133,0,11,0,True,150,True,active,150,True,0,2020-08-20 21:08:10+00:00,8,False,,,2020-08-20 21:10:35,2020
134,0,17,0,True,151,True,active,151,True,0,2020-08-20 21:09:06+00:00,2,False,,,2020-08-20 21:10:35,2020
135,0,1,0,True,152,True,active,152,True,0,2020-08-20 20:57:39+00:00,14,True,,,2020-08-20 21:10:35,2020
136,0,7,1,True,156,True,active,156,True,0,2020-08-20 19:43:03+00:00,7,False,,,2020-08-20 21:10:35,2020
137,0,15,0,True,157,True,active,157,True,0,2020-08-20 21:04:17+00:00,0,False,,,2020-08-20 21:10:35,2020
138,0,14,0,True,159,True,active,159,True,0,2020-08-20 20:59:24+00:00,1,False,,,2020-08-20 21:10:35,2020
139,0,5,0,True,160,True,active,160,True,0,2020-08-20 21:00:59+00:00,9,True,,,2020-08-20 21:10:35,2020
140,0,10,0,True,161,True,active,161,True,0,2020-08-20 21:04:59+00:00,13,True,,,2020-08-20 21:10:35,2020
141,0,9,0,True,162,True,active,162,True,0,2020-08-20 19:32:17+00:00,6,False,,,2020-08-20 21:10:35,2020
142,0,5,0,True,163,True,active,163,True,0,2020-08-20 21:00:25+00:00,14,True,,,2020-08-20 21:10:35,2020
143,0,6,0,True,167,True,active,167,True,0,2020-08-20 19:43:06+00:00,9,False,,,2020-08-20 21:10:35,2020
144,0,11,0,True,169,True,active,169,True,0,2020-08-20 21:08:01+00:00,8,False,,,2020-08-20 21:10:35,2020
145,0,6,0,True,170,True,active,170,True,0,2020-08-20 18:42:46+00:00,8,True,,,2020-08-20 21:10:35,2020
146,0,13,0,True,171,True,active,171,True,0,2020-08-20 20:46:23+00:00,10,True,,,2020-08-20 21:10:35,2020
147,0,8,0,True,173,True,active,173,True,0,2020-08-20 18:33:25+00:00,6,True,,,2020-08-20 21:10:35,2020
148,0,9,0,True,174,True,active,174,True,0,2020-08-20 20:57:56+00:00,6,False,,,2020-08-20 21:10:35,2020
149,0,7,2,True,175,True,active,175,True,0,2020-08-20 21:06:03+00:00,8,True,,,2020-08-20 21:10:35,2020
150,0,6,0,True,176,True,active,176,True,0,2020-08-20 21:07:51+00:00,9,False,,,2020-08-20 21:10:35,2020
151,0,6,1,True,177,True,active,177,True,0,2020-08-20 21:03:37+00:00,12,False,,,2020-08-20 21:10:35,2020
152,0,16,0,True,178,True,active,178,True,0,2020-08-20 21:08:28+00:00,3,False,,,2020-08-20 21:10:35,2020
153,0,19,1,True,179,True,active,179,True,0,2020-08-20 21:10:03+00:00,5,False,,,2020-08-20 21:10:35,2020
154,0,3,0,True,180,True,active,180,True,0,2020-08-20 21:09:02+00:00,16,False,,,2020-08-20 21:10:35,2020
155,0,16,0,True,181,True,active,181,True,0,2020-08-20 17:44:11+00:00,3,False,,,2020-08-20 21:10:35,2020
156,0,14,0,True,182,True,active,182,True,0,2020-08-20 21:02:26+00:00,5,True,,,2020-08-20 21:10:35,2020
157,0,11,0,True,183,True,active,183,True,0,2020-08-20 21:02:13+00:00,8,False,,,2020-08-20 21:10:35,2020
158,0,17,0,True,184,True,active,184,True,0,2020-08-20 20:58:28+00:00,2,False,,,2020-08-20 21:10:35,2020
159,0,13,1,True,185,True,active,185,True,0,2020-08-20 21:05:15+00:00,1,False,,,2020-08-20 21:10:35,2020
160,0,10,0,True,186,True,active,186,True,0,2020-08-20 21:09:31+00:00,5,True,,,2020-08-20 21:10:35,2020
161,0,15,0,True,187,True,active,187,True,0,2020-08-20 20:35:53+00:00,0,False,,,2020-08-20 21:10:35,2020
162,0,2,0,True,188,True,active,188,True,0,2020-08-20 21:04:34+00:00,13,False,,,2020-08-20 21:10:35,2020
