,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,valet,timestamp_of_data_read_request,year_station_last_reported
92,12,102,active,0,102,True,0,2020-08-03 13:41:07+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
93,0,103,active,0,103,True,1,2020-08-03 14:17:15+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
94,7,104,active,0,104,True,1,2020-08-03 13:51:27+00:00,True,,0,True,11,False,,2020-08-03 14:41:15,2020
95,5,105,active,0,105,True,0,2020-08-03 14:26:55+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
96,6,106,active,0,106,True,0,2020-08-03 14:01:47+00:00,True,,0,True,9,False,,2020-08-03 14:41:15,2020
97,14,107,active,0,107,True,2,2020-08-03 14:33:39+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
98,10,108,active,0,108,True,1,2020-08-03 14:27:53+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
99,23,109,active,0,109,True,1,2020-08-03 11:27:59+00:00,True,,0,True,11,False,,2020-08-03 14:41:15,2020
100,6,110,active,0,110,True,1,2020-08-03 14:33:21+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
101,1,111,active,0,111,True,0,2020-08-03 13:56:02+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
102,12,112,active,0,112,True,0,2020-08-03 12:08:03+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
103,6,113,active,0,113,True,0,2020-08-03 13:47:07+00:00,True,,0,True,9,False,,2020-08-03 14:41:15,2020
104,12,114,active,0,114,True,0,2020-08-03 13:51:26+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
105,15,115,active,0,115,True,1,2020-08-03 14:08:24+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
106,3,116,active,0,116,True,0,2020-08-03 14:28:32+00:00,True,,0,True,20,False,,2020-08-03 14:41:15,2020
107,0,117,active,0,117,True,0,2020-08-03 14:20:07+00:00,True,,0,True,19,False,,2020-08-03 14:41:15,2020
108,17,118,active,0,118,True,0,2020-08-03 14:01:56+00:00,True,,0,True,2,False,,2020-08-03 14:41:15,2020
109,1,119,active,0,119,True,0,2020-08-03 14:22:59+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
110,4,120,active,0,120,True,2,2020-08-03 14:06:42+00:00,True,,0,True,9,False,,2020-08-03 14:41:15,2020
111,1,121,active,0,121,True,0,2020-08-03 13:46:41+00:00,True,,0,True,16,False,,2020-08-03 14:41:15,2020
112,9,122,active,0,122,True,0,2020-08-03 14:18:51+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
113,3,124,active,0,124,True,0,2020-08-03 12:13:30+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
114,0,125,active,0,125,True,0,2020-08-03 14:35:59+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
115,6,126,active,0,126,True,1,2020-08-03 14:33:52+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
116,16,128,active,0,128,True,0,2020-08-03 12:35:10+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
117,14,129,active,0,129,True,0,2020-08-03 14:18:44+00:00,True,,0,True,5,False,,2020-08-03 14:41:15,2020
118,15,130,active,0,130,True,0,2020-08-03 05:39:14+00:00,True,,0,True,0,False,,2020-08-03 14:41:15,2020
119,5,131,active,0,131,True,2,2020-08-03 13:59:30+00:00,True,,0,True,11,False,,2020-08-03 14:41:15,2020
120,13,133,active,0,133,True,0,2020-08-03 13:31:17+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
121,10,135,active,0,135,True,0,2020-08-03 14:00:54+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
122,18,136,active,0,136,True,0,2020-08-03 14:32:43+00:00,True,,0,True,1,False,,2020-08-03 14:41:15,2020
123,2,137,active,0,137,True,0,2020-08-03 13:35:50+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
124,15,138,active,0,138,True,0,2020-08-03 12:37:13+00:00,True,,0,True,0,False,,2020-08-03 14:41:15,2020
125,1,139,active,0,139,True,0,2020-08-03 14:32:30+00:00,True,,0,True,18,False,,2020-08-03 14:41:15,2020
126,10,140,active,0,140,True,0,2020-08-03 14:16:48+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
127,6,141,active,0,141,True,1,2020-08-03 14:41:08+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
128,9,142,active,0,142,True,0,2020-08-03 13:19:42+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
129,10,143,active,0,143,True,0,2020-08-03 14:41:08+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
130,7,144,active,0,144,True,0,2020-08-03 14:09:58+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
131,12,145,active,0,145,True,0,2020-08-03 14:23:32+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
132,10,146,active,0,146,True,1,2020-08-03 14:01:31+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
133,8,149,active,0,149,True,1,2020-08-03 14:32:38+00:00,True,,0,True,9,True,,2020-08-03 14:41:15,2020
134,3,150,active,0,150,True,0,2020-08-03 13:42:47+00:00,True,,0,True,16,False,,2020-08-03 14:41:15,2020
135,11,151,active,0,151,True,2,2020-08-03 14:11:07+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
136,2,152,active,0,152,True,0,2020-08-03 13:44:00+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
137,1,156,active,0,156,True,0,2020-08-03 14:24:05+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
138,4,157,active,0,157,True,1,2020-08-03 13:44:52+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
139,0,159,active,0,159,True,1,2020-08-03 14:08:35+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
140,14,160,active,0,160,True,0,2020-08-03 13:09:01+00:00,True,,0,True,0,True,,2020-08-03 14:41:15,2020
141,3,161,active,0,161,True,0,2020-08-03 14:39:17+00:00,True,,0,True,20,True,,2020-08-03 14:41:15,2020
142,0,162,active,0,162,True,0,2020-08-03 08:53:47+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
143,11,163,active,0,163,True,0,2020-08-03 14:34:38+00:00,True,,0,True,8,True,,2020-08-03 14:41:15,2020
144,11,167,active,0,167,True,0,2020-08-03 13:52:09+00:00,True,,0,True,4,False,,2020-08-03 14:41:15,2020
145,4,169,active,0,169,True,0,2020-08-03 14:07:44+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
146,2,170,active,0,170,True,0,2020-08-03 14:37:25+00:00,True,,0,True,12,True,,2020-08-03 14:41:15,2020
147,1,171,active,0,171,True,0,2020-08-03 13:40:57+00:00,True,,0,True,22,True,,2020-08-03 14:41:15,2020
148,12,173,active,0,173,True,0,2020-08-03 14:23:53+00:00,True,,0,True,2,True,,2020-08-03 14:41:15,2020
149,8,174,active,0,174,True,0,2020-08-03 14:32:07+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
150,8,175,active,0,175,True,0,2020-08-03 13:51:57+00:00,True,,0,True,9,True,,2020-08-03 14:41:15,2020
151,7,176,active,0,176,True,0,2020-08-03 14:34:34+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
152,5,177,active,0,177,True,0,2020-08-03 14:38:18+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
153,17,178,active,0,178,True,1,2020-08-03 14:28:03+00:00,True,,0,True,1,False,,2020-08-03 14:41:15,2020
154,13,179,active,0,179,True,0,2020-08-03 14:12:16+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
155,12,180,active,0,180,True,0,2020-08-03 14:00:39+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
156,14,181,active,0,181,True,0,2020-08-03 14:08:05+00:00,True,,0,True,5,False,,2020-08-03 14:41:15,2020
157,3,182,active,0,182,True,0,2020-08-03 12:43:43+00:00,True,,0,True,16,True,,2020-08-03 14:41:15,2020
158,14,183,active,0,183,True,0,2020-08-03 14:10:00+00:00,True,,0,True,5,False,,2020-08-03 14:41:15,2020
