,is_installed,is_returning,num_docks_available,legacy_id,num_docks_disabled,last_reported,is_renting,station_status,num_bikes_available,num_bikes_disabled,eightd_has_available_keys,station_id,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
260,True,True,1,369,0,2020-08-20 23:36:37+00:00,True,active,14,0,False,369,0,,,2020-08-20 23:43:50,2020
261,True,True,15,370,0,2020-08-20 23:34:41+00:00,True,active,4,0,False,370,0,,,2020-08-20 23:43:50,2020
262,True,True,17,371,0,2020-08-20 23:42:12+00:00,True,active,2,0,False,371,0,,,2020-08-20 23:43:50,2020
263,True,True,17,372,0,2020-08-20 23:35:46+00:00,True,active,1,1,False,372,0,,,2020-08-20 23:43:50,2020
264,True,True,8,373,0,2020-08-20 12:11:08+00:00,True,active,7,0,False,373,0,,,2020-08-20 23:43:50,2020
265,True,True,19,374,0,2020-08-20 23:00:47+00:00,True,active,0,0,False,374,0,,,2020-08-20 23:43:50,2020
266,True,True,8,376,0,2020-08-20 23:38:32+00:00,True,active,7,0,False,376,0,,,2020-08-20 23:43:50,2020
267,True,True,17,377,0,2020-08-20 23:04:59+00:00,True,active,2,0,False,377,0,,,2020-08-20 23:43:50,2020
268,True,True,8,378,0,2020-08-20 23:41:42+00:00,True,active,11,0,False,378,0,,,2020-08-20 23:43:50,2020
269,True,True,2,379,0,2020-08-20 23:33:01+00:00,True,active,13,0,False,379,0,,,2020-08-20 23:43:50,2020
270,True,True,17,380,0,2020-08-20 23:30:31+00:00,True,active,1,0,False,380,0,,,2020-08-20 23:43:50,2020
271,True,True,6,381,0,2020-08-20 23:38:20+00:00,True,active,13,0,False,381,0,,,2020-08-20 23:43:50,2020
272,True,True,3,384,0,2020-08-20 23:30:48+00:00,True,active,16,0,True,384,0,,,2020-08-20 23:43:50,2020
273,True,True,11,385,1,2020-08-20 23:33:11+00:00,True,active,3,0,False,385,0,,,2020-08-20 23:43:50,2020
274,True,True,14,386,0,2020-08-20 23:36:00+00:00,True,active,5,0,False,386,0,,,2020-08-20 23:43:50,2020
275,True,True,5,387,0,2020-08-20 22:51:00+00:00,True,active,10,0,False,387,0,,,2020-08-20 23:43:50,2020
276,True,True,3,388,0,2020-08-20 09:01:03+00:00,True,active,8,0,False,388,0,,,2020-08-20 23:43:50,2020
277,True,True,10,389,0,2020-08-20 22:46:54+00:00,True,active,4,0,False,389,0,,,2020-08-20 23:43:50,2020
278,True,True,5,390,0,2020-08-20 21:52:55+00:00,True,active,10,0,False,390,0,,,2020-08-20 23:43:50,2020
279,True,True,1,391,0,2020-08-20 23:35:31+00:00,True,active,14,0,False,391,0,,,2020-08-20 23:43:50,2020
280,True,True,9,392,0,2020-08-20 20:19:47+00:00,True,active,6,0,False,392,0,,,2020-08-20 23:43:50,2020
281,True,True,6,393,0,2020-08-20 21:49:24+00:00,True,active,9,0,False,393,0,,,2020-08-20 23:43:50,2020
282,True,True,14,394,0,2020-08-20 09:00:38+00:00,True,active,0,0,False,394,0,,,2020-08-20 23:43:50,2020
283,True,True,3,395,0,2020-08-20 21:36:00+00:00,True,active,12,0,False,395,0,,,2020-08-20 23:43:50,2020
284,True,True,2,396,0,2020-08-20 08:56:31+00:00,True,active,13,0,False,396,0,,,2020-08-20 23:43:50,2020
285,True,True,3,397,0,2020-08-20 23:23:56+00:00,True,active,12,0,False,397,0,,,2020-08-20 23:43:50,2020
286,True,True,7,398,0,2020-08-20 23:41:41+00:00,True,active,12,0,False,398,0,,,2020-08-20 23:43:50,2020
287,True,True,4,399,0,2020-08-20 23:22:33+00:00,True,active,11,0,False,399,0,,,2020-08-20 23:43:50,2020
288,True,True,6,400,0,2020-08-20 23:30:56+00:00,True,active,21,0,False,400,0,,,2020-08-20 23:43:50,2020
