,num_docks_available,station_status,last_reported,num_bikes_disabled,num_docks_disabled,num_bikes_available,num_ebikes_available,is_installed,station_id,legacy_id,is_renting,eightd_has_available_keys,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
59,0,active,2020-08-18 17:45:40+00:00,0,0,19,0,True,68,68,True,True,True,,,2020-08-18 17:52:50,2020
60,12,active,2020-08-18 17:51:58+00:00,0,0,7,0,True,69,69,True,True,True,,,2020-08-18 17:52:50,2020
61,10,active,2020-08-18 17:30:30+00:00,0,0,13,0,True,70,70,True,False,True,,,2020-08-18 17:52:50,2020
62,13,active,2020-08-18 17:51:45+00:00,0,0,10,0,True,71,71,True,False,True,,,2020-08-18 17:52:50,2020
63,9,active,2020-08-18 17:50:28+00:00,0,0,14,0,True,72,72,True,False,True,,,2020-08-18 17:52:50,2020
64,9,active,2020-08-18 17:24:01+00:00,2,0,4,0,True,73,73,True,False,True,,,2020-08-18 17:52:50,2020
65,1,active,2020-08-18 17:28:56+00:00,1,0,17,0,True,74,74,True,True,True,,,2020-08-18 17:52:50,2020
66,9,active,2020-08-18 17:43:40+00:00,1,0,5,0,True,75,75,True,False,True,,,2020-08-18 17:52:50,2020
67,14,active,2020-08-18 17:33:43+00:00,0,0,3,0,True,76,76,True,False,True,,,2020-08-18 17:52:50,2020
68,11,active,2020-08-18 16:39:43+00:00,0,0,4,0,True,77,77,True,False,True,,,2020-08-18 17:52:50,2020
69,6,active,2020-08-18 17:43:27+00:00,1,0,12,0,True,78,78,True,False,True,,,2020-08-18 17:52:50,2020
70,9,active,2020-08-18 17:49:15+00:00,0,0,10,0,True,79,79,True,False,True,,,2020-08-18 17:52:50,2020
71,5,active,2020-08-18 17:50:16+00:00,0,0,30,0,True,80,80,True,False,True,,,2020-08-18 17:52:50,2020
72,12,active,2020-08-18 17:48:25+00:00,2,0,5,0,True,81,81,True,False,True,,,2020-08-18 17:52:50,2020
73,12,active,2020-08-18 17:21:34+00:00,1,0,2,0,True,82,82,True,False,True,,,2020-08-18 17:52:50,2020
