,eightd_has_available_keys,is_renting,is_returning,num_ebikes_available,station_status,num_bikes_disabled,station_id,num_docks_disabled,is_installed,last_reported,num_docks_available,legacy_id,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
79,False,True,True,0,active,1,90,0,True,2020-08-13 23:32:24+00:00,4,90,14,,,2020-08-13 23:51:30,2020
80,False,True,True,0,active,0,91,0,True,2020-08-13 23:22:18+00:00,19,91,0,,,2020-08-13 23:51:30,2020
81,False,True,True,0,active,0,92,0,True,2020-08-13 23:49:26+00:00,13,92,6,,,2020-08-13 23:51:30,2020
82,False,True,True,0,active,0,93,0,True,2020-08-13 23:40:54+00:00,1,93,14,,,2020-08-13 23:51:30,2020
83,False,True,True,0,active,0,94,0,True,2020-08-13 23:46:49+00:00,9,94,2,,,2020-08-13 23:51:30,2020
84,False,True,True,0,active,1,95,0,True,2020-08-13 23:29:51+00:00,9,95,5,,,2020-08-13 23:51:30,2020
85,False,True,True,0,active,0,96,0,True,2020-08-13 23:31:29+00:00,8,96,11,,,2020-08-13 23:51:30,2020
86,False,True,True,0,active,1,97,0,True,2020-08-13 23:44:27+00:00,9,97,9,,,2020-08-13 23:51:30,2020
87,False,True,True,0,active,0,98,0,True,2020-08-13 23:51:15+00:00,15,98,8,,,2020-08-13 23:51:30,2020
88,False,True,True,0,active,0,99,0,True,2020-08-13 23:04:12+00:00,3,99,12,,,2020-08-13 23:51:30,2020
89,True,True,True,0,active,2,100,0,True,2020-08-13 23:40:15+00:00,5,100,18,,,2020-08-13 23:51:30,2020
90,False,True,True,0,active,0,101,0,True,2020-08-13 22:52:42+00:00,1,101,14,,,2020-08-13 23:51:30,2020
91,False,True,True,0,active,1,102,0,True,2020-08-13 23:50:10+00:00,6,102,8,,,2020-08-13 23:51:30,2020
92,False,True,True,0,active,0,103,0,True,2020-08-13 23:48:23+00:00,12,103,3,,,2020-08-13 23:51:30,2020
93,False,True,True,0,active,0,104,0,True,2020-08-13 23:35:54+00:00,10,104,9,,,2020-08-13 23:51:30,2020
94,False,True,True,0,active,0,105,0,True,2020-08-13 23:51:18+00:00,16,105,3,,,2020-08-13 23:51:30,2020
95,False,True,True,0,active,1,106,0,True,2020-08-13 20:48:01+00:00,13,106,1,,,2020-08-13 23:51:30,2020
96,False,True,True,0,active,0,107,0,True,2020-08-13 23:49:32+00:00,19,107,0,,,2020-08-13 23:51:30,2020
97,False,True,True,0,active,0,108,0,True,2020-08-13 23:47:48+00:00,7,108,10,,,2020-08-13 23:51:30,2020
98,False,True,True,0,active,0,109,0,True,2020-08-13 22:42:01+00:00,35,109,0,,,2020-08-13 23:51:30,2020
99,False,True,True,0,active,0,110,0,True,2020-08-13 23:25:45+00:00,13,110,2,,,2020-08-13 23:51:30,2020
100,False,True,True,0,active,0,111,0,True,2020-08-13 23:11:05+00:00,9,111,6,,,2020-08-13 23:51:30,2020
101,False,True,True,0,active,0,112,0,True,2020-08-13 23:03:36+00:00,5,112,10,,,2020-08-13 23:51:30,2020
102,False,True,True,0,active,0,113,0,True,2020-08-13 23:49:24+00:00,7,113,8,,,2020-08-13 23:51:30,2020
103,False,True,True,0,active,1,114,0,True,2020-08-13 23:43:19+00:00,14,114,0,,,2020-08-13 23:51:30,2020
104,False,True,True,0,active,3,115,0,True,2020-08-13 23:51:13+00:00,7,115,9,,,2020-08-13 23:51:30,2020
105,False,True,True,0,active,0,116,0,True,2020-08-13 23:25:43+00:00,8,116,15,,,2020-08-13 23:51:30,2020
106,False,True,True,0,active,0,117,0,True,2020-08-13 23:41:34+00:00,19,117,0,,,2020-08-13 23:51:30,2020
107,False,True,True,0,active,1,118,0,True,2020-08-13 23:24:34+00:00,8,118,10,,,2020-08-13 23:51:30,2020
108,False,True,True,0,active,0,119,0,True,2020-08-13 23:47:21+00:00,4,119,11,,,2020-08-13 23:51:30,2020
109,False,True,True,0,active,0,120,0,True,2020-08-13 23:44:56+00:00,2,120,13,,,2020-08-13 23:51:30,2020
110,False,True,True,0,active,0,121,0,True,2020-08-13 23:18:29+00:00,9,121,8,,,2020-08-13 23:51:30,2020
111,False,True,True,0,active,0,122,0,True,2020-08-13 23:44:11+00:00,9,122,6,,,2020-08-13 23:51:30,2020
112,False,True,True,0,active,1,124,0,True,2020-08-13 23:48:38+00:00,8,124,6,,,2020-08-13 23:51:30,2020
113,False,True,True,0,active,1,125,0,True,2020-08-13 23:50:09+00:00,8,125,6,,,2020-08-13 23:51:30,2020
114,False,True,True,0,active,1,126,0,True,2020-08-13 23:34:21+00:00,8,126,6,,,2020-08-13 23:51:30,2020
115,False,True,True,0,active,0,128,0,True,2020-08-13 23:49:21+00:00,12,128,7,,,2020-08-13 23:51:30,2020
116,False,True,True,0,active,0,129,0,True,2020-08-13 23:17:20+00:00,0,129,19,,,2020-08-13 23:51:30,2020
117,False,True,True,0,active,0,130,0,True,2020-08-13 23:43:42+00:00,6,130,9,,,2020-08-13 23:51:30,2020
118,False,True,True,0,active,2,131,0,True,2020-08-13 23:41:01+00:00,8,131,8,,,2020-08-13 23:51:30,2020
119,False,True,True,0,active,1,133,0,True,2020-08-13 23:36:26+00:00,15,133,7,,,2020-08-13 23:51:30,2020
120,False,True,True,0,active,0,135,0,True,2020-08-13 20:55:32+00:00,16,135,1,,,2020-08-13 23:51:30,2020
121,False,True,True,0,active,2,136,0,True,2020-08-13 22:32:56+00:00,13,136,4,,,2020-08-13 23:51:30,2020
122,False,True,True,0,active,0,137,0,True,2020-08-13 23:06:23+00:00,7,137,8,,,2020-08-13 23:51:30,2020
123,False,True,True,0,active,2,138,0,True,2020-08-13 23:49:20+00:00,1,138,12,,,2020-08-13 23:51:30,2020
124,False,True,True,0,active,1,139,0,True,2020-08-13 23:47:53+00:00,13,139,5,,,2020-08-13 23:51:30,2020
125,False,True,True,0,active,3,140,0,True,2020-08-13 23:50:03+00:00,4,140,10,,,2020-08-13 23:51:30,2020
126,False,True,True,0,active,0,141,0,True,2020-08-13 23:45:13+00:00,3,141,12,,,2020-08-13 23:51:30,2020
127,False,True,True,0,active,1,142,0,True,2020-08-13 23:46:20+00:00,13,142,9,,,2020-08-13 23:51:30,2020
128,False,True,True,0,active,1,143,0,True,2020-08-13 23:48:26+00:00,8,143,14,,,2020-08-13 23:51:30,2020
129,False,True,True,0,active,0,144,0,True,2020-08-13 23:23:48+00:00,9,144,10,,,2020-08-13 23:51:30,2020
130,False,True,True,0,active,0,145,0,True,2020-08-13 23:32:30+00:00,1,145,18,,,2020-08-13 23:51:30,2020
131,False,True,True,0,active,0,146,0,True,2020-08-13 23:50:55+00:00,14,146,5,,,2020-08-13 23:51:30,2020
132,True,True,True,0,active,1,149,0,True,2020-08-13 23:43:29+00:00,12,149,5,,,2020-08-13 23:51:30,2020
133,False,True,True,0,active,1,150,0,True,2020-08-13 23:50:47+00:00,9,150,9,,,2020-08-13 23:51:30,2020
134,False,True,True,0,active,1,151,0,True,2020-08-13 23:29:04+00:00,17,151,1,,,2020-08-13 23:51:30,2020
135,True,True,True,0,active,0,152,0,True,2020-08-13 23:43:32+00:00,6,152,9,,,2020-08-13 23:51:30,2020
136,False,True,True,0,active,0,156,0,True,2020-08-13 23:16:33+00:00,7,156,8,,,2020-08-13 23:51:30,2020
137,False,True,True,0,active,1,157,0,True,2020-08-13 23:46:43+00:00,0,157,14,,,2020-08-13 23:51:30,2020
138,False,True,True,0,active,0,159,0,True,2020-08-13 23:31:48+00:00,10,159,5,,,2020-08-13 23:51:30,2020
139,True,True,True,0,active,0,160,0,True,2020-08-13 23:48:00+00:00,5,160,9,,,2020-08-13 23:51:30,2020
140,True,True,True,0,active,2,161,0,True,2020-08-13 23:50:44+00:00,14,161,7,,,2020-08-13 23:51:30,2020
141,False,True,True,0,active,0,162,0,True,2020-08-13 23:39:21+00:00,14,162,1,,,2020-08-13 23:51:30,2020
142,True,True,True,0,active,0,163,0,True,2020-08-13 23:39:42+00:00,8,163,11,,,2020-08-13 23:51:30,2020
143,False,True,True,0,active,0,167,0,True,2020-08-13 22:56:17+00:00,12,167,3,,,2020-08-13 23:51:30,2020
144,False,True,True,0,active,0,169,0,True,2020-08-13 23:18:30+00:00,13,169,6,,,2020-08-13 23:51:30,2020
145,True,True,True,0,active,0,170,0,True,2020-08-13 23:14:48+00:00,14,170,0,,,2020-08-13 23:51:30,2020
146,True,True,True,0,active,0,171,0,True,2020-08-13 23:47:49+00:00,11,171,12,,,2020-08-13 23:51:30,2020
147,True,True,True,0,active,0,173,0,True,2020-08-13 23:25:08+00:00,1,173,13,,,2020-08-13 23:51:30,2020
