,num_bikes_available,last_reported,is_renting,num_docks_available,legacy_id,num_docks_disabled,station_status,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,is_returning,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
75,1,2020-07-31 21:17:57+00:00,True,18,85,0,active,False,85,0,0,True,True,,,2020-07-31 21:19:50,2020
76,6,2020-07-31 21:15:07+00:00,True,13,86,0,active,False,86,0,0,True,True,,,2020-07-31 21:19:50,2020
77,7,2020-07-31 21:18:33+00:00,True,7,87,0,active,False,87,1,0,True,True,,,2020-07-31 21:19:50,2020
78,18,2020-07-31 21:16:27+00:00,True,1,89,0,active,False,89,0,0,True,True,,,2020-07-31 21:19:50,2020
79,3,2020-07-31 21:15:46+00:00,True,16,90,0,active,False,90,0,0,True,True,,,2020-07-31 21:19:50,2020
80,8,2020-07-31 21:18:23+00:00,True,10,91,0,active,False,91,1,0,True,True,,,2020-07-31 21:19:50,2020
81,12,2020-07-31 21:06:51+00:00,True,7,92,0,active,False,92,0,0,True,True,,,2020-07-31 21:19:50,2020
82,10,2020-07-31 21:08:56+00:00,True,2,93,0,active,False,93,3,0,True,True,,,2020-07-31 21:19:50,2020
83,4,2020-07-31 20:33:33+00:00,True,7,94,0,active,False,94,0,0,True,True,,,2020-07-31 21:19:50,2020
84,7,2020-07-31 21:12:56+00:00,True,8,95,0,active,False,95,0,0,True,True,,,2020-07-31 21:19:50,2020
85,3,2020-07-31 21:11:29+00:00,True,16,96,0,active,False,96,0,0,True,True,,,2020-07-31 21:19:50,2020
86,0,2020-07-31 21:16:39+00:00,True,19,97,0,active,False,97,0,0,True,True,,,2020-07-31 21:19:50,2020
87,4,2020-07-31 21:16:36+00:00,True,18,98,0,active,False,98,0,0,True,True,,,2020-07-31 21:19:50,2020
88,7,2020-07-31 20:24:24+00:00,True,8,99,0,active,False,99,0,0,True,True,,,2020-07-31 21:19:50,2020
89,11,2020-07-31 21:18:40+00:00,True,13,100,0,active,True,100,1,0,True,True,,,2020-07-31 21:19:50,2020
90,2,2020-07-31 20:37:43+00:00,True,13,101,0,active,False,101,0,0,True,True,,,2020-07-31 21:19:50,2020
91,0,2020-07-31 21:11:25+00:00,True,15,102,0,active,False,102,0,0,True,True,,,2020-07-31 21:19:50,2020
92,1,2020-07-31 21:11:33+00:00,True,13,103,0,active,False,103,1,0,True,True,,,2020-07-31 21:19:50,2020
93,12,2020-07-31 21:17:02+00:00,True,7,104,0,active,False,104,0,0,True,True,,,2020-07-31 21:19:50,2020
94,10,2020-07-31 21:17:57+00:00,True,9,105,0,active,False,105,0,0,True,True,,,2020-07-31 21:19:50,2020
95,5,2020-07-31 21:06:22+00:00,True,9,106,0,active,False,106,1,0,True,True,,,2020-07-31 21:19:50,2020
96,14,2020-07-31 21:18:02+00:00,True,5,107,0,active,False,107,0,0,True,True,,,2020-07-31 21:19:50,2020
97,15,2020-07-31 21:10:04+00:00,True,2,108,0,active,False,108,0,0,True,True,,,2020-07-31 21:19:50,2020
98,24,2020-07-31 21:15:26+00:00,True,9,109,0,active,False,109,2,0,True,True,,,2020-07-31 21:19:50,2020
99,9,2020-07-31 21:00:57+00:00,True,5,110,0,active,False,110,1,0,True,True,,,2020-07-31 21:19:50,2020
100,2,2020-07-31 21:12:34+00:00,True,13,111,0,active,False,111,0,0,True,True,,,2020-07-31 21:19:50,2020
101,4,2020-07-31 21:02:07+00:00,True,11,112,0,active,False,112,0,0,True,True,,,2020-07-31 21:19:50,2020
102,8,2020-07-31 21:18:22+00:00,True,7,113,0,active,False,113,0,0,True,True,,,2020-07-31 21:19:50,2020
103,3,2020-07-31 20:04:38+00:00,True,12,114,0,active,False,114,0,0,True,True,,,2020-07-31 21:19:50,2020
104,13,2020-07-31 21:15:18+00:00,True,5,115,0,active,False,115,1,0,True,True,,,2020-07-31 21:19:50,2020
105,7,2020-07-31 21:07:59+00:00,True,16,116,0,active,False,116,0,0,True,True,,,2020-07-31 21:19:50,2020
106,9,2020-07-31 21:09:29+00:00,True,9,117,0,active,False,117,1,0,True,True,,,2020-07-31 21:19:50,2020
107,7,2020-07-31 21:08:48+00:00,True,11,118,0,active,False,118,1,0,True,True,,,2020-07-31 21:19:50,2020
108,13,2020-07-31 21:09:22+00:00,True,1,119,0,active,False,119,1,0,True,True,,,2020-07-31 21:19:50,2020
109,9,2020-07-31 21:18:58+00:00,True,5,120,0,active,False,120,1,0,True,True,,,2020-07-31 21:19:50,2020
110,1,2020-07-31 21:13:15+00:00,True,16,121,0,active,False,121,0,0,True,True,,,2020-07-31 21:19:50,2020
111,12,2020-07-31 21:09:32+00:00,True,3,122,0,active,False,122,0,0,True,True,,,2020-07-31 21:19:50,2020
112,6,2020-07-31 18:32:13+00:00,True,9,124,0,active,False,124,0,0,True,True,,,2020-07-31 21:19:50,2020
113,3,2020-07-31 20:49:06+00:00,True,12,125,0,active,False,125,0,0,True,True,,,2020-07-31 21:19:50,2020
114,9,2020-07-31 20:08:45+00:00,True,6,126,0,active,False,126,0,0,True,True,,,2020-07-31 21:19:50,2020
115,16,2020-07-31 21:18:58+00:00,True,3,128,0,active,False,128,0,0,True,True,,,2020-07-31 21:19:50,2020
116,8,2020-07-31 21:19:00+00:00,True,11,129,0,active,False,129,0,0,True,True,,,2020-07-31 21:19:50,2020
117,14,2020-07-31 21:00:18+00:00,True,1,130,0,active,False,130,0,0,True,True,,,2020-07-31 21:19:50,2020
118,5,2020-07-31 21:02:10+00:00,True,10,131,0,active,False,131,3,0,True,True,,,2020-07-31 21:19:50,2020
119,13,2020-07-31 21:01:38+00:00,True,10,133,0,active,False,133,0,0,True,True,,,2020-07-31 21:19:50,2020
120,4,2020-07-31 20:40:38+00:00,True,13,135,0,active,False,135,0,0,True,True,,,2020-07-31 21:19:50,2020
121,15,2020-07-31 21:16:17+00:00,True,4,136,0,active,False,136,0,0,True,True,,,2020-07-31 21:19:50,2020
122,5,2020-07-31 19:48:44+00:00,True,10,137,0,active,False,137,0,0,True,True,,,2020-07-31 21:19:50,2020
123,11,2020-07-31 21:18:50+00:00,True,4,138,0,active,False,138,0,0,True,True,,,2020-07-31 21:19:50,2020
124,4,2020-07-31 21:11:36+00:00,True,15,139,0,active,False,139,0,0,True,True,,,2020-07-31 21:19:50,2020
125,7,2020-07-31 21:16:42+00:00,True,10,140,0,active,False,140,0,0,True,True,,,2020-07-31 21:19:50,2020
126,2,2020-07-31 21:11:00+00:00,True,13,141,0,active,False,141,0,0,True,True,,,2020-07-31 21:19:50,2020
127,17,2020-07-31 20:57:27+00:00,True,5,142,0,active,False,142,1,0,True,True,,,2020-07-31 21:19:50,2020
128,10,2020-07-31 20:50:45+00:00,True,10,143,0,active,False,143,3,0,True,True,,,2020-07-31 21:19:50,2020
129,7,2020-07-31 21:02:53+00:00,True,12,144,0,active,False,144,0,0,True,True,,,2020-07-31 21:19:50,2020
130,8,2020-07-31 20:20:56+00:00,True,11,145,0,active,False,145,0,0,True,True,,,2020-07-31 21:19:50,2020
131,19,2020-07-31 21:04:27+00:00,True,0,146,0,active,False,146,0,0,True,True,,,2020-07-31 21:19:50,2020
132,9,2020-07-31 21:19:14+00:00,True,9,149,0,active,True,149,0,0,True,True,,,2020-07-31 21:19:50,2020
133,15,2020-07-31 19:22:00+00:00,True,3,150,0,active,False,150,1,0,True,True,,,2020-07-31 21:19:50,2020
134,7,2020-07-31 21:10:43+00:00,True,10,151,0,active,False,151,2,0,True,True,,,2020-07-31 21:19:50,2020
135,7,2020-07-31 20:33:51+00:00,True,8,152,0,active,True,152,0,0,True,True,,,2020-07-31 21:19:50,2020
136,2,2020-07-31 20:22:26+00:00,True,13,156,0,active,False,156,0,0,True,True,,,2020-07-31 21:19:50,2020
137,10,2020-07-31 21:07:55+00:00,True,4,157,0,active,False,157,1,0,True,True,,,2020-07-31 21:19:50,2020
138,0,2020-07-31 20:13:55+00:00,True,14,159,0,active,False,159,1,0,True,True,,,2020-07-31 21:19:50,2020
139,8,2020-07-31 20:53:54+00:00,True,6,160,0,active,True,160,0,0,True,True,,,2020-07-31 21:19:50,2020
140,12,2020-07-31 21:11:26+00:00,True,11,161,0,active,True,161,0,0,True,True,,,2020-07-31 21:19:50,2020
141,5,2020-07-31 19:30:05+00:00,True,10,162,0,active,False,162,0,0,True,True,,,2020-07-31 21:19:50,2020
142,8,2020-07-31 21:13:10+00:00,True,11,163,0,active,True,163,0,0,True,True,,,2020-07-31 21:19:50,2020
143,14,2020-07-31 20:12:02+00:00,True,0,167,0,active,False,167,1,0,True,True,,,2020-07-31 21:19:50,2020
144,3,2020-07-31 20:34:30+00:00,True,16,169,0,active,False,169,0,0,True,True,,,2020-07-31 21:19:50,2020
145,2,2020-07-31 20:29:24+00:00,True,12,170,0,active,True,170,0,0,True,True,,,2020-07-31 21:19:50,2020
146,7,2020-07-31 20:17:15+00:00,True,15,171,0,active,True,171,1,0,True,True,,,2020-07-31 21:19:50,2020
147,5,2020-07-31 21:12:21+00:00,True,7,173,0,active,True,173,2,0,True,True,,,2020-07-31 21:19:50,2020
148,12,2020-07-31 17:21:46+00:00,True,3,174,0,active,False,174,0,0,True,True,,,2020-07-31 21:19:50,2020
149,4,2020-07-31 20:54:04+00:00,True,13,175,0,active,True,175,0,0,True,True,,,2020-07-31 21:19:50,2020
150,3,2020-07-31 21:04:22+00:00,True,12,176,0,active,False,176,0,0,True,True,,,2020-07-31 21:19:50,2020
