,legacy_id,last_reported,is_returning,num_ebikes_available,is_installed,num_docks_disabled,station_id,num_bikes_available,station_status,num_bikes_disabled,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
119,133,2020-08-20 18:16:31+00:00,True,0,True,0,133,13,active,1,True,False,9,,,2020-08-20 18:37:10,2020
120,135,2020-08-20 18:24:51+00:00,True,0,True,0,135,3,active,0,True,False,14,,,2020-08-20 18:37:10,2020
121,136,2020-08-20 17:47:41+00:00,True,0,True,0,136,3,active,0,True,False,16,,,2020-08-20 18:37:10,2020
122,137,2020-08-20 18:07:44+00:00,True,0,True,0,137,6,active,0,True,False,9,,,2020-08-20 18:37:10,2020
123,138,2020-08-20 18:36:46+00:00,True,0,True,0,138,12,active,0,True,False,3,,,2020-08-20 18:37:10,2020
124,139,2020-08-20 18:32:45+00:00,True,0,True,0,139,3,active,0,True,False,16,,,2020-08-20 18:37:10,2020
125,140,2020-08-20 17:29:26+00:00,True,0,True,0,140,10,active,0,True,False,7,,,2020-08-20 18:37:10,2020
126,141,2020-08-20 18:34:47+00:00,True,0,True,0,141,4,active,0,True,False,11,,,2020-08-20 18:37:10,2020
127,142,2020-08-20 18:26:03+00:00,True,0,True,0,142,16,active,0,True,False,7,,,2020-08-20 18:37:10,2020
128,143,2020-08-20 18:31:57+00:00,True,0,True,0,143,5,active,0,True,False,18,,,2020-08-20 18:37:10,2020
129,144,2020-08-20 18:36:36+00:00,True,0,True,0,144,16,active,0,True,False,3,,,2020-08-20 18:37:10,2020
130,145,2020-08-20 17:19:56+00:00,True,0,True,0,145,11,active,0,True,False,8,,,2020-08-20 18:37:10,2020
131,146,2020-08-20 18:28:53+00:00,True,0,True,0,146,14,active,0,True,False,5,,,2020-08-20 18:37:10,2020
132,149,2020-08-20 18:15:39+00:00,True,0,True,0,149,5,active,1,True,True,12,,,2020-08-20 18:37:10,2020
133,150,2020-08-20 18:32:57+00:00,True,0,True,0,150,11,active,0,True,False,8,,,2020-08-20 18:37:10,2020
134,151,2020-08-20 18:30:31+00:00,True,0,True,0,151,10,active,0,True,False,9,,,2020-08-20 18:37:10,2020
135,152,2020-08-20 16:57:09+00:00,True,0,True,0,152,8,active,0,True,True,7,,,2020-08-20 18:37:10,2020
136,156,2020-08-20 18:31:11+00:00,True,0,True,0,156,5,active,1,True,False,9,,,2020-08-20 18:37:10,2020
137,157,2020-08-20 18:24:47+00:00,True,0,True,0,157,4,active,1,True,False,10,,,2020-08-20 18:37:10,2020
138,159,2020-08-20 18:19:27+00:00,True,0,True,0,159,1,active,0,True,False,14,,,2020-08-20 18:37:10,2020
139,160,2020-08-20 18:11:44+00:00,True,0,True,0,160,0,active,0,True,True,14,,,2020-08-20 18:37:10,2020
140,161,2020-08-20 18:13:13+00:00,True,0,True,0,161,17,active,0,True,True,6,,,2020-08-20 18:37:10,2020
141,162,2020-08-20 13:50:21+00:00,True,0,True,0,162,7,active,0,True,False,8,,,2020-08-20 18:37:10,2020
142,163,2020-08-20 18:22:29+00:00,True,0,True,0,163,12,active,0,True,True,7,,,2020-08-20 18:37:10,2020
143,167,2020-08-20 18:17:58+00:00,True,0,True,0,167,8,active,0,True,False,7,,,2020-08-20 18:37:10,2020
144,169,2020-08-20 18:14:48+00:00,True,0,True,0,169,4,active,0,True,False,15,,,2020-08-20 18:37:10,2020
145,170,2020-08-20 16:11:01+00:00,True,0,True,0,170,8,active,0,True,True,6,,,2020-08-20 18:37:10,2020
146,171,2020-08-20 16:46:26+00:00,True,0,True,0,171,7,active,0,True,True,16,,,2020-08-20 18:37:10,2020
