,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,num_docks_available,is_installed,num_bikes_disabled,last_reported,num_ebikes_available,is_renting,is_returning,station_id,station_status,timestamp_of_data_read_request,year_station_last_reported
70,3,0,79,False,15,True,1,2020-08-12 21:15:40+00:00,0,True,True,79,active,2020-08-12 21:38:20,2020
71,22,0,80,False,13,True,0,2020-08-12 21:37:51+00:00,0,True,True,80,active,2020-08-12 21:38:20,2020
72,18,0,81,False,1,True,0,2020-08-12 21:36:10+00:00,0,True,True,81,active,2020-08-12 21:38:20,2020
73,3,0,82,False,12,True,0,2020-08-12 21:36:34+00:00,0,True,True,82,active,2020-08-12 21:38:20,2020
74,8,0,84,False,7,True,0,2020-08-12 21:31:45+00:00,0,True,True,84,active,2020-08-12 21:38:20,2020
75,3,0,85,False,15,True,1,2020-08-12 21:26:35+00:00,0,True,True,85,active,2020-08-12 21:38:20,2020
76,8,0,86,False,11,True,0,2020-08-12 21:26:13+00:00,0,True,True,86,active,2020-08-12 21:38:20,2020
77,10,0,87,False,5,True,0,2020-08-12 21:35:04+00:00,0,True,True,87,active,2020-08-12 21:38:20,2020
78,9,0,89,False,10,True,0,2020-08-12 21:23:58+00:00,0,True,True,89,active,2020-08-12 21:38:20,2020
79,16,0,90,False,2,True,1,2020-08-12 21:33:42+00:00,0,True,True,90,active,2020-08-12 21:38:20,2020
80,1,0,91,False,18,True,0,2020-08-12 21:33:28+00:00,0,True,True,91,active,2020-08-12 21:38:20,2020
81,8,0,92,False,10,True,1,2020-08-12 21:04:15+00:00,0,True,True,92,active,2020-08-12 21:38:20,2020
82,12,0,93,False,1,True,2,2020-08-12 20:56:06+00:00,0,True,True,93,active,2020-08-12 21:38:20,2020
83,3,0,94,False,8,True,0,2020-08-12 21:24:28+00:00,0,True,True,94,active,2020-08-12 21:38:20,2020
84,6,0,95,False,9,True,0,2020-08-12 21:28:45+00:00,0,True,True,95,active,2020-08-12 21:38:20,2020
85,8,0,96,False,11,True,0,2020-08-12 21:29:14+00:00,0,True,True,96,active,2020-08-12 21:38:20,2020
