,is_installed,eightd_has_available_keys,is_renting,station_status,legacy_id,is_returning,num_bikes_disabled,num_docks_available,num_docks_disabled,num_bikes_available,station_id,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
72,True,False,True,active,81,True,0,8,0,11,81,0,2020-07-31 02:35:23+00:00,,,2020-07-31 04:09:00,2020
73,True,False,True,active,82,True,0,10,0,5,82,0,2020-07-31 02:32:00+00:00,,,2020-07-31 04:09:00,2020
74,True,False,True,active,84,True,0,11,0,4,84,0,2020-07-31 04:04:51+00:00,,,2020-07-31 04:09:00,2020
75,True,False,True,active,85,True,0,19,0,0,85,0,2020-07-31 02:10:09+00:00,,,2020-07-31 04:09:00,2020
76,True,False,True,active,86,True,0,6,0,13,86,0,2020-07-31 03:57:09+00:00,,,2020-07-31 04:09:00,2020
77,True,False,True,active,87,True,1,1,0,13,87,0,2020-07-31 03:55:40+00:00,,,2020-07-31 04:09:00,2020
78,True,False,True,active,89,True,0,2,0,17,89,0,2020-07-31 03:39:31+00:00,,,2020-07-31 04:09:00,2020
79,True,False,True,active,90,True,0,10,0,9,90,0,2020-07-31 03:21:31+00:00,,,2020-07-31 04:09:00,2020
80,True,False,True,active,91,True,1,18,0,0,91,0,2020-07-31 03:04:51+00:00,,,2020-07-31 04:09:00,2020
81,True,False,True,active,92,True,1,8,0,10,92,0,2020-07-31 01:25:37+00:00,,,2020-07-31 04:09:00,2020
82,True,False,True,active,93,True,2,1,0,12,93,0,2020-07-31 03:26:15+00:00,,,2020-07-31 04:09:00,2020
83,True,False,True,active,94,True,0,6,0,5,94,0,2020-07-31 04:07:27+00:00,,,2020-07-31 04:09:00,2020
84,True,False,True,active,95,True,1,1,0,13,95,0,2020-07-31 03:12:31+00:00,,,2020-07-31 04:09:00,2020
85,True,False,True,active,96,True,0,5,0,14,96,0,2020-07-31 02:33:50+00:00,,,2020-07-31 04:09:00,2020
86,True,False,True,active,97,True,0,15,0,4,97,0,2020-07-31 03:58:50+00:00,,,2020-07-31 04:09:00,2020
87,True,False,True,active,98,True,0,16,0,6,98,0,2020-07-31 03:31:50+00:00,,,2020-07-31 04:09:00,2020
88,True,False,True,active,99,True,1,2,0,12,99,0,2020-07-31 03:40:17+00:00,,,2020-07-31 04:09:00,2020
89,True,True,True,active,100,True,3,9,0,13,100,0,2020-07-31 02:57:28+00:00,,,2020-07-31 04:09:00,2020
90,True,False,True,active,101,True,0,13,0,2,101,0,2020-07-31 02:58:00+00:00,,,2020-07-31 04:09:00,2020
91,True,False,True,active,102,True,1,9,0,5,102,0,2020-07-31 03:53:16+00:00,,,2020-07-31 04:09:00,2020
92,True,False,True,active,103,True,1,9,0,5,103,0,2020-07-31 02:48:14+00:00,,,2020-07-31 04:09:00,2020
93,True,False,True,active,104,True,0,1,0,18,104,0,2020-07-31 04:04:14+00:00,,,2020-07-31 04:09:00,2020
94,True,False,True,active,105,True,0,10,0,9,105,0,2020-07-31 03:59:29+00:00,,,2020-07-31 04:09:00,2020
95,True,False,True,active,106,True,0,8,0,7,106,0,2020-07-31 00:59:08+00:00,,,2020-07-31 04:09:00,2020
96,True,False,True,active,107,True,2,16,0,1,107,0,2020-07-31 03:58:49+00:00,,,2020-07-31 04:09:00,2020
97,True,False,True,active,108,True,0,5,0,12,108,0,2020-07-31 03:50:02+00:00,,,2020-07-31 04:09:00,2020
98,True,False,True,active,109,True,2,8,0,25,109,0,2020-07-31 00:13:00+00:00,,,2020-07-31 04:09:00,2020
99,True,False,True,active,110,True,1,6,0,8,110,0,2020-07-31 02:59:57+00:00,,,2020-07-31 04:09:00,2020
100,True,False,True,active,111,True,0,14,0,1,111,0,2020-07-30 23:44:11+00:00,,,2020-07-31 04:09:00,2020
101,True,False,True,active,112,True,0,10,0,5,112,0,2020-07-31 02:28:21+00:00,,,2020-07-31 04:09:00,2020
102,True,False,True,active,113,True,0,1,0,14,113,0,2020-07-31 02:40:36+00:00,,,2020-07-31 04:09:00,2020
103,True,False,True,active,114,True,0,10,0,5,114,0,2020-07-31 02:16:40+00:00,,,2020-07-31 04:09:00,2020
104,True,False,True,active,115,True,1,15,0,3,115,0,2020-07-31 02:52:53+00:00,,,2020-07-31 04:09:00,2020
105,True,False,True,active,116,True,0,2,0,21,116,0,2020-07-31 04:04:42+00:00,,,2020-07-31 04:09:00,2020
106,True,False,True,active,117,True,1,2,0,16,117,0,2020-07-31 03:46:25+00:00,,,2020-07-31 04:09:00,2020
107,True,False,True,active,118,True,1,12,0,6,118,0,2020-07-31 02:38:03+00:00,,,2020-07-31 04:09:00,2020
108,True,False,True,active,119,True,0,10,0,5,119,0,2020-07-31 04:06:46+00:00,,,2020-07-31 04:09:00,2020
109,True,False,True,active,120,True,1,11,0,3,120,0,2020-07-31 03:53:01+00:00,,,2020-07-31 04:09:00,2020
110,True,False,True,active,121,True,1,6,0,10,121,0,2020-07-31 03:36:51+00:00,,,2020-07-31 04:09:00,2020
111,True,False,True,active,122,True,1,5,0,9,122,0,2020-07-31 03:14:07+00:00,,,2020-07-31 04:09:00,2020
112,True,False,True,active,124,True,1,9,0,5,124,0,2020-07-30 23:51:10+00:00,,,2020-07-31 04:09:00,2020
113,True,False,True,active,125,True,0,10,0,5,125,0,2020-07-31 02:36:29+00:00,,,2020-07-31 04:09:00,2020
114,True,False,True,active,126,True,1,8,0,6,126,0,2020-07-31 01:03:19+00:00,,,2020-07-31 04:09:00,2020
115,True,False,True,active,128,True,0,4,0,15,128,0,2020-07-31 02:34:27+00:00,,,2020-07-31 04:09:00,2020
116,True,False,True,active,129,True,0,7,0,12,129,0,2020-07-31 00:28:33+00:00,,,2020-07-31 04:09:00,2020
117,True,False,True,active,130,True,0,2,0,13,130,0,2020-07-31 01:55:49+00:00,,,2020-07-31 04:09:00,2020
118,True,False,True,active,131,True,3,0,0,15,131,0,2020-07-31 00:57:27+00:00,,,2020-07-31 04:09:00,2020
119,True,False,True,active,133,True,0,6,0,17,133,0,2020-07-31 02:54:15+00:00,,,2020-07-31 04:09:00,2020
120,True,False,True,active,135,True,0,14,0,3,135,0,2020-07-31 01:15:03+00:00,,,2020-07-31 04:09:00,2020
121,True,False,True,active,136,True,0,7,0,12,136,0,2020-07-31 00:33:50+00:00,,,2020-07-31 04:09:00,2020
122,True,False,True,active,137,True,0,3,0,12,137,0,2020-07-31 03:30:45+00:00,,,2020-07-31 04:09:00,2020
123,True,False,True,active,138,True,0,7,0,8,138,0,2020-07-31 01:30:45+00:00,,,2020-07-31 04:09:00,2020
124,True,False,True,active,139,True,0,0,0,19,139,0,2020-07-31 04:01:15+00:00,,,2020-07-31 04:09:00,2020
125,True,False,True,active,140,True,0,10,0,7,140,0,2020-07-31 03:34:09+00:00,,,2020-07-31 04:09:00,2020
126,True,False,True,active,141,True,1,7,0,7,141,0,2020-07-31 03:54:28+00:00,,,2020-07-31 04:09:00,2020
127,True,False,True,active,142,True,1,5,0,17,142,0,2020-07-30 23:41:03+00:00,,,2020-07-31 04:09:00,2020
128,True,False,True,active,143,True,0,6,0,17,143,0,2020-07-31 04:06:04+00:00,,,2020-07-31 04:09:00,2020
129,True,False,True,active,144,True,0,14,0,5,144,0,2020-07-31 01:18:15+00:00,,,2020-07-31 04:09:00,2020
130,True,False,True,active,145,True,0,13,0,6,145,0,2020-07-31 03:40:34+00:00,,,2020-07-31 04:09:00,2020
131,True,False,True,active,146,True,0,1,0,18,146,0,2020-07-31 03:29:38+00:00,,,2020-07-31 04:09:00,2020
132,True,True,True,active,149,True,0,17,0,1,149,0,2020-07-31 04:02:43+00:00,,,2020-07-31 04:09:00,2020
133,True,False,True,active,150,True,1,5,0,13,150,0,2020-07-31 03:21:45+00:00,,,2020-07-31 04:09:00,2020
134,True,False,True,active,151,True,1,14,0,4,151,0,2020-07-31 02:51:13+00:00,,,2020-07-31 04:09:00,2020
135,True,True,True,active,152,True,0,5,0,10,152,0,2020-07-31 03:10:47+00:00,,,2020-07-31 04:09:00,2020
136,True,False,True,active,156,True,0,9,0,6,156,0,2020-07-31 01:59:03+00:00,,,2020-07-31 04:09:00,2020
137,True,False,True,active,157,True,1,13,0,1,157,0,2020-07-31 03:02:44+00:00,,,2020-07-31 04:09:00,2020
