,station_status,num_bikes_available,num_ebikes_available,is_returning,last_reported,num_bikes_disabled,station_id,legacy_id,num_docks_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
72,active,1,0,True,2020-08-19 04:20:42+00:00,1,81,81,17,0,True,True,False,2020-08-19 07:29:45,2020
73,active,7,0,True,2020-08-19 04:25:37+00:00,1,82,82,7,0,True,True,False,2020-08-19 07:29:45,2020
74,active,11,0,True,2020-08-19 04:19:24+00:00,1,84,84,3,0,True,True,False,2020-08-19 07:29:45,2020
75,active,0,0,True,2020-08-19 02:57:23+00:00,0,85,85,19,0,True,True,False,2020-08-19 07:29:45,2020
76,active,14,0,True,2020-08-19 04:38:21+00:00,0,86,86,5,0,True,True,False,2020-08-19 07:29:45,2020
77,active,11,0,True,2020-08-19 04:03:15+00:00,1,87,87,3,0,True,True,False,2020-08-19 07:29:45,2020
78,active,10,0,True,2020-08-19 05:17:21+00:00,0,89,89,9,0,True,True,False,2020-08-19 07:29:45,2020
79,active,12,0,True,2020-08-19 04:07:14+00:00,0,90,90,7,0,True,True,False,2020-08-19 07:29:45,2020
80,active,1,0,True,2020-08-19 05:05:11+00:00,1,91,91,17,0,True,True,False,2020-08-19 07:29:45,2020
81,active,18,0,True,2020-08-19 00:24:51+00:00,1,92,92,0,0,True,True,False,2020-08-19 07:29:45,2020
82,active,11,0,True,2020-08-19 01:20:38+00:00,2,93,93,2,0,True,True,False,2020-08-19 07:29:45,2020
83,active,0,0,True,2020-08-19 04:21:14+00:00,1,94,94,10,0,True,True,False,2020-08-19 07:29:45,2020
84,active,2,0,True,2020-08-19 05:32:09+00:00,4,95,95,9,0,True,True,False,2020-08-19 07:29:45,2020
85,active,8,0,True,2020-08-19 05:02:06+00:00,0,96,96,11,0,True,True,False,2020-08-19 07:29:45,2020
86,active,6,0,True,2020-08-19 06:23:28+00:00,2,97,97,11,0,True,True,False,2020-08-19 07:29:45,2020
87,active,3,0,True,2020-08-19 03:27:55+00:00,0,98,98,20,0,True,True,False,2020-08-19 07:29:45,2020
88,active,13,0,True,2020-08-19 03:07:42+00:00,2,99,99,0,0,True,True,False,2020-08-19 07:29:45,2020
89,active,10,0,True,2020-08-19 03:57:29+00:00,0,100,100,15,0,True,True,True,2020-08-19 07:29:45,2020
90,active,9,0,True,2020-08-19 01:22:29+00:00,0,101,101,6,0,True,True,False,2020-08-19 07:29:45,2020
91,active,7,0,True,2020-08-19 04:31:02+00:00,0,102,102,8,0,True,True,False,2020-08-19 07:29:45,2020
92,active,14,0,True,2020-08-19 05:15:17+00:00,0,103,103,1,0,True,True,False,2020-08-19 07:29:45,2020
93,active,4,0,True,2020-08-19 02:51:33+00:00,0,104,104,15,0,True,True,False,2020-08-19 07:29:45,2020
94,active,9,0,True,2020-08-19 04:38:06+00:00,0,105,105,10,0,True,True,False,2020-08-19 07:29:45,2020
95,active,9,0,True,2020-08-19 05:11:43+00:00,0,106,106,6,0,True,True,False,2020-08-19 07:29:45,2020
96,active,0,0,True,2020-08-19 05:37:40+00:00,1,107,107,18,0,True,True,False,2020-08-19 07:29:45,2020
97,active,2,0,True,2020-08-19 04:25:26+00:00,0,108,108,15,0,True,True,False,2020-08-19 07:29:45,2020
98,active,2,0,True,2020-08-18 22:32:39+00:00,2,109,109,31,0,True,True,False,2020-08-19 07:29:45,2020
99,active,2,0,True,2020-08-19 04:29:18+00:00,0,110,110,13,0,True,True,False,2020-08-19 07:29:45,2020
100,active,2,0,True,2020-08-18 22:49:12+00:00,0,111,111,13,0,True,True,False,2020-08-19 07:29:45,2020
101,active,7,0,True,2020-08-19 00:39:38+00:00,0,112,112,8,0,True,True,False,2020-08-19 07:29:45,2020
102,active,4,0,True,2020-08-19 04:52:33+00:00,1,113,113,10,0,True,True,False,2020-08-19 07:29:45,2020
103,active,4,0,True,2020-08-19 05:02:55+00:00,0,114,114,11,0,True,True,False,2020-08-19 07:29:45,2020
104,active,14,0,True,2020-08-19 06:24:41+00:00,0,115,115,5,0,True,True,False,2020-08-19 07:29:45,2020
105,active,13,0,True,2020-08-19 02:49:32+00:00,0,116,116,10,0,True,True,False,2020-08-19 07:29:45,2020
106,active,5,0,True,2020-08-19 02:33:46+00:00,1,117,117,13,0,True,True,False,2020-08-19 07:29:45,2020
107,active,18,0,True,2020-08-19 02:38:52+00:00,1,118,118,0,0,True,True,False,2020-08-19 07:29:45,2020
108,active,13,0,True,2020-08-19 02:47:01+00:00,2,119,119,0,0,True,True,False,2020-08-19 07:29:45,2020
109,active,15,0,True,2020-08-19 03:01:06+00:00,0,120,120,0,0,True,True,False,2020-08-19 07:29:45,2020
110,active,11,0,True,2020-08-19 05:04:17+00:00,3,121,121,3,0,True,True,False,2020-08-19 07:29:45,2020
111,active,3,0,True,2020-08-19 00:33:38+00:00,0,122,122,12,0,True,True,False,2020-08-19 07:29:45,2020
112,active,1,0,True,2020-08-18 21:10:49+00:00,0,124,124,14,0,True,True,False,2020-08-19 07:29:45,2020
113,active,6,0,True,2020-08-19 07:24:51+00:00,1,125,125,7,1,True,True,False,2020-08-19 07:29:45,2020
114,active,14,0,True,2020-08-19 06:30:19+00:00,1,126,126,0,0,True,True,False,2020-08-19 07:29:45,2020
115,active,15,0,True,2020-08-19 01:56:21+00:00,0,128,128,4,0,True,True,False,2020-08-19 07:29:45,2020
116,active,13,0,True,2020-08-19 03:51:59+00:00,0,129,129,6,0,True,True,False,2020-08-19 07:29:45,2020
117,active,14,0,True,2020-08-19 02:31:00+00:00,0,130,130,1,0,True,True,False,2020-08-19 07:29:45,2020
118,active,15,0,True,2020-08-19 02:55:20+00:00,0,131,131,3,0,True,True,False,2020-08-19 07:29:45,2020
119,active,19,0,True,2020-08-19 05:03:37+00:00,2,133,133,2,0,True,True,False,2020-08-19 07:29:45,2020
120,active,1,0,True,2020-08-19 01:34:13+00:00,0,135,135,16,0,True,True,False,2020-08-19 07:29:45,2020
121,active,0,0,True,2020-08-19 01:30:38+00:00,1,136,136,18,0,True,True,False,2020-08-19 07:29:45,2020
122,active,13,0,True,2020-08-19 05:22:50+00:00,0,137,137,2,0,True,True,False,2020-08-19 07:29:45,2020
123,active,11,0,True,2020-08-19 04:26:59+00:00,1,138,138,3,0,True,True,False,2020-08-19 07:29:45,2020
124,active,19,0,True,2020-08-19 04:17:35+00:00,0,139,139,0,0,True,True,False,2020-08-19 07:29:45,2020
125,active,12,0,True,2020-08-19 06:13:00+00:00,0,140,140,5,0,True,True,False,2020-08-19 07:29:45,2020
126,active,5,0,True,2020-08-19 05:54:51+00:00,0,141,141,10,0,True,True,False,2020-08-19 07:29:45,2020
127,active,19,0,True,2020-08-19 01:41:17+00:00,0,142,142,4,0,True,True,False,2020-08-19 07:29:45,2020
128,active,7,0,True,2020-08-19 05:49:31+00:00,1,143,143,15,0,True,True,False,2020-08-19 07:29:45,2020
129,active,19,0,True,2020-08-19 00:08:04+00:00,0,144,144,0,0,True,True,False,2020-08-19 07:29:45,2020
130,active,17,0,True,2020-08-19 04:38:20+00:00,0,145,145,2,0,True,True,False,2020-08-19 07:29:45,2020
