,eightd_has_available_keys,is_renting,station_status,num_docks_available,num_docks_disabled,is_installed,station_id,last_reported,num_ebikes_available,is_returning,legacy_id,num_bikes_disabled,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
19,False,True,active,21,0,True,23,2020-08-14 01:35:08+00:00,0,True,23,0,0,2020-08-14 01:43:50,2020
20,False,True,active,8,0,True,24,2020-08-14 01:26:55+00:00,0,True,24,0,11,2020-08-14 01:43:50,2020
21,False,True,active,0,0,True,25,2020-08-14 00:17:43+00:00,0,True,25,0,15,2020-08-14 01:43:50,2020
22,False,True,active,1,0,True,26,2020-08-14 01:41:41+00:00,0,True,26,1,13,2020-08-14 01:43:50,2020
23,False,True,active,6,0,True,27,2020-08-14 01:25:47+00:00,0,True,27,0,17,2020-08-14 01:43:50,2020
24,False,True,active,10,0,True,29,2020-08-13 22:23:51+00:00,0,True,29,0,5,2020-08-14 01:43:50,2020
25,False,True,active,10,0,True,30,2020-08-14 01:32:58+00:00,0,True,30,1,4,2020-08-14 01:43:50,2020
26,True,True,active,11,0,True,31,2020-08-14 01:28:02+00:00,0,True,31,0,8,2020-08-14 01:43:50,2020
27,False,True,active,2,0,True,32,2020-08-14 01:42:50+00:00,0,True,32,0,13,2020-08-14 01:43:50,2020
28,False,True,active,16,0,True,33,2020-08-14 01:28:29+00:00,0,True,33,0,11,2020-08-14 01:43:50,2020
29,False,True,active,17,0,True,35,2020-08-14 00:38:22+00:00,0,True,35,0,6,2020-08-14 01:43:50,2020
30,True,True,active,33,0,True,36,2020-08-14 00:26:02+00:00,0,True,36,0,0,2020-08-14 01:43:50,2020
31,True,True,active,13,0,True,37,2020-08-13 21:53:32+00:00,0,True,37,0,2,2020-08-14 01:43:50,2020
32,False,True,active,11,0,True,39,2020-08-14 01:30:31+00:00,0,True,39,0,12,2020-08-14 01:43:50,2020
33,False,True,active,10,0,True,40,2020-08-14 01:29:42+00:00,0,True,40,0,9,2020-08-14 01:43:50,2020
34,True,True,active,3,0,True,41,2020-08-14 01:28:54+00:00,0,True,41,0,24,2020-08-14 01:43:50,2020
35,False,True,active,10,0,True,42,2020-08-14 01:43:42+00:00,0,True,42,2,11,2020-08-14 01:43:50,2020
36,True,True,active,11,0,True,43,2020-08-14 01:15:39+00:00,0,True,43,1,3,2020-08-14 01:43:50,2020
37,False,True,active,22,0,True,44,2020-08-14 00:12:55+00:00,0,True,44,0,1,2020-08-14 01:43:50,2020
38,False,True,active,13,0,True,46,2020-08-14 01:39:07+00:00,0,True,46,0,6,2020-08-14 01:43:50,2020
39,True,True,active,3,0,True,47,2020-08-14 01:43:31+00:00,0,True,47,3,13,2020-08-14 01:43:50,2020
40,False,True,active,14,0,True,48,2020-08-14 00:52:15+00:00,0,True,48,0,5,2020-08-14 01:43:50,2020
41,False,True,active,12,0,True,49,2020-08-14 01:22:36+00:00,0,True,49,0,6,2020-08-14 01:43:50,2020
42,True,True,active,15,0,True,50,2020-08-13 22:28:12+00:00,0,True,50,0,0,2020-08-14 01:43:50,2020
43,False,True,active,8,0,True,51,2020-08-14 00:59:25+00:00,0,True,51,0,7,2020-08-14 01:43:50,2020
44,True,True,active,12,0,True,52,2020-08-14 01:43:23+00:00,0,True,52,3,8,2020-08-14 01:43:50,2020
45,False,True,active,3,0,True,53,2020-08-14 01:39:27+00:00,0,True,53,1,15,2020-08-14 01:43:50,2020
46,False,True,active,1,0,True,54,2020-08-14 00:58:52+00:00,0,True,54,0,14,2020-08-14 01:43:50,2020
47,False,True,active,11,0,True,55,2020-08-14 01:33:02+00:00,0,True,55,1,3,2020-08-14 01:43:50,2020
48,True,True,active,10,0,True,56,2020-08-14 01:11:12+00:00,0,True,56,1,7,2020-08-14 01:43:50,2020
