,is_returning,is_installed,num_docks_available,is_renting,last_reported,num_bikes_disabled,num_bikes_available,legacy_id,station_id,num_docks_disabled,station_status,eightd_has_available_keys,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
176,True,True,9,True,2020-08-04 08:21:44+00:00,0,6,203,203,0,active,False,0,2020-08-04 23:50:30,2020
177,True,True,12,True,2020-08-04 22:48:50+00:00,1,2,204,204,0,active,False,0,2020-08-04 23:50:30,2020
178,True,True,7,True,2020-08-04 19:24:51+00:00,0,8,205,205,0,active,False,0,2020-08-04 23:50:30,2020
179,True,True,13,True,2020-08-04 23:39:46+00:00,0,10,206,206,0,active,False,0,2020-08-04 23:50:30,2020
180,True,True,5,True,2020-08-04 23:13:42+00:00,0,10,208,208,0,active,True,0,2020-08-04 23:50:30,2020
181,True,True,7,True,2020-08-04 23:49:19+00:00,0,8,209,209,0,active,False,0,2020-08-04 23:50:30,2020
182,True,True,13,True,2020-08-04 18:57:17+00:00,1,1,210,210,0,active,False,0,2020-08-04 23:50:30,2020
183,True,True,2,True,2020-08-04 22:50:48+00:00,0,17,211,211,0,active,False,0,2020-08-04 23:50:30,2020
184,True,True,13,True,2020-08-04 23:47:58+00:00,0,20,212,212,0,active,False,0,2020-08-04 23:50:30,2020
185,True,True,12,True,2020-08-04 21:42:45+00:00,0,4,213,213,0,active,True,0,2020-08-04 23:50:30,2020
186,True,True,9,True,2020-08-04 23:30:07+00:00,0,6,214,214,0,active,False,0,2020-08-04 23:50:30,2020
187,True,True,0,True,2020-08-04 19:07:32+00:00,0,15,215,215,0,active,False,0,2020-08-04 23:50:30,2020
188,True,True,7,True,2020-08-04 18:10:19+00:00,0,12,216,216,0,active,False,0,2020-08-04 23:50:30,2020
189,True,True,3,True,2020-08-04 23:38:59+00:00,1,15,217,217,0,active,False,0,2020-08-04 23:50:30,2020
190,True,True,9,True,2020-08-04 23:11:39+00:00,1,5,218,218,0,active,False,0,2020-08-04 23:50:30,2020
191,True,True,6,True,2020-08-04 20:19:56+00:00,0,9,219,219,0,active,False,0,2020-08-04 23:50:30,2020
192,True,True,14,True,2020-08-04 23:18:18+00:00,0,5,221,221,0,active,False,0,2020-08-04 23:50:30,2020
193,True,True,5,True,2020-08-04 23:12:55+00:00,0,9,222,222,0,active,True,0,2020-08-04 23:50:30,2020
194,True,True,11,True,2020-08-04 20:31:14+00:00,0,6,224,224,0,active,False,0,2020-08-04 23:50:30,2020
195,True,True,16,True,2020-08-04 23:49:34+00:00,0,3,225,225,0,active,False,0,2020-08-04 23:50:30,2020
196,True,True,5,True,2020-08-04 23:30:02+00:00,1,9,226,226,0,active,False,0,2020-08-04 23:50:30,2020
197,True,True,13,True,2020-08-04 23:41:20+00:00,0,6,227,227,0,active,False,0,2020-08-04 23:50:30,2020
198,True,True,6,True,2020-08-04 23:48:28+00:00,1,12,228,228,0,active,False,0,2020-08-04 23:50:30,2020
199,True,True,9,True,2020-08-04 18:35:54+00:00,0,2,232,232,0,active,False,0,2020-08-04 23:50:30,2020
200,True,True,13,True,2020-08-04 23:39:03+00:00,0,2,233,233,0,active,False,0,2020-08-04 23:50:30,2020
