,is_renting,last_reported,num_docks_available,num_bikes_disabled,is_returning,is_installed,legacy_id,station_status,station_id,num_ebikes_available,eightd_has_available_keys,num_bikes_available,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
65,True,2020-08-18 20:10:21+00:00,6,1,True,True,74,active,74,0,True,12,0,,,2020-08-18 20:15:50,2020
66,True,2020-08-18 20:15:03+00:00,10,0,True,True,75,active,75,0,False,5,0,,,2020-08-18 20:15:50,2020
67,True,2020-08-18 19:39:00+00:00,12,0,True,True,76,active,76,0,False,5,0,,,2020-08-18 20:15:50,2020
68,True,2020-08-18 19:15:18+00:00,11,0,True,True,77,active,77,0,False,4,0,,,2020-08-18 20:15:50,2020
69,True,2020-08-18 20:15:23+00:00,6,1,True,True,78,active,78,0,False,12,0,,,2020-08-18 20:15:50,2020
70,True,2020-08-18 19:49:49+00:00,12,0,True,True,79,active,79,0,False,7,0,,,2020-08-18 20:15:50,2020
71,True,2020-08-18 20:05:22+00:00,4,0,True,True,80,active,80,0,False,31,0,,,2020-08-18 20:15:50,2020
72,True,2020-08-18 20:14:37+00:00,5,0,True,True,81,active,81,0,False,14,0,,,2020-08-18 20:15:50,2020
73,True,2020-08-18 20:08:34+00:00,11,1,True,True,82,active,82,0,False,3,0,,,2020-08-18 20:15:50,2020
74,True,2020-08-18 20:10:02+00:00,4,0,True,True,84,active,84,0,False,11,0,,,2020-08-18 20:15:50,2020
75,True,2020-08-18 20:14:05+00:00,9,0,True,True,85,active,85,0,False,10,0,,,2020-08-18 20:15:50,2020
76,True,2020-08-18 19:12:51+00:00,19,0,True,True,86,active,86,0,False,0,0,,,2020-08-18 20:15:50,2020
77,True,2020-08-18 20:09:50+00:00,7,0,True,True,87,active,87,0,False,8,0,,,2020-08-18 20:15:50,2020
78,True,2020-08-18 19:41:05+00:00,11,0,True,True,89,active,89,0,False,8,0,,,2020-08-18 20:15:50,2020
79,True,2020-08-18 20:03:46+00:00,14,0,True,True,90,active,90,0,False,5,0,,,2020-08-18 20:15:50,2020
80,True,2020-08-18 20:04:34+00:00,6,1,True,True,91,active,91,0,False,12,0,,,2020-08-18 20:15:50,2020
81,True,2020-08-18 16:50:17+00:00,2,1,True,True,92,active,92,0,False,16,0,,,2020-08-18 20:15:50,2020
82,True,2020-08-18 20:06:36+00:00,2,2,True,True,93,active,93,0,False,11,0,,,2020-08-18 20:15:50,2020
83,True,2020-08-18 19:52:22+00:00,7,0,True,True,94,active,94,0,False,4,0,,,2020-08-18 20:15:50,2020
84,True,2020-08-18 20:00:10+00:00,4,2,True,True,95,active,95,0,False,9,0,,,2020-08-18 20:15:50,2020
85,True,2020-08-18 19:46:11+00:00,7,0,True,True,96,active,96,0,False,12,0,,,2020-08-18 20:15:50,2020
86,True,2020-08-18 20:15:10+00:00,17,1,True,True,97,active,97,0,False,1,0,,,2020-08-18 20:15:50,2020
87,True,2020-08-18 19:54:44+00:00,13,0,True,True,98,active,98,0,False,10,0,,,2020-08-18 20:15:50,2020
88,True,2020-08-18 20:04:14+00:00,2,1,True,True,99,active,99,0,False,12,0,,,2020-08-18 20:15:50,2020
89,True,2020-08-18 20:13:23+00:00,13,0,True,True,100,active,100,0,True,12,0,,,2020-08-18 20:15:50,2020
90,True,2020-08-18 19:26:55+00:00,9,0,True,True,101,active,101,0,False,6,0,,,2020-08-18 20:15:50,2020
91,True,2020-08-18 17:54:44+00:00,12,0,True,True,102,active,102,0,False,3,0,,,2020-08-18 20:15:50,2020
92,True,2020-08-18 20:11:23+00:00,10,0,True,True,103,active,103,0,False,5,0,,,2020-08-18 20:15:50,2020
93,True,2020-08-18 19:52:08+00:00,17,0,True,True,104,active,104,0,False,2,0,,,2020-08-18 20:15:50,2020
94,True,2020-08-18 20:10:19+00:00,14,0,True,True,105,active,105,0,False,5,0,,,2020-08-18 20:15:50,2020
95,True,2020-08-18 20:10:51+00:00,8,0,True,True,106,active,106,0,False,7,0,,,2020-08-18 20:15:50,2020
