,num_docks_disabled,last_reported,is_returning,num_ebikes_available,eightd_has_available_keys,num_docks_available,station_id,is_renting,is_installed,station_status,num_bikes_available,num_bikes_disabled,legacy_id,timestamp_of_data_read_request,year_station_last_reported
68,0,2020-08-05 00:40:13+00:00,True,0,False,6,77,True,True,active,9,0,77,2020-08-05 02:13:35,2020
69,0,2020-08-05 00:48:18+00:00,True,0,False,4,78,True,True,active,15,0,78,2020-08-05 02:13:35,2020
70,0,2020-08-05 01:57:08+00:00,True,0,False,6,79,True,True,active,13,0,79,2020-08-05 02:13:35,2020
71,0,2020-08-05 01:38:15+00:00,True,0,False,35,80,True,True,active,0,0,80,2020-08-05 02:13:35,2020
72,0,2020-08-05 01:53:20+00:00,True,0,False,4,81,True,True,active,14,1,81,2020-08-05 02:13:35,2020
73,0,2020-08-05 01:48:06+00:00,True,0,False,4,82,True,True,active,10,1,82,2020-08-05 02:13:35,2020
74,0,2020-08-05 02:09:21+00:00,True,0,False,7,84,True,True,active,8,0,84,2020-08-05 02:13:35,2020
75,0,2020-08-05 01:01:59+00:00,True,0,False,15,85,True,True,active,4,0,85,2020-08-05 02:13:35,2020
76,0,2020-08-05 02:05:29+00:00,True,0,False,15,86,True,True,active,4,0,86,2020-08-05 02:13:35,2020
77,0,2020-08-05 02:05:49+00:00,True,0,False,7,87,True,True,active,8,0,87,2020-08-05 02:13:35,2020
78,0,2020-08-05 02:03:40+00:00,True,0,False,2,89,True,True,active,17,0,89,2020-08-05 02:13:35,2020
79,0,2020-08-05 01:44:08+00:00,True,0,False,1,90,True,True,active,17,1,90,2020-08-05 02:13:35,2020
80,0,2020-08-05 01:30:02+00:00,True,0,False,13,91,True,True,active,6,0,91,2020-08-05 02:13:35,2020
81,0,2020-08-04 17:12:55+00:00,True,0,False,4,92,True,True,active,15,0,92,2020-08-05 02:13:35,2020
82,0,2020-08-04 21:18:51+00:00,True,0,False,3,93,True,True,active,11,1,93,2020-08-05 02:13:35,2020
83,0,2020-08-05 00:52:43+00:00,True,0,False,6,94,True,True,active,5,0,94,2020-08-05 02:13:35,2020
84,0,2020-08-05 01:50:47+00:00,True,0,False,2,95,True,True,active,13,0,95,2020-08-05 02:13:35,2020
85,0,2020-08-05 01:35:47+00:00,True,0,False,1,96,True,True,active,18,0,96,2020-08-05 02:13:35,2020
86,0,2020-08-05 01:38:46+00:00,True,0,False,8,97,True,True,active,11,0,97,2020-08-05 02:13:35,2020
87,0,2020-08-04 23:24:11+00:00,True,0,False,8,98,True,True,active,15,0,98,2020-08-05 02:13:35,2020
88,0,2020-08-05 02:04:48+00:00,True,0,False,8,99,True,True,active,7,0,99,2020-08-05 02:13:35,2020
89,0,2020-08-05 02:08:35+00:00,True,0,True,7,100,True,True,active,17,1,100,2020-08-05 02:13:35,2020
90,0,2020-08-05 00:32:54+00:00,True,0,False,0,101,True,True,active,15,0,101,2020-08-05 02:13:35,2020
91,0,2020-08-05 01:30:18+00:00,True,0,False,1,102,True,True,active,13,1,102,2020-08-05 02:13:35,2020
92,0,2020-08-05 01:51:50+00:00,True,0,False,4,103,True,True,active,10,1,103,2020-08-05 02:13:35,2020
93,0,2020-08-05 01:13:28+00:00,True,0,False,13,104,True,True,active,6,0,104,2020-08-05 02:13:35,2020
94,0,2020-08-05 01:50:56+00:00,True,0,False,12,105,True,True,active,6,1,105,2020-08-05 02:13:35,2020
95,0,2020-08-05 01:59:22+00:00,True,0,False,11,106,True,True,active,4,0,106,2020-08-05 02:13:35,2020
96,0,2020-08-05 01:10:45+00:00,True,0,False,19,107,True,True,active,0,0,107,2020-08-05 02:13:35,2020
97,0,2020-08-05 01:09:33+00:00,True,0,False,10,108,True,True,active,6,1,108,2020-08-05 02:13:35,2020
98,0,2020-08-04 22:40:08+00:00,True,0,False,23,109,True,True,active,10,2,109,2020-08-05 02:13:35,2020
99,0,2020-08-05 01:59:47+00:00,True,0,False,8,110,True,True,active,7,0,110,2020-08-05 02:13:35,2020
100,0,2020-08-05 00:08:46+00:00,True,0,False,12,111,True,True,active,3,0,111,2020-08-05 02:13:35,2020
101,0,2020-08-05 00:45:28+00:00,True,0,False,6,112,True,True,active,9,0,112,2020-08-05 02:13:35,2020
102,0,2020-08-04 23:32:16+00:00,True,0,False,0,113,True,True,active,14,1,113,2020-08-05 02:13:35,2020
103,0,2020-08-04 23:53:08+00:00,True,0,False,4,114,True,True,active,11,0,114,2020-08-05 02:13:35,2020
104,0,2020-08-05 01:15:54+00:00,True,0,False,2,115,True,True,active,17,0,115,2020-08-05 02:13:35,2020
105,0,2020-08-05 00:50:26+00:00,True,0,False,1,116,True,True,active,22,0,116,2020-08-05 02:13:35,2020
106,0,2020-08-05 00:21:03+00:00,True,0,False,11,117,True,True,active,8,0,117,2020-08-05 02:13:35,2020
107,0,2020-08-05 02:11:06+00:00,True,0,False,4,118,True,True,active,15,0,118,2020-08-05 02:13:35,2020
108,0,2020-08-05 01:18:00+00:00,True,0,False,11,119,True,True,active,4,0,119,2020-08-05 02:13:35,2020
109,0,2020-08-05 01:16:52+00:00,True,0,False,9,120,True,True,active,6,0,120,2020-08-05 02:13:35,2020
110,0,2020-08-05 01:40:21+00:00,True,0,False,12,121,True,True,active,5,0,121,2020-08-05 02:13:35,2020
111,0,2020-08-04 23:09:57+00:00,True,0,False,13,122,True,True,active,2,0,122,2020-08-05 02:13:35,2020
112,0,2020-08-04 21:00:19+00:00,True,0,False,14,124,True,True,active,1,0,124,2020-08-05 02:13:35,2020
113,0,2020-08-05 01:50:42+00:00,True,0,False,12,125,True,True,active,3,0,125,2020-08-05 02:13:35,2020
114,0,2020-08-05 01:55:47+00:00,True,0,False,14,126,True,True,active,0,1,126,2020-08-05 02:13:35,2020
115,0,2020-08-05 01:20:29+00:00,True,0,False,3,128,True,True,active,16,0,128,2020-08-05 02:13:35,2020
