,station_id,is_renting,is_returning,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,num_docks_available,last_reported,legacy_id,num_docks_disabled,station_status,is_installed,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
88,99,True,True,False,0,0,3,2020-08-21 22:45:31+00:00,99,0,active,True,12,2020-08-21 23:20:50,2020
89,100,True,True,True,0,1,11,2020-08-21 23:19:32+00:00,100,0,active,True,13,2020-08-21 23:20:50,2020
90,101,True,True,False,0,0,12,2020-08-21 22:15:21+00:00,101,0,active,True,3,2020-08-21 23:20:50,2020
91,102,True,True,False,0,0,11,2020-08-21 23:12:37+00:00,102,0,active,True,4,2020-08-21 23:20:50,2020
92,103,True,True,False,0,0,8,2020-08-21 23:10:15+00:00,103,0,active,True,7,2020-08-21 23:20:50,2020
93,104,True,True,False,0,0,11,2020-08-21 22:53:45+00:00,104,0,active,True,8,2020-08-21 23:20:50,2020
94,105,True,True,False,0,0,8,2020-08-21 23:19:50+00:00,105,0,active,True,11,2020-08-21 23:20:50,2020
95,106,True,True,False,0,0,13,2020-08-21 22:15:43+00:00,106,0,active,True,2,2020-08-21 23:20:50,2020
96,107,True,True,False,0,0,19,2020-08-21 23:01:20+00:00,107,0,active,True,0,2020-08-21 23:20:50,2020
97,108,True,True,False,0,1,16,2020-08-21 23:11:29+00:00,108,0,active,True,0,2020-08-21 23:20:50,2020
98,109,True,True,False,0,0,33,2020-08-21 22:41:16+00:00,109,0,active,True,2,2020-08-21 23:20:50,2020
99,110,True,True,False,0,0,14,2020-08-21 23:02:33+00:00,110,0,active,True,1,2020-08-21 23:20:50,2020
100,111,True,True,False,0,0,8,2020-08-21 23:08:55+00:00,111,0,active,True,7,2020-08-21 23:20:50,2020
101,112,True,True,False,0,0,8,2020-08-21 22:18:16+00:00,112,0,active,True,7,2020-08-21 23:20:50,2020
102,113,True,True,False,0,0,11,2020-08-21 23:02:34+00:00,113,0,active,True,4,2020-08-21 23:20:50,2020
103,114,True,True,False,0,0,8,2020-08-21 23:09:24+00:00,114,0,active,True,7,2020-08-21 23:20:50,2020
104,115,True,True,False,0,1,8,2020-08-21 23:15:27+00:00,115,0,active,True,10,2020-08-21 23:20:50,2020
105,116,True,True,False,0,0,13,2020-08-21 22:58:05+00:00,116,0,active,True,10,2020-08-21 23:20:50,2020
106,117,True,True,False,0,0,9,2020-08-21 21:58:21+00:00,117,0,active,True,10,2020-08-21 23:20:50,2020
107,118,True,True,False,0,1,7,2020-08-21 23:11:22+00:00,118,0,active,True,11,2020-08-21 23:20:50,2020
108,119,True,True,False,0,0,14,2020-08-21 23:18:11+00:00,119,0,active,True,1,2020-08-21 23:20:50,2020
109,120,True,True,False,0,2,0,2020-08-21 23:11:09+00:00,120,0,active,True,13,2020-08-21 23:20:50,2020
110,121,True,True,False,0,0,12,2020-08-21 22:45:24+00:00,121,0,active,True,5,2020-08-21 23:20:50,2020
111,122,True,True,False,0,0,9,2020-08-21 23:12:01+00:00,122,0,active,True,6,2020-08-21 23:20:50,2020
112,124,True,True,False,0,0,10,2020-08-21 21:50:12+00:00,124,0,active,True,5,2020-08-21 23:20:50,2020
113,125,True,True,False,0,2,2,2020-08-21 23:01:40+00:00,125,0,active,True,11,2020-08-21 23:20:50,2020
114,126,True,True,False,0,1,4,2020-08-21 19:54:04+00:00,126,0,active,True,10,2020-08-21 23:20:50,2020
115,128,True,True,False,0,0,17,2020-08-21 23:08:05+00:00,128,0,active,True,2,2020-08-21 23:20:50,2020
116,129,True,True,False,0,0,11,2020-08-21 21:57:19+00:00,129,0,active,True,8,2020-08-21 23:20:50,2020
117,130,True,True,False,0,0,7,2020-08-21 21:49:07+00:00,130,0,active,True,8,2020-08-21 23:20:50,2020
118,131,True,True,False,0,0,11,2020-08-21 23:11:12+00:00,131,0,active,True,7,2020-08-21 23:20:50,2020
119,133,True,True,False,0,1,15,2020-08-21 22:29:47+00:00,133,0,active,True,7,2020-08-21 23:20:50,2020
120,135,True,True,False,0,0,17,2020-08-21 22:43:50+00:00,135,0,active,True,0,2020-08-21 23:20:50,2020
121,136,True,True,False,0,0,19,2020-08-21 22:23:29+00:00,136,0,active,True,0,2020-08-21 23:20:50,2020
122,137,True,True,False,0,0,10,2020-08-21 23:02:12+00:00,137,0,active,True,5,2020-08-21 23:20:50,2020
123,138,True,True,False,0,1,9,2020-08-21 22:35:28+00:00,138,0,active,True,5,2020-08-21 23:20:50,2020
124,139,True,True,False,0,0,15,2020-08-21 23:17:48+00:00,139,0,active,True,4,2020-08-21 23:20:50,2020
125,140,True,True,False,0,0,0,2020-08-21 22:11:58+00:00,140,0,active,True,17,2020-08-21 23:20:50,2020
126,141,True,True,False,0,0,15,2020-08-21 23:01:21+00:00,141,0,active,True,0,2020-08-21 23:20:50,2020
127,142,True,True,False,0,0,5,2020-08-21 22:53:17+00:00,142,0,active,True,18,2020-08-21 23:20:50,2020
128,143,True,True,False,0,0,10,2020-08-21 23:20:24+00:00,143,0,active,True,13,2020-08-21 23:20:50,2020
129,144,True,True,False,0,0,5,2020-08-21 23:05:51+00:00,144,0,active,True,14,2020-08-21 23:20:50,2020
130,145,True,True,False,0,0,1,2020-08-21 23:04:31+00:00,145,0,active,True,18,2020-08-21 23:20:50,2020
131,146,True,True,False,0,1,8,2020-08-21 23:01:59+00:00,146,0,active,True,10,2020-08-21 23:20:50,2020
132,149,True,True,True,0,0,8,2020-08-21 23:16:49+00:00,149,0,active,True,10,2020-08-21 23:20:50,2020
133,150,True,True,False,0,1,7,2020-08-21 23:19:07+00:00,150,0,active,True,11,2020-08-21 23:20:50,2020
134,151,True,True,False,0,0,12,2020-08-21 23:19:32+00:00,151,0,active,True,7,2020-08-21 23:20:50,2020
135,152,True,True,True,0,0,8,2020-08-21 23:20:37+00:00,152,0,active,True,7,2020-08-21 23:20:50,2020
136,156,True,True,False,0,0,10,2020-08-21 22:21:43+00:00,156,0,active,True,5,2020-08-21 23:20:50,2020
137,157,True,True,False,0,0,1,2020-08-21 23:16:55+00:00,157,0,active,True,14,2020-08-21 23:20:50,2020
138,159,True,True,False,0,1,11,2020-08-21 22:50:21+00:00,159,0,active,True,3,2020-08-21 23:20:50,2020
139,160,True,True,True,0,0,6,2020-08-21 23:12:40+00:00,160,0,active,True,8,2020-08-21 23:20:50,2020
140,161,True,True,True,0,0,9,2020-08-21 23:07:07+00:00,161,0,active,True,14,2020-08-21 23:20:50,2020
141,162,True,True,False,0,0,10,2020-08-21 20:15:52+00:00,162,0,active,True,5,2020-08-21 23:20:50,2020
142,163,True,True,True,0,1,9,2020-08-21 23:03:58+00:00,163,0,active,True,9,2020-08-21 23:20:50,2020
143,167,True,True,False,0,0,1,2020-08-21 23:10:22+00:00,167,0,active,True,14,2020-08-21 23:20:50,2020
144,169,True,True,False,0,0,16,2020-08-21 23:05:14+00:00,169,0,active,True,3,2020-08-21 23:20:50,2020
145,170,True,True,True,0,0,8,2020-08-21 23:05:17+00:00,170,0,active,True,6,2020-08-21 23:20:50,2020
146,171,True,True,True,0,0,12,2020-08-21 23:01:42+00:00,171,0,active,True,11,2020-08-21 23:20:50,2020
147,173,True,True,True,0,1,2,2020-08-21 22:55:57+00:00,173,0,active,True,11,2020-08-21 23:20:50,2020
148,174,True,True,False,0,0,9,2020-08-21 22:54:34+00:00,174,0,active,True,6,2020-08-21 23:20:50,2020
149,175,True,True,True,0,0,10,2020-08-21 23:07:53+00:00,175,0,active,True,7,2020-08-21 23:20:50,2020
150,176,True,True,False,0,2,7,2020-08-21 23:09:26+00:00,176,0,active,True,6,2020-08-21 23:20:50,2020
151,177,True,True,False,0,0,12,2020-08-21 23:18:48+00:00,177,0,active,True,7,2020-08-21 23:20:50,2020
152,178,True,True,False,0,0,10,2020-08-21 23:19:23+00:00,178,0,active,True,9,2020-08-21 23:20:50,2020
