,legacy_id,station_id,num_bikes_disabled,is_installed,station_status,eightd_has_available_keys,is_returning,num_bikes_available,num_ebikes_available,is_renting,last_reported,num_docks_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
184,212,212,1,True,active,False,True,27,0,True,2020-08-10 22:13:09+00:00,5,0,,,2020-08-10 22:48:25,2020
185,213,213,0,True,active,True,True,4,0,True,2020-08-10 19:26:49+00:00,12,0,,,2020-08-10 22:48:25,2020
186,214,214,0,True,active,False,True,4,0,True,2020-08-10 22:47:16+00:00,11,0,,,2020-08-10 22:48:25,2020
187,215,215,0,True,active,False,True,8,0,True,2020-08-10 08:51:06+00:00,7,0,,,2020-08-10 22:48:25,2020
188,216,216,1,True,active,False,True,17,0,True,2020-08-10 22:33:08+00:00,1,0,,,2020-08-10 22:48:25,2020
189,217,217,0,True,active,False,True,7,0,True,2020-08-10 22:45:29+00:00,12,0,,,2020-08-10 22:48:25,2020
190,218,218,1,True,active,False,True,7,0,True,2020-08-10 22:46:19+00:00,7,0,,,2020-08-10 22:48:25,2020
191,219,219,0,True,active,False,True,4,0,True,2020-08-10 22:12:21+00:00,11,0,,,2020-08-10 22:48:25,2020
192,221,221,0,True,active,False,True,8,0,True,2020-08-10 22:35:09+00:00,11,0,,,2020-08-10 22:48:25,2020
193,222,222,0,True,active,True,True,6,0,True,2020-08-10 21:32:59+00:00,8,0,,,2020-08-10 22:48:25,2020
194,224,224,0,True,active,False,True,11,0,True,2020-08-10 21:44:49+00:00,6,0,,,2020-08-10 22:48:25,2020
195,225,225,0,True,active,False,True,7,0,True,2020-08-10 22:30:20+00:00,12,0,,,2020-08-10 22:48:25,2020
196,226,226,0,True,active,False,True,1,0,True,2020-08-10 22:42:23+00:00,14,0,,,2020-08-10 22:48:25,2020
197,227,227,0,True,active,False,True,10,0,True,2020-08-10 22:47:42+00:00,9,0,,,2020-08-10 22:48:25,2020
198,228,228,0,True,active,False,True,9,0,True,2020-08-10 22:46:26+00:00,10,0,,,2020-08-10 22:48:25,2020
199,232,232,0,True,active,False,True,7,0,True,2020-08-10 20:26:30+00:00,4,0,,,2020-08-10 22:48:25,2020
200,233,233,2,True,active,False,True,9,0,True,2020-08-10 22:17:59+00:00,4,0,,,2020-08-10 22:48:25,2020
201,234,234,0,True,active,False,True,1,0,True,2020-08-10 22:33:27+00:00,14,0,,,2020-08-10 22:48:25,2020
202,235,235,0,True,active,False,True,5,0,True,2020-08-10 20:46:12+00:00,10,0,,,2020-08-10 22:48:25,2020
203,236,236,0,True,active,False,True,12,0,True,2020-08-10 22:21:08+00:00,3,0,,,2020-08-10 22:48:25,2020
204,239,239,0,True,active,False,True,2,0,True,2020-08-10 22:48:15+00:00,13,0,,,2020-08-10 22:48:25,2020
205,255,255,0,True,active,False,True,10,0,True,2020-08-10 21:07:16+00:00,5,0,,,2020-08-10 22:48:25,2020
206,258,258,1,True,active,False,True,6,0,True,2020-08-10 22:07:15+00:00,8,0,,,2020-08-10 22:48:25,2020
207,259,259,0,True,active,False,True,14,0,True,2020-08-09 16:59:55+00:00,1,0,,,2020-08-10 22:48:25,2020
208,260,260,0,True,active,False,True,14,0,True,2020-08-10 21:43:08+00:00,1,0,,,2020-08-10 22:48:25,2020
209,271,271,0,True,active,False,True,6,0,True,2020-08-10 22:22:44+00:00,9,0,,,2020-08-10 22:48:25,2020
210,272,272,1,True,active,False,True,7,0,True,2020-08-10 22:13:32+00:00,11,0,,,2020-08-10 22:48:25,2020
211,273,273,5,True,active,False,True,18,0,True,2020-08-10 22:39:05+00:00,17,0,,,2020-08-10 22:48:25,2020
212,279,279,0,True,active,False,True,16,0,True,2020-08-10 22:47:35+00:00,3,0,,,2020-08-10 22:48:25,2020
213,280,280,0,True,active,False,True,7,0,True,2020-08-10 22:35:28+00:00,12,0,,,2020-08-10 22:48:25,2020
214,282,282,2,True,active,False,True,7,0,True,2020-08-10 22:46:51+00:00,6,0,,,2020-08-10 22:48:25,2020
215,296,296,1,True,active,False,True,11,0,True,2020-08-10 22:37:02+00:00,11,0,,,2020-08-10 22:48:25,2020
216,318,318,0,True,active,False,True,6,0,True,2020-08-10 22:28:17+00:00,13,0,,,2020-08-10 22:48:25,2020
217,319,319,0,True,active,False,True,5,0,True,2020-08-10 22:29:33+00:00,20,0,,,2020-08-10 22:48:25,2020
218,327,327,0,True,active,False,True,14,0,True,2020-08-10 22:17:23+00:00,1,0,,,2020-08-10 22:48:25,2020
219,328,328,0,True,active,False,True,6,0,True,2020-08-10 22:31:00+00:00,9,0,,,2020-08-10 22:48:25,2020
220,329,329,0,True,active,False,True,5,0,True,2020-08-10 22:41:41+00:00,10,0,,,2020-08-10 22:48:25,2020
221,330,330,0,True,active,False,True,9,0,True,2020-08-10 22:45:18+00:00,6,0,,,2020-08-10 22:48:25,2020
222,331,331,0,True,active,False,True,1,0,True,2020-08-10 22:35:39+00:00,14,0,,,2020-08-10 22:48:25,2020
223,332,332,0,True,active,False,True,14,0,True,2020-08-10 22:46:25+00:00,1,0,,,2020-08-10 22:48:25,2020
224,333,333,0,True,active,False,True,19,0,True,2020-08-10 22:41:14+00:00,6,0,,,2020-08-10 22:48:25,2020
225,334,334,0,True,active,False,True,16,0,True,2020-08-10 21:42:54+00:00,3,0,,,2020-08-10 22:48:25,2020
226,335,335,0,True,active,False,True,16,0,True,2020-08-10 22:34:20+00:00,3,0,,,2020-08-10 22:48:25,2020
227,336,336,2,True,active,False,True,11,0,True,2020-08-10 21:34:40+00:00,2,0,,,2020-08-10 22:48:25,2020
228,337,337,0,True,active,False,True,14,0,True,2020-08-10 22:38:45+00:00,1,0,,,2020-08-10 22:48:25,2020
229,338,338,0,True,active,False,True,2,0,True,2020-08-10 22:42:40+00:00,13,0,,,2020-08-10 22:48:25,2020
230,339,339,0,True,active,False,True,9,0,True,2020-08-10 22:34:17+00:00,6,0,,,2020-08-10 22:48:25,2020
231,340,340,0,True,active,False,True,18,0,True,2020-08-10 11:22:16+00:00,1,0,,,2020-08-10 22:48:25,2020
232,341,341,0,True,active,True,True,3,0,True,2020-08-10 18:47:06+00:00,12,0,,,2020-08-10 22:48:25,2020
233,342,342,0,True,active,False,True,0,0,True,2020-08-10 22:48:16+00:00,15,0,,,2020-08-10 22:48:25,2020
234,343,343,0,True,active,False,True,6,0,True,2020-08-10 04:41:14+00:00,9,0,,,2020-08-10 22:48:25,2020
235,344,344,0,True,active,False,True,3,0,True,2020-08-10 22:13:32+00:00,16,0,,,2020-08-10 22:48:25,2020
236,345,345,2,True,active,False,True,8,0,True,2020-08-10 22:43:15+00:00,9,0,,,2020-08-10 22:48:25,2020
237,346,346,0,True,active,False,True,4,0,True,2020-08-10 22:47:26+00:00,11,0,,,2020-08-10 22:48:25,2020
238,347,347,0,True,active,False,True,12,0,True,2020-08-10 18:56:34+00:00,3,0,,,2020-08-10 22:48:25,2020
239,348,348,1,True,active,False,True,4,0,True,2020-08-10 22:31:14+00:00,10,0,,,2020-08-10 22:48:25,2020
240,349,349,0,True,active,True,True,5,0,True,2020-08-10 22:16:36+00:00,12,0,,,2020-08-10 22:48:25,2020
241,350,350,0,True,active,False,True,13,0,True,2020-08-10 19:23:29+00:00,4,0,,,2020-08-10 22:48:25,2020
242,351,351,0,True,active,False,True,6,0,True,2020-08-10 22:33:17+00:00,9,0,,,2020-08-10 22:48:25,2020
243,352,352,0,True,active,False,True,7,0,True,2020-08-10 22:26:52+00:00,8,0,,,2020-08-10 22:48:25,2020
244,353,353,0,True,active,True,True,5,0,True,2020-08-10 15:45:32+00:00,10,0,,,2020-08-10 22:48:25,2020
245,354,354,1,True,active,False,True,0,0,True,2020-08-10 22:46:32+00:00,14,0,,,2020-08-10 22:48:25,2020
246,355,355,0,True,active,False,True,16,0,True,2020-08-10 21:33:12+00:00,1,0,,,2020-08-10 22:48:25,2020
247,356,356,0,True,active,False,True,5,0,True,2020-08-10 22:46:32+00:00,18,0,,,2020-08-10 22:48:25,2020
248,357,357,0,True,active,False,True,2,0,True,2020-08-10 22:43:06+00:00,13,0,,,2020-08-10 22:48:25,2020
249,358,358,0,True,active,False,True,8,0,True,2020-08-10 22:35:08+00:00,11,0,,,2020-08-10 22:48:25,2020
250,359,359,0,True,active,False,True,2,0,True,2020-08-10 22:38:55+00:00,13,0,,,2020-08-10 22:48:25,2020
251,360,360,0,True,active,False,True,8,0,True,2020-08-10 22:21:21+00:00,7,0,,,2020-08-10 22:48:25,2020
252,361,361,0,True,active,False,True,17,0,True,2020-08-10 22:46:28+00:00,2,0,,,2020-08-10 22:48:25,2020
253,362,362,0,True,active,False,True,10,0,True,2020-08-10 22:47:47+00:00,9,0,,,2020-08-10 22:48:25,2020
254,363,363,1,True,active,False,True,8,0,True,2020-08-10 22:44:42+00:00,10,0,,,2020-08-10 22:48:25,2020
255,364,364,0,True,active,False,True,9,0,True,2020-08-10 22:47:33+00:00,10,0,,,2020-08-10 22:48:25,2020
