,num_bikes_available,last_reported,eightd_has_available_keys,num_docks_available,num_bikes_disabled,num_ebikes_available,is_installed,station_status,legacy_id,is_returning,is_renting,station_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
94,16,2020-08-01 01:29:01+00:00,False,3,0,0,True,active,105,True,True,105,0,,,2020-08-01 02:06:00,2020
95,5,2020-08-01 00:37:19+00:00,False,9,1,0,True,active,106,True,True,106,0,,,2020-08-01 02:06:00,2020
96,0,2020-08-01 01:47:27+00:00,False,19,0,0,True,active,107,True,True,107,0,,,2020-08-01 02:06:00,2020
97,12,2020-08-01 02:00:47+00:00,False,5,0,0,True,active,108,True,True,108,0,,,2020-08-01 02:06:00,2020
98,24,2020-08-01 00:13:19+00:00,False,9,2,0,True,active,109,True,True,109,0,,,2020-08-01 02:06:00,2020
99,7,2020-08-01 01:55:05+00:00,False,7,1,0,True,active,110,True,True,110,0,,,2020-08-01 02:06:00,2020
100,1,2020-07-31 23:04:28+00:00,False,14,0,0,True,active,111,True,True,111,0,,,2020-08-01 02:06:00,2020
101,7,2020-08-01 01:51:21+00:00,False,8,0,0,True,active,112,True,True,112,0,,,2020-08-01 02:06:00,2020
102,13,2020-08-01 01:48:40+00:00,False,1,1,0,True,active,113,True,True,113,0,,,2020-08-01 02:06:00,2020
103,1,2020-08-01 00:35:56+00:00,False,14,0,0,True,active,114,True,True,114,0,,,2020-08-01 02:06:00,2020
104,13,2020-08-01 01:35:57+00:00,False,5,1,0,True,active,115,True,True,115,0,,,2020-08-01 02:06:00,2020
105,15,2020-08-01 01:46:51+00:00,False,8,0,0,True,active,116,True,True,116,0,,,2020-08-01 02:06:00,2020
106,2,2020-08-01 01:35:59+00:00,False,16,1,0,True,active,117,True,True,117,0,,,2020-08-01 02:06:00,2020
107,15,2020-08-01 01:57:01+00:00,False,3,1,0,True,active,118,True,True,118,0,,,2020-08-01 02:06:00,2020
108,14,2020-08-01 01:27:31+00:00,False,0,1,0,True,active,119,True,True,119,0,,,2020-08-01 02:06:00,2020
109,9,2020-08-01 01:57:00+00:00,False,4,2,0,True,active,120,True,True,120,0,,,2020-08-01 02:06:00,2020
110,7,2020-08-01 02:05:44+00:00,False,10,0,0,True,active,121,True,True,121,0,,,2020-08-01 02:06:00,2020
111,14,2020-08-01 01:54:32+00:00,False,1,0,0,True,active,122,True,True,122,0,,,2020-08-01 02:06:00,2020
112,5,2020-08-01 01:51:02+00:00,False,10,0,0,True,active,124,True,True,124,0,,,2020-08-01 02:06:00,2020
113,7,2020-08-01 01:48:02+00:00,False,8,0,0,True,active,125,True,True,125,0,,,2020-08-01 02:06:00,2020
114,12,2020-08-01 01:15:41+00:00,False,3,0,0,True,active,126,True,True,126,0,,,2020-08-01 02:06:00,2020
115,16,2020-08-01 01:48:00+00:00,False,3,0,0,True,active,128,True,True,128,0,,,2020-08-01 02:06:00,2020
116,11,2020-08-01 02:03:18+00:00,False,8,0,0,True,active,129,True,True,129,0,,,2020-08-01 02:06:00,2020
117,13,2020-08-01 01:36:43+00:00,False,2,0,0,True,active,130,True,True,130,0,,,2020-08-01 02:06:00,2020
118,5,2020-08-01 02:03:39+00:00,False,9,4,0,True,active,131,True,True,131,0,,,2020-08-01 02:06:00,2020
119,12,2020-08-01 01:47:40+00:00,False,10,1,0,True,active,133,True,True,133,0,,,2020-08-01 02:06:00,2020
