,num_bikes_available,num_docks_available,station_id,num_docks_disabled,is_installed,eightd_has_available_keys,legacy_id,last_reported,num_ebikes_available,is_returning,is_renting,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
101,11,4,112,0,True,False,112,2020-08-18 19:10:50+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
102,8,6,113,0,True,False,113,2020-08-18 20:03:34+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
103,1,14,114,0,True,False,114,2020-08-18 20:04:27+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
104,15,4,115,0,True,False,115,2020-08-18 19:55:07+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
105,9,14,116,0,True,False,116,2020-08-18 19:59:58+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
106,6,13,117,0,True,False,117,2020-08-18 19:57:02+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
107,8,10,118,0,True,False,118,2020-08-18 19:27:31+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
108,10,4,119,0,True,False,119,2020-08-18 19:59:21+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
109,14,1,120,0,True,False,120,2020-08-18 19:57:27+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
110,10,6,121,0,True,False,121,2020-08-18 19:55:10+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
111,9,6,122,0,True,False,122,2020-08-18 19:53:22+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
112,2,13,124,0,True,False,124,2020-08-18 19:45:49+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
113,5,9,125,1,True,False,125,2020-08-18 19:27:14+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
114,11,3,126,0,True,False,126,2020-08-18 19:27:38+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
115,16,3,128,0,True,False,128,2020-08-18 19:55:11+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
116,13,6,129,0,True,False,129,2020-08-18 19:37:52+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
117,12,3,130,0,True,False,130,2020-08-18 18:23:23+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
118,2,16,131,0,True,False,131,2020-08-18 19:35:23+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
119,13,8,133,0,True,False,133,2020-08-18 19:28:45+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
120,2,15,135,0,True,False,135,2020-08-18 20:00:20+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
121,4,14,136,0,True,False,136,2020-08-18 19:54:02+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
122,9,6,137,0,True,False,137,2020-08-18 19:25:26+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
123,5,8,138,0,True,False,138,2020-08-18 19:40:31+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
