,station_id,num_bikes_disabled,is_returning,station_status,legacy_id,is_renting,num_bikes_available,eightd_has_available_keys,last_reported,num_docks_available,num_docks_disabled,is_installed,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
169,195,0,True,active,195,True,12,False,2020-07-30 15:12:01+00:00,11,0,True,0,,,2020-07-30 15:23:10,2020
170,196,1,True,active,196,True,2,True,2020-07-30 14:12:53+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
171,197,0,True,active,197,True,0,False,2020-07-30 15:09:47+00:00,15,0,True,0,,,2020-07-30 15:23:10,2020
172,199,0,True,active,199,True,6,False,2020-07-30 14:28:13+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
173,200,0,True,active,200,True,9,False,2020-07-30 14:05:52+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
174,201,0,True,active,201,True,0,False,2020-07-30 08:10:11+00:00,15,0,True,0,,,2020-07-30 15:23:10,2020
175,202,1,True,active,202,True,4,False,2020-07-29 23:36:32+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
176,203,0,True,active,203,True,6,False,2020-07-30 11:51:49+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
177,204,0,True,active,204,True,1,False,2020-07-30 08:25:15+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
178,205,1,True,active,205,True,4,False,2020-07-30 08:26:04+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
179,206,0,True,active,206,True,13,False,2020-07-30 14:50:42+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
180,208,0,True,active,208,True,15,True,2020-07-30 08:56:36+00:00,0,0,True,0,,,2020-07-30 15:23:10,2020
181,209,1,True,active,209,True,12,False,2020-07-30 08:20:08+00:00,2,0,True,0,,,2020-07-30 15:23:10,2020
182,210,0,True,active,210,True,1,False,2020-07-30 13:13:26+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
183,211,1,True,active,211,True,15,False,2020-07-30 15:13:33+00:00,3,0,True,0,,,2020-07-30 15:23:10,2020
184,212,0,True,active,212,True,9,False,2020-07-30 13:43:36+00:00,24,0,True,0,,,2020-07-30 15:23:10,2020
185,213,0,True,active,213,True,6,True,2020-07-30 15:18:49+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
186,214,0,True,active,214,True,11,False,2020-07-30 15:20:45+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
187,215,0,True,active,215,True,11,False,2020-07-30 10:36:08+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
188,216,1,True,active,216,True,17,False,2020-07-30 08:25:30+00:00,1,0,True,0,,,2020-07-30 15:23:10,2020
189,217,0,True,active,217,True,5,False,2020-07-30 14:28:00+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
190,218,0,True,active,218,True,6,False,2020-07-30 14:43:30+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
191,219,0,True,active,219,True,9,False,2020-07-30 08:41:13+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
192,221,0,True,active,221,True,6,False,2020-07-30 15:21:58+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
193,222,0,True,active,222,True,1,True,2020-07-30 13:36:08+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
194,224,0,True,active,224,True,8,False,2020-07-30 11:52:05+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
195,225,0,True,active,225,True,7,False,2020-07-30 15:20:09+00:00,12,0,True,0,,,2020-07-30 15:23:10,2020
196,226,0,True,active,226,True,0,False,2020-07-30 13:03:21+00:00,15,0,True,0,,,2020-07-30 15:23:10,2020
197,227,1,True,active,227,True,11,False,2020-07-30 14:03:07+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
198,228,0,True,active,228,True,9,False,2020-07-30 15:13:13+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
199,232,0,True,active,232,True,4,False,2020-07-30 08:11:52+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
200,233,2,True,active,233,True,4,False,2020-07-30 14:50:51+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
201,234,0,True,active,234,True,11,False,2020-07-30 15:05:45+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
202,235,0,True,active,235,True,8,False,2020-07-30 13:36:49+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
203,236,0,True,active,236,True,11,False,2020-07-30 14:09:18+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
204,239,0,True,active,239,True,5,False,2020-07-30 15:06:07+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
205,255,0,True,active,255,True,13,False,2020-07-30 01:59:20+00:00,2,0,True,0,,,2020-07-30 15:23:10,2020
206,258,0,True,active,258,True,9,False,2020-07-30 14:39:27+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
207,259,0,True,active,259,True,1,False,2020-07-29 22:31:42+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
208,260,1,True,active,260,True,0,False,2020-07-30 14:45:30+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
209,271,0,True,active,271,True,3,False,2020-07-30 13:00:51+00:00,12,0,True,0,,,2020-07-30 15:23:10,2020
