,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
95,6,True,106,active,False,9,0,True,True,2020-08-05 20:26:43+00:00,106,0,0,,,2020-08-05 21:18:30,2020
96,6,True,107,active,False,12,0,True,True,2020-08-05 21:08:38+00:00,107,0,1,,,2020-08-05 21:18:30,2020
97,8,True,108,active,False,9,0,True,True,2020-08-05 21:13:25+00:00,108,0,0,,,2020-08-05 21:18:30,2020
98,12,True,109,active,False,22,0,True,True,2020-08-05 18:13:43+00:00,109,0,1,,,2020-08-05 21:18:30,2020
99,0,True,110,active,False,15,0,True,True,2020-08-05 19:33:42+00:00,110,0,0,,,2020-08-05 21:18:30,2020
100,4,True,111,active,False,11,0,True,True,2020-08-05 20:30:01+00:00,111,0,0,,,2020-08-05 21:18:30,2020
101,8,True,112,active,False,7,0,True,True,2020-08-05 20:55:34+00:00,112,0,0,,,2020-08-05 21:18:30,2020
102,11,True,113,active,False,3,0,True,True,2020-08-05 21:17:28+00:00,113,0,1,,,2020-08-05 21:18:30,2020
103,9,True,114,active,False,6,0,True,True,2020-08-05 21:06:13+00:00,114,0,0,,,2020-08-05 21:18:30,2020
104,18,True,115,active,False,0,0,True,True,2020-08-05 21:16:28+00:00,115,0,1,,,2020-08-05 21:18:30,2020
105,6,True,116,active,False,17,0,True,True,2020-08-05 21:16:38+00:00,116,0,0,,,2020-08-05 21:18:30,2020
106,12,True,117,active,False,7,0,True,True,2020-08-05 20:59:02+00:00,117,0,0,,,2020-08-05 21:18:30,2020
107,12,True,118,active,False,7,0,True,True,2020-08-05 21:14:52+00:00,118,0,0,,,2020-08-05 21:18:30,2020
108,13,True,119,active,False,1,0,True,True,2020-08-05 21:16:20+00:00,119,0,1,,,2020-08-05 21:18:30,2020
109,8,True,120,active,False,6,0,True,True,2020-08-05 21:18:02+00:00,120,0,1,,,2020-08-05 21:18:30,2020
110,9,True,121,active,False,8,0,True,True,2020-08-05 21:15:45+00:00,121,0,0,,,2020-08-05 21:18:30,2020
111,5,True,122,active,False,10,0,True,True,2020-08-05 20:51:55+00:00,122,0,0,,,2020-08-05 21:18:30,2020
112,3,True,124,active,False,12,0,True,True,2020-08-05 20:04:56+00:00,124,0,0,,,2020-08-05 21:18:30,2020
113,7,True,125,active,False,7,0,True,True,2020-08-05 21:07:27+00:00,125,0,1,,,2020-08-05 21:18:30,2020
114,3,True,126,active,False,12,0,True,True,2020-08-05 19:33:31+00:00,126,0,0,,,2020-08-05 21:18:30,2020
115,11,True,128,active,False,8,0,True,True,2020-08-05 19:17:00+00:00,128,0,0,,,2020-08-05 21:18:30,2020
116,15,True,129,active,False,4,0,True,True,2020-08-05 20:27:12+00:00,129,0,0,,,2020-08-05 21:18:30,2020
117,12,True,130,active,False,3,0,True,True,2020-08-05 21:02:41+00:00,130,0,0,,,2020-08-05 21:18:30,2020
118,7,True,131,active,False,10,0,True,True,2020-08-05 21:08:06+00:00,131,0,1,,,2020-08-05 21:18:30,2020
119,7,True,133,active,False,15,0,True,True,2020-08-05 20:43:08+00:00,133,0,1,,,2020-08-05 21:18:30,2020
120,11,True,135,active,False,6,0,True,True,2020-08-05 21:09:20+00:00,135,0,0,,,2020-08-05 21:18:30,2020
121,6,True,136,active,False,12,0,True,True,2020-08-05 21:06:52+00:00,136,0,1,,,2020-08-05 21:18:30,2020
122,3,True,137,active,False,12,0,True,True,2020-08-05 21:17:31+00:00,137,0,0,,,2020-08-05 21:18:30,2020
123,8,True,138,active,False,6,0,True,True,2020-08-05 21:08:51+00:00,138,0,1,,,2020-08-05 21:18:30,2020
124,7,True,139,active,False,12,0,True,True,2020-08-05 21:17:35+00:00,139,0,0,,,2020-08-05 21:18:30,2020
125,12,True,140,active,False,4,0,True,True,2020-08-05 20:16:01+00:00,140,0,1,,,2020-08-05 21:18:30,2020
126,5,True,141,active,False,10,0,True,True,2020-08-05 21:04:52+00:00,141,0,0,,,2020-08-05 21:18:30,2020
127,12,True,142,active,False,9,0,True,True,2020-08-05 20:05:28+00:00,142,0,2,,,2020-08-05 21:18:30,2020
128,5,True,143,active,False,17,0,True,True,2020-08-05 20:56:56+00:00,143,0,1,,,2020-08-05 21:18:30,2020
129,10,True,144,active,False,9,0,True,True,2020-08-05 20:51:38+00:00,144,0,0,,,2020-08-05 21:18:30,2020
130,4,True,145,active,False,15,0,True,True,2020-08-05 20:55:15+00:00,145,0,0,,,2020-08-05 21:18:30,2020
131,7,True,146,active,False,9,0,True,True,2020-08-05 21:02:17+00:00,146,0,3,,,2020-08-05 21:18:30,2020
132,11,True,149,active,True,7,0,True,True,2020-08-05 20:59:33+00:00,149,0,0,,,2020-08-05 21:18:30,2020
