,legacy_id,num_bikes_available,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_returning,num_bikes_disabled,station_status,is_renting,station_id,is_installed,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
85,96,5,13,2020-08-22 02:40:26+00:00,0,0,True,1,active,True,96,True,False,2020-08-22 03:56:25,2020
86,97,1,17,2020-08-22 03:45:15+00:00,0,0,True,1,active,True,97,True,False,2020-08-22 03:56:25,2020
87,98,7,15,2020-08-22 03:42:04+00:00,0,0,True,1,active,True,98,True,False,2020-08-22 03:56:25,2020
88,99,15,0,2020-08-22 01:35:34+00:00,0,0,True,0,active,True,99,True,False,2020-08-22 03:56:25,2020
89,100,6,18,2020-08-22 03:43:23+00:00,0,0,True,1,active,True,100,True,True,2020-08-22 03:56:25,2020
90,101,4,11,2020-08-22 01:12:29+00:00,0,0,True,0,active,True,101,True,False,2020-08-22 03:56:25,2020
91,102,5,10,2020-08-22 03:55:10+00:00,0,0,True,0,active,True,102,True,False,2020-08-22 03:56:25,2020
92,103,14,1,2020-08-22 03:44:34+00:00,0,0,True,0,active,True,103,True,False,2020-08-22 03:56:25,2020
93,104,7,12,2020-08-22 02:52:41+00:00,0,0,True,0,active,True,104,True,False,2020-08-22 03:56:25,2020
94,105,7,12,2020-08-22 03:31:47+00:00,0,0,True,0,active,True,105,True,False,2020-08-22 03:56:25,2020
95,106,1,14,2020-08-21 23:30:26+00:00,0,0,True,0,active,True,106,True,False,2020-08-22 03:56:25,2020
96,107,0,19,2020-08-22 02:18:49+00:00,0,0,True,0,active,True,107,True,False,2020-08-22 03:56:25,2020
97,108,5,12,2020-08-22 03:52:35+00:00,0,0,True,0,active,True,108,True,False,2020-08-22 03:56:25,2020
98,109,2,33,2020-08-22 00:11:18+00:00,0,0,True,0,active,True,109,True,False,2020-08-22 03:56:25,2020
99,110,3,12,2020-08-22 03:34:53+00:00,0,0,True,0,active,True,110,True,False,2020-08-22 03:56:25,2020
100,111,7,8,2020-08-21 23:08:55+00:00,0,0,True,0,active,True,111,True,False,2020-08-22 03:56:25,2020
101,112,9,6,2020-08-22 02:40:19+00:00,0,0,True,0,active,True,112,True,False,2020-08-22 03:56:25,2020
102,113,8,7,2020-08-22 03:36:58+00:00,0,0,True,0,active,True,113,True,False,2020-08-22 03:56:25,2020
103,114,6,9,2020-08-22 00:42:02+00:00,0,0,True,0,active,True,114,True,False,2020-08-22 03:56:25,2020
104,115,6,13,2020-08-22 03:37:27+00:00,0,0,True,0,active,True,115,True,False,2020-08-22 03:56:25,2020
105,116,19,4,2020-08-22 02:55:32+00:00,0,0,True,0,active,True,116,True,False,2020-08-22 03:56:25,2020
106,117,13,6,2020-08-22 02:02:44+00:00,0,0,True,0,active,True,117,True,False,2020-08-22 03:56:25,2020
107,118,17,1,2020-08-22 03:47:12+00:00,0,0,True,1,active,True,118,True,False,2020-08-22 03:56:25,2020
108,119,11,4,2020-08-22 03:24:49+00:00,0,0,True,0,active,True,119,True,False,2020-08-22 03:56:25,2020
109,120,0,13,2020-08-22 03:38:17+00:00,0,0,True,2,active,True,120,True,False,2020-08-22 03:56:25,2020
