,num_docks_available,is_returning,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_docks_disabled,eightd_has_available_keys,station_status,num_ebikes_available,is_installed,station_id,is_renting,timestamp_of_data_read_request,year_station_last_reported
66,15,True,0,0,2020-08-11 01:33:02+00:00,75,0,False,active,0,True,75,True,2020-08-11 01:52:20,2020
67,12,True,0,5,2020-08-11 01:49:26+00:00,76,0,False,active,0,True,76,True,2020-08-11 01:52:20,2020
68,8,True,1,6,2020-08-11 00:54:57+00:00,77,0,False,active,0,True,77,True,2020-08-11 01:52:20,2020
69,16,True,0,3,2020-08-11 01:40:07+00:00,78,0,False,active,0,True,78,True,2020-08-11 01:52:20,2020
70,2,True,3,14,2020-08-11 01:37:21+00:00,79,0,False,active,0,True,79,True,2020-08-11 01:52:20,2020
71,27,True,0,8,2020-08-11 01:43:17+00:00,80,0,False,active,0,True,80,True,2020-08-11 01:52:20,2020
72,13,True,0,6,2020-08-11 01:42:06+00:00,81,0,False,active,0,True,81,True,2020-08-11 01:52:20,2020
73,14,True,0,1,2020-08-11 01:05:23+00:00,82,0,False,active,0,True,82,True,2020-08-11 01:52:20,2020
74,9,True,1,5,2020-08-11 01:34:47+00:00,84,0,False,active,0,True,84,True,2020-08-11 01:52:20,2020
75,19,True,0,0,2020-08-11 00:49:00+00:00,85,0,False,active,0,True,85,True,2020-08-11 01:52:20,2020
76,13,True,0,6,2020-08-11 01:33:24+00:00,86,0,False,active,0,True,86,True,2020-08-11 01:52:20,2020
77,6,True,0,9,2020-08-11 01:52:10+00:00,87,0,False,active,0,True,87,True,2020-08-11 01:52:20,2020
78,12,True,0,7,2020-08-11 01:29:47+00:00,89,0,False,active,0,True,89,True,2020-08-11 01:52:20,2020
79,0,True,1,18,2020-08-11 01:15:28+00:00,90,0,False,active,0,True,90,True,2020-08-11 01:52:20,2020
80,16,True,1,2,2020-08-11 01:51:43+00:00,91,0,False,active,0,True,91,True,2020-08-11 01:52:20,2020
81,10,True,0,9,2020-08-11 00:43:16+00:00,92,0,False,active,0,True,92,True,2020-08-11 01:52:20,2020
82,3,True,1,11,2020-08-11 00:53:05+00:00,93,0,False,active,0,True,93,True,2020-08-11 01:52:20,2020
83,11,True,0,0,2020-08-10 23:17:34+00:00,94,0,False,active,0,True,94,True,2020-08-11 01:52:20,2020
84,7,True,2,6,2020-08-11 01:26:02+00:00,95,0,False,active,0,True,95,True,2020-08-11 01:52:20,2020
85,1,True,0,18,2020-08-11 01:31:26+00:00,96,0,False,active,0,True,96,True,2020-08-11 01:52:20,2020
86,3,True,0,16,2020-08-11 01:44:25+00:00,97,0,False,active,0,True,97,True,2020-08-11 01:52:20,2020
87,11,True,0,12,2020-08-11 01:32:58+00:00,98,0,False,active,0,True,98,True,2020-08-11 01:52:20,2020
88,8,True,0,7,2020-08-11 00:13:08+00:00,99,0,False,active,0,True,99,True,2020-08-11 01:52:20,2020
89,9,True,1,15,2020-08-11 01:34:24+00:00,100,0,True,active,0,True,100,True,2020-08-11 01:52:20,2020
90,0,True,1,14,2020-08-11 00:41:43+00:00,101,0,False,active,0,True,101,True,2020-08-11 01:52:20,2020
91,13,True,0,2,2020-08-11 00:30:14+00:00,102,0,False,active,0,True,102,True,2020-08-11 01:52:20,2020
92,5,True,0,10,2020-08-11 00:54:39+00:00,103,0,False,active,0,True,103,True,2020-08-11 01:52:20,2020
93,11,True,0,8,2020-08-11 01:42:20+00:00,104,0,False,active,0,True,104,True,2020-08-11 01:52:20,2020
94,8,True,2,9,2020-08-11 01:49:45+00:00,105,0,False,active,0,True,105,True,2020-08-11 01:52:20,2020
95,8,True,1,6,2020-08-10 23:29:51+00:00,106,0,False,active,0,True,106,True,2020-08-11 01:52:20,2020
96,7,True,2,10,2020-08-11 01:37:21+00:00,107,0,False,active,0,True,107,True,2020-08-11 01:52:20,2020
97,12,True,0,5,2020-08-11 01:52:03+00:00,108,0,False,active,0,True,108,True,2020-08-11 01:52:20,2020
98,26,True,1,8,2020-08-11 01:24:03+00:00,109,0,False,active,0,True,109,True,2020-08-11 01:52:20,2020
99,12,True,0,3,2020-08-11 01:24:13+00:00,110,0,False,active,0,True,110,True,2020-08-11 01:52:20,2020
100,7,True,0,8,2020-08-11 00:36:25+00:00,111,0,False,active,0,True,111,True,2020-08-11 01:52:20,2020
101,6,True,0,9,2020-08-11 00:23:13+00:00,112,0,False,active,0,True,112,True,2020-08-11 01:52:20,2020
102,4,True,1,10,2020-08-11 00:23:31+00:00,113,0,False,active,0,True,113,True,2020-08-11 01:52:20,2020
103,12,True,1,2,2020-08-10 23:38:32+00:00,114,0,False,active,0,True,114,True,2020-08-11 01:52:20,2020
104,4,True,0,15,2020-08-11 01:12:49+00:00,115,0,False,active,0,True,115,True,2020-08-11 01:52:20,2020
105,4,True,0,19,2020-08-11 01:42:12+00:00,116,0,False,active,0,True,116,True,2020-08-11 01:52:20,2020
106,7,True,0,12,2020-08-11 01:34:16+00:00,117,0,False,active,0,True,117,True,2020-08-11 01:52:20,2020
107,1,True,1,17,2020-08-11 01:27:49+00:00,118,0,False,active,0,True,118,True,2020-08-11 01:52:20,2020
108,11,True,0,4,2020-08-11 00:58:50+00:00,119,0,False,active,0,True,119,True,2020-08-11 01:52:20,2020
109,2,True,5,8,2020-08-11 01:38:55+00:00,120,0,False,active,0,True,120,True,2020-08-11 01:52:20,2020
110,10,True,0,7,2020-08-11 00:43:26+00:00,121,0,False,active,0,True,121,True,2020-08-11 01:52:20,2020
111,4,True,0,11,2020-08-11 01:13:59+00:00,122,0,False,active,0,True,122,True,2020-08-11 01:52:20,2020
112,4,True,0,11,2020-08-11 00:41:14+00:00,124,0,False,active,0,True,124,True,2020-08-11 01:52:20,2020
113,9,True,0,6,2020-08-11 01:02:16+00:00,125,0,False,active,0,True,125,True,2020-08-11 01:52:20,2020
114,10,True,0,5,2020-08-11 00:01:29+00:00,126,0,False,active,0,True,126,True,2020-08-11 01:52:20,2020
115,7,True,0,12,2020-08-10 23:00:26+00:00,128,0,False,active,0,True,128,True,2020-08-11 01:52:20,2020
116,7,True,0,12,2020-08-10 22:26:57+00:00,129,0,False,active,0,True,129,True,2020-08-11 01:52:20,2020
117,5,True,0,10,2020-08-11 00:33:56+00:00,130,0,False,active,0,True,130,True,2020-08-11 01:52:20,2020
118,2,True,0,16,2020-08-11 01:28:43+00:00,131,0,False,active,0,True,131,True,2020-08-11 01:52:20,2020
119,4,True,1,18,2020-08-11 01:00:25+00:00,133,0,False,active,0,True,133,True,2020-08-11 01:52:20,2020
120,12,True,1,4,2020-08-11 00:11:39+00:00,135,0,False,active,0,True,135,True,2020-08-11 01:52:20,2020
121,12,True,1,6,2020-08-11 00:39:52+00:00,136,0,False,active,0,True,136,True,2020-08-11 01:52:20,2020
122,4,True,0,11,2020-08-11 01:36:44+00:00,137,0,False,active,0,True,137,True,2020-08-11 01:52:20,2020
123,1,True,2,12,2020-08-11 00:52:25+00:00,138,0,False,active,0,True,138,True,2020-08-11 01:52:20,2020
124,13,True,1,5,2020-08-11 01:47:54+00:00,139,0,False,active,0,True,139,True,2020-08-11 01:52:20,2020
125,4,True,1,12,2020-08-11 00:22:55+00:00,140,0,False,active,0,True,140,True,2020-08-11 01:52:20,2020
126,9,True,0,6,2020-08-11 01:38:50+00:00,141,0,False,active,0,True,141,True,2020-08-11 01:52:20,2020
127,6,True,0,17,2020-08-11 00:54:24+00:00,142,0,False,active,0,True,142,True,2020-08-11 01:52:20,2020
128,11,True,0,12,2020-08-11 01:45:16+00:00,143,0,False,active,0,True,143,True,2020-08-11 01:52:20,2020
129,5,True,0,14,2020-08-11 00:35:41+00:00,144,0,False,active,0,True,144,True,2020-08-11 01:52:20,2020
130,2,True,0,17,2020-08-11 01:47:51+00:00,145,0,False,active,0,True,145,True,2020-08-11 01:52:20,2020
