,eightd_has_available_keys,num_ebikes_available,num_docks_disabled,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,station_status,legacy_id,is_installed,is_renting,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
73,False,0,0,3,82,True,0,12,active,82,True,True,2020-08-20 19:31:29+00:00,,,2020-08-20 21:00:20,2020
74,False,0,0,5,84,True,0,10,active,84,True,True,2020-08-20 20:59:30+00:00,,,2020-08-20 21:00:20,2020
75,False,0,0,9,85,True,0,10,active,85,True,True,2020-08-20 20:43:06+00:00,,,2020-08-20 21:00:20,2020
76,False,0,0,4,86,True,0,15,active,86,True,True,2020-08-20 20:57:36+00:00,,,2020-08-20 21:00:20,2020
77,False,0,0,3,87,True,0,12,active,87,True,True,2020-08-20 20:52:44+00:00,,,2020-08-20 21:00:20,2020
78,False,0,0,8,89,True,0,11,active,89,True,True,2020-08-20 20:22:23+00:00,,,2020-08-20 21:00:20,2020
79,False,0,0,0,90,True,0,19,active,90,True,True,2020-08-20 20:50:15+00:00,,,2020-08-20 21:00:20,2020
80,False,0,0,11,91,True,1,7,active,91,True,True,2020-08-20 20:58:40+00:00,,,2020-08-20 21:00:20,2020
81,False,0,0,10,92,True,1,8,active,92,True,True,2020-08-20 13:33:55+00:00,,,2020-08-20 21:00:20,2020
82,False,0,0,11,93,True,0,4,active,93,True,True,2020-08-20 19:47:44+00:00,,,2020-08-20 21:00:20,2020
83,False,0,0,7,94,True,1,3,active,94,True,True,2020-08-20 20:49:08+00:00,,,2020-08-20 21:00:20,2020
84,False,0,0,10,95,True,1,4,active,95,True,True,2020-08-20 20:55:53+00:00,,,2020-08-20 21:00:20,2020
85,False,0,0,9,96,True,1,9,active,96,True,True,2020-08-20 20:55:11+00:00,,,2020-08-20 21:00:20,2020
86,False,0,0,4,97,True,0,15,active,97,True,True,2020-08-20 20:50:32+00:00,,,2020-08-20 21:00:20,2020
87,False,0,0,12,98,True,0,11,active,98,True,True,2020-08-20 20:48:59+00:00,,,2020-08-20 21:00:20,2020
88,False,0,0,10,99,True,2,3,active,99,True,True,2020-08-20 20:54:54+00:00,,,2020-08-20 21:00:20,2020
89,True,0,0,17,100,True,0,8,active,100,True,True,2020-08-20 20:42:51+00:00,,,2020-08-20 21:00:20,2020
90,False,0,0,7,101,True,0,8,active,101,True,True,2020-08-20 18:31:01+00:00,,,2020-08-20 21:00:20,2020
91,False,0,0,1,102,True,0,14,active,102,True,True,2020-08-20 19:38:05+00:00,,,2020-08-20 21:00:20,2020
92,False,0,0,14,103,True,0,1,active,103,True,True,2020-08-20 20:37:31+00:00,,,2020-08-20 21:00:20,2020
93,False,0,0,1,104,True,0,18,active,104,True,True,2020-08-20 20:17:57+00:00,,,2020-08-20 21:00:20,2020
94,False,0,0,6,105,True,1,12,active,105,True,True,2020-08-20 20:52:59+00:00,,,2020-08-20 21:00:20,2020
95,False,0,0,6,106,True,0,9,active,106,True,True,2020-08-20 17:41:37+00:00,,,2020-08-20 21:00:20,2020
96,False,0,0,8,107,True,1,10,active,107,True,True,2020-08-20 20:59:27+00:00,,,2020-08-20 21:00:20,2020
97,False,0,0,5,108,True,0,12,active,108,True,True,2020-08-20 20:59:27+00:00,,,2020-08-20 21:00:20,2020
98,False,0,0,3,109,True,0,32,active,109,True,True,2020-08-20 19:56:10+00:00,,,2020-08-20 21:00:20,2020
99,False,0,0,9,110,True,0,6,active,110,True,True,2020-08-20 20:50:02+00:00,,,2020-08-20 21:00:20,2020
100,False,0,0,5,111,True,0,10,active,111,True,True,2020-08-20 18:13:42+00:00,,,2020-08-20 21:00:20,2020
101,False,0,0,3,112,True,0,12,active,112,True,True,2020-08-20 20:36:03+00:00,,,2020-08-20 21:00:20,2020
102,False,0,0,12,113,True,1,2,active,113,True,True,2020-08-20 20:23:43+00:00,,,2020-08-20 21:00:20,2020
103,False,0,0,4,114,True,0,11,active,114,True,True,2020-08-20 20:22:42+00:00,,,2020-08-20 21:00:20,2020
104,False,0,0,3,115,True,0,16,active,115,True,True,2020-08-20 20:50:27+00:00,,,2020-08-20 21:00:20,2020
105,False,0,0,2,116,True,1,20,active,116,True,True,2020-08-20 20:47:51+00:00,,,2020-08-20 21:00:20,2020
106,False,0,0,4,117,True,0,15,active,117,True,True,2020-08-20 20:59:02+00:00,,,2020-08-20 21:00:20,2020
107,False,0,0,8,118,True,0,11,active,118,True,True,2020-08-20 20:41:46+00:00,,,2020-08-20 21:00:20,2020
