,station_status,legacy_id,eightd_has_available_keys,is_returning,num_docks_available,num_ebikes_available,is_installed,num_docks_disabled,num_bikes_disabled,last_reported,is_renting,num_bikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
89,active,100,True,True,8,0,True,0,1,2020-08-04 14:06:15+00:00,True,16,100,,,2020-08-04 15:40:10,2020
90,active,101,False,True,0,0,True,0,0,2020-08-04 14:36:53+00:00,True,15,101,,,2020-08-04 15:40:10,2020
91,active,102,False,True,11,0,True,0,1,2020-08-04 13:09:35+00:00,True,3,102,,,2020-08-04 15:40:10,2020
92,active,103,False,True,13,0,True,0,0,2020-08-04 15:28:57+00:00,True,2,103,,,2020-08-04 15:40:10,2020
93,active,104,False,True,15,0,True,0,1,2020-08-04 14:24:11+00:00,True,3,104,,,2020-08-04 15:40:10,2020
94,active,105,False,True,11,0,True,0,1,2020-08-04 15:39:58+00:00,True,7,105,,,2020-08-04 15:40:10,2020
95,active,106,False,True,13,0,True,0,0,2020-08-04 15:31:40+00:00,True,2,106,,,2020-08-04 15:40:10,2020
96,active,107,False,True,1,0,True,0,0,2020-08-04 15:36:54+00:00,True,18,107,,,2020-08-04 15:40:10,2020
97,active,108,False,True,5,0,True,0,1,2020-08-04 15:28:47+00:00,True,11,108,,,2020-08-04 15:40:10,2020
98,active,109,False,True,17,0,True,0,2,2020-08-04 15:23:27+00:00,True,16,109,,,2020-08-04 15:40:10,2020
99,active,110,False,True,8,0,True,0,0,2020-08-04 14:31:29+00:00,True,7,110,,,2020-08-04 15:40:10,2020
100,active,111,False,True,14,0,True,0,0,2020-08-04 11:14:33+00:00,True,1,111,,,2020-08-04 15:40:10,2020
101,active,112,False,True,4,0,True,0,0,2020-08-04 12:35:59+00:00,True,11,112,,,2020-08-04 15:40:10,2020
102,active,113,False,True,0,0,True,0,0,2020-08-04 15:33:39+00:00,True,15,113,,,2020-08-04 15:40:10,2020
103,active,114,False,True,4,0,True,0,0,2020-08-04 12:40:10+00:00,True,11,114,,,2020-08-04 15:40:10,2020
104,active,115,False,True,3,0,True,0,0,2020-08-04 15:12:38+00:00,True,16,115,,,2020-08-04 15:40:10,2020
105,active,116,False,True,12,0,True,0,0,2020-08-04 15:33:46+00:00,True,11,116,,,2020-08-04 15:40:10,2020
106,active,117,False,True,12,0,True,0,0,2020-08-04 14:58:40+00:00,True,7,117,,,2020-08-04 15:40:10,2020
107,active,118,False,True,5,0,True,0,0,2020-08-04 13:37:34+00:00,True,14,118,,,2020-08-04 15:40:10,2020
108,active,119,False,True,13,0,True,0,0,2020-08-04 14:47:24+00:00,True,2,119,,,2020-08-04 15:40:10,2020
109,active,120,False,True,8,0,True,0,0,2020-08-04 15:31:02+00:00,True,7,120,,,2020-08-04 15:40:10,2020
110,active,121,False,True,13,0,True,0,0,2020-08-04 14:23:48+00:00,True,4,121,,,2020-08-04 15:40:10,2020
111,active,122,False,True,13,0,True,0,1,2020-08-04 15:24:25+00:00,True,1,122,,,2020-08-04 15:40:10,2020
112,active,124,False,True,11,0,True,0,0,2020-08-04 13:21:47+00:00,True,4,124,,,2020-08-04 15:40:10,2020
113,active,125,False,True,14,0,True,0,0,2020-08-04 15:07:52+00:00,True,1,125,,,2020-08-04 15:40:10,2020
114,active,126,False,True,14,0,True,0,0,2020-08-04 12:46:51+00:00,True,1,126,,,2020-08-04 15:40:10,2020
115,active,128,False,True,4,0,True,0,0,2020-08-04 14:50:01+00:00,True,15,128,,,2020-08-04 15:40:10,2020
116,active,129,False,True,6,0,True,0,0,2020-08-04 13:19:58+00:00,True,13,129,,,2020-08-04 15:40:10,2020
117,active,130,False,True,1,0,True,0,0,2020-08-04 14:05:15+00:00,True,14,130,,,2020-08-04 15:40:10,2020
118,active,131,False,True,11,0,True,0,0,2020-08-04 15:39:52+00:00,True,7,131,,,2020-08-04 15:40:10,2020
119,active,133,False,True,13,0,True,0,1,2020-08-04 15:30:28+00:00,True,9,133,,,2020-08-04 15:40:10,2020
120,active,135,False,True,4,0,True,0,0,2020-08-04 13:58:18+00:00,True,13,135,,,2020-08-04 15:40:10,2020
121,active,136,False,True,3,0,True,0,1,2020-08-04 15:22:56+00:00,True,15,136,,,2020-08-04 15:40:10,2020
122,active,137,False,True,12,0,True,0,0,2020-08-04 15:39:17+00:00,True,3,137,,,2020-08-04 15:40:10,2020
123,active,138,False,True,4,0,True,0,1,2020-08-04 15:20:27+00:00,True,10,138,,,2020-08-04 15:40:10,2020
124,active,139,False,True,19,0,True,0,0,2020-08-04 13:45:39+00:00,True,0,139,,,2020-08-04 15:40:10,2020
125,active,140,False,True,2,0,True,0,0,2020-08-04 13:48:32+00:00,True,15,140,,,2020-08-04 15:40:10,2020
126,active,141,False,True,7,0,True,0,0,2020-08-04 15:29:54+00:00,True,8,141,,,2020-08-04 15:40:10,2020
