,is_installed,is_returning,station_status,num_bikes_disabled,station_id,last_reported,legacy_id,num_docks_disabled,num_bikes_available,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
119,True,True,active,1,133,2020-07-29 17:39:10+00:00,133,0,6,16,False,0,True,,,2020-07-29 18:14:40,2020
120,True,True,active,0,135,2020-07-29 17:53:05+00:00,135,0,8,9,False,0,True,,,2020-07-29 18:14:40,2020
121,True,True,active,2,136,2020-07-29 17:58:47+00:00,136,0,15,2,False,0,True,,,2020-07-29 18:14:40,2020
122,True,True,active,0,137,2020-07-29 16:00:11+00:00,137,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
123,True,True,active,0,138,2020-07-29 17:33:04+00:00,138,0,10,5,False,0,True,,,2020-07-29 18:14:40,2020
124,True,True,active,0,139,2020-07-29 18:07:07+00:00,139,0,1,18,False,0,True,,,2020-07-29 18:14:40,2020
125,True,True,active,0,140,2020-07-29 16:43:15+00:00,140,0,6,11,False,0,True,,,2020-07-29 18:14:40,2020
126,True,True,active,0,141,2020-07-29 17:23:18+00:00,141,0,5,10,False,0,True,,,2020-07-29 18:14:40,2020
127,True,True,active,0,142,2020-07-29 17:23:24+00:00,142,0,21,2,False,0,True,,,2020-07-29 18:14:40,2020
128,True,True,active,0,143,2020-07-29 18:04:50+00:00,143,0,3,20,False,0,True,,,2020-07-29 18:14:40,2020
129,True,True,active,0,144,2020-07-29 17:12:14+00:00,144,0,9,10,False,0,True,,,2020-07-29 18:14:40,2020
130,True,True,active,0,145,2020-07-29 17:01:27+00:00,145,0,12,7,False,0,True,,,2020-07-29 18:14:40,2020
131,True,True,active,2,146,2020-07-29 18:02:26+00:00,146,0,13,4,False,0,True,,,2020-07-29 18:14:40,2020
132,True,True,active,0,149,2020-07-29 17:59:00+00:00,149,0,12,6,True,0,True,,,2020-07-29 18:14:40,2020
133,True,True,active,0,150,2020-07-29 18:12:08+00:00,150,0,14,5,False,0,True,,,2020-07-29 18:14:40,2020
134,True,True,active,1,151,2020-07-29 17:59:28+00:00,151,0,15,3,False,0,True,,,2020-07-29 18:14:40,2020
135,True,True,active,0,152,2020-07-29 17:40:53+00:00,152,0,10,5,True,0,True,,,2020-07-29 18:14:40,2020
136,True,True,active,0,156,2020-07-29 18:14:22+00:00,156,0,5,10,False,0,True,,,2020-07-29 18:14:40,2020
137,True,True,active,1,157,2020-07-29 18:11:57+00:00,157,0,5,9,False,0,True,,,2020-07-29 18:14:40,2020
138,True,True,active,2,159,2020-07-29 17:06:15+00:00,159,0,3,10,False,0,True,,,2020-07-29 18:14:40,2020
139,True,True,active,1,160,2020-07-29 12:58:53+00:00,160,0,10,3,True,0,True,,,2020-07-29 18:14:40,2020
140,True,True,active,0,161,2020-07-29 18:12:29+00:00,161,0,11,12,True,0,True,,,2020-07-29 18:14:40,2020
141,True,True,active,0,162,2020-07-29 14:53:50+00:00,162,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
142,True,True,active,0,163,2020-07-29 16:44:29+00:00,163,0,6,13,True,0,True,,,2020-07-29 18:14:40,2020
143,True,True,active,2,167,2020-07-29 16:21:57+00:00,167,0,11,2,False,0,True,,,2020-07-29 18:14:40,2020
144,True,True,active,0,169,2020-07-29 17:59:41+00:00,169,0,8,11,False,0,True,,,2020-07-29 18:14:40,2020
145,True,True,active,0,170,2020-07-29 18:08:55+00:00,170,0,2,12,True,0,True,,,2020-07-29 18:14:40,2020
146,True,True,active,1,171,2020-07-29 14:03:30+00:00,171,0,6,16,True,0,True,,,2020-07-29 18:14:40,2020
147,True,True,active,0,173,2020-07-29 08:49:27+00:00,173,0,8,6,True,0,True,,,2020-07-29 18:14:40,2020
148,True,True,active,0,174,2020-07-29 17:37:54+00:00,174,0,8,7,False,0,True,,,2020-07-29 18:14:40,2020
149,True,True,active,0,175,2020-07-29 17:30:03+00:00,175,0,3,14,True,0,True,,,2020-07-29 18:14:40,2020
150,True,True,active,0,176,2020-07-29 18:07:00+00:00,176,0,9,6,False,0,True,,,2020-07-29 18:14:40,2020
151,True,True,active,0,177,2020-07-29 18:08:27+00:00,177,0,10,9,False,0,True,,,2020-07-29 18:14:40,2020
152,True,True,active,2,178,2020-07-29 17:54:38+00:00,178,0,11,6,False,0,True,,,2020-07-29 18:14:40,2020
153,True,True,active,0,179,2020-07-29 17:55:57+00:00,179,0,14,11,False,0,True,,,2020-07-29 18:14:40,2020
154,True,True,active,0,180,2020-07-29 17:11:09+00:00,180,0,10,9,False,0,True,,,2020-07-29 18:14:40,2020
155,True,True,active,0,181,2020-07-29 17:06:31+00:00,181,0,6,13,False,0,True,,,2020-07-29 18:14:40,2020
156,True,True,active,0,182,2020-07-29 17:22:11+00:00,182,0,5,14,True,0,True,,,2020-07-29 18:14:40,2020
157,True,True,active,0,183,2020-07-29 17:41:03+00:00,183,0,10,9,False,0,True,,,2020-07-29 18:14:40,2020
158,True,True,active,1,184,2020-07-29 16:04:48+00:00,184,0,10,8,False,0,True,,,2020-07-29 18:14:40,2020
159,True,True,active,0,185,2020-07-29 18:10:12+00:00,185,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
160,True,True,active,0,186,2020-07-29 17:31:25+00:00,186,0,10,5,True,0,True,,,2020-07-29 18:14:40,2020
161,True,True,active,0,187,2020-07-29 15:08:20+00:00,187,0,9,6,False,0,True,,,2020-07-29 18:14:40,2020
162,True,True,active,0,188,2020-07-29 15:29:37+00:00,188,0,10,5,False,0,True,,,2020-07-29 18:14:40,2020
163,True,True,active,0,189,2020-07-29 17:26:27+00:00,189,0,19,4,True,0,True,,,2020-07-29 18:14:40,2020
164,True,True,active,1,190,2020-07-29 17:59:25+00:00,190,0,20,16,True,0,True,,,2020-07-29 18:14:40,2020
165,True,True,active,0,191,2020-07-29 18:11:10+00:00,191,0,2,13,False,0,True,,,2020-07-29 18:14:40,2020
166,True,True,active,1,192,2020-07-29 17:23:30+00:00,192,0,18,0,False,0,True,,,2020-07-29 18:14:40,2020
167,True,True,active,0,193,2020-07-29 18:02:18+00:00,193,0,13,2,True,0,True,,,2020-07-29 18:14:40,2020
168,True,True,active,0,194,2020-07-29 18:11:48+00:00,194,0,14,5,False,0,True,,,2020-07-29 18:14:40,2020
169,True,True,active,0,195,2020-07-29 17:21:17+00:00,195,0,13,10,False,0,True,,,2020-07-29 18:14:40,2020
170,True,True,active,0,196,2020-07-29 14:01:29+00:00,196,0,0,10,True,0,True,,,2020-07-29 18:14:40,2020
171,True,True,active,1,197,2020-07-29 10:28:39+00:00,197,0,0,14,False,0,True,,,2020-07-29 18:14:40,2020
172,True,True,active,0,199,2020-07-29 16:57:39+00:00,199,0,7,8,False,0,True,,,2020-07-29 18:14:40,2020
173,True,True,active,0,200,2020-07-29 17:39:39+00:00,200,0,11,8,False,0,True,,,2020-07-29 18:14:40,2020
174,True,True,active,0,201,2020-07-29 12:09:09+00:00,201,0,0,15,False,0,True,,,2020-07-29 18:14:40,2020
175,True,True,active,0,202,2020-07-29 17:02:12+00:00,202,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
176,True,True,active,0,203,2020-07-29 18:07:29+00:00,203,0,5,10,False,0,True,,,2020-07-29 18:14:40,2020
177,True,True,active,0,204,2020-07-29 15:54:56+00:00,204,0,1,14,False,0,True,,,2020-07-29 18:14:40,2020
178,True,True,active,1,205,2020-07-29 08:20:53+00:00,205,0,4,10,False,0,True,,,2020-07-29 18:14:40,2020
179,True,True,active,0,206,2020-07-29 17:54:46+00:00,206,0,10,13,False,0,True,,,2020-07-29 18:14:40,2020
180,True,True,active,0,208,2020-07-29 17:21:12+00:00,208,0,12,3,True,0,True,,,2020-07-29 18:14:40,2020
181,True,True,active,1,209,2020-07-29 15:56:19+00:00,209,0,13,1,False,0,True,,,2020-07-29 18:14:40,2020
182,True,True,active,0,210,2020-07-29 17:29:49+00:00,210,0,1,14,False,0,True,,,2020-07-29 18:14:40,2020
183,True,True,active,1,211,2020-07-29 16:52:36+00:00,211,0,15,3,False,0,True,,,2020-07-29 18:14:40,2020
184,True,True,active,0,212,2020-07-29 18:10:18+00:00,212,0,8,25,False,0,True,,,2020-07-29 18:14:40,2020
185,True,True,active,0,213,2020-07-29 17:14:01+00:00,213,0,9,7,True,0,True,,,2020-07-29 18:14:40,2020
186,True,True,active,0,214,2020-07-29 17:42:38+00:00,214,0,9,6,False,0,True,,,2020-07-29 18:14:40,2020
187,True,True,active,0,215,2020-07-29 16:16:33+00:00,215,0,12,3,False,0,True,,,2020-07-29 18:14:40,2020
188,True,True,active,1,216,2020-07-29 08:24:18+00:00,216,0,15,3,False,0,True,,,2020-07-29 18:14:40,2020
189,True,True,active,0,217,2020-07-29 17:57:17+00:00,217,0,5,14,False,0,True,,,2020-07-29 18:14:40,2020
190,True,True,active,0,218,2020-07-29 17:52:51+00:00,218,0,6,9,False,0,True,,,2020-07-29 18:14:40,2020
191,True,True,active,0,219,2020-07-29 17:58:44+00:00,219,0,9,6,False,0,True,,,2020-07-29 18:14:40,2020
192,True,True,active,0,221,2020-07-29 18:09:27+00:00,221,0,5,14,False,0,True,,,2020-07-29 18:14:40,2020
193,True,True,active,0,222,2020-07-29 17:42:34+00:00,222,0,4,10,True,0,True,,,2020-07-29 18:14:40,2020
194,True,True,active,0,224,2020-07-29 14:38:24+00:00,224,0,8,9,False,0,True,,,2020-07-29 18:14:40,2020
195,True,True,active,1,225,2020-07-29 18:14:22+00:00,225,0,9,9,False,0,True,,,2020-07-29 18:14:40,2020
196,True,True,active,0,226,2020-07-29 16:47:37+00:00,226,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
197,True,True,active,0,227,2020-07-29 18:11:26+00:00,227,0,10,9,False,0,True,,,2020-07-29 18:14:40,2020
198,True,True,active,0,228,2020-07-29 17:26:31+00:00,228,0,6,13,False,0,True,,,2020-07-29 18:14:40,2020
199,True,True,active,0,232,2020-07-29 17:44:10+00:00,232,0,3,8,False,0,True,,,2020-07-29 18:14:40,2020
200,True,True,active,1,233,2020-07-29 18:05:22+00:00,233,0,2,12,False,0,True,,,2020-07-29 18:14:40,2020
201,True,True,active,0,234,2020-07-29 15:34:57+00:00,234,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
202,True,True,active,0,235,2020-07-29 17:07:30+00:00,235,0,14,1,False,0,True,,,2020-07-29 18:14:40,2020
203,True,True,active,0,236,2020-07-29 18:05:43+00:00,236,0,8,7,False,0,True,,,2020-07-29 18:14:40,2020
204,True,True,active,0,239,2020-07-29 17:09:38+00:00,239,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
205,True,True,active,0,255,2020-07-29 17:50:43+00:00,255,0,11,4,False,0,True,,,2020-07-29 18:14:40,2020
206,True,True,active,0,258,2020-07-29 12:20:53+00:00,258,0,8,7,False,0,True,,,2020-07-29 18:14:40,2020
207,True,True,active,0,259,2020-07-29 10:42:10+00:00,259,0,0,15,False,0,True,,,2020-07-29 18:14:40,2020
208,True,True,active,3,260,2020-07-29 18:00:33+00:00,260,0,10,2,False,0,True,,,2020-07-29 18:14:40,2020
209,True,True,active,1,271,2020-07-29 17:00:13+00:00,271,0,0,14,False,0,True,,,2020-07-29 18:14:40,2020
210,True,True,active,2,272,2020-07-29 17:38:48+00:00,272,0,9,8,False,0,True,,,2020-07-29 18:14:40,2020
211,True,True,active,1,273,2020-07-29 18:09:34+00:00,273,0,26,13,False,0,True,,,2020-07-29 18:14:40,2020
212,True,True,active,0,279,2020-07-29 17:37:15+00:00,279,0,8,11,False,0,True,,,2020-07-29 18:14:40,2020
213,True,True,active,0,280,2020-07-29 17:26:02+00:00,280,0,6,13,False,0,True,,,2020-07-29 18:14:40,2020
214,True,True,active,1,282,2020-07-29 18:03:10+00:00,282,0,9,5,False,0,True,,,2020-07-29 18:14:40,2020
215,True,True,active,0,296,2020-07-29 17:47:55+00:00,296,0,3,20,False,0,True,,,2020-07-29 18:14:40,2020
216,True,True,active,1,318,2020-07-29 18:06:14+00:00,318,0,16,2,False,0,True,,,2020-07-29 18:14:40,2020
217,True,True,active,0,319,2020-07-29 17:38:53+00:00,319,0,10,15,False,0,True,,,2020-07-29 18:14:40,2020
