,num_ebikes_available,is_installed,station_id,is_returning,num_bikes_available,is_renting,last_reported,num_bikes_disabled,eightd_has_available_keys,station_status,num_docks_disabled,legacy_id,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
212,0,True,279,True,19,True,2020-08-13 23:24:32+00:00,0,False,active,0,279,0,,,2020-08-13 23:41:15,2020
213,0,True,280,True,8,True,2020-08-13 22:59:21+00:00,1,False,active,0,280,10,,,2020-08-13 23:41:15,2020
214,0,True,282,True,12,True,2020-08-13 23:07:37+00:00,1,False,active,0,282,2,,,2020-08-13 23:41:15,2020
215,0,True,296,True,6,True,2020-08-13 23:29:59+00:00,0,False,active,0,296,17,,,2020-08-13 23:41:15,2020
216,0,True,318,True,1,True,2020-08-13 23:41:04+00:00,1,False,active,0,318,17,,,2020-08-13 23:41:15,2020
217,0,True,319,True,0,True,2020-08-13 23:23:52+00:00,0,False,active,0,319,25,,,2020-08-13 23:41:15,2020
218,0,True,327,True,0,True,2020-08-13 23:03:24+00:00,0,False,active,0,327,15,,,2020-08-13 23:41:15,2020
219,0,True,328,True,13,True,2020-08-13 23:18:02+00:00,2,False,active,0,328,0,,,2020-08-13 23:41:15,2020
220,0,True,329,True,12,True,2020-08-13 23:14:31+00:00,1,False,active,0,329,2,,,2020-08-13 23:41:15,2020
221,0,True,330,True,7,True,2020-08-13 23:27:35+00:00,0,False,active,0,330,8,,,2020-08-13 23:41:15,2020
222,0,True,331,True,0,True,2020-08-13 23:26:20+00:00,1,False,active,0,331,14,,,2020-08-13 23:41:15,2020
223,0,True,332,True,2,True,2020-08-13 23:38:47+00:00,1,False,active,0,332,12,,,2020-08-13 23:41:15,2020
224,0,True,333,True,22,True,2020-08-13 23:40:39+00:00,0,False,active,0,333,3,,,2020-08-13 23:41:15,2020
225,0,True,334,True,13,True,2020-08-13 22:54:03+00:00,2,False,active,0,334,4,,,2020-08-13 23:41:15,2020
226,0,True,335,True,4,True,2020-08-13 23:39:47+00:00,0,False,active,0,335,15,,,2020-08-13 23:41:15,2020
227,0,True,336,True,5,True,2020-08-13 16:28:17+00:00,0,False,active,0,336,10,,,2020-08-13 23:41:15,2020
228,0,True,337,True,11,True,2020-08-13 23:23:51+00:00,0,False,active,0,337,4,,,2020-08-13 23:41:15,2020
229,0,True,338,True,4,True,2020-08-13 23:37:45+00:00,1,False,active,0,338,10,,,2020-08-13 23:41:15,2020
230,0,True,339,True,14,True,2020-08-13 23:01:48+00:00,0,False,active,0,339,1,,,2020-08-13 23:41:15,2020
231,0,True,340,True,19,True,2020-08-13 21:33:16+00:00,0,False,active,0,340,0,,,2020-08-13 23:41:15,2020
232,0,True,341,True,14,True,2020-08-13 22:55:21+00:00,1,True,active,0,341,0,,,2020-08-13 23:41:15,2020
233,0,True,342,True,13,True,2020-08-13 23:40:14+00:00,0,False,active,0,342,2,,,2020-08-13 23:41:15,2020
234,0,True,343,True,4,True,2020-08-13 04:04:08+00:00,0,False,active,0,343,11,,,2020-08-13 23:41:15,2020
235,0,True,344,True,10,True,2020-08-13 23:37:20+00:00,0,False,active,0,344,9,,,2020-08-13 23:41:15,2020
236,0,True,345,True,8,True,2020-08-13 23:36:35+00:00,1,False,active,0,345,10,,,2020-08-13 23:41:15,2020
237,0,True,346,True,1,True,2020-08-13 23:38:18+00:00,0,False,active,0,346,14,,,2020-08-13 23:41:15,2020
238,0,True,347,True,11,True,2020-08-13 19:13:37+00:00,0,False,active,0,347,4,,,2020-08-13 23:41:15,2020
239,0,True,348,True,2,True,2020-08-13 22:14:09+00:00,1,False,active,0,348,12,,,2020-08-13 23:41:15,2020
240,0,True,349,True,5,True,2020-08-13 21:53:02+00:00,1,True,active,0,349,11,,,2020-08-13 23:41:15,2020
241,0,True,350,True,14,True,2020-08-13 19:02:49+00:00,0,False,active,0,350,3,,,2020-08-13 23:41:15,2020
242,0,True,351,True,5,True,2020-08-13 23:19:06+00:00,0,False,active,0,351,10,,,2020-08-13 23:41:15,2020
243,0,True,352,True,12,True,2020-08-13 23:33:31+00:00,0,False,active,0,352,3,,,2020-08-13 23:41:15,2020
244,0,True,353,True,8,True,2020-08-13 22:34:11+00:00,0,True,active,0,353,7,,,2020-08-13 23:41:15,2020
245,0,True,354,True,8,True,2020-08-13 23:25:25+00:00,1,False,active,0,354,6,,,2020-08-13 23:41:15,2020
246,0,True,355,True,8,True,2020-08-13 23:00:33+00:00,0,False,active,0,355,9,,,2020-08-13 23:41:15,2020
247,0,True,356,True,16,True,2020-08-13 23:37:52+00:00,0,False,active,0,356,7,,,2020-08-13 23:41:15,2020
248,0,True,357,True,4,True,2020-08-13 23:05:32+00:00,0,False,active,0,357,11,,,2020-08-13 23:41:15,2020
249,0,True,358,True,13,True,2020-08-13 23:37:00+00:00,0,False,active,0,358,6,,,2020-08-13 23:41:15,2020
250,0,True,359,True,4,True,2020-08-13 23:39:57+00:00,0,False,active,0,359,11,,,2020-08-13 23:41:15,2020
251,0,True,360,True,6,True,2020-08-13 23:05:21+00:00,0,False,active,0,360,9,,,2020-08-13 23:41:15,2020
252,0,True,361,True,13,True,2020-08-13 23:34:53+00:00,0,False,active,0,361,6,,,2020-08-13 23:41:15,2020
253,0,True,362,True,16,True,2020-08-13 23:41:07+00:00,1,False,active,0,362,2,,,2020-08-13 23:41:15,2020
254,0,True,363,True,15,True,2020-08-13 23:40:22+00:00,0,False,active,0,363,4,,,2020-08-13 23:41:15,2020
255,0,True,364,True,19,True,2020-08-13 23:39:58+00:00,0,False,active,0,364,0,,,2020-08-13 23:41:15,2020
256,0,True,365,True,5,True,2020-08-13 23:39:46+00:00,0,False,active,0,365,14,,,2020-08-13 23:41:15,2020
257,0,True,366,True,5,True,2020-08-13 23:15:19+00:00,0,False,active,0,366,10,,,2020-08-13 23:41:15,2020
258,0,True,367,True,10,True,2020-08-13 23:28:51+00:00,0,False,active,0,367,9,,,2020-08-13 23:41:15,2020
259,0,True,368,True,6,True,2020-08-13 23:33:24+00:00,1,False,active,0,368,8,,,2020-08-13 23:41:15,2020
260,0,True,369,True,3,True,2020-08-13 23:33:18+00:00,0,False,active,0,369,12,,,2020-08-13 23:41:15,2020
261,0,True,370,True,8,True,2020-08-13 23:32:35+00:00,0,False,active,0,370,11,,,2020-08-13 23:41:15,2020
262,0,True,371,True,9,True,2020-08-13 23:35:39+00:00,1,False,active,0,371,9,,,2020-08-13 23:41:15,2020
263,0,True,372,True,11,True,2020-08-13 23:32:32+00:00,0,False,active,0,372,8,,,2020-08-13 23:41:15,2020
264,0,True,373,True,8,True,2020-08-13 22:51:34+00:00,0,False,active,0,373,7,,,2020-08-13 23:41:15,2020
265,0,True,374,True,4,True,2020-08-13 23:28:22+00:00,0,False,active,0,374,15,,,2020-08-13 23:41:15,2020
266,0,True,376,True,6,True,2020-08-13 23:41:07+00:00,1,False,active,0,376,8,,,2020-08-13 23:41:15,2020
267,0,True,377,True,14,True,2020-08-13 23:37:00+00:00,0,False,active,0,377,5,,,2020-08-13 23:41:15,2020
268,0,True,378,True,3,True,2020-08-13 23:26:53+00:00,0,False,active,0,378,16,,,2020-08-13 23:41:15,2020
269,0,True,379,True,7,True,2020-08-13 23:19:11+00:00,0,False,active,0,379,8,,,2020-08-13 23:41:15,2020
270,0,True,380,True,8,True,2020-08-13 23:16:44+00:00,2,False,active,0,380,8,,,2020-08-13 23:41:15,2020
271,0,True,381,True,7,True,2020-08-13 23:39:18+00:00,0,False,active,0,381,12,,,2020-08-13 23:41:15,2020
272,0,True,384,True,14,True,2020-08-13 23:38:41+00:00,0,True,active,0,384,5,,,2020-08-13 23:41:15,2020
273,0,True,385,True,2,True,2020-08-13 23:23:21+00:00,0,False,active,1,385,12,,,2020-08-13 23:41:15,2020
274,0,True,386,True,10,True,2020-08-13 23:39:46+00:00,0,False,active,0,386,9,,,2020-08-13 23:41:15,2020
275,0,True,387,True,10,True,2020-08-13 23:32:31+00:00,1,False,active,0,387,4,,,2020-08-13 23:41:15,2020
276,0,True,388,True,4,True,2020-08-13 03:25:23+00:00,0,False,active,0,388,7,,,2020-08-13 23:41:15,2020
277,0,True,389,True,13,True,2020-08-13 18:09:39+00:00,0,False,active,0,389,1,,,2020-08-13 23:41:15,2020
278,0,True,390,True,14,True,2020-08-13 22:51:42+00:00,1,False,active,0,390,0,,,2020-08-13 23:41:15,2020
279,0,True,391,True,12,True,2020-08-13 22:56:13+00:00,0,False,active,0,391,3,,,2020-08-13 23:41:15,2020
280,0,True,392,True,5,True,2020-08-13 14:33:25+00:00,0,False,active,0,392,10,,,2020-08-13 23:41:15,2020
281,0,True,393,True,6,True,2020-08-13 21:53:06+00:00,1,False,active,0,393,8,,,2020-08-13 23:41:15,2020
282,0,True,394,True,1,True,2020-08-13 07:51:20+00:00,0,False,active,0,394,13,,,2020-08-13 23:41:15,2020
283,0,True,395,True,11,True,2020-08-13 21:46:42+00:00,0,False,active,0,395,4,,,2020-08-13 23:41:15,2020
284,0,True,396,True,8,True,2020-08-13 23:37:07+00:00,0,False,active,0,396,7,,,2020-08-13 23:41:15,2020
285,0,True,397,True,8,True,2020-08-13 20:39:34+00:00,0,False,active,0,397,7,,,2020-08-13 23:41:15,2020
286,0,True,398,True,0,True,2020-08-13 23:36:11+00:00,1,False,active,0,398,18,,,2020-08-13 23:41:15,2020
287,0,True,399,True,5,True,2020-08-13 23:23:44+00:00,0,False,active,0,399,10,,,2020-08-13 23:41:15,2020
288,0,True,400,True,6,True,2020-08-13 22:21:37+00:00,0,False,active,0,400,21,,,2020-08-13 23:41:15,2020
289,0,True,401,True,6,True,2020-08-13 23:33:14+00:00,0,False,active,0,401,9,,,2020-08-13 23:41:15,2020
290,0,True,402,True,8,True,2020-08-13 23:39:48+00:00,1,False,active,0,402,6,,,2020-08-13 23:41:15,2020
291,0,True,403,True,6,True,2020-08-13 23:26:55+00:00,1,False,active,0,403,8,,,2020-08-13 23:41:15,2020
292,0,True,404,True,11,True,2020-08-13 23:40:11+00:00,0,False,active,0,404,5,,,2020-08-13 23:41:15,2020
293,0,True,405,True,7,True,2020-08-13 23:31:30+00:00,0,False,active,0,405,12,,,2020-08-13 23:41:15,2020
294,0,True,406,True,14,True,2020-08-13 23:29:01+00:00,0,False,active,0,406,5,,,2020-08-13 23:41:15,2020
295,0,True,407,True,1,True,2020-08-13 23:37:01+00:00,1,False,active,0,407,17,,,2020-08-13 23:41:15,2020
296,0,True,408,True,4,True,2020-08-13 21:57:31+00:00,0,False,active,0,408,11,,,2020-08-13 23:41:15,2020
297,0,True,409,True,1,True,2020-08-13 23:28:53+00:00,0,False,active,0,409,18,,,2020-08-13 23:41:15,2020
298,0,True,410,True,10,True,2020-08-13 21:54:19+00:00,0,False,active,0,410,9,,,2020-08-13 23:41:15,2020
299,0,True,411,True,4,True,2020-08-13 16:34:09+00:00,0,False,active,0,411,11,,,2020-08-13 23:41:15,2020
300,0,True,412,True,5,True,2020-08-13 22:44:01+00:00,0,False,active,0,412,14,,,2020-08-13 23:41:15,2020
301,0,True,413,True,9,True,2020-08-13 23:27:16+00:00,0,False,active,0,413,10,,,2020-08-13 23:41:15,2020
302,0,True,414,True,1,True,2020-08-13 23:28:41+00:00,0,False,active,0,414,22,,,2020-08-13 23:41:15,2020
303,0,True,415,True,2,True,2020-08-13 23:37:09+00:00,0,False,active,0,415,17,,,2020-08-13 23:41:15,2020
304,0,True,416,True,1,True,2020-08-13 23:38:41+00:00,0,False,active,0,416,14,,,2020-08-13 23:41:15,2020
305,0,True,417,True,13,True,2020-08-13 23:14:42+00:00,0,False,active,0,417,6,,,2020-08-13 23:41:15,2020
