,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
63,True,active,True,False,0,6,71,True,17,71,0,2020-08-03 13:36:47+00:00,0,,,2020-08-03 14:51:25,2020
64,True,active,True,False,0,8,72,True,15,72,0,2020-08-03 14:50:16+00:00,0,,,2020-08-03 14:51:25,2020
65,True,active,True,False,0,15,73,True,0,73,0,2020-08-03 13:01:35+00:00,0,,,2020-08-03 14:51:25,2020
66,True,active,True,True,0,16,74,True,0,74,0,2020-08-03 14:50:52+00:00,3,,,2020-08-03 14:51:25,2020
67,True,active,True,False,0,0,75,True,15,75,0,2020-08-03 12:47:04+00:00,0,,,2020-08-03 14:51:25,2020
68,True,active,True,False,0,3,76,True,14,76,0,2020-08-03 14:15:17+00:00,0,,,2020-08-03 14:51:25,2020
69,True,active,True,False,0,0,77,True,15,77,0,2020-08-03 14:48:02+00:00,0,,,2020-08-03 14:51:25,2020
70,True,active,True,False,0,4,78,True,14,78,0,2020-08-03 14:43:03+00:00,1,,,2020-08-03 14:51:25,2020
71,True,active,True,False,0,7,79,True,12,79,0,2020-08-03 14:46:24+00:00,0,,,2020-08-03 14:51:25,2020
72,True,active,True,False,0,32,80,True,2,80,0,2020-08-03 14:44:04+00:00,1,,,2020-08-03 14:51:25,2020
73,True,active,True,False,0,6,81,True,13,81,0,2020-08-03 14:46:45+00:00,0,,,2020-08-03 14:51:25,2020
74,True,active,True,False,0,3,82,True,12,82,0,2020-08-03 14:01:41+00:00,0,,,2020-08-03 14:51:25,2020
75,True,active,True,False,0,1,84,True,13,84,0,2020-08-03 13:32:05+00:00,1,,,2020-08-03 14:51:25,2020
76,True,active,True,False,0,18,85,True,1,85,0,2020-08-03 12:24:48+00:00,0,,,2020-08-03 14:51:25,2020
77,True,active,True,False,0,13,86,True,6,86,0,2020-08-03 14:44:36+00:00,0,,,2020-08-03 14:51:25,2020
78,True,active,True,False,0,5,87,True,10,87,0,2020-08-03 14:20:50+00:00,0,,,2020-08-03 14:51:25,2020
79,True,active,True,False,0,12,89,True,6,89,0,2020-08-03 14:43:12+00:00,1,,,2020-08-03 14:51:25,2020
80,True,active,True,False,0,6,90,True,13,90,0,2020-08-03 14:36:20+00:00,0,,,2020-08-03 14:51:25,2020
81,True,active,True,False,0,13,91,True,5,91,0,2020-08-03 14:40:10+00:00,1,,,2020-08-03 14:51:25,2020
82,True,active,True,False,0,19,92,True,0,92,0,2020-08-03 08:43:47+00:00,0,,,2020-08-03 14:51:25,2020
83,True,active,True,False,0,11,93,True,2,93,0,2020-08-03 14:37:20+00:00,2,,,2020-08-03 14:51:25,2020
84,True,active,True,False,0,3,94,True,8,94,0,2020-08-03 14:31:19+00:00,0,,,2020-08-03 14:51:25,2020
85,True,active,True,False,0,1,95,True,14,95,0,2020-08-03 14:35:08+00:00,0,,,2020-08-03 14:51:25,2020
86,True,active,True,False,0,5,96,True,14,96,0,2020-08-03 13:38:58+00:00,0,,,2020-08-03 14:51:25,2020
87,True,active,True,False,0,2,97,True,16,97,0,2020-08-03 14:50:15+00:00,1,,,2020-08-03 14:51:25,2020
88,True,active,True,False,0,3,98,True,17,98,0,2020-08-03 14:05:51+00:00,2,,,2020-08-03 14:51:25,2020
89,True,active,True,False,0,11,99,True,4,99,0,2020-08-03 14:23:39+00:00,0,,,2020-08-03 14:51:25,2020
90,True,active,True,True,0,18,100,True,6,100,0,2020-08-03 14:00:35+00:00,1,,,2020-08-03 14:51:25,2020
91,True,active,True,False,0,11,101,True,4,101,0,2020-08-03 13:41:22+00:00,0,,,2020-08-03 14:51:25,2020
92,True,active,True,False,0,12,102,True,3,102,0,2020-08-03 13:41:07+00:00,0,,,2020-08-03 14:51:25,2020
93,True,active,True,False,0,0,103,True,14,103,0,2020-08-03 14:17:15+00:00,1,,,2020-08-03 14:51:25,2020
94,True,active,True,False,0,7,104,True,11,104,0,2020-08-03 13:51:27+00:00,1,,,2020-08-03 14:51:25,2020
95,True,active,True,False,0,7,105,True,12,105,0,2020-08-03 14:50:33+00:00,0,,,2020-08-03 14:51:25,2020
96,True,active,True,False,0,6,106,True,9,106,0,2020-08-03 14:01:47+00:00,0,,,2020-08-03 14:51:25,2020
97,True,active,True,False,0,14,107,True,3,107,0,2020-08-03 14:33:39+00:00,2,,,2020-08-03 14:51:25,2020
98,True,active,True,False,0,10,108,True,6,108,0,2020-08-03 14:27:53+00:00,1,,,2020-08-03 14:51:25,2020
99,True,active,True,False,0,23,109,True,11,109,0,2020-08-03 11:27:59+00:00,1,,,2020-08-03 14:51:25,2020
100,True,active,True,False,0,6,110,True,8,110,0,2020-08-03 14:33:21+00:00,1,,,2020-08-03 14:51:25,2020
101,True,active,True,False,0,1,111,True,14,111,0,2020-08-03 13:56:02+00:00,0,,,2020-08-03 14:51:25,2020
102,True,active,True,False,0,12,112,True,3,112,0,2020-08-03 12:08:03+00:00,0,,,2020-08-03 14:51:25,2020
103,True,active,True,False,0,5,113,True,10,113,0,2020-08-03 14:42:41+00:00,0,,,2020-08-03 14:51:25,2020
104,True,active,True,False,0,12,114,True,3,114,0,2020-08-03 13:51:26+00:00,0,,,2020-08-03 14:51:25,2020
105,True,active,True,False,0,15,115,True,3,115,0,2020-08-03 14:08:24+00:00,1,,,2020-08-03 14:51:25,2020
106,True,active,True,False,0,2,116,True,21,116,0,2020-08-03 14:44:53+00:00,0,,,2020-08-03 14:51:25,2020
107,True,active,True,False,0,0,117,True,19,117,0,2020-08-03 14:20:07+00:00,0,,,2020-08-03 14:51:25,2020
108,True,active,True,False,0,17,118,True,2,118,0,2020-08-03 14:01:56+00:00,0,,,2020-08-03 14:51:25,2020
109,True,active,True,False,0,1,119,True,14,119,0,2020-08-03 14:22:59+00:00,0,,,2020-08-03 14:51:25,2020
110,True,active,True,False,0,4,120,True,9,120,0,2020-08-03 14:06:42+00:00,2,,,2020-08-03 14:51:25,2020
