,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,station_status,legacy_id,num_bikes_disabled,eightd_has_available_keys,is_installed,num_bikes_available,is_renting,is_returning,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
78,6,0,89,0,active,89,0,False,True,13,True,True,2020-07-31 18:24:28+00:00,,,2020-07-31 18:36:20,2020
79,18,0,90,0,active,90,0,False,True,1,True,True,2020-07-31 18:19:03+00:00,,,2020-07-31 18:36:20,2020
80,3,0,91,0,active,91,0,False,True,16,True,True,2020-07-31 18:35:27+00:00,,,2020-07-31 18:36:20,2020
81,4,0,92,0,active,92,0,False,True,15,True,True,2020-07-31 18:12:10+00:00,,,2020-07-31 18:36:20,2020
82,2,0,93,0,active,93,2,False,True,11,True,True,2020-07-31 18:01:10+00:00,,,2020-07-31 18:36:20,2020
83,4,0,94,0,active,94,0,False,True,7,True,True,2020-07-31 18:33:52+00:00,,,2020-07-31 18:36:20,2020
84,7,0,95,0,active,95,0,False,True,8,True,True,2020-07-31 18:33:59+00:00,,,2020-07-31 18:36:20,2020
85,17,0,96,0,active,96,0,False,True,2,True,True,2020-07-31 18:25:03+00:00,,,2020-07-31 18:36:20,2020
86,10,0,97,0,active,97,0,False,True,9,True,True,2020-07-31 17:47:16+00:00,,,2020-07-31 18:36:20,2020
87,18,0,98,0,active,98,0,False,True,4,True,True,2020-07-31 18:33:13+00:00,,,2020-07-31 18:36:20,2020
88,5,0,99,0,active,99,0,False,True,10,True,True,2020-07-31 16:53:35+00:00,,,2020-07-31 18:36:20,2020
89,11,0,100,0,active,100,1,True,True,13,True,True,2020-07-31 18:15:46+00:00,,,2020-07-31 18:36:20,2020
90,15,0,101,0,active,101,0,False,True,0,True,True,2020-07-31 13:22:41+00:00,,,2020-07-31 18:36:20,2020
91,15,0,102,0,active,102,0,False,True,0,True,True,2020-07-31 17:15:10+00:00,,,2020-07-31 18:36:20,2020
92,14,0,103,0,active,103,1,False,True,0,True,True,2020-07-31 17:31:29+00:00,,,2020-07-31 18:36:20,2020
93,3,0,104,0,active,104,0,False,True,16,True,True,2020-07-31 18:04:35+00:00,,,2020-07-31 18:36:20,2020
94,19,0,105,0,active,105,0,False,True,0,True,True,2020-07-31 18:03:43+00:00,,,2020-07-31 18:36:20,2020
95,9,0,106,0,active,106,1,False,True,5,True,True,2020-07-31 17:50:11+00:00,,,2020-07-31 18:36:20,2020
96,0,0,107,0,active,107,0,False,True,19,True,True,2020-07-31 18:31:56+00:00,,,2020-07-31 18:36:20,2020
97,5,0,108,0,active,108,0,False,True,12,True,True,2020-07-31 17:59:52+00:00,,,2020-07-31 18:36:20,2020
98,8,0,109,0,active,109,2,False,True,25,True,True,2020-07-31 18:31:32+00:00,,,2020-07-31 18:36:20,2020
99,5,0,110,0,active,110,1,False,True,9,True,True,2020-07-31 18:31:21+00:00,,,2020-07-31 18:36:20,2020
100,14,0,111,0,active,111,0,False,True,1,True,True,2020-07-31 18:30:00+00:00,,,2020-07-31 18:36:20,2020
101,11,0,112,0,active,112,0,False,True,4,True,True,2020-07-31 15:49:48+00:00,,,2020-07-31 18:36:20,2020
102,11,0,113,0,active,113,1,False,True,3,True,True,2020-07-31 18:08:23+00:00,,,2020-07-31 18:36:20,2020
103,10,0,114,0,active,114,0,False,True,5,True,True,2020-07-31 18:09:26+00:00,,,2020-07-31 18:36:20,2020
104,10,0,115,0,active,115,1,False,True,8,True,True,2020-07-31 18:27:01+00:00,,,2020-07-31 18:36:20,2020
105,16,0,116,0,active,116,0,False,True,7,True,True,2020-07-31 18:19:17+00:00,,,2020-07-31 18:36:20,2020
