,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
84,95,True,True,active,1,7,7,95,False,2020-08-20 23:29:18+00:00,True,0,0,,,2020-08-20 23:33:35,2020
85,96,True,True,active,1,8,10,96,False,2020-08-20 23:30:48+00:00,True,0,0,,,2020-08-20 23:33:35,2020
86,97,True,True,active,0,14,5,97,False,2020-08-20 23:30:12+00:00,True,0,0,,,2020-08-20 23:33:35,2020
87,98,True,True,active,0,9,14,98,False,2020-08-20 23:29:56+00:00,True,0,0,,,2020-08-20 23:33:35,2020
88,99,True,True,active,2,5,8,99,False,2020-08-20 23:25:43+00:00,True,0,0,,,2020-08-20 23:33:35,2020
89,100,True,True,active,1,16,8,100,True,2020-08-20 23:13:29+00:00,True,0,0,,,2020-08-20 23:33:35,2020
90,101,True,True,active,0,8,7,101,False,2020-08-20 23:00:40+00:00,True,0,0,,,2020-08-20 23:33:35,2020
91,102,True,True,active,0,13,2,102,False,2020-08-20 23:24:49+00:00,True,0,0,,,2020-08-20 23:33:35,2020
92,103,True,True,active,0,4,11,103,False,2020-08-20 23:27:44+00:00,True,0,0,,,2020-08-20 23:33:35,2020
93,104,True,True,active,0,15,4,104,False,2020-08-20 22:58:21+00:00,True,0,0,,,2020-08-20 23:33:35,2020
94,105,True,True,active,0,12,7,105,False,2020-08-20 23:33:25+00:00,True,0,0,,,2020-08-20 23:33:35,2020
95,106,True,True,active,0,8,7,106,False,2020-08-20 22:38:04+00:00,True,0,0,,,2020-08-20 23:33:35,2020
96,107,True,True,active,0,19,0,107,False,2020-08-20 23:13:11+00:00,True,0,0,,,2020-08-20 23:33:35,2020
97,108,True,True,active,0,16,1,108,False,2020-08-20 23:20:10+00:00,True,0,0,,,2020-08-20 23:33:35,2020
98,109,True,True,active,0,34,1,109,False,2020-08-20 23:19:31+00:00,True,0,0,,,2020-08-20 23:33:35,2020
99,110,True,True,active,0,14,1,110,False,2020-08-20 22:53:35+00:00,True,0,0,,,2020-08-20 23:33:35,2020
100,111,True,True,active,0,9,6,111,False,2020-08-20 22:33:35+00:00,True,0,0,,,2020-08-20 23:33:35,2020
101,112,True,True,active,0,14,1,112,False,2020-08-20 23:31:45+00:00,True,0,0,,,2020-08-20 23:33:35,2020
102,113,True,True,active,3,8,4,113,False,2020-08-20 23:33:12+00:00,True,0,0,,,2020-08-20 23:33:35,2020
103,114,True,True,active,0,12,3,114,False,2020-08-20 22:09:10+00:00,True,0,0,,,2020-08-20 23:33:35,2020
104,115,True,True,active,0,10,9,115,False,2020-08-20 23:32:33+00:00,True,0,0,,,2020-08-20 23:33:35,2020
105,116,True,True,active,0,22,1,116,False,2020-08-20 23:31:11+00:00,True,0,0,,,2020-08-20 23:33:35,2020
106,117,True,True,active,0,17,2,117,False,2020-08-20 22:25:00+00:00,True,0,0,,,2020-08-20 23:33:35,2020
107,118,True,True,active,1,5,13,118,False,2020-08-20 23:29:51+00:00,True,0,0,,,2020-08-20 23:33:35,2020
108,119,True,True,active,0,13,2,119,False,2020-08-20 23:31:34+00:00,True,0,0,,,2020-08-20 23:33:35,2020
109,120,True,True,active,1,8,6,120,False,2020-08-20 23:28:26+00:00,True,0,0,,,2020-08-20 23:33:35,2020
110,121,True,True,active,0,4,13,121,False,2020-08-20 23:32:48+00:00,True,0,0,,,2020-08-20 23:33:35,2020
111,122,True,True,active,1,2,12,122,False,2020-08-20 23:30:39+00:00,True,0,0,,,2020-08-20 23:33:35,2020
112,124,True,True,active,0,14,1,124,False,2020-08-20 23:04:12+00:00,True,0,0,,,2020-08-20 23:33:35,2020
113,125,True,True,active,1,9,5,125,False,2020-08-20 23:18:09+00:00,True,0,0,,,2020-08-20 23:33:35,2020
114,126,True,True,active,1,1,13,126,False,2020-08-20 22:46:02+00:00,True,0,0,,,2020-08-20 23:33:35,2020
115,128,True,True,active,0,15,4,128,False,2020-08-20 22:24:30+00:00,True,0,0,,,2020-08-20 23:33:35,2020
116,129,True,True,active,0,15,4,129,False,2020-08-20 23:06:19+00:00,True,0,0,,,2020-08-20 23:33:35,2020
117,130,True,True,active,0,5,10,130,False,2020-08-20 23:16:03+00:00,True,0,0,,,2020-08-20 23:33:35,2020
118,131,True,True,active,0,10,8,131,False,2020-08-20 23:26:51+00:00,True,0,0,,,2020-08-20 23:33:35,2020
119,133,True,True,active,0,12,11,133,False,2020-08-20 23:16:03+00:00,True,0,0,,,2020-08-20 23:33:35,2020
120,135,True,True,active,0,17,0,135,False,2020-08-20 21:39:52+00:00,True,0,0,,,2020-08-20 23:33:35,2020
121,136,True,True,active,0,19,0,136,False,2020-08-20 21:34:48+00:00,True,0,0,,,2020-08-20 23:33:35,2020
122,137,True,True,active,0,8,7,137,False,2020-08-20 23:23:35+00:00,True,0,0,,,2020-08-20 23:33:35,2020
123,138,True,True,active,2,10,3,138,False,2020-08-20 22:20:11+00:00,True,0,0,,,2020-08-20 23:33:35,2020
124,139,True,True,active,0,13,6,139,False,2020-08-20 23:33:22+00:00,True,0,0,,,2020-08-20 23:33:35,2020
125,140,True,True,active,0,5,12,140,False,2020-08-20 23:16:33+00:00,True,0,0,,,2020-08-20 23:33:35,2020
126,141,True,True,active,0,11,4,141,False,2020-08-20 23:03:39+00:00,True,0,0,,,2020-08-20 23:33:35,2020
127,142,True,True,active,0,8,15,142,False,2020-08-20 23:16:57+00:00,True,0,0,,,2020-08-20 23:33:35,2020
128,143,True,True,active,0,11,12,143,False,2020-08-20 23:22:27+00:00,True,0,0,,,2020-08-20 23:33:35,2020
129,144,True,True,active,0,2,17,144,False,2020-08-20 23:12:07+00:00,True,0,0,,,2020-08-20 23:33:35,2020
130,145,True,True,active,0,3,16,145,False,2020-08-20 23:32:45+00:00,True,0,0,,,2020-08-20 23:33:35,2020
131,146,True,True,active,0,11,8,146,False,2020-08-20 23:16:56+00:00,True,0,0,,,2020-08-20 23:33:35,2020
132,149,True,True,active,2,13,3,149,True,2020-08-20 23:18:01+00:00,True,0,0,,,2020-08-20 23:33:35,2020
133,150,True,True,active,0,10,9,150,False,2020-08-20 23:32:49+00:00,True,0,0,,,2020-08-20 23:33:35,2020
134,151,True,True,active,1,17,1,151,False,2020-08-20 23:28:14+00:00,True,0,0,,,2020-08-20 23:33:35,2020
135,152,True,True,active,1,7,7,152,True,2020-08-20 23:33:14+00:00,True,0,0,,,2020-08-20 23:33:35,2020
136,156,True,True,active,1,6,8,156,False,2020-08-20 23:02:28+00:00,True,0,0,,,2020-08-20 23:33:35,2020
137,157,True,True,active,0,7,8,157,False,2020-08-20 23:28:07+00:00,True,0,0,,,2020-08-20 23:33:35,2020
138,159,True,True,active,0,14,1,159,False,2020-08-20 23:17:43+00:00,True,0,0,,,2020-08-20 23:33:35,2020
139,160,True,True,active,0,11,3,160,True,2020-08-20 23:27:57+00:00,True,0,0,,,2020-08-20 23:33:35,2020
140,161,True,True,active,0,17,6,161,True,2020-08-20 23:32:41+00:00,True,0,0,,,2020-08-20 23:33:35,2020
141,162,True,True,active,0,9,6,162,False,2020-08-20 19:32:17+00:00,True,0,0,,,2020-08-20 23:33:35,2020
142,163,True,True,active,0,7,12,163,True,2020-08-20 23:12:38+00:00,True,0,0,,,2020-08-20 23:33:35,2020
143,167,True,True,active,0,12,3,167,False,2020-08-20 23:22:47+00:00,True,0,0,,,2020-08-20 23:33:35,2020
144,169,True,True,active,0,14,5,169,False,2020-08-20 22:58:50+00:00,True,0,0,,,2020-08-20 23:33:35,2020
145,170,True,True,active,0,7,7,170,True,2020-08-20 23:12:03+00:00,True,0,0,,,2020-08-20 23:33:35,2020
146,171,True,True,active,0,10,13,171,True,2020-08-20 23:29:26+00:00,True,0,0,,,2020-08-20 23:33:35,2020
147,173,True,True,active,0,7,7,173,True,2020-08-20 22:13:49+00:00,True,0,0,,,2020-08-20 23:33:35,2020
148,174,True,True,active,0,12,3,174,False,2020-08-20 23:00:51+00:00,True,0,0,,,2020-08-20 23:33:35,2020
149,175,True,True,active,2,9,6,175,True,2020-08-20 23:25:24+00:00,True,0,0,,,2020-08-20 23:33:35,2020
150,176,True,True,active,0,2,13,176,False,2020-08-20 23:32:22+00:00,True,0,0,,,2020-08-20 23:33:35,2020
151,177,True,True,active,1,12,6,177,False,2020-08-20 23:33:24+00:00,True,0,0,,,2020-08-20 23:33:35,2020
152,178,True,True,active,0,14,5,178,False,2020-08-20 23:29:46+00:00,True,0,0,,,2020-08-20 23:33:35,2020
153,179,True,True,active,0,11,14,179,False,2020-08-20 23:23:24+00:00,True,0,0,,,2020-08-20 23:33:35,2020
154,180,True,True,active,0,5,14,180,False,2020-08-20 23:28:22+00:00,True,0,0,,,2020-08-20 23:33:35,2020
155,181,True,True,active,0,11,8,181,False,2020-08-20 23:19:20+00:00,True,0,0,,,2020-08-20 23:33:35,2020
156,182,True,True,active,0,16,3,182,True,2020-08-20 23:08:19+00:00,True,0,0,,,2020-08-20 23:33:35,2020
157,183,True,True,active,0,17,2,183,False,2020-08-20 22:52:45+00:00,True,0,0,,,2020-08-20 23:33:35,2020
158,184,True,True,active,0,19,0,184,False,2020-08-20 22:13:11+00:00,True,0,0,,,2020-08-20 23:33:35,2020
159,185,True,True,active,0,12,3,185,False,2020-08-20 23:28:11+00:00,True,0,0,,,2020-08-20 23:33:35,2020
160,186,True,True,active,0,11,4,186,True,2020-08-20 23:25:26+00:00,True,0,0,,,2020-08-20 23:33:35,2020
161,187,True,True,active,0,12,3,187,False,2020-08-20 23:21:24+00:00,True,0,0,,,2020-08-20 23:33:35,2020
162,188,True,True,active,0,2,13,188,False,2020-08-20 23:25:25+00:00,True,0,0,,,2020-08-20 23:33:35,2020
163,189,True,True,active,1,20,2,189,True,2020-08-20 23:29:08+00:00,True,0,0,,,2020-08-20 23:33:35,2020
