,is_renting,num_bikes_disabled,last_reported,station_status,num_ebikes_available,station_id,eightd_has_available_keys,legacy_id,num_docks_available,num_docks_disabled,is_installed,is_returning,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
95,True,0,2020-07-11 22:07:32+00:00,active,0,106,False,106,4,0,True,True,11,,,2020-07-11 23:29:05,2020
96,True,0,2020-07-11 23:27:52+00:00,active,0,107,False,107,16,0,True,True,3,,,2020-07-11 23:29:05,2020
97,True,1,2020-07-11 23:15:16+00:00,active,0,108,False,108,13,0,True,True,3,,,2020-07-11 23:29:05,2020
98,True,0,2020-07-11 23:23:39+00:00,active,0,109,False,109,33,0,True,True,2,,,2020-07-11 23:29:05,2020
99,True,0,2020-07-11 23:00:09+00:00,active,0,110,False,110,10,0,True,True,5,,,2020-07-11 23:29:05,2020
100,True,0,2020-07-11 22:11:35+00:00,active,0,111,False,111,13,0,True,True,2,,,2020-07-11 23:29:05,2020
101,True,1,2020-07-11 20:44:49+00:00,active,0,112,False,112,8,0,True,True,6,,,2020-07-11 23:29:05,2020
102,True,1,2020-07-11 23:16:12+00:00,active,0,113,False,113,11,0,True,True,3,,,2020-07-11 23:29:05,2020
103,True,1,2020-07-11 23:23:27+00:00,active,0,114,False,114,8,0,True,True,6,,,2020-07-11 23:29:05,2020
104,True,0,2020-07-11 23:23:24+00:00,active,0,115,False,115,9,0,True,True,10,,,2020-07-11 23:29:05,2020
105,True,1,2020-07-11 23:28:49+00:00,active,0,116,False,116,11,0,True,True,11,,,2020-07-11 23:29:05,2020
106,True,0,2020-07-11 22:56:15+00:00,active,0,117,False,117,11,0,True,True,8,,,2020-07-11 23:29:05,2020
107,True,1,2020-07-11 23:24:06+00:00,active,0,118,False,118,1,0,True,True,17,,,2020-07-11 23:29:05,2020
108,True,1,2020-07-11 23:17:01+00:00,active,0,119,False,119,6,0,True,True,8,,,2020-07-11 23:29:05,2020
109,True,0,2020-07-11 23:28:02+00:00,active,0,120,False,120,14,0,True,True,1,,,2020-07-11 23:29:05,2020
110,True,1,2020-07-11 22:50:34+00:00,active,0,121,False,121,2,0,True,True,14,,,2020-07-11 23:29:05,2020
111,True,0,2020-07-11 23:04:30+00:00,active,0,122,False,122,2,0,True,True,13,,,2020-07-11 23:29:05,2020
112,True,0,2020-07-11 21:10:44+00:00,active,0,124,False,124,9,0,True,True,6,,,2020-07-11 23:29:05,2020
113,True,0,2020-07-11 23:11:34+00:00,active,0,125,False,125,0,0,True,True,15,,,2020-07-11 23:29:05,2020
114,True,0,2020-07-11 23:10:56+00:00,active,0,126,False,126,12,0,True,True,3,,,2020-07-11 23:29:05,2020
115,True,0,2020-07-11 22:08:40+00:00,active,0,128,False,128,1,0,True,True,18,,,2020-07-11 23:29:05,2020
116,True,0,2020-07-11 20:40:28+00:00,active,0,129,False,129,2,0,True,True,17,,,2020-07-11 23:29:05,2020
117,True,0,2020-07-11 22:26:57+00:00,active,0,130,False,130,1,0,True,True,14,,,2020-07-11 23:29:05,2020
118,True,1,2020-07-11 23:25:03+00:00,active,0,131,False,131,6,0,True,True,11,,,2020-07-11 23:29:05,2020
119,True,1,2020-07-11 23:27:15+00:00,active,0,133,False,133,11,0,True,True,11,,,2020-07-11 23:29:05,2020
120,True,1,2020-07-11 23:19:50+00:00,active,0,134,False,134,13,0,True,True,1,,,2020-07-11 23:29:05,2020
121,True,0,2020-07-11 22:43:55+00:00,active,0,135,False,135,15,0,True,True,2,,,2020-07-11 23:29:05,2020
122,True,0,2020-07-11 22:47:52+00:00,active,0,136,False,136,18,0,True,True,1,,,2020-07-11 23:29:05,2020
123,True,0,2020-07-11 22:20:57+00:00,active,0,137,False,137,12,0,True,True,3,,,2020-07-11 23:29:05,2020
124,True,1,2020-07-11 23:23:53+00:00,active,0,138,False,138,6,0,True,True,8,,,2020-07-11 23:29:05,2020
125,True,1,2020-07-11 23:25:35+00:00,active,0,139,False,139,16,0,True,True,2,,,2020-07-11 23:29:05,2020
126,True,2,2020-07-11 23:18:41+00:00,active,0,140,False,140,0,0,True,True,15,,,2020-07-11 23:29:05,2020
127,True,0,2020-07-11 23:22:50+00:00,active,0,141,False,141,8,0,True,True,7,,,2020-07-11 23:29:05,2020
128,True,0,2020-07-11 23:10:49+00:00,active,0,142,False,142,23,0,True,True,0,,,2020-07-11 23:29:05,2020
129,True,2,2020-07-11 23:15:00+00:00,active,0,143,False,143,21,0,True,True,0,,,2020-07-11 23:29:05,2020
130,True,1,2020-07-11 23:06:58+00:00,active,0,144,False,144,4,0,True,True,14,,,2020-07-11 23:29:05,2020
131,True,0,2020-07-11 22:48:54+00:00,active,0,145,False,145,2,0,True,True,17,,,2020-07-11 23:29:05,2020
132,True,0,2020-07-11 23:12:07+00:00,active,0,146,False,146,19,0,True,True,0,,,2020-07-11 23:29:05,2020
133,True,0,2020-07-11 23:28:42+00:00,active,0,149,True,149,3,0,True,True,15,,,2020-07-11 23:29:05,2020
