,is_renting,last_reported,station_status,legacy_id,num_bikes_disabled,station_id,num_bikes_available,num_ebikes_available,is_installed,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
201,True,2020-08-21 13:11:22+00:00,active,234,0,234,0,0,True,0,True,15,False,,,2020-08-21 17:43:55,2020
202,True,2020-08-21 16:13:58+00:00,active,235,0,235,9,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
203,True,2020-08-21 17:34:15+00:00,active,236,0,236,7,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
204,True,2020-08-21 17:27:54+00:00,active,239,1,239,2,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
205,True,2020-08-21 08:51:35+00:00,active,255,0,255,6,0,True,0,True,9,False,,,2020-08-21 17:43:55,2020
206,True,2020-08-21 17:29:41+00:00,active,258,0,258,11,0,True,0,True,4,False,,,2020-08-21 17:43:55,2020
207,True,2020-08-21 08:52:15+00:00,active,259,0,259,9,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
208,True,2020-08-21 17:24:47+00:00,active,260,0,260,3,0,True,0,True,12,False,,,2020-08-21 17:43:55,2020
209,True,2020-08-21 16:45:24+00:00,active,271,0,271,11,0,True,0,True,4,False,,,2020-08-21 17:43:55,2020
210,True,2020-08-21 10:57:50+00:00,active,272,0,272,8,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
211,True,2020-08-21 17:12:11+00:00,active,273,0,273,32,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
212,True,2020-08-21 17:31:06+00:00,active,279,0,279,15,0,True,0,True,4,False,,,2020-08-21 17:43:55,2020
213,True,2020-08-21 16:54:50+00:00,active,280,0,280,14,0,True,0,True,5,False,,,2020-08-21 17:43:55,2020
214,True,2020-08-21 16:54:04+00:00,active,282,0,282,2,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
215,True,2020-08-21 17:36:23+00:00,active,296,1,296,5,0,True,0,True,17,False,,,2020-08-21 17:43:55,2020
216,True,2020-08-21 17:42:09+00:00,active,318,0,318,18,0,True,0,True,1,False,,,2020-08-21 17:43:55,2020
217,True,2020-08-21 17:19:04+00:00,active,319,0,319,2,0,True,0,True,23,False,,,2020-08-21 17:43:55,2020
218,True,2020-08-21 17:05:03+00:00,active,327,0,327,0,0,True,0,True,15,False,,,2020-08-21 17:43:55,2020
219,True,2020-08-21 17:34:23+00:00,active,328,0,328,13,0,True,0,True,2,False,,,2020-08-21 17:43:55,2020
220,True,2020-08-21 17:37:04+00:00,active,329,0,329,4,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
221,True,2020-08-21 17:14:36+00:00,active,330,0,330,12,0,True,0,True,3,False,,,2020-08-21 17:43:55,2020
222,True,2020-08-21 17:38:01+00:00,active,331,0,331,12,0,True,0,True,3,False,,,2020-08-21 17:43:55,2020
223,True,2020-08-21 17:31:32+00:00,active,332,0,332,1,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
224,True,2020-08-21 16:30:32+00:00,active,333,0,333,19,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
225,True,2020-08-21 17:33:46+00:00,active,334,0,334,16,0,True,0,True,3,False,,,2020-08-21 17:43:55,2020
226,True,2020-08-21 17:37:28+00:00,active,335,0,335,2,0,True,0,True,17,False,,,2020-08-21 17:43:55,2020
227,True,2020-08-21 16:38:59+00:00,active,336,0,336,1,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
228,True,2020-08-21 15:48:41+00:00,active,337,0,337,13,0,True,0,True,2,False,,,2020-08-21 17:43:55,2020
229,True,2020-08-21 17:24:53+00:00,active,338,0,338,4,0,True,0,True,11,False,,,2020-08-21 17:43:55,2020
