,eightd_has_available_keys,num_docks_disabled,is_renting,num_docks_available,is_installed,num_ebikes_available,legacy_id,last_reported,is_returning,station_status,num_bikes_available,station_id,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
83,False,0,True,2,True,0,94,2020-07-29 19:42:14+00:00,True,active,9,94,0,,,2020-07-29 20:17:20,2020
84,False,0,True,8,True,0,95,2020-07-29 20:10:35+00:00,True,active,6,95,1,,,2020-07-29 20:17:20,2020
85,False,0,True,17,True,0,96,2020-07-29 20:07:52+00:00,True,active,2,96,0,,,2020-07-29 20:17:20,2020
86,False,0,True,11,True,0,97,2020-07-29 20:14:15+00:00,True,active,7,97,1,,,2020-07-29 20:17:20,2020
87,False,0,True,12,True,0,98,2020-07-29 20:09:56+00:00,True,active,10,98,0,,,2020-07-29 20:17:20,2020
88,False,0,True,5,True,0,99,2020-07-29 19:26:44+00:00,True,active,8,99,2,,,2020-07-29 20:17:20,2020
89,True,0,True,8,True,0,100,2020-07-29 19:43:28+00:00,True,active,15,100,2,,,2020-07-29 20:17:20,2020
90,False,0,True,14,True,0,101,2020-07-29 18:19:25+00:00,True,active,1,101,0,,,2020-07-29 20:17:20,2020
91,False,0,True,15,True,0,102,2020-07-29 18:07:51+00:00,True,active,0,102,0,,,2020-07-29 20:17:20,2020
92,False,0,True,12,True,0,103,2020-07-29 20:13:17+00:00,True,active,3,103,0,,,2020-07-29 20:17:20,2020
93,False,0,True,10,True,0,104,2020-07-29 20:01:16+00:00,True,active,8,104,1,,,2020-07-29 20:17:20,2020
94,False,0,True,7,True,0,105,2020-07-29 20:04:02+00:00,True,active,11,105,1,,,2020-07-29 20:17:20,2020
95,False,0,True,4,True,0,106,2020-07-29 12:13:40+00:00,True,active,11,106,0,,,2020-07-29 20:17:20,2020
96,False,0,True,9,True,0,107,2020-07-29 20:14:22+00:00,True,active,9,107,1,,,2020-07-29 20:17:20,2020
97,False,0,True,1,True,0,108,2020-07-29 20:15:01+00:00,True,active,15,108,1,,,2020-07-29 20:17:20,2020
98,False,0,True,12,True,0,109,2020-07-29 18:46:27+00:00,True,active,21,109,2,,,2020-07-29 20:17:20,2020
99,False,0,True,10,True,0,110,2020-07-29 20:11:58+00:00,True,active,4,110,1,,,2020-07-29 20:17:20,2020
100,False,0,True,9,True,0,111,2020-07-29 19:46:15+00:00,True,active,6,111,0,,,2020-07-29 20:17:20,2020
101,False,0,True,8,True,0,112,2020-07-29 20:01:51+00:00,True,active,7,112,0,,,2020-07-29 20:17:20,2020
102,False,0,True,13,True,0,113,2020-07-29 20:15:28+00:00,True,active,2,113,0,,,2020-07-29 20:17:20,2020
103,False,0,True,8,True,0,114,2020-07-29 19:42:18+00:00,True,active,7,114,0,,,2020-07-29 20:17:20,2020
104,False,0,True,7,True,0,115,2020-07-29 19:13:36+00:00,True,active,11,115,1,,,2020-07-29 20:17:20,2020
105,False,0,True,21,True,0,116,2020-07-29 19:47:31+00:00,True,active,2,116,0,,,2020-07-29 20:17:20,2020
106,False,0,True,1,True,0,117,2020-07-29 20:07:40+00:00,True,active,18,117,0,,,2020-07-29 20:17:20,2020
107,False,0,True,13,True,0,118,2020-07-29 19:40:24+00:00,True,active,6,118,0,,,2020-07-29 20:17:20,2020
108,False,0,True,8,True,0,119,2020-07-29 20:01:41+00:00,True,active,7,119,0,,,2020-07-29 20:17:20,2020
109,False,0,True,11,True,0,120,2020-07-29 20:06:46+00:00,True,active,4,120,0,,,2020-07-29 20:17:20,2020
110,False,0,True,14,True,0,121,2020-07-29 20:11:47+00:00,True,active,2,121,1,,,2020-07-29 20:17:20,2020
111,False,0,True,10,True,0,122,2020-07-29 19:52:56+00:00,True,active,5,122,0,,,2020-07-29 20:17:20,2020
112,False,0,True,12,True,0,124,2020-07-29 18:12:32+00:00,True,active,3,124,0,,,2020-07-29 20:17:20,2020
113,False,0,True,11,True,0,125,2020-07-29 20:03:05+00:00,True,active,4,125,0,,,2020-07-29 20:17:20,2020
114,False,0,True,14,True,0,126,2020-07-29 17:01:49+00:00,True,active,1,126,0,,,2020-07-29 20:17:20,2020
