,is_returning,last_reported,station_id,eightd_has_available_keys,num_bikes_available,num_ebikes_available,num_docks_available,is_renting,legacy_id,station_status,num_docks_disabled,num_bikes_disabled,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
115,True,2020-08-15 20:11:03+00:00,128,False,17,0,2,True,128,active,0,0,True,,,2020-08-15 21:19:05,2020
116,True,2020-08-15 21:03:11+00:00,129,False,13,0,6,True,129,active,0,0,True,,,2020-08-15 21:19:05,2020
117,True,2020-08-15 20:44:32+00:00,130,False,13,0,2,True,130,active,0,0,True,,,2020-08-15 21:19:05,2020
118,True,2020-08-15 21:11:11+00:00,131,False,3,0,14,True,131,active,0,1,True,,,2020-08-15 21:19:05,2020
119,True,2020-08-15 21:05:10+00:00,133,False,1,0,22,True,133,active,0,0,True,,,2020-08-15 21:19:05,2020
120,True,2020-08-15 20:24:28+00:00,135,False,4,0,13,True,135,active,0,0,True,,,2020-08-15 21:19:05,2020
121,True,2020-08-15 18:51:10+00:00,136,False,6,0,13,True,136,active,0,0,True,,,2020-08-15 21:19:05,2020
122,True,2020-08-15 21:06:16+00:00,137,False,9,0,5,True,137,active,0,1,True,,,2020-08-15 21:19:05,2020
123,True,2020-08-15 21:18:56+00:00,138,False,4,0,8,True,138,active,0,3,True,,,2020-08-15 21:19:05,2020
124,True,2020-08-15 21:14:11+00:00,139,False,0,0,18,True,139,active,0,1,True,,,2020-08-15 21:19:05,2020
125,True,2020-08-15 21:15:00+00:00,140,False,10,0,7,True,140,active,0,0,True,,,2020-08-15 21:19:05,2020
126,True,2020-08-15 21:18:46+00:00,141,False,3,0,12,True,141,active,0,0,True,,,2020-08-15 21:19:05,2020
127,True,2020-08-15 19:57:45+00:00,142,False,22,0,1,True,142,active,0,0,True,,,2020-08-15 21:19:05,2020
128,True,2020-08-15 20:59:59+00:00,143,False,8,0,14,True,143,active,0,1,True,,,2020-08-15 21:19:05,2020
129,True,2020-08-15 19:39:16+00:00,144,False,16,0,3,True,144,active,0,0,True,,,2020-08-15 21:19:05,2020
130,True,2020-08-15 20:56:42+00:00,145,False,15,0,4,True,145,active,0,0,True,,,2020-08-15 21:19:05,2020
131,True,2020-08-15 21:03:44+00:00,146,False,11,0,7,True,146,active,0,1,True,,,2020-08-15 21:19:05,2020
132,True,2020-08-15 21:15:44+00:00,149,True,15,0,3,True,149,active,0,0,True,,,2020-08-15 21:19:05,2020
133,True,2020-08-15 20:54:08+00:00,150,False,16,0,2,True,150,active,0,1,True,,,2020-08-15 21:19:05,2020
134,True,2020-08-15 21:11:43+00:00,151,False,1,0,18,True,151,active,0,0,True,,,2020-08-15 21:19:05,2020
135,True,2020-08-15 21:17:44+00:00,152,True,12,0,3,True,152,active,0,0,True,,,2020-08-15 21:19:05,2020
136,True,2020-08-15 21:18:35+00:00,156,False,4,0,11,True,156,active,0,0,True,,,2020-08-15 21:19:05,2020
137,True,2020-08-15 21:11:56+00:00,157,False,1,0,13,True,157,active,0,1,True,,,2020-08-15 21:19:05,2020
138,True,2020-08-15 21:15:07+00:00,159,False,7,0,8,True,159,active,0,0,True,,,2020-08-15 21:19:05,2020
139,True,2020-08-15 21:03:25+00:00,160,True,4,0,10,True,160,active,0,0,True,,,2020-08-15 21:19:05,2020
140,True,2020-08-15 21:14:01+00:00,161,True,13,0,9,True,161,active,0,1,True,,,2020-08-15 21:19:05,2020
141,True,2020-08-15 21:02:32+00:00,162,False,2,0,13,True,162,active,0,0,True,,,2020-08-15 21:19:05,2020
142,True,2020-08-15 21:17:12+00:00,163,True,12,0,7,True,163,active,0,0,True,,,2020-08-15 21:19:05,2020
143,True,2020-08-15 21:11:37+00:00,167,False,5,0,10,True,167,active,0,0,True,,,2020-08-15 21:19:05,2020
144,True,2020-08-15 19:59:45+00:00,169,False,8,0,11,True,169,active,0,0,True,,,2020-08-15 21:19:05,2020
