,is_installed,num_bikes_available,last_reported,is_renting,num_ebikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_returning,station_id,station_status,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
186,True,11,2020-07-30 17:45:37+00:00,True,0,214,0,False,4,True,214,active,0,,,2020-07-30 18:37:05,2020
187,True,12,2020-07-30 17:58:27+00:00,True,0,215,0,False,3,True,215,active,0,,,2020-07-30 18:37:05,2020
188,True,17,2020-07-30 08:25:30+00:00,True,0,216,0,False,1,True,216,active,1,,,2020-07-30 18:37:05,2020
189,True,3,2020-07-30 18:21:04+00:00,True,0,217,0,False,16,True,217,active,0,,,2020-07-30 18:37:05,2020
190,True,9,2020-07-30 17:32:22+00:00,True,0,218,0,False,6,True,218,active,0,,,2020-07-30 18:37:05,2020
191,True,11,2020-07-30 18:33:47+00:00,True,0,219,0,False,4,True,219,active,0,,,2020-07-30 18:37:05,2020
192,True,8,2020-07-30 18:16:41+00:00,True,0,221,0,False,11,True,221,active,0,,,2020-07-30 18:37:05,2020
193,True,2,2020-07-30 17:30:58+00:00,True,0,222,0,True,12,True,222,active,0,,,2020-07-30 18:37:05,2020
194,True,8,2020-07-30 17:17:51+00:00,True,0,224,0,False,9,True,224,active,0,,,2020-07-30 18:37:05,2020
195,True,4,2020-07-30 18:18:56+00:00,True,0,225,0,False,14,True,225,active,1,,,2020-07-30 18:37:05,2020
196,True,4,2020-07-30 18:28:31+00:00,True,0,226,0,False,11,True,226,active,0,,,2020-07-30 18:37:05,2020
197,True,9,2020-07-30 18:17:44+00:00,True,0,227,0,False,9,True,227,active,1,,,2020-07-30 18:37:05,2020
198,True,10,2020-07-30 16:12:00+00:00,True,0,228,0,False,9,True,228,active,0,,,2020-07-30 18:37:05,2020
199,True,4,2020-07-30 08:11:52+00:00,True,0,232,0,False,7,True,232,active,0,,,2020-07-30 18:37:05,2020
200,True,4,2020-07-30 17:48:07+00:00,True,0,233,0,False,9,True,233,active,2,,,2020-07-30 18:37:05,2020
201,True,10,2020-07-30 16:54:25+00:00,True,0,234,0,False,5,True,234,active,0,,,2020-07-30 18:37:05,2020
202,True,6,2020-07-30 18:33:43+00:00,True,0,235,0,False,9,True,235,active,0,,,2020-07-30 18:37:05,2020
203,True,12,2020-07-30 18:25:53+00:00,True,0,236,0,False,3,True,236,active,0,,,2020-07-30 18:37:05,2020
204,True,1,2020-07-30 17:20:25+00:00,True,0,239,0,False,14,True,239,active,0,,,2020-07-30 18:37:05,2020
205,True,13,2020-07-30 01:59:20+00:00,True,0,255,0,False,2,True,255,active,0,,,2020-07-30 18:37:05,2020
206,True,11,2020-07-30 18:20:00+00:00,True,0,258,0,False,4,True,258,active,0,,,2020-07-30 18:37:05,2020
207,True,0,2020-07-30 17:16:15+00:00,True,0,259,0,False,15,True,259,active,0,,,2020-07-30 18:37:05,2020
