,last_reported,num_ebikes_available,num_docks_available,legacy_id,station_status,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,station_id,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
91,2020-07-11 23:27:11+00:00,0,9,102,active,0,True,True,True,False,102,0,6,,,2020-07-11 23:27:55,2020
92,2020-07-11 22:14:29+00:00,0,13,103,active,0,True,True,True,False,103,0,2,,,2020-07-11 23:27:55,2020
93,2020-07-11 23:25:54+00:00,0,1,104,active,0,True,True,True,False,104,0,18,,,2020-07-11 23:27:55,2020
94,2020-07-11 23:26:53+00:00,0,8,105,active,0,True,True,True,False,105,3,8,,,2020-07-11 23:27:55,2020
95,2020-07-11 22:07:32+00:00,0,4,106,active,0,True,True,True,False,106,0,11,,,2020-07-11 23:27:55,2020
96,2020-07-11 23:26:04+00:00,0,17,107,active,0,True,True,True,False,107,0,2,,,2020-07-11 23:27:55,2020
97,2020-07-11 23:15:16+00:00,0,13,108,active,0,True,True,True,False,108,1,3,,,2020-07-11 23:27:55,2020
98,2020-07-11 23:23:39+00:00,0,33,109,active,0,True,True,True,False,109,0,2,,,2020-07-11 23:27:55,2020
99,2020-07-11 23:00:09+00:00,0,10,110,active,0,True,True,True,False,110,0,5,,,2020-07-11 23:27:55,2020
100,2020-07-11 22:11:35+00:00,0,13,111,active,0,True,True,True,False,111,0,2,,,2020-07-11 23:27:55,2020
101,2020-07-11 20:44:49+00:00,0,8,112,active,0,True,True,True,False,112,1,6,,,2020-07-11 23:27:55,2020
102,2020-07-11 23:16:12+00:00,0,11,113,active,0,True,True,True,False,113,1,3,,,2020-07-11 23:27:55,2020
103,2020-07-11 23:23:27+00:00,0,8,114,active,0,True,True,True,False,114,1,6,,,2020-07-11 23:27:55,2020
104,2020-07-11 23:23:24+00:00,0,9,115,active,0,True,True,True,False,115,0,10,,,2020-07-11 23:27:55,2020
105,2020-07-11 23:11:54+00:00,0,12,116,active,0,True,True,True,False,116,0,11,,,2020-07-11 23:27:55,2020
106,2020-07-11 22:56:15+00:00,0,11,117,active,0,True,True,True,False,117,0,8,,,2020-07-11 23:27:55,2020
107,2020-07-11 23:24:06+00:00,0,1,118,active,0,True,True,True,False,118,1,17,,,2020-07-11 23:27:55,2020
108,2020-07-11 23:17:01+00:00,0,6,119,active,0,True,True,True,False,119,1,8,,,2020-07-11 23:27:55,2020
109,2020-07-11 23:27:42+00:00,0,12,120,active,0,True,True,True,False,120,0,3,,,2020-07-11 23:27:55,2020
110,2020-07-11 22:50:34+00:00,0,2,121,active,0,True,True,True,False,121,1,14,,,2020-07-11 23:27:55,2020
111,2020-07-11 23:04:30+00:00,0,2,122,active,0,True,True,True,False,122,0,13,,,2020-07-11 23:27:55,2020
112,2020-07-11 21:10:44+00:00,0,9,124,active,0,True,True,True,False,124,0,6,,,2020-07-11 23:27:55,2020
113,2020-07-11 23:11:34+00:00,0,0,125,active,0,True,True,True,False,125,0,15,,,2020-07-11 23:27:55,2020
114,2020-07-11 23:10:56+00:00,0,12,126,active,0,True,True,True,False,126,0,3,,,2020-07-11 23:27:55,2020
115,2020-07-11 22:08:40+00:00,0,1,128,active,0,True,True,True,False,128,0,18,,,2020-07-11 23:27:55,2020
116,2020-07-11 20:40:28+00:00,0,2,129,active,0,True,True,True,False,129,0,17,,,2020-07-11 23:27:55,2020
117,2020-07-11 22:26:57+00:00,0,1,130,active,0,True,True,True,False,130,0,14,,,2020-07-11 23:27:55,2020
118,2020-07-11 23:25:03+00:00,0,6,131,active,0,True,True,True,False,131,1,11,,,2020-07-11 23:27:55,2020
119,2020-07-11 23:27:15+00:00,0,11,133,active,0,True,True,True,False,133,1,11,,,2020-07-11 23:27:55,2020
