,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,timestamp
0,107,14,0,0,5,0,True,True,True,2020-03-10 21:22:45+00:00
1,190,7,0,2,28,0,True,True,True,2020-03-10 21:21:34+00:00
2,3,4,0,0,11,0,True,True,True,2020-03-10 21:22:12+00:00
3,4,9,0,0,10,0,True,True,True,2020-03-10 21:22:17+00:00
4,5,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
5,6,13,0,0,2,0,True,True,True,2020-03-10 21:19:35+00:00
6,7,14,0,0,1,0,True,True,True,2020-03-10 21:13:45+00:00
7,8,1,0,0,18,0,True,True,True,2020-03-10 21:19:13+00:00
8,9,1,0,0,14,0,True,True,True,2020-03-10 21:21:36+00:00
9,10,7,0,2,2,0,True,True,True,2020-03-10 21:22:02+00:00
10,11,0,0,0,15,0,True,True,True,2020-03-10 21:17:03+00:00
11,12,16,0,0,2,0,True,True,True,2020-03-10 21:19:01+00:00
12,13,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
13,14,11,0,0,14,0,True,True,True,2020-03-10 21:21:01+00:00
14,15,11,0,2,2,0,True,True,True,2020-03-10 20:19:26+00:00
15,16,9,0,0,10,0,True,True,True,2020-03-10 21:21:12+00:00
16,17,2,0,0,13,0,True,True,True,2020-03-10 21:19:01+00:00
17,19,1,0,1,13,0,True,True,True,2020-03-10 21:10:23+00:00
18,20,19,0,1,3,0,True,True,True,2020-03-10 21:22:01+00:00
19,21,11,0,0,7,0,True,True,True,2020-03-10 21:12:13+00:00
20,22,41,0,0,6,0,True,True,True,2020-03-10 21:22:29+00:00
21,23,3,0,1,17,0,True,True,True,2020-03-10 21:21:48+00:00
22,24,4,0,1,14,0,True,True,True,2020-03-10 21:19:56+00:00
23,25,6,0,1,8,0,True,True,True,2020-03-10 21:18:40+00:00
24,26,12,0,1,2,0,True,True,True,2020-03-10 21:13:32+00:00
25,27,0,0,0,23,0,True,True,True,2020-03-10 20:52:26+00:00
26,29,1,0,0,14,0,True,True,True,2020-03-10 20:44:52+00:00
27,30,0,0,0,15,0,True,True,True,2020-03-10 21:04:02+00:00
28,31,12,0,0,7,0,True,True,True,2020-03-10 21:22:42+00:00
29,32,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
30,33,6,0,0,21,0,True,True,True,2020-03-10 21:21:56+00:00
31,35,0,0,0,3,0,False,False,False,2019-11-18 21:05:37+00:00
32,36,11,0,1,21,0,True,True,True,2020-03-10 21:20:44+00:00
33,37,6,0,0,9,0,True,True,True,2020-03-10 21:19:35+00:00
34,39,15,0,1,7,0,True,True,True,2020-03-10 21:21:22+00:00
35,40,2,0,1,16,0,True,True,True,2020-03-10 21:20:44+00:00
36,41,8,0,2,17,0,True,True,True,2020-03-10 21:14:08+00:00
37,42,13,0,2,8,0,True,True,True,2020-03-10 21:17:16+00:00
38,43,7,0,0,8,0,True,True,True,2020-03-10 21:22:14+00:00
39,44,20,0,0,3,0,True,True,True,2020-03-10 21:14:37+00:00
40,46,6,0,0,13,0,True,True,True,2020-03-10 21:16:52+00:00
41,47,12,0,0,7,0,True,True,True,2020-03-10 21:22:38+00:00
42,48,0,0,0,3,0,False,False,False,2020-03-04 17:50:43+00:00
43,49,15,0,0,3,0,True,True,True,2020-03-10 21:09:52+00:00
44,50,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
45,51,5,0,0,10,0,True,True,True,2020-03-10 20:47:25+00:00
46,52,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
47,53,0,0,0,3,0,False,False,False,2020-03-04 20:56:41+00:00
48,54,7,0,1,7,0,True,True,True,2020-03-10 21:22:41+00:00
49,55,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
50,56,0,0,0,18,0,True,True,True,2020-03-10 20:01:17+00:00
51,57,3,0,0,11,0,True,True,True,2020-03-10 20:56:30+00:00
52,58,15,0,2,2,0,True,True,True,2020-03-10 21:22:24+00:00
53,59,4,0,1,14,0,True,True,True,2020-03-10 21:20:09+00:00
54,60,12,0,1,6,0,True,True,True,2020-03-10 21:21:31+00:00
55,61,0,0,0,3,0,False,False,False,2020-03-04 20:12:26+00:00
56,63,14,0,1,0,0,True,True,True,2020-03-10 17:04:56+00:00
57,64,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
58,65,2,0,1,20,0,True,True,True,2020-03-10 21:14:03+00:00
59,66,12,0,0,3,0,True,True,True,2020-03-10 21:03:39+00:00
60,67,0,0,0,27,0,True,True,True,2020-03-10 21:18:58+00:00
61,68,8,0,0,11,0,True,True,True,2020-03-10 21:21:54+00:00
62,69,9,0,1,9,0,True,True,True,2020-03-10 21:12:27+00:00
63,70,11,0,1,11,0,True,True,True,2020-03-10 21:21:54+00:00
64,71,8,0,1,14,0,True,True,True,2020-03-10 21:11:20+00:00
65,72,13,0,1,9,0,True,True,True,2020-03-10 21:22:12+00:00
66,73,10,0,0,5,0,True,True,True,2020-03-10 21:16:33+00:00
67,74,0,0,0,19,0,True,True,True,2020-03-10 21:17:21+00:00
68,75,5,0,1,9,0,True,True,True,2020-03-10 21:16:14+00:00
69,76,2,0,0,15,0,True,True,True,2020-03-10 21:16:17+00:00
70,77,6,0,0,9,0,True,True,True,2020-03-10 21:22:52+00:00
71,78,8,0,0,11,0,True,True,True,2020-03-10 21:05:57+00:00
72,79,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
73,80,5,0,2,28,0,True,True,True,2020-03-10 21:21:35+00:00
74,81,11,0,4,4,0,True,True,True,2020-03-10 21:09:37+00:00
75,82,12,0,0,3,0,True,True,True,2020-03-10 20:36:36+00:00
76,84,5,0,0,10,0,True,True,True,2020-03-10 21:13:14+00:00
77,85,11,0,0,8,0,True,True,True,2020-03-10 21:20:04+00:00
78,86,11,0,0,8,0,True,True,True,2020-03-10 21:09:57+00:00
79,87,3,0,0,12,0,True,True,True,2020-03-10 21:22:33+00:00
80,89,6,0,0,13,0,True,True,True,2020-03-10 21:19:06+00:00
81,90,3,0,1,15,0,True,True,True,2020-03-10 21:21:03+00:00
82,91,0,0,0,19,0,True,True,True,2020-03-10 20:36:44+00:00
83,92,5,0,0,14,0,True,True,True,2020-03-10 20:59:35+00:00
84,93,12,0,0,3,0,True,True,True,2020-03-10 21:19:21+00:00
85,94,10,0,0,1,0,True,True,True,2020-03-10 21:02:24+00:00
86,95,2,0,0,13,0,True,True,True,2020-03-10 21:17:34+00:00
87,96,2,0,1,16,0,True,True,True,2020-03-10 21:18:59+00:00
88,97,4,0,1,14,0,True,True,True,2020-03-10 21:21:45+00:00
89,98,11,0,0,12,0,True,True,True,2020-03-10 21:21:05+00:00
90,99,2,0,0,13,0,True,True,True,2020-03-10 20:51:39+00:00
91,100,7,0,0,18,0,True,True,True,2020-03-10 21:19:36+00:00
