,num_bikes_disabled,station_status,station_id,legacy_id,num_docks_disabled,is_returning,last_reported,num_ebikes_available,is_installed,num_docks_available,num_bikes_available,eightd_has_available_keys,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
132,1,active,149,149,0,True,2020-08-20 19:44:09+00:00,0,True,13,4,True,True,,,2020-08-20 20:09:10,2020
133,0,active,150,150,0,True,2020-08-20 19:49:53+00:00,0,True,10,9,False,True,,,2020-08-20 20:09:10,2020
134,0,active,151,151,0,True,2020-08-20 19:58:29+00:00,0,True,14,5,False,True,,,2020-08-20 20:09:10,2020
135,0,active,152,152,0,True,2020-08-20 19:32:50+00:00,0,True,5,10,True,True,,,2020-08-20 20:09:10,2020
136,1,active,156,156,0,True,2020-08-20 19:43:03+00:00,0,True,7,7,False,True,,,2020-08-20 20:09:10,2020
137,0,active,157,157,0,True,2020-08-20 19:52:00+00:00,0,True,12,3,False,True,,,2020-08-20 20:09:10,2020
138,0,active,159,159,0,True,2020-08-20 20:02:26+00:00,0,True,14,1,False,True,,,2020-08-20 20:09:10,2020
139,0,active,160,160,0,True,2020-08-20 19:43:05+00:00,0,True,3,11,True,True,,,2020-08-20 20:09:10,2020
140,0,active,161,161,0,True,2020-08-20 20:08:42+00:00,0,True,6,17,True,True,,,2020-08-20 20:09:10,2020
141,0,active,162,162,0,True,2020-08-20 19:32:17+00:00,0,True,9,6,False,True,,,2020-08-20 20:09:10,2020
142,0,active,163,163,0,True,2020-08-20 19:31:17+00:00,0,True,5,14,True,True,,,2020-08-20 20:09:10,2020
143,0,active,167,167,0,True,2020-08-20 19:43:06+00:00,0,True,6,9,False,True,,,2020-08-20 20:09:10,2020
144,0,active,169,169,0,True,2020-08-20 19:47:03+00:00,0,True,14,5,False,True,,,2020-08-20 20:09:10,2020
145,0,active,170,170,0,True,2020-08-20 18:42:46+00:00,0,True,6,8,True,True,,,2020-08-20 20:09:10,2020
146,0,active,171,171,0,True,2020-08-20 19:58:29+00:00,0,True,15,8,True,True,,,2020-08-20 20:09:10,2020
147,0,active,173,173,0,True,2020-08-20 18:33:25+00:00,0,True,8,6,True,True,,,2020-08-20 20:09:10,2020
148,0,active,174,174,0,True,2020-08-20 18:16:08+00:00,0,True,10,5,False,True,,,2020-08-20 20:09:10,2020
149,2,active,175,175,0,True,2020-08-20 20:08:22+00:00,0,True,9,6,True,True,,,2020-08-20 20:09:10,2020
150,0,active,176,176,0,True,2020-08-20 19:58:42+00:00,0,True,6,9,False,True,,,2020-08-20 20:09:10,2020
151,1,active,177,177,0,True,2020-08-20 19:56:21+00:00,0,True,7,11,False,True,,,2020-08-20 20:09:10,2020
152,0,active,178,178,0,True,2020-08-20 20:06:14+00:00,0,True,9,10,False,True,,,2020-08-20 20:09:10,2020
153,1,active,179,179,0,True,2020-08-20 19:59:17+00:00,0,True,18,6,False,True,,,2020-08-20 20:09:10,2020
154,0,active,180,180,0,True,2020-08-20 18:53:52+00:00,0,True,0,19,False,True,,,2020-08-20 20:09:10,2020
155,0,active,181,181,0,True,2020-08-20 17:44:11+00:00,0,True,16,3,False,True,,,2020-08-20 20:09:10,2020
156,0,active,182,182,0,True,2020-08-20 19:31:54+00:00,0,True,12,7,True,True,,,2020-08-20 20:09:10,2020
157,0,active,183,183,0,True,2020-08-20 20:05:27+00:00,0,True,7,12,False,True,,,2020-08-20 20:09:10,2020
158,0,active,184,184,0,True,2020-08-20 19:59:12+00:00,0,True,19,0,False,True,,,2020-08-20 20:09:10,2020
159,1,active,185,185,0,True,2020-08-20 20:04:59+00:00,0,True,14,0,False,True,,,2020-08-20 20:09:10,2020
160,0,active,186,186,0,True,2020-08-20 19:30:57+00:00,0,True,10,5,True,True,,,2020-08-20 20:09:10,2020
161,0,active,187,187,0,True,2020-08-20 18:46:17+00:00,0,True,14,1,False,True,,,2020-08-20 20:09:10,2020
162,0,active,188,188,0,True,2020-08-20 17:44:42+00:00,0,True,3,12,False,True,,,2020-08-20 20:09:10,2020
163,0,active,189,189,0,True,2020-08-20 20:08:58+00:00,0,True,7,16,True,True,,,2020-08-20 20:09:10,2020
164,1,active,190,190,0,True,2020-08-20 19:45:55+00:00,0,True,31,5,True,True,,,2020-08-20 20:09:10,2020
165,0,active,191,191,0,True,2020-08-20 18:01:01+00:00,0,True,14,1,False,True,,,2020-08-20 20:09:10,2020
166,0,active,192,192,0,True,2020-08-20 19:25:46+00:00,0,True,4,15,False,True,,,2020-08-20 20:09:10,2020
167,0,active,193,193,0,True,2020-08-20 19:49:47+00:00,0,True,13,2,True,True,,,2020-08-20 20:09:10,2020
168,0,active,194,194,0,True,2020-08-20 20:07:47+00:00,0,True,17,2,False,True,,,2020-08-20 20:09:10,2020
169,0,active,195,195,0,True,2020-08-20 19:27:46+00:00,0,True,17,6,False,True,,,2020-08-20 20:09:10,2020
170,0,active,196,196,0,True,2020-08-20 17:54:52+00:00,0,True,10,0,False,True,,,2020-08-20 20:09:10,2020
171,1,active,197,197,0,True,2020-08-20 18:42:19+00:00,0,True,6,8,False,True,,,2020-08-20 20:09:10,2020
172,0,active,199,199,0,True,2020-08-20 14:19:54+00:00,0,True,7,8,False,True,,,2020-08-20 20:09:10,2020
173,0,active,200,200,0,True,2020-08-20 20:05:24+00:00,0,True,4,15,False,True,,,2020-08-20 20:09:10,2020
174,0,active,201,201,0,True,2020-08-20 12:47:08+00:00,0,True,11,4,False,True,,,2020-08-20 20:09:10,2020
175,0,active,202,202,0,True,2020-08-20 16:31:46+00:00,0,True,13,2,False,True,,,2020-08-20 20:09:10,2020
176,0,active,203,203,0,True,2020-08-20 16:40:31+00:00,0,True,9,6,False,True,,,2020-08-20 20:09:10,2020
177,0,active,204,204,0,True,2020-08-20 20:01:48+00:00,0,True,12,3,False,True,,,2020-08-20 20:09:10,2020
178,0,active,205,205,0,True,2020-08-20 17:59:34+00:00,0,True,13,2,False,True,,,2020-08-20 20:09:10,2020
179,0,active,206,206,0,True,2020-08-20 20:00:51+00:00,0,True,15,8,True,True,,,2020-08-20 20:09:10,2020
180,1,active,208,208,0,True,2020-08-20 19:52:34+00:00,0,True,5,9,True,True,,,2020-08-20 20:09:10,2020
181,1,active,209,209,0,True,2020-08-20 18:22:54+00:00,0,True,0,14,False,True,,,2020-08-20 20:09:10,2020
182,1,active,210,210,0,True,2020-08-20 18:49:02+00:00,0,True,14,0,False,True,,,2020-08-20 20:09:10,2020
183,0,active,211,211,0,True,2020-08-20 19:47:54+00:00,0,True,12,7,False,True,,,2020-08-20 20:09:10,2020
184,0,active,212,212,0,True,2020-08-20 19:51:05+00:00,0,True,25,8,False,True,,,2020-08-20 20:09:10,2020
185,0,active,213,213,0,True,2020-08-20 18:37:30+00:00,0,True,13,3,True,True,,,2020-08-20 20:09:10,2020
186,0,active,214,214,0,True,2020-08-20 20:04:27+00:00,0,True,8,7,False,True,,,2020-08-20 20:09:10,2020
187,4,active,215,215,0,True,2020-08-20 18:47:02+00:00,0,True,5,6,False,True,,,2020-08-20 20:09:10,2020
188,0,active,216,216,0,True,2020-08-20 16:50:46+00:00,0,True,8,11,False,True,,,2020-08-20 20:09:10,2020
189,0,active,217,217,0,True,2020-08-20 19:42:24+00:00,0,True,17,2,False,True,,,2020-08-20 20:09:10,2020
190,0,active,218,218,0,True,2020-08-20 20:08:09+00:00,0,True,7,8,False,True,,,2020-08-20 20:09:10,2020
191,0,active,219,219,0,True,2020-08-20 19:38:23+00:00,0,True,12,3,False,True,,,2020-08-20 20:09:10,2020
192,2,active,221,221,0,True,2020-08-20 20:00:45+00:00,0,True,7,10,False,True,,,2020-08-20 20:09:10,2020
193,0,active,222,222,0,True,2020-08-20 19:56:52+00:00,0,True,11,3,True,True,,,2020-08-20 20:09:10,2020
194,1,active,224,224,0,True,2020-08-20 20:00:32+00:00,0,True,1,15,False,True,,,2020-08-20 20:09:10,2020
195,2,active,225,225,0,True,2020-08-20 20:08:23+00:00,0,True,12,5,False,True,,,2020-08-20 20:09:10,2020
196,0,active,226,226,0,True,2020-08-20 20:03:01+00:00,0,True,7,8,False,True,,,2020-08-20 20:09:10,2020
197,0,active,227,227,0,True,2020-08-20 20:03:51+00:00,0,True,8,11,False,True,,,2020-08-20 20:09:10,2020
198,0,active,228,228,0,True,2020-08-20 18:31:56+00:00,0,True,10,9,False,True,,,2020-08-20 20:09:10,2020
199,0,active,232,232,0,True,2020-08-20 18:27:13+00:00,0,True,9,2,False,True,,,2020-08-20 20:09:10,2020
200,0,active,233,233,0,True,2020-08-20 20:04:28+00:00,0,True,6,9,False,True,,,2020-08-20 20:09:10,2020
201,0,active,234,234,0,True,2020-08-20 19:37:33+00:00,0,True,9,6,False,True,,,2020-08-20 20:09:10,2020
202,0,active,235,235,0,True,2020-08-20 15:14:09+00:00,0,True,8,7,False,True,,,2020-08-20 20:09:10,2020
203,0,active,236,236,0,True,2020-08-20 20:08:14+00:00,0,True,5,10,False,True,,,2020-08-20 20:09:10,2020
204,2,active,239,239,0,True,2020-08-20 20:04:11+00:00,0,True,9,4,False,True,,,2020-08-20 20:09:10,2020
205,0,active,255,255,0,True,2020-08-19 14:52:54+00:00,0,True,9,6,False,True,,,2020-08-20 20:09:10,2020
206,0,active,258,258,0,True,2020-08-20 17:37:25+00:00,0,True,4,11,False,True,,,2020-08-20 20:09:10,2020
207,0,active,259,259,0,True,2020-08-20 08:49:49+00:00,0,True,6,9,False,True,,,2020-08-20 20:09:10,2020
208,0,active,260,260,0,True,2020-08-20 15:48:04+00:00,0,True,8,7,False,True,,,2020-08-20 20:09:10,2020
209,0,active,271,271,0,True,2020-08-20 17:32:17+00:00,0,True,6,9,False,True,,,2020-08-20 20:09:10,2020
210,0,active,272,272,0,True,2020-08-20 17:34:45+00:00,0,True,8,11,False,True,,,2020-08-20 20:09:10,2020
211,0,active,273,273,0,True,2020-08-20 20:02:58+00:00,0,True,9,31,False,True,,,2020-08-20 20:09:10,2020
212,0,active,279,279,0,True,2020-08-20 19:53:55+00:00,0,True,1,18,False,True,,,2020-08-20 20:09:10,2020
213,0,active,280,280,0,True,2020-08-20 20:08:59+00:00,0,True,12,7,False,True,,,2020-08-20 20:09:10,2020
214,0,active,282,282,0,True,2020-08-20 19:55:36+00:00,0,True,9,6,False,True,,,2020-08-20 20:09:10,2020
215,1,active,296,296,0,True,2020-08-20 19:54:04+00:00,0,True,10,12,False,True,,,2020-08-20 20:09:10,2020
216,1,active,318,318,0,True,2020-08-20 20:05:01+00:00,0,True,8,10,False,True,,,2020-08-20 20:09:10,2020
217,0,active,319,319,0,True,2020-08-20 19:11:30+00:00,0,True,21,4,False,True,,,2020-08-20 20:09:10,2020
218,0,active,327,327,0,True,2020-08-20 19:27:32+00:00,0,True,7,8,False,True,,,2020-08-20 20:09:10,2020
219,0,active,328,328,0,True,2020-08-20 19:55:10+00:00,0,True,10,5,False,True,,,2020-08-20 20:09:10,2020
220,1,active,329,329,0,True,2020-08-20 18:44:02+00:00,0,True,10,4,False,True,,,2020-08-20 20:09:10,2020
