,station_id,last_reported,num_ebikes_available,num_bikes_disabled,legacy_id,num_bikes_available,num_docks_available,is_installed,num_docks_disabled,station_status,eightd_has_available_keys,is_renting,is_returning,timestamp_of_data_read_request,year_station_last_reported
72,81,2020-08-12 22:26:17+00:00,0,0,81,14,5,True,0,active,False,True,True,2020-08-12 22:29:20,2020
73,82,2020-08-12 22:28:23+00:00,0,0,82,3,12,True,0,active,False,True,True,2020-08-12 22:29:20,2020
74,84,2020-08-12 22:25:01+00:00,0,0,84,5,10,True,0,active,False,True,True,2020-08-12 22:29:20,2020
75,85,2020-08-12 22:14:17+00:00,0,0,85,0,19,True,0,active,False,True,True,2020-08-12 22:29:20,2020
76,86,2020-08-12 22:25:03+00:00,0,0,86,8,11,True,0,active,False,True,True,2020-08-12 22:29:20,2020
77,87,2020-08-12 22:20:31+00:00,0,0,87,12,3,True,0,active,False,True,True,2020-08-12 22:29:20,2020
78,89,2020-08-12 22:28:03+00:00,0,0,89,13,6,True,0,active,False,True,True,2020-08-12 22:29:20,2020
79,90,2020-08-12 22:21:59+00:00,0,1,90,15,3,True,0,active,False,True,True,2020-08-12 22:29:20,2020
80,91,2020-08-12 22:28:14+00:00,0,0,91,1,18,True,0,active,False,True,True,2020-08-12 22:29:20,2020
81,92,2020-08-12 21:04:15+00:00,0,1,92,8,10,True,0,active,False,True,True,2020-08-12 22:29:20,2020
82,93,2020-08-12 22:05:18+00:00,0,2,93,11,2,True,0,active,False,True,True,2020-08-12 22:29:20,2020
83,94,2020-08-12 22:22:44+00:00,0,0,94,1,10,True,0,active,False,True,True,2020-08-12 22:29:20,2020
84,95,2020-08-12 21:58:26+00:00,0,0,95,6,9,True,0,active,False,True,True,2020-08-12 22:29:20,2020
85,96,2020-08-12 22:26:43+00:00,0,0,96,16,3,True,0,active,False,True,True,2020-08-12 22:29:20,2020
86,97,2020-08-12 22:25:05+00:00,0,1,97,8,10,True,0,active,False,True,True,2020-08-12 22:29:20,2020
87,98,2020-08-12 22:27:03+00:00,0,0,98,15,8,True,0,active,False,True,True,2020-08-12 22:29:20,2020
88,99,2020-08-12 22:21:40+00:00,0,0,99,3,12,True,0,active,False,True,True,2020-08-12 22:29:20,2020
89,100,2020-08-12 22:27:15+00:00,0,0,100,23,2,True,0,active,True,True,True,2020-08-12 22:29:20,2020
90,101,2020-08-12 22:18:13+00:00,0,0,101,9,6,True,0,active,False,True,True,2020-08-12 22:29:20,2020
91,102,2020-08-12 22:05:36+00:00,0,0,102,1,14,True,0,active,False,True,True,2020-08-12 22:29:20,2020
92,103,2020-08-12 21:15:32+00:00,0,0,103,0,15,True,0,active,False,True,True,2020-08-12 22:29:20,2020
93,104,2020-08-12 22:04:35+00:00,0,0,104,9,10,True,0,active,False,True,True,2020-08-12 22:29:20,2020
94,105,2020-08-12 22:26:10+00:00,0,1,105,17,1,True,0,active,False,True,True,2020-08-12 22:29:20,2020
95,106,2020-08-12 15:08:22+00:00,0,1,106,3,11,True,0,active,False,True,True,2020-08-12 22:29:20,2020
96,107,2020-08-12 22:28:58+00:00,0,0,107,3,16,True,0,active,False,True,True,2020-08-12 22:29:20,2020
97,108,2020-08-12 21:58:16+00:00,0,0,108,6,11,True,0,active,False,True,True,2020-08-12 22:29:20,2020
98,109,2020-08-12 20:31:51+00:00,0,0,109,8,27,True,0,active,False,True,True,2020-08-12 22:29:20,2020
99,110,2020-08-12 22:26:05+00:00,0,0,110,1,14,True,0,active,False,True,True,2020-08-12 22:29:20,2020
100,111,2020-08-12 22:17:27+00:00,0,0,111,7,8,True,0,active,False,True,True,2020-08-12 22:29:20,2020
101,112,2020-08-12 22:10:48+00:00,0,0,112,15,0,True,0,active,False,True,True,2020-08-12 22:29:20,2020
102,113,2020-08-12 22:12:05+00:00,0,0,113,11,4,True,0,active,False,True,True,2020-08-12 22:29:20,2020
103,114,2020-08-12 21:48:01+00:00,0,1,114,4,10,True,0,active,False,True,True,2020-08-12 22:29:20,2020
104,115,2020-08-12 22:16:09+00:00,0,4,115,12,3,True,0,active,False,True,True,2020-08-12 22:29:20,2020
105,116,2020-08-12 22:21:40+00:00,0,0,116,9,14,True,0,active,False,True,True,2020-08-12 22:29:20,2020
106,117,2020-08-12 22:16:20+00:00,0,0,117,10,9,True,0,active,False,True,True,2020-08-12 22:29:20,2020
107,118,2020-08-12 22:22:35+00:00,0,1,118,9,9,True,0,active,False,True,True,2020-08-12 22:29:20,2020
108,119,2020-08-12 22:26:36+00:00,0,0,119,1,14,True,0,active,False,True,True,2020-08-12 22:29:20,2020
109,120,2020-08-12 22:27:58+00:00,0,0,120,9,6,True,0,active,False,True,True,2020-08-12 22:29:20,2020
110,121,2020-08-12 22:29:09+00:00,0,0,121,4,13,True,0,active,False,True,True,2020-08-12 22:29:20,2020
111,122,2020-08-12 22:28:34+00:00,0,0,122,6,9,True,0,active,False,True,True,2020-08-12 22:29:20,2020
