,is_returning,is_installed,num_docks_available,is_renting,last_reported,num_bikes_disabled,num_bikes_available,legacy_id,station_id,num_docks_disabled,station_status,eightd_has_available_keys,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
89,True,True,10,True,2020-08-04 19:12:38+00:00,1,14,100,100,0,active,True,0,,,2020-08-04 19:14:40,2020
90,True,True,1,True,2020-08-04 16:14:31+00:00,0,14,101,101,0,active,False,0,,,2020-08-04 19:14:40,2020
91,True,True,8,True,2020-08-04 18:59:35+00:00,1,6,102,102,0,active,False,0,,,2020-08-04 19:14:40,2020
92,True,True,14,True,2020-08-04 18:24:46+00:00,0,1,103,103,0,active,False,0,,,2020-08-04 19:14:40,2020
93,True,True,16,True,2020-08-04 19:13:16+00:00,0,3,104,104,0,active,False,0,,,2020-08-04 19:14:40,2020
94,True,True,17,True,2020-08-04 19:09:43+00:00,0,2,105,105,0,active,False,0,,,2020-08-04 19:14:40,2020
95,True,True,13,True,2020-08-04 18:02:03+00:00,0,2,106,106,0,active,False,0,,,2020-08-04 19:14:40,2020
96,True,True,2,True,2020-08-04 19:12:11+00:00,0,17,107,107,0,active,False,0,,,2020-08-04 19:14:40,2020
97,True,True,5,True,2020-08-04 19:10:31+00:00,1,11,108,108,0,active,False,0,,,2020-08-04 19:14:40,2020
98,True,True,22,True,2020-08-04 18:13:59+00:00,2,11,109,109,0,active,False,0,,,2020-08-04 19:14:40,2020
99,True,True,3,True,2020-08-04 18:40:29+00:00,0,12,110,110,0,active,False,0,,,2020-08-04 19:14:40,2020
100,True,True,14,True,2020-08-04 19:14:24+00:00,0,1,111,111,0,active,False,0,,,2020-08-04 19:14:40,2020
101,True,True,3,True,2020-08-04 17:32:20+00:00,0,12,112,112,0,active,False,0,,,2020-08-04 19:14:40,2020
102,True,True,0,True,2020-08-04 19:12:35+00:00,0,15,113,113,0,active,False,0,,,2020-08-04 19:14:40,2020
103,True,True,4,True,2020-08-04 18:12:28+00:00,0,11,114,114,0,active,False,0,,,2020-08-04 19:14:40,2020
104,True,True,3,True,2020-08-04 19:07:26+00:00,0,16,115,115,0,active,False,0,,,2020-08-04 19:14:40,2020
105,True,True,7,True,2020-08-04 18:59:26+00:00,0,16,116,116,0,active,False,0,,,2020-08-04 19:14:40,2020
106,True,True,14,True,2020-08-04 17:44:26+00:00,0,5,117,117,0,active,False,0,,,2020-08-04 19:14:40,2020
107,True,True,3,True,2020-08-04 18:22:23+00:00,0,16,118,118,0,active,False,0,,,2020-08-04 19:14:40,2020
108,True,True,11,True,2020-08-04 18:59:43+00:00,0,4,119,119,0,active,False,0,,,2020-08-04 19:14:40,2020
109,True,True,7,True,2020-08-04 19:12:43+00:00,0,8,120,120,0,active,False,0,,,2020-08-04 19:14:40,2020
110,True,True,17,True,2020-08-04 18:41:59+00:00,0,0,121,121,0,active,False,0,,,2020-08-04 19:14:40,2020
111,True,True,14,True,2020-08-04 18:46:13+00:00,1,0,122,122,0,active,False,0,,,2020-08-04 19:14:40,2020
112,True,True,14,True,2020-08-04 18:53:37+00:00,0,1,124,124,0,active,False,0,,,2020-08-04 19:14:40,2020
113,True,True,12,True,2020-08-04 19:07:29+00:00,0,3,125,125,0,active,False,0,,,2020-08-04 19:14:40,2020
114,True,True,14,True,2020-08-04 12:46:51+00:00,0,1,126,126,0,active,False,0,,,2020-08-04 19:14:40,2020
115,True,True,6,True,2020-08-04 16:32:26+00:00,0,13,128,128,0,active,False,0,,,2020-08-04 19:14:40,2020
116,True,True,5,True,2020-08-04 18:55:30+00:00,0,14,129,129,0,active,False,0,,,2020-08-04 19:14:40,2020
117,True,True,2,True,2020-08-04 17:43:37+00:00,0,13,130,130,0,active,False,0,,,2020-08-04 19:14:40,2020
118,True,True,8,True,2020-08-04 18:32:47+00:00,0,10,131,131,0,active,False,0,,,2020-08-04 19:14:40,2020
119,True,True,12,True,2020-08-04 19:04:18+00:00,1,10,133,133,0,active,False,0,,,2020-08-04 19:14:40,2020
120,True,True,5,True,2020-08-04 18:45:12+00:00,0,12,135,135,0,active,False,0,,,2020-08-04 19:14:40,2020
121,True,True,1,True,2020-08-04 17:59:40+00:00,1,17,136,136,0,active,False,0,,,2020-08-04 19:14:40,2020
122,True,True,9,True,2020-08-04 18:52:41+00:00,0,6,137,137,0,active,False,0,,,2020-08-04 19:14:40,2020
123,True,True,0,True,2020-08-04 19:10:23+00:00,1,14,138,138,0,active,False,0,,,2020-08-04 19:14:40,2020
124,True,True,19,True,2020-08-04 18:49:55+00:00,0,0,139,139,0,active,False,0,,,2020-08-04 19:14:40,2020
125,True,True,3,True,2020-08-04 17:47:43+00:00,0,14,140,140,0,active,False,0,,,2020-08-04 19:14:40,2020
126,True,True,7,True,2020-08-04 18:45:15+00:00,0,8,141,141,0,active,False,0,,,2020-08-04 19:14:40,2020
127,True,True,12,True,2020-08-04 18:14:53+00:00,2,9,142,142,0,active,False,0,,,2020-08-04 19:14:40,2020
128,True,True,17,True,2020-08-04 18:38:09+00:00,1,5,143,143,0,active,False,0,,,2020-08-04 19:14:40,2020
129,True,True,19,True,2020-08-04 18:35:51+00:00,0,0,144,144,0,active,False,0,,,2020-08-04 19:14:40,2020
130,True,True,5,True,2020-08-04 16:46:28+00:00,0,14,145,145,0,active,False,0,,,2020-08-04 19:14:40,2020
131,True,True,6,True,2020-08-04 18:43:48+00:00,2,11,146,146,0,active,False,0,,,2020-08-04 19:14:40,2020
132,True,True,10,True,2020-08-04 19:03:56+00:00,0,8,149,149,0,active,True,0,,,2020-08-04 19:14:40,2020
133,True,True,0,False,2020-08-04 18:24:16+00:00,1,0,150,150,0,active,False,0,,,2020-08-04 19:14:40,2020
134,True,True,7,True,2020-08-04 18:23:33+00:00,0,12,151,151,0,active,False,0,,,2020-08-04 19:14:40,2020
135,True,True,2,True,2020-08-04 18:30:01+00:00,0,13,152,152,0,active,True,0,,,2020-08-04 19:14:40,2020
136,True,True,11,True,2020-08-04 18:54:34+00:00,0,4,156,156,0,active,False,0,,,2020-08-04 19:14:40,2020
137,True,True,5,True,2020-08-04 18:45:39+00:00,3,7,157,157,0,active,False,0,,,2020-08-04 19:14:40,2020
138,True,True,9,True,2020-08-04 19:13:21+00:00,1,5,159,159,0,active,False,0,,,2020-08-04 19:14:40,2020
139,True,True,12,True,2020-08-04 19:02:09+00:00,1,1,160,160,0,active,True,0,,,2020-08-04 19:14:40,2020
140,True,True,17,True,2020-08-04 18:52:45+00:00,0,6,161,161,0,active,True,0,,,2020-08-04 19:14:40,2020
141,True,True,12,True,2020-08-04 19:09:08+00:00,1,2,162,162,0,active,False,0,,,2020-08-04 19:14:40,2020
142,True,True,13,True,2020-08-04 17:59:14+00:00,0,6,163,163,0,active,True,0,,,2020-08-04 19:14:40,2020
143,True,True,3,True,2020-08-04 19:10:55+00:00,0,12,167,167,0,active,False,0,,,2020-08-04 19:14:40,2020
144,True,True,4,True,2020-08-04 18:35:13+00:00,0,15,169,169,0,active,False,0,,,2020-08-04 19:14:40,2020
145,True,True,13,True,2020-08-04 15:44:17+00:00,0,1,170,170,0,active,True,0,,,2020-08-04 19:14:40,2020
146,True,True,18,True,2020-08-04 12:50:10+00:00,0,5,171,171,0,active,True,0,,,2020-08-04 19:14:40,2020
147,True,True,3,True,2020-08-04 19:01:26+00:00,0,11,173,173,0,active,True,0,,,2020-08-04 19:14:40,2020
148,True,True,7,True,2020-08-04 19:12:16+00:00,0,8,174,174,0,active,False,0,,,2020-08-04 19:14:40,2020
149,True,True,15,True,2020-08-04 19:08:58+00:00,0,2,175,175,0,active,True,0,,,2020-08-04 19:14:40,2020
150,True,True,14,True,2020-08-04 19:08:37+00:00,0,1,176,176,0,active,False,0,,,2020-08-04 19:14:40,2020
151,True,True,9,True,2020-08-04 19:06:30+00:00,0,10,177,177,0,active,False,0,,,2020-08-04 19:14:40,2020
152,True,True,18,True,2020-08-04 19:09:20+00:00,0,1,178,178,0,active,False,0,,,2020-08-04 19:14:40,2020
153,True,True,13,True,2020-08-04 19:10:37+00:00,1,11,179,179,0,active,False,0,,,2020-08-04 19:14:40,2020
154,True,True,4,True,2020-08-04 18:51:19+00:00,0,15,180,180,0,active,False,0,,,2020-08-04 19:14:40,2020
155,True,True,2,True,2020-08-04 18:08:43+00:00,1,16,181,181,0,active,False,0,,,2020-08-04 19:14:40,2020
156,True,True,16,True,2020-08-04 19:08:53+00:00,1,2,182,182,0,active,True,0,,,2020-08-04 19:14:40,2020
157,True,True,7,True,2020-08-04 18:37:28+00:00,0,12,183,183,0,active,False,0,,,2020-08-04 19:14:40,2020
158,True,True,8,True,2020-08-04 18:58:43+00:00,1,10,184,184,0,active,False,0,,,2020-08-04 19:14:40,2020
159,True,True,12,True,2020-08-04 17:36:10+00:00,1,2,185,185,0,active,False,0,,,2020-08-04 19:14:40,2020
160,True,True,12,True,2020-08-04 18:48:45+00:00,0,3,186,186,0,active,True,0,,,2020-08-04 19:14:40,2020
161,True,True,1,True,2020-08-04 15:40:14+00:00,0,14,187,187,0,active,False,0,,,2020-08-04 19:14:40,2020
162,True,True,13,True,2020-08-04 18:46:44+00:00,0,2,188,188,0,active,False,0,,,2020-08-04 19:14:40,2020
163,True,True,16,True,2020-08-04 19:02:37+00:00,0,7,189,189,0,active,False,0,,,2020-08-04 19:14:40,2020
164,True,True,25,True,2020-08-04 19:10:40+00:00,0,12,190,190,0,active,True,0,,,2020-08-04 19:14:40,2020
165,True,True,11,True,2020-08-04 17:43:56+00:00,0,4,191,191,0,active,False,0,,,2020-08-04 19:14:40,2020
166,True,True,10,True,2020-08-04 18:12:02+00:00,0,9,192,192,0,active,False,0,,,2020-08-04 19:14:40,2020
167,True,True,6,True,2020-08-04 19:03:25+00:00,1,8,193,193,0,active,True,0,,,2020-08-04 19:14:40,2020
168,True,True,13,True,2020-08-04 16:50:01+00:00,0,6,194,194,0,active,False,0,,,2020-08-04 19:14:40,2020
169,True,True,16,True,2020-08-04 18:53:50+00:00,1,6,195,195,0,active,False,0,,,2020-08-04 19:14:40,2020
170,True,True,9,True,2020-08-04 18:52:39+00:00,0,1,196,196,0,active,True,0,,,2020-08-04 19:14:40,2020
171,True,True,15,True,2020-08-04 17:43:33+00:00,0,0,197,197,0,active,False,0,,,2020-08-04 19:14:40,2020
172,True,True,3,True,2020-08-04 10:28:56+00:00,0,12,199,199,0,active,False,0,,,2020-08-04 19:14:40,2020
173,True,True,5,True,2020-08-04 16:46:56+00:00,1,13,200,200,0,active,False,0,,,2020-08-04 19:14:40,2020
174,True,True,15,True,2020-08-04 12:17:44+00:00,0,0,201,201,0,active,False,0,,,2020-08-04 19:14:40,2020
175,True,True,14,True,2020-08-04 18:10:32+00:00,1,0,202,202,0,active,False,0,,,2020-08-04 19:14:40,2020
176,True,True,9,True,2020-08-04 08:21:44+00:00,0,6,203,203,0,active,False,0,,,2020-08-04 19:14:40,2020
177,True,True,13,True,2020-08-04 19:09:56+00:00,1,1,204,204,0,active,False,0,,,2020-08-04 19:14:40,2020
178,True,True,8,True,2020-08-04 08:49:49+00:00,0,7,205,205,0,active,False,0,,,2020-08-04 19:14:40,2020
