,num_bikes_available,num_docks_available,num_ebikes_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_status,eightd_has_available_keys,is_returning,is_renting,station_id,legacy_id,timestamp_of_data_read_request,year_station_last_reported
206,10,5,0,0,True,2020-08-12 08:54:13+00:00,0,active,False,True,True,258,258,2020-08-12 18:14:15,2020
207,15,0,0,0,True,2020-08-12 08:53:25+00:00,0,active,False,True,True,259,259,2020-08-12 18:14:15,2020
208,10,5,0,0,True,2020-08-12 17:27:23+00:00,0,active,False,True,True,260,260,2020-08-12 18:14:15,2020
209,6,9,0,0,True,2020-08-12 18:10:39+00:00,0,active,False,True,True,271,271,2020-08-12 18:14:15,2020
210,5,13,0,1,True,2020-08-12 13:54:08+00:00,0,active,False,True,True,272,272,2020-08-12 18:14:15,2020
211,18,22,0,0,True,2020-08-12 18:10:02+00:00,0,active,False,True,True,273,273,2020-08-12 18:14:15,2020
212,15,4,0,0,True,2020-08-12 17:54:49+00:00,0,active,False,True,True,279,279,2020-08-12 18:14:15,2020
213,9,10,0,0,True,2020-08-12 17:42:44+00:00,0,active,False,True,True,280,280,2020-08-12 18:14:15,2020
214,5,10,0,0,True,2020-08-12 17:12:16+00:00,0,active,False,True,True,282,282,2020-08-12 18:14:15,2020
215,11,12,0,0,True,2020-08-12 17:53:25+00:00,0,active,False,True,True,296,296,2020-08-12 18:14:15,2020
216,19,0,0,0,True,2020-08-12 18:10:14+00:00,0,active,False,True,True,318,318,2020-08-12 18:14:15,2020
217,2,23,0,0,True,2020-08-12 14:44:50+00:00,0,active,False,True,True,319,319,2020-08-12 18:14:15,2020
218,4,11,0,0,True,2020-08-12 17:20:58+00:00,0,active,False,True,True,327,327,2020-08-12 18:14:15,2020
219,8,6,0,1,True,2020-08-12 17:45:30+00:00,0,active,False,True,True,328,328,2020-08-12 18:14:15,2020
220,7,8,0,0,True,2020-08-12 17:19:57+00:00,0,active,False,True,True,329,329,2020-08-12 18:14:15,2020
221,9,6,0,0,True,2020-08-12 16:57:22+00:00,0,active,False,True,True,330,330,2020-08-12 18:14:15,2020
222,12,3,0,0,True,2020-08-12 17:18:27+00:00,0,active,False,True,True,331,331,2020-08-12 18:14:15,2020
223,1,13,0,1,True,2020-08-12 18:09:49+00:00,0,active,False,True,True,332,332,2020-08-12 18:14:15,2020
224,21,4,0,0,True,2020-08-12 17:55:38+00:00,0,active,False,True,True,333,333,2020-08-12 18:14:15,2020
225,16,1,0,2,True,2020-08-12 17:25:29+00:00,0,active,False,True,True,334,334,2020-08-12 18:14:15,2020
226,4,15,0,0,True,2020-08-12 18:04:14+00:00,0,active,False,True,True,335,335,2020-08-12 18:14:15,2020
227,9,6,0,0,True,2020-08-12 17:59:19+00:00,0,active,False,True,True,336,336,2020-08-12 18:14:15,2020
228,15,0,0,0,True,2020-08-12 13:06:03+00:00,0,active,False,True,True,337,337,2020-08-12 18:14:15,2020
229,0,14,0,1,True,2020-08-12 18:09:30+00:00,0,active,False,True,True,338,338,2020-08-12 18:14:15,2020
230,14,1,0,0,True,2020-08-12 17:49:47+00:00,0,active,False,True,True,339,339,2020-08-12 18:14:15,2020
231,18,1,0,0,True,2020-08-12 08:52:43+00:00,0,active,False,True,True,340,340,2020-08-12 18:14:15,2020
232,7,7,0,1,True,2020-08-12 13:49:12+00:00,0,active,True,True,True,341,341,2020-08-12 18:14:15,2020
233,6,9,0,0,True,2020-08-12 18:03:05+00:00,0,active,False,True,True,342,342,2020-08-12 18:14:15,2020
234,4,11,0,0,True,2020-08-12 16:19:17+00:00,0,active,False,True,True,343,343,2020-08-12 18:14:15,2020
235,3,16,0,0,True,2020-08-12 17:20:29+00:00,0,active,False,True,True,344,344,2020-08-12 18:14:15,2020
236,3,16,0,0,True,2020-08-12 17:38:36+00:00,0,active,False,True,True,345,345,2020-08-12 18:14:15,2020
237,6,9,0,0,True,2020-08-12 18:03:28+00:00,0,active,False,True,True,346,346,2020-08-12 18:14:15,2020
238,12,3,0,0,True,2020-08-12 02:33:19+00:00,0,active,False,True,True,347,347,2020-08-12 18:14:15,2020
239,3,11,0,1,True,2020-08-12 16:08:58+00:00,0,active,False,True,True,348,348,2020-08-12 18:14:15,2020
240,7,9,0,1,True,2020-08-12 08:54:03+00:00,0,active,True,True,True,349,349,2020-08-12 18:14:15,2020
241,13,4,0,0,True,2020-08-12 16:34:03+00:00,0,active,False,True,True,350,350,2020-08-12 18:14:15,2020
242,5,10,0,0,True,2020-08-12 15:44:40+00:00,0,active,False,True,True,351,351,2020-08-12 18:14:15,2020
243,4,11,0,0,True,2020-08-12 17:37:00+00:00,0,active,False,True,True,352,352,2020-08-12 18:14:15,2020
244,6,9,0,0,True,2020-08-12 15:33:31+00:00,0,active,True,True,True,353,353,2020-08-12 18:14:15,2020
245,3,11,0,1,True,2020-08-12 18:10:25+00:00,0,active,False,True,True,354,354,2020-08-12 18:14:15,2020
246,16,1,0,0,True,2020-08-12 16:15:35+00:00,0,active,False,True,True,355,355,2020-08-12 18:14:15,2020
247,6,17,0,0,True,2020-08-12 17:04:30+00:00,0,active,False,True,True,356,356,2020-08-12 18:14:15,2020
248,4,11,0,0,True,2020-08-12 17:01:25+00:00,0,active,False,True,True,357,357,2020-08-12 18:14:15,2020
249,14,5,0,0,True,2020-08-12 17:42:47+00:00,0,active,False,True,True,358,358,2020-08-12 18:14:15,2020
250,5,10,0,0,True,2020-08-12 17:59:37+00:00,0,active,False,True,True,359,359,2020-08-12 18:14:15,2020
251,2,13,0,0,True,2020-08-12 17:25:21+00:00,0,active,False,True,True,360,360,2020-08-12 18:14:15,2020
252,4,15,0,0,True,2020-08-12 17:09:58+00:00,0,active,False,True,True,361,361,2020-08-12 18:14:15,2020
253,15,4,0,0,True,2020-08-12 18:13:23+00:00,0,active,False,True,True,362,362,2020-08-12 18:14:15,2020
254,6,13,0,0,True,2020-08-12 17:55:47+00:00,0,active,False,True,True,363,363,2020-08-12 18:14:15,2020
255,9,10,0,0,True,2020-08-12 17:27:17+00:00,0,active,False,True,True,364,364,2020-08-12 18:14:15,2020
256,9,9,0,1,True,2020-08-12 17:50:42+00:00,0,active,False,True,True,365,365,2020-08-12 18:14:15,2020
257,2,13,0,0,True,2020-08-12 17:37:04+00:00,0,active,False,True,True,366,366,2020-08-12 18:14:15,2020
258,14,4,0,1,True,2020-08-12 17:54:06+00:00,0,active,False,True,True,367,367,2020-08-12 18:14:15,2020
259,9,5,0,1,True,2020-08-12 17:53:45+00:00,0,active,False,True,True,368,368,2020-08-12 18:14:15,2020
260,5,10,0,0,True,2020-08-12 18:13:53+00:00,0,active,False,True,True,369,369,2020-08-12 18:14:15,2020
261,11,8,0,0,True,2020-08-12 18:09:14+00:00,0,active,False,True,True,370,370,2020-08-12 18:14:15,2020
262,7,12,0,0,True,2020-08-12 16:08:20+00:00,0,active,False,True,True,371,371,2020-08-12 18:14:15,2020
263,12,6,0,1,True,2020-08-12 17:50:15+00:00,0,active,False,True,True,372,372,2020-08-12 18:14:15,2020
264,8,7,0,0,True,2020-08-12 17:59:56+00:00,0,active,False,True,True,373,373,2020-08-12 18:14:15,2020
265,3,16,0,0,True,2020-08-12 18:12:06+00:00,0,active,False,True,True,374,374,2020-08-12 18:14:15,2020
266,5,9,0,1,True,2020-08-12 17:22:35+00:00,0,active,False,True,True,376,376,2020-08-12 18:14:15,2020
267,12,7,0,0,True,2020-08-12 18:09:15+00:00,0,active,False,True,True,377,377,2020-08-12 18:14:15,2020
268,0,19,0,0,True,2020-08-12 18:13:44+00:00,0,active,False,True,True,378,378,2020-08-12 18:14:15,2020
269,5,10,0,0,True,2020-08-12 18:11:32+00:00,0,active,False,True,True,379,379,2020-08-12 18:14:15,2020
270,7,11,0,0,True,2020-08-12 18:09:28+00:00,0,active,False,True,True,380,380,2020-08-12 18:14:15,2020
271,4,15,0,0,True,2020-08-12 18:01:43+00:00,0,active,False,True,True,381,381,2020-08-12 18:14:15,2020
272,3,16,0,0,True,2020-08-12 18:07:46+00:00,0,active,True,True,True,384,384,2020-08-12 18:14:15,2020
273,7,6,0,1,True,2020-08-12 18:10:30+00:00,1,active,False,True,True,385,385,2020-08-12 18:14:15,2020
274,6,13,0,0,True,2020-08-12 17:30:07+00:00,0,active,False,True,True,386,386,2020-08-12 18:14:15,2020
275,10,4,0,1,True,2020-08-12 16:34:35+00:00,0,active,False,True,True,387,387,2020-08-12 18:14:15,2020
276,4,7,0,0,True,2020-08-12 08:57:42+00:00,0,active,False,True,True,388,388,2020-08-12 18:14:15,2020
277,12,2,0,0,True,2020-08-12 15:52:13+00:00,0,active,False,True,True,389,389,2020-08-12 18:14:15,2020
278,15,0,0,0,True,2020-08-12 08:57:17+00:00,0,active,False,True,True,390,390,2020-08-12 18:14:15,2020
279,14,1,0,0,True,2020-08-12 08:59:04+00:00,0,active,False,True,True,391,391,2020-08-12 18:14:15,2020
280,5,10,0,0,True,2020-08-12 09:48:00+00:00,0,active,False,True,True,392,392,2020-08-12 18:14:15,2020
281,6,8,0,1,True,2020-08-12 15:19:15+00:00,0,active,False,True,True,393,393,2020-08-12 18:14:15,2020
282,2,12,0,0,True,2020-08-12 08:58:35+00:00,0,active,False,True,True,394,394,2020-08-12 18:14:15,2020
283,10,5,0,0,True,2020-08-12 15:00:11+00:00,0,active,False,True,True,395,395,2020-08-12 18:14:15,2020
284,12,3,0,0,True,2020-08-12 08:58:34+00:00,0,active,False,True,True,396,396,2020-08-12 18:14:15,2020
285,6,9,0,0,True,2020-08-12 17:54:19+00:00,0,active,False,True,True,397,397,2020-08-12 18:14:15,2020
286,14,5,0,0,True,2020-08-12 17:57:28+00:00,0,active,False,True,True,398,398,2020-08-12 18:14:15,2020
287,10,5,0,0,True,2020-08-12 17:52:42+00:00,0,active,False,True,True,399,399,2020-08-12 18:14:15,2020
288,7,20,0,0,True,2020-08-12 16:28:40+00:00,0,active,False,True,True,400,400,2020-08-12 18:14:15,2020
289,1,14,0,0,True,2020-08-12 17:45:16+00:00,0,active,False,True,True,401,401,2020-08-12 18:14:15,2020
290,10,5,0,0,True,2020-08-12 16:34:38+00:00,0,active,False,True,True,402,402,2020-08-12 18:14:15,2020
291,2,11,0,2,True,2020-08-12 18:02:58+00:00,0,active,False,True,True,403,403,2020-08-12 18:14:15,2020
292,2,14,0,0,True,2020-08-12 18:08:59+00:00,0,active,False,True,True,404,404,2020-08-12 18:14:15,2020
293,8,11,0,0,True,2020-08-12 15:54:20+00:00,0,active,False,True,True,405,405,2020-08-12 18:14:15,2020
294,16,3,0,0,True,2020-08-12 14:38:06+00:00,0,active,False,True,True,406,406,2020-08-12 18:14:15,2020
295,4,14,0,1,True,2020-08-12 17:55:16+00:00,0,active,False,True,True,407,407,2020-08-12 18:14:15,2020
296,4,11,0,0,True,2020-08-12 18:09:25+00:00,0,active,False,True,True,408,408,2020-08-12 18:14:15,2020
297,13,6,0,0,True,2020-08-12 17:48:02+00:00,0,active,False,True,True,409,409,2020-08-12 18:14:15,2020
298,10,9,0,0,True,2020-08-12 12:17:00+00:00,0,active,False,True,True,410,410,2020-08-12 18:14:15,2020
299,5,10,0,0,True,2020-08-12 18:06:43+00:00,0,active,False,True,True,411,411,2020-08-12 18:14:15,2020
300,9,10,0,0,True,2020-08-12 17:21:29+00:00,0,active,False,True,True,412,412,2020-08-12 18:14:15,2020
301,6,13,0,0,True,2020-08-12 17:45:44+00:00,0,active,False,True,True,413,413,2020-08-12 18:14:15,2020
302,1,22,0,0,True,2020-08-12 17:49:00+00:00,0,active,False,True,True,414,414,2020-08-12 18:14:15,2020
303,10,7,0,2,True,2020-08-12 17:50:33+00:00,0,active,False,True,True,415,415,2020-08-12 18:14:15,2020
304,9,6,0,0,True,2020-08-12 18:13:47+00:00,0,active,False,True,True,416,416,2020-08-12 18:14:15,2020
305,2,17,0,0,True,2020-08-12 18:11:20+00:00,0,active,False,True,True,417,417,2020-08-12 18:14:15,2020
306,13,2,0,0,True,2020-08-12 16:46:25+00:00,0,active,False,True,True,419,419,2020-08-12 18:14:15,2020
307,0,0,0,0,False,1970-01-02 00:00:00+00:00,0,out_of_service,False,False,False,420,420,2020-08-12 18:14:15,1970
308,14,5,0,0,True,2020-08-12 15:32:38+00:00,0,active,False,True,True,421,421,2020-08-12 18:14:15,2020
309,2,13,0,0,True,2020-08-12 13:17:00+00:00,0,active,False,True,True,422,422,2020-08-12 18:14:15,2020
310,3,16,0,0,True,2020-08-12 16:21:54+00:00,0,active,False,True,True,423,423,2020-08-12 18:14:15,2020
311,4,15,0,0,True,2020-08-12 17:44:49+00:00,0,active,False,True,True,424,424,2020-08-12 18:14:15,2020
312,3,13,0,0,True,2020-08-12 17:54:07+00:00,0,active,False,True,True,425,425,2020-08-12 18:14:15,2020
313,8,19,0,0,True,2020-08-12 18:05:47+00:00,0,active,False,True,True,426,426,2020-08-12 18:14:15,2020
314,6,13,0,0,True,2020-08-12 17:36:02+00:00,0,active,False,True,True,427,427,2020-08-12 18:14:15,2020
315,15,4,0,0,True,2020-08-12 17:51:48+00:00,0,active,False,True,True,428,428,2020-08-12 18:14:15,2020
316,15,4,0,0,True,2020-08-12 17:49:33+00:00,0,active,False,True,True,430,430,2020-08-12 18:14:15,2020
317,1,14,0,0,True,2020-08-12 17:05:11+00:00,0,active,False,True,True,431,431,2020-08-12 18:14:15,2020
318,8,11,0,0,True,2020-08-11 21:53:01+00:00,0,active,False,True,True,432,432,2020-08-12 18:14:15,2020
319,1,18,0,0,True,2020-08-12 08:57:31+00:00,0,active,False,True,True,433,433,2020-08-12 18:14:15,2020
320,0,19,0,0,True,2020-08-12 08:57:54+00:00,0,active,False,True,True,434,434,2020-08-12 18:14:15,2020
321,6,9,0,0,True,2020-08-12 10:48:20+00:00,0,active,False,True,True,435,435,2020-08-12 18:14:15,2020
322,4,11,0,0,True,2020-08-12 14:50:15+00:00,0,active,False,True,True,436,436,2020-08-12 18:14:15,2020
323,4,15,0,0,True,2020-08-12 18:08:34+00:00,0,active,False,True,True,437,437,2020-08-12 18:14:15,2020
324,12,5,0,0,True,2020-08-12 17:51:19+00:00,0,active,False,True,True,440,440,2020-08-12 18:14:15,2020
325,12,6,0,1,True,2020-08-12 17:57:00+00:00,0,active,False,True,True,441,441,2020-08-12 18:14:15,2020
326,10,4,0,1,True,2020-08-12 15:16:32+00:00,0,active,False,True,True,442,442,2020-08-12 18:14:15,2020
327,5,14,0,0,True,2020-08-12 16:35:15+00:00,0,active,False,True,True,443,443,2020-08-12 18:14:15,2020
328,9,10,0,0,True,2020-08-12 16:44:50+00:00,0,active,False,True,True,445,445,2020-08-12 18:14:15,2020
329,11,1,0,0,True,2020-08-12 17:45:46+00:00,0,active,False,True,True,446,446,2020-08-12 18:14:15,2020
330,5,14,0,0,True,2020-08-12 13:58:04+00:00,0,active,False,True,True,447,447,2020-08-12 18:14:15,2020
331,3,8,0,0,True,2020-08-12 08:59:09+00:00,0,active,False,True,True,448,448,2020-08-12 18:14:15,2020
332,0,0,0,0,False,1970-01-02 00:00:00+00:00,0,out_of_service,False,True,True,449,449,2020-08-12 18:14:15,1970
333,7,8,0,0,True,2020-08-12 18:06:28+00:00,0,active,False,True,True,450,450,2020-08-12 18:14:15,2020
334,5,10,0,0,True,2020-08-12 17:09:44+00:00,0,active,False,True,True,451,451,2020-08-12 18:14:15,2020
335,6,9,0,0,True,2020-08-12 17:50:35+00:00,0,active,False,True,True,452,452,2020-08-12 18:14:15,2020
336,6,8,0,1,True,2020-08-12 16:54:01+00:00,0,active,False,True,True,453,453,2020-08-12 18:14:15,2020
337,1,14,0,0,True,2020-08-12 16:43:54+00:00,0,active,False,True,True,454,454,2020-08-12 18:14:15,2020
338,1,10,0,1,True,2020-08-12 15:54:30+00:00,0,active,False,True,True,455,455,2020-08-12 18:14:15,2020
339,7,11,0,1,True,2020-08-12 18:02:27+00:00,0,active,False,True,True,456,456,2020-08-12 18:14:15,2020
340,3,8,0,0,True,2020-08-12 08:57:22+00:00,0,active,False,True,True,457,457,2020-08-12 18:14:15,2020
341,4,6,0,1,True,2020-08-12 18:13:48+00:00,0,active,False,True,True,458,458,2020-08-12 18:14:15,2020
