,num_docks_disabled,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_id,is_installed,station_status,last_reported,num_bikes_disabled,num_docks_available,legacy_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
73,0,True,True,3,False,82,True,active,2020-08-20 19:31:29+00:00,0,12,82,0,,,2020-08-20 20:39:50,2020
74,0,True,True,6,False,84,True,active,2020-08-20 20:29:41+00:00,0,9,84,0,,,2020-08-20 20:39:50,2020
75,0,True,True,11,False,85,True,active,2020-08-20 20:22:20+00:00,0,8,85,0,,,2020-08-20 20:39:50,2020
76,0,True,True,0,False,86,True,active,2020-08-20 20:27:32+00:00,0,19,86,0,,,2020-08-20 20:39:50,2020
77,0,True,True,2,False,87,True,active,2020-08-20 20:06:27+00:00,0,13,87,0,,,2020-08-20 20:39:50,2020
78,0,True,True,8,False,89,True,active,2020-08-20 20:22:23+00:00,0,11,89,0,,,2020-08-20 20:39:50,2020
79,0,True,True,1,False,90,True,active,2020-08-20 20:39:34+00:00,0,18,90,0,,,2020-08-20 20:39:50,2020
80,0,True,True,13,False,91,True,active,2020-08-20 20:33:34+00:00,1,5,91,0,,,2020-08-20 20:39:50,2020
81,0,True,True,10,False,92,True,active,2020-08-20 13:33:55+00:00,1,8,92,0,,,2020-08-20 20:39:50,2020
82,0,True,True,11,False,93,True,active,2020-08-20 19:47:44+00:00,0,4,93,0,,,2020-08-20 20:39:50,2020
83,0,True,True,8,False,94,True,active,2020-08-20 20:11:04+00:00,1,2,94,0,,,2020-08-20 20:39:50,2020
84,0,True,True,10,False,95,True,active,2020-08-20 20:38:26+00:00,1,4,95,0,,,2020-08-20 20:39:50,2020
85,0,True,True,9,False,96,True,active,2020-08-20 18:48:48+00:00,1,9,96,0,,,2020-08-20 20:39:50,2020
86,0,True,True,3,False,97,True,active,2020-08-20 20:33:59+00:00,0,16,97,0,,,2020-08-20 20:39:50,2020
87,0,True,True,10,False,98,True,active,2020-08-20 20:28:27+00:00,0,13,98,0,,,2020-08-20 20:39:50,2020
88,0,True,True,9,False,99,True,active,2020-08-20 19:52:40+00:00,2,4,99,0,,,2020-08-20 20:39:50,2020
89,0,True,True,16,True,100,True,active,2020-08-20 20:35:06+00:00,0,9,100,0,,,2020-08-20 20:39:50,2020
90,0,True,True,7,False,101,True,active,2020-08-20 18:31:01+00:00,0,8,101,0,,,2020-08-20 20:39:50,2020
91,0,True,True,1,False,102,True,active,2020-08-20 19:38:05+00:00,0,14,102,0,,,2020-08-20 20:39:50,2020
92,0,True,True,14,False,103,True,active,2020-08-20 20:37:31+00:00,0,1,103,0,,,2020-08-20 20:39:50,2020
93,0,True,True,1,False,104,True,active,2020-08-20 20:17:57+00:00,0,18,104,0,,,2020-08-20 20:39:50,2020
94,0,True,True,4,False,105,True,active,2020-08-20 20:21:24+00:00,1,14,105,0,,,2020-08-20 20:39:50,2020
95,0,True,True,6,False,106,True,active,2020-08-20 17:41:37+00:00,0,9,106,0,,,2020-08-20 20:39:50,2020
96,0,True,True,12,False,107,True,active,2020-08-20 20:27:21+00:00,1,6,107,0,,,2020-08-20 20:39:50,2020
97,0,True,True,5,False,108,True,active,2020-08-20 20:08:29+00:00,0,12,108,0,,,2020-08-20 20:39:50,2020
98,0,True,True,3,False,109,True,active,2020-08-20 19:56:10+00:00,0,32,109,0,,,2020-08-20 20:39:50,2020
99,0,True,True,7,False,110,True,active,2020-08-20 20:38:59+00:00,0,8,110,0,,,2020-08-20 20:39:50,2020
