,num_docks_available,num_ebikes_available,num_docks_disabled,num_bikes_available,eightd_has_available_keys,num_bikes_disabled,is_renting,is_returning,station_status,legacy_id,station_id,is_installed,last_reported,timestamp_of_data_read_request,year_station_last_reported
194,2,0,0,13,False,2,True,True,active,224,224,True,2020-08-12 22:12:41+00:00,2020-08-12 22:19:05,2020
195,18,0,0,1,False,0,True,True,active,225,225,True,2020-08-12 22:01:14+00:00,2020-08-12 22:19:05,2020
196,10,0,0,5,False,0,True,True,active,226,226,True,2020-08-12 22:03:46+00:00,2020-08-12 22:19:05,2020
197,8,0,0,8,False,3,True,True,active,227,227,True,2020-08-12 22:06:04+00:00,2020-08-12 22:19:05,2020
198,16,0,0,3,False,0,True,True,active,228,228,True,2020-08-12 22:09:14+00:00,2020-08-12 22:19:05,2020
199,3,0,0,8,False,0,True,True,active,232,232,True,2020-08-12 08:08:09+00:00,2020-08-12 22:19:05,2020
200,9,0,0,6,False,0,False,False,active,233,233,True,2020-08-12 18:16:55+00:00,2020-08-12 22:19:05,2020
201,13,0,0,2,False,0,True,True,active,234,234,True,2020-08-12 21:07:05+00:00,2020-08-12 22:19:05,2020
202,13,0,0,2,False,0,True,True,active,235,235,True,2020-08-12 22:00:46+00:00,2020-08-12 22:19:05,2020
203,3,0,0,12,False,0,True,True,active,236,236,True,2020-08-12 22:10:22+00:00,2020-08-12 22:19:05,2020
204,12,0,0,3,False,0,True,True,active,239,239,True,2020-08-12 22:11:12+00:00,2020-08-12 22:19:05,2020
205,6,0,0,9,False,0,True,True,active,255,255,True,2020-08-12 21:50:25+00:00,2020-08-12 22:19:05,2020
206,5,0,0,10,False,0,True,True,active,258,258,True,2020-08-12 08:54:13+00:00,2020-08-12 22:19:05,2020
207,0,0,0,15,False,0,True,True,active,259,259,True,2020-08-12 08:53:25+00:00,2020-08-12 22:19:05,2020
208,3,0,0,12,False,0,True,True,active,260,260,True,2020-08-12 20:35:39+00:00,2020-08-12 22:19:05,2020
209,11,0,0,4,False,0,True,True,active,271,271,True,2020-08-12 22:03:53+00:00,2020-08-12 22:19:05,2020
210,12,0,0,6,False,1,True,True,active,272,272,True,2020-08-12 20:00:47+00:00,2020-08-12 22:19:05,2020
211,25,0,0,15,False,0,True,True,active,273,273,True,2020-08-12 22:09:51+00:00,2020-08-12 22:19:05,2020
212,0,0,0,19,False,0,True,True,active,279,279,True,2020-08-12 22:14:16+00:00,2020-08-12 22:19:05,2020
213,13,0,0,5,False,1,True,True,active,280,280,True,2020-08-12 22:15:33+00:00,2020-08-12 22:19:05,2020
214,9,0,0,5,False,1,True,True,active,282,282,True,2020-08-12 21:56:21+00:00,2020-08-12 22:19:05,2020
215,17,0,0,6,False,0,True,True,active,296,296,True,2020-08-12 22:16:38+00:00,2020-08-12 22:19:05,2020
216,11,0,0,8,False,0,True,True,active,318,318,True,2020-08-12 22:18:04+00:00,2020-08-12 22:19:05,2020
217,24,0,0,1,False,0,True,True,active,319,319,True,2020-08-12 22:09:02+00:00,2020-08-12 22:19:05,2020
218,15,0,0,0,False,0,True,True,active,327,327,True,2020-08-12 21:35:26+00:00,2020-08-12 22:19:05,2020
219,7,0,0,7,False,1,True,True,active,328,328,True,2020-08-12 22:15:35+00:00,2020-08-12 22:19:05,2020
220,8,0,0,7,False,0,True,True,active,329,329,True,2020-08-12 22:03:48+00:00,2020-08-12 22:19:05,2020
221,5,0,0,10,False,0,True,True,active,330,330,True,2020-08-12 21:49:16+00:00,2020-08-12 22:19:05,2020
222,6,0,0,9,False,0,True,True,active,331,331,True,2020-08-12 21:55:03+00:00,2020-08-12 22:19:05,2020
223,5,0,0,9,False,1,True,True,active,332,332,True,2020-08-12 22:14:07+00:00,2020-08-12 22:19:05,2020
224,4,0,0,21,False,0,True,True,active,333,333,True,2020-08-12 20:44:25+00:00,2020-08-12 22:19:05,2020
225,2,0,0,15,False,2,True,True,active,334,334,True,2020-08-12 21:13:26+00:00,2020-08-12 22:19:05,2020
226,13,0,0,6,False,0,True,True,active,335,335,True,2020-08-12 22:12:07+00:00,2020-08-12 22:19:05,2020
227,9,0,0,6,False,0,True,True,active,336,336,True,2020-08-12 21:01:46+00:00,2020-08-12 22:19:05,2020
228,0,0,0,15,False,0,True,True,active,337,337,True,2020-08-12 22:00:39+00:00,2020-08-12 22:19:05,2020
229,9,0,0,5,False,1,True,True,active,338,338,True,2020-08-12 21:57:25+00:00,2020-08-12 22:19:05,2020
230,1,0,0,14,False,0,True,True,active,339,339,True,2020-08-12 22:02:29+00:00,2020-08-12 22:19:05,2020
231,1,0,0,18,False,0,True,True,active,340,340,True,2020-08-12 08:52:43+00:00,2020-08-12 22:19:05,2020
232,6,0,0,8,True,1,True,True,active,341,341,True,2020-08-12 20:57:28+00:00,2020-08-12 22:19:05,2020
233,11,0,0,4,False,0,True,True,active,342,342,True,2020-08-12 22:17:47+00:00,2020-08-12 22:19:05,2020
234,11,0,0,4,False,0,True,True,active,343,343,True,2020-08-12 16:19:17+00:00,2020-08-12 22:19:05,2020
235,13,0,0,6,False,0,True,True,active,344,344,True,2020-08-12 22:13:24+00:00,2020-08-12 22:19:05,2020
236,19,0,0,0,False,0,True,True,active,345,345,True,2020-08-12 22:14:07+00:00,2020-08-12 22:19:05,2020
237,11,0,0,4,False,0,True,True,active,346,346,True,2020-08-12 22:14:19+00:00,2020-08-12 22:19:05,2020
238,2,0,0,13,False,0,True,True,active,347,347,True,2020-08-12 18:59:12+00:00,2020-08-12 22:19:05,2020
239,10,0,0,4,False,1,True,True,active,348,348,True,2020-08-12 22:04:22+00:00,2020-08-12 22:19:05,2020
240,10,0,0,6,True,1,True,True,active,349,349,True,2020-08-12 18:36:47+00:00,2020-08-12 22:19:05,2020
241,4,0,0,13,False,0,True,True,active,350,350,True,2020-08-12 16:34:03+00:00,2020-08-12 22:19:05,2020
242,10,0,0,5,False,0,True,True,active,351,351,True,2020-08-12 20:56:54+00:00,2020-08-12 22:19:05,2020
243,10,0,0,5,False,0,True,True,active,352,352,True,2020-08-12 21:33:08+00:00,2020-08-12 22:19:05,2020
244,9,0,0,6,True,0,True,True,active,353,353,True,2020-08-12 15:33:31+00:00,2020-08-12 22:19:05,2020
245,11,0,0,3,False,1,True,True,active,354,354,True,2020-08-12 22:18:27+00:00,2020-08-12 22:19:05,2020
246,2,0,0,15,False,0,True,True,active,355,355,True,2020-08-12 19:15:58+00:00,2020-08-12 22:19:05,2020
247,22,0,0,1,False,0,True,True,active,356,356,True,2020-08-12 21:49:59+00:00,2020-08-12 22:19:05,2020
248,9,0,0,5,False,1,True,True,active,357,357,True,2020-08-12 21:47:03+00:00,2020-08-12 22:19:05,2020
249,0,0,0,19,False,0,True,True,active,358,358,True,2020-08-12 22:08:38+00:00,2020-08-12 22:19:05,2020
250,7,0,0,8,False,0,True,True,active,359,359,True,2020-08-12 22:16:09+00:00,2020-08-12 22:19:05,2020
251,14,0,0,1,False,0,True,True,active,360,360,True,2020-08-12 22:16:41+00:00,2020-08-12 22:19:05,2020
252,13,0,0,6,False,0,True,True,active,361,361,True,2020-08-12 22:15:30+00:00,2020-08-12 22:19:05,2020
253,5,0,0,14,False,0,True,True,active,362,362,True,2020-08-12 21:48:17+00:00,2020-08-12 22:19:05,2020
254,6,0,0,13,False,0,True,True,active,363,363,True,2020-08-12 22:15:46+00:00,2020-08-12 22:19:05,2020
255,11,0,0,8,False,0,True,True,active,364,364,True,2020-08-12 22:17:17+00:00,2020-08-12 22:19:05,2020
256,15,0,0,3,False,1,True,True,active,365,365,True,2020-08-12 22:16:54+00:00,2020-08-12 22:19:05,2020
257,6,0,0,9,False,0,True,True,active,366,366,True,2020-08-12 22:18:33+00:00,2020-08-12 22:19:05,2020
258,5,0,0,14,False,0,True,True,active,367,367,True,2020-08-12 20:24:09+00:00,2020-08-12 22:19:05,2020
259,3,0,0,11,False,1,True,True,active,368,368,True,2020-08-12 22:15:57+00:00,2020-08-12 22:19:05,2020
260,6,0,0,9,False,0,True,True,active,369,369,True,2020-08-12 22:01:28+00:00,2020-08-12 22:19:05,2020
261,8,0,0,11,False,0,True,True,active,370,370,True,2020-08-12 22:17:46+00:00,2020-08-12 22:19:05,2020
262,10,0,0,9,False,0,True,True,active,371,371,True,2020-08-12 21:30:41+00:00,2020-08-12 22:19:05,2020
263,6,0,0,12,False,1,True,True,active,372,372,True,2020-08-12 22:12:19+00:00,2020-08-12 22:19:05,2020
264,8,0,0,6,False,1,True,True,active,373,373,True,2020-08-12 21:54:50+00:00,2020-08-12 22:19:05,2020
265,18,0,0,1,False,0,True,True,active,374,374,True,2020-08-12 21:43:43+00:00,2020-08-12 22:19:05,2020
266,7,0,0,7,False,1,True,True,active,376,376,True,2020-08-12 22:18:34+00:00,2020-08-12 22:19:05,2020
267,11,0,0,8,False,0,True,True,active,377,377,True,2020-08-12 22:17:21+00:00,2020-08-12 22:19:05,2020
268,11,0,0,8,False,0,True,True,active,378,378,True,2020-08-12 22:13:55+00:00,2020-08-12 22:19:05,2020
269,9,0,0,6,False,0,True,True,active,379,379,True,2020-08-12 21:59:09+00:00,2020-08-12 22:19:05,2020
270,13,0,0,5,False,0,True,True,active,380,380,True,2020-08-12 22:08:49+00:00,2020-08-12 22:19:05,2020
271,9,0,0,10,False,0,True,True,active,381,381,True,2020-08-12 21:57:22+00:00,2020-08-12 22:19:05,2020
272,14,0,0,5,True,0,True,True,active,384,384,True,2020-08-12 22:14:15+00:00,2020-08-12 22:19:05,2020
273,12,0,1,1,False,1,True,True,active,385,385,True,2020-08-12 21:54:28+00:00,2020-08-12 22:19:05,2020
274,9,0,0,10,False,0,True,True,active,386,386,True,2020-08-12 22:18:53+00:00,2020-08-12 22:19:05,2020
275,1,0,0,13,False,1,True,True,active,387,387,True,2020-08-12 21:33:05+00:00,2020-08-12 22:19:05,2020
276,7,0,0,4,False,0,True,True,active,388,388,True,2020-08-12 08:57:42+00:00,2020-08-12 22:19:05,2020
277,3,0,0,11,False,0,True,True,active,389,389,True,2020-08-12 19:51:34+00:00,2020-08-12 22:19:05,2020
278,1,0,0,14,False,0,True,True,active,390,390,True,2020-08-12 19:23:05+00:00,2020-08-12 22:19:05,2020
279,2,0,0,13,False,0,True,True,active,391,391,True,2020-08-12 21:20:47+00:00,2020-08-12 22:19:05,2020
280,9,0,0,6,False,0,True,True,active,392,392,True,2020-08-12 19:41:13+00:00,2020-08-12 22:19:05,2020
281,8,0,0,6,False,1,True,True,active,393,393,True,2020-08-12 15:19:15+00:00,2020-08-12 22:19:05,2020
282,12,0,0,2,False,0,True,True,active,394,394,True,2020-08-12 08:58:35+00:00,2020-08-12 22:19:05,2020
283,5,0,0,10,False,0,True,True,active,395,395,True,2020-08-12 15:00:11+00:00,2020-08-12 22:19:05,2020
284,3,0,0,12,False,0,True,True,active,396,396,True,2020-08-12 08:58:34+00:00,2020-08-12 22:19:05,2020
285,7,0,0,8,False,0,True,True,active,397,397,True,2020-08-12 22:11:10+00:00,2020-08-12 22:19:05,2020
286,9,0,0,10,False,0,True,True,active,398,398,True,2020-08-12 22:12:08+00:00,2020-08-12 22:19:05,2020
287,6,0,0,9,False,0,True,True,active,399,399,True,2020-08-12 21:55:33+00:00,2020-08-12 22:19:05,2020
288,19,0,0,8,False,0,True,True,active,400,400,True,2020-08-12 21:47:48+00:00,2020-08-12 22:19:05,2020
289,12,0,0,3,False,0,True,True,active,401,401,True,2020-08-12 21:27:08+00:00,2020-08-12 22:19:05,2020
290,7,0,0,8,False,0,True,True,active,402,402,True,2020-08-12 21:53:13+00:00,2020-08-12 22:19:05,2020
291,13,0,0,1,False,1,True,True,active,403,403,True,2020-08-12 21:17:03+00:00,2020-08-12 22:19:05,2020
292,13,0,0,3,False,0,True,True,active,404,404,True,2020-08-12 21:49:19+00:00,2020-08-12 22:19:05,2020
293,13,0,0,6,False,0,True,True,active,405,405,True,2020-08-12 22:04:37+00:00,2020-08-12 22:19:05,2020
294,1,0,0,18,False,0,True,True,active,406,406,True,2020-08-12 22:13:17+00:00,2020-08-12 22:19:05,2020
295,15,0,0,3,False,1,True,True,active,407,407,True,2020-08-12 21:18:48+00:00,2020-08-12 22:19:05,2020
296,12,0,0,3,False,0,True,True,active,408,408,True,2020-08-12 21:35:31+00:00,2020-08-12 22:19:05,2020
297,0,0,0,19,False,0,True,True,active,409,409,True,2020-08-12 22:14:35+00:00,2020-08-12 22:19:05,2020
298,10,0,0,9,False,0,True,True,active,410,410,True,2020-08-12 21:44:09+00:00,2020-08-12 22:19:05,2020
299,10,0,0,5,False,0,True,True,active,411,411,True,2020-08-12 18:06:43+00:00,2020-08-12 22:19:05,2020
300,7,0,0,11,False,1,True,True,active,412,412,True,2020-08-12 22:12:15+00:00,2020-08-12 22:19:05,2020
301,14,0,0,5,False,0,True,True,active,413,413,True,2020-08-12 22:13:05+00:00,2020-08-12 22:19:05,2020
302,23,0,0,0,False,0,True,True,active,414,414,True,2020-08-12 20:29:07+00:00,2020-08-12 22:19:05,2020
303,11,0,0,6,False,2,True,True,active,415,415,True,2020-08-12 22:08:23+00:00,2020-08-12 22:19:05,2020
304,10,0,0,5,False,0,True,True,active,416,416,True,2020-08-12 22:17:20+00:00,2020-08-12 22:19:05,2020
305,5,0,0,14,False,0,True,True,active,417,417,True,2020-08-12 22:01:47+00:00,2020-08-12 22:19:05,2020
306,2,0,0,13,False,0,True,True,active,419,419,True,2020-08-12 19:59:20+00:00,2020-08-12 22:19:05,2020
307,0,0,0,0,False,0,False,False,out_of_service,420,420,False,1970-01-02 00:00:00+00:00,2020-08-12 22:19:05,1970
308,5,0,0,14,False,0,True,True,active,421,421,True,2020-08-12 15:32:38+00:00,2020-08-12 22:19:05,2020
309,13,0,0,2,False,0,True,True,active,422,422,True,2020-08-12 22:06:36+00:00,2020-08-12 22:19:05,2020
310,16,0,0,3,False,0,True,True,active,423,423,True,2020-08-12 16:21:54+00:00,2020-08-12 22:19:05,2020
311,13,0,0,6,False,0,True,True,active,424,424,True,2020-08-12 22:18:20+00:00,2020-08-12 22:19:05,2020
312,14,0,0,2,False,0,True,True,active,425,425,True,2020-08-12 20:58:51+00:00,2020-08-12 22:19:05,2020
313,17,0,0,10,False,0,True,True,active,426,426,True,2020-08-12 22:15:11+00:00,2020-08-12 22:19:05,2020
314,13,0,0,6,False,0,True,True,active,427,427,True,2020-08-12 17:36:02+00:00,2020-08-12 22:19:05,2020
315,3,0,0,16,False,0,True,True,active,428,428,True,2020-08-12 22:19:02+00:00,2020-08-12 22:19:05,2020
316,5,0,0,14,False,0,True,True,active,430,430,True,2020-08-12 20:42:27+00:00,2020-08-12 22:19:05,2020
317,12,0,0,3,False,0,True,True,active,431,431,True,2020-08-12 19:51:22+00:00,2020-08-12 22:19:05,2020
318,11,0,0,8,False,0,True,True,active,432,432,True,2020-08-12 21:56:35+00:00,2020-08-12 22:19:05,2020
319,18,0,0,1,False,0,True,True,active,433,433,True,2020-08-12 08:57:31+00:00,2020-08-12 22:19:05,2020
320,19,0,0,0,False,0,True,True,active,434,434,True,2020-08-12 21:19:52+00:00,2020-08-12 22:19:05,2020
321,9,0,0,6,False,0,True,True,active,435,435,True,2020-08-12 10:48:20+00:00,2020-08-12 22:19:05,2020
322,11,0,0,4,False,0,True,True,active,436,436,True,2020-08-12 22:05:35+00:00,2020-08-12 22:19:05,2020
323,11,0,0,7,False,1,True,True,active,437,437,True,2020-08-12 22:16:04+00:00,2020-08-12 22:19:05,2020
324,10,0,0,7,False,0,True,True,active,440,440,True,2020-08-12 22:09:51+00:00,2020-08-12 22:19:05,2020
325,3,0,0,16,False,0,True,True,active,441,441,True,2020-08-12 21:26:16+00:00,2020-08-12 22:19:05,2020
326,2,0,0,12,False,1,True,True,active,442,442,True,2020-08-12 22:13:59+00:00,2020-08-12 22:19:05,2020
327,13,0,0,6,False,0,True,True,active,443,443,True,2020-08-12 21:25:46+00:00,2020-08-12 22:19:05,2020
328,11,0,0,8,False,0,True,True,active,445,445,True,2020-08-12 20:12:34+00:00,2020-08-12 22:19:05,2020
329,1,0,0,11,False,0,True,True,active,446,446,True,2020-08-12 22:18:21+00:00,2020-08-12 22:19:05,2020
330,17,0,0,2,False,0,True,True,active,447,447,True,2020-08-12 22:10:31+00:00,2020-08-12 22:19:05,2020
331,8,0,0,3,False,0,True,True,active,448,448,True,2020-08-12 21:56:06+00:00,2020-08-12 22:19:05,2020
332,0,0,0,0,False,0,True,True,out_of_service,449,449,False,1970-01-02 00:00:00+00:00,2020-08-12 22:19:05,1970
333,6,0,0,9,False,0,True,True,active,450,450,True,2020-08-12 20:14:44+00:00,2020-08-12 22:19:05,2020
334,10,0,0,5,False,0,True,True,active,451,451,True,2020-08-12 22:16:31+00:00,2020-08-12 22:19:05,2020
335,10,0,0,5,False,0,True,True,active,452,452,True,2020-08-12 22:11:28+00:00,2020-08-12 22:19:05,2020
336,14,0,0,0,False,1,True,True,active,453,453,True,2020-08-12 22:18:51+00:00,2020-08-12 22:19:05,2020
337,8,0,0,6,False,1,True,True,active,454,454,True,2020-08-12 22:12:28+00:00,2020-08-12 22:19:05,2020
338,10,0,0,1,False,1,True,True,active,455,455,True,2020-08-12 15:54:30+00:00,2020-08-12 22:19:05,2020
339,10,0,0,8,False,1,True,True,active,456,456,True,2020-08-12 22:17:53+00:00,2020-08-12 22:19:05,2020
340,10,0,0,1,False,0,True,True,active,457,457,True,2020-08-12 22:07:12+00:00,2020-08-12 22:19:05,2020
341,5,0,0,5,False,1,True,True,active,458,458,True,2020-08-12 18:43:37+00:00,2020-08-12 22:19:05,2020
