,num_docks_available,num_docks_disabled,station_id,num_ebikes_available,legacy_id,eightd_has_available_keys,num_bikes_disabled,is_returning,is_renting,last_reported,station_status,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
39,13,0,47,0,47,True,1,True,True,2020-07-11 23:29:34+00:00,active,5,True,,,2020-07-11 23:29:50,2020
40,8,0,48,0,48,False,0,True,True,2020-07-11 22:50:48+00:00,active,11,True,,,2020-07-11 23:29:50,2020
41,1,0,49,0,49,False,0,True,True,2020-07-11 23:29:30+00:00,active,17,True,,,2020-07-11 23:29:50,2020
42,6,0,50,0,50,True,0,True,True,2020-07-11 23:22:37+00:00,active,9,True,,,2020-07-11 23:29:50,2020
43,5,0,51,0,51,False,0,True,True,2020-07-11 22:41:49+00:00,active,10,True,,,2020-07-11 23:29:50,2020
44,3,0,52,0,52,True,1,True,True,2020-07-11 23:27:32+00:00,active,19,True,,,2020-07-11 23:29:50,2020
45,3,0,53,0,53,False,0,True,True,2020-07-11 23:28:01+00:00,active,16,True,,,2020-07-11 23:29:50,2020
46,12,0,54,0,54,False,0,True,True,2020-07-11 23:22:40+00:00,active,3,True,,,2020-07-11 23:29:50,2020
47,14,0,55,0,55,False,0,True,True,2020-07-11 23:17:36+00:00,active,1,True,,,2020-07-11 23:29:50,2020
48,16,1,56,0,56,True,0,True,True,2020-07-11 22:06:36+00:00,active,1,True,,,2020-07-11 23:29:50,2020
49,1,0,57,0,57,True,0,True,True,2020-07-11 23:17:37+00:00,active,13,True,,,2020-07-11 23:29:50,2020
50,16,0,58,0,58,True,2,True,True,2020-07-11 23:26:36+00:00,active,1,True,,,2020-07-11 23:29:50,2020
51,17,0,59,0,59,True,1,True,True,2020-07-11 22:16:02+00:00,active,1,True,,,2020-07-11 23:29:50,2020
52,9,0,60,0,60,False,1,True,True,2020-07-11 23:28:12+00:00,active,9,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'region': 'BOS', 'dock_blocked_count': 0, 'active': True, 'valet_revision': 44, 'off_dock_count': 0}",2020-07-11 23:29:50,2020
53,14,0,61,0,61,False,0,True,True,2020-07-11 23:25:58+00:00,active,5,True,,,2020-07-11 23:29:50,2020
54,7,0,63,0,63,False,0,True,True,2020-07-11 21:41:12+00:00,active,8,True,,,2020-07-11 23:29:50,2020
55,2,0,64,0,64,False,1,True,True,2020-07-11 23:26:20+00:00,active,16,True,,,2020-07-11 23:29:50,2020
56,17,0,65,0,65,False,0,True,True,2020-07-11 22:51:08+00:00,active,6,True,,,2020-07-11 23:29:50,2020
57,10,0,66,0,66,False,0,True,True,2020-07-11 23:23:59+00:00,active,5,True,,,2020-07-11 23:29:50,2020
58,18,0,67,0,67,True,0,True,True,2020-07-11 23:29:36+00:00,active,9,True,,,2020-07-11 23:29:50,2020
59,13,0,68,0,68,True,0,True,True,2020-07-11 23:25:03+00:00,active,6,True,,,2020-07-11 23:29:50,2020
60,15,0,69,0,69,True,1,True,True,2020-07-11 23:26:44+00:00,active,3,True,,,2020-07-11 23:29:50,2020
61,4,0,70,0,70,False,1,True,True,2020-07-11 22:55:37+00:00,active,18,True,,,2020-07-11 23:29:50,2020
62,5,0,71,0,71,False,0,True,True,2020-07-11 23:26:41+00:00,active,18,True,,,2020-07-11 23:29:50,2020
63,14,0,72,0,72,False,2,True,True,2020-07-11 23:28:05+00:00,active,7,True,,,2020-07-11 23:29:50,2020
64,2,0,73,0,73,False,0,True,True,2020-07-11 23:15:14+00:00,active,13,True,,,2020-07-11 23:29:50,2020
65,4,0,74,0,74,True,2,True,True,2020-07-11 23:29:30+00:00,active,13,True,,,2020-07-11 23:29:50,2020
66,9,0,75,0,75,False,0,True,True,2020-07-11 23:23:00+00:00,active,6,True,,,2020-07-11 23:29:50,2020
67,17,0,76,0,76,False,0,True,True,2020-07-11 23:24:14+00:00,active,0,True,,,2020-07-11 23:29:50,2020
68,8,0,77,0,77,False,0,True,True,2020-07-11 23:17:53+00:00,active,7,True,,,2020-07-11 23:29:50,2020
69,3,0,78,0,78,False,0,True,True,2020-07-11 23:29:48+00:00,active,16,True,,,2020-07-11 23:29:50,2020
70,19,0,79,0,79,False,0,True,True,2020-07-11 22:11:12+00:00,active,0,True,,,2020-07-11 23:29:50,2020
71,22,0,80,0,80,False,0,True,True,2020-07-11 23:29:24+00:00,active,13,True,,,2020-07-11 23:29:50,2020
72,12,0,81,0,81,False,1,True,True,2020-07-11 23:27:24+00:00,active,6,True,,,2020-07-11 23:29:50,2020
73,11,0,82,0,82,False,0,True,True,2020-07-11 23:28:53+00:00,active,4,True,,,2020-07-11 23:29:50,2020
74,9,0,84,0,84,False,1,True,True,2020-07-11 23:28:42+00:00,active,5,True,,,2020-07-11 23:29:50,2020
75,10,0,85,0,85,False,0,True,True,2020-07-11 22:24:53+00:00,active,9,True,,,2020-07-11 23:29:50,2020
76,18,0,86,0,86,False,1,True,True,2020-07-11 23:18:10+00:00,active,0,True,,,2020-07-11 23:29:50,2020
77,10,0,87,0,87,False,0,True,True,2020-07-11 23:29:46+00:00,active,5,True,,,2020-07-11 23:29:50,2020
78,18,0,89,0,89,False,0,True,True,2020-07-11 22:49:26+00:00,active,1,True,,,2020-07-11 23:29:50,2020
