,legacy_id,is_renting,num_bikes_available,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,station_id,last_reported,num_bikes_disabled,is_returning,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
230,339,True,14,active,0,False,0,True,339,2020-08-12 22:36:05+00:00,0,True,1,2020-08-12 22:59:55,2020
231,340,True,18,active,0,False,0,True,340,2020-08-12 08:52:43+00:00,0,True,1,2020-08-12 22:59:55,2020
232,341,True,8,active,0,True,0,True,341,2020-08-12 20:57:28+00:00,1,True,6,2020-08-12 22:59:55,2020
233,342,True,7,active,0,False,0,True,342,2020-08-12 22:55:40+00:00,0,True,8,2020-08-12 22:59:55,2020
234,343,True,4,active,0,False,0,True,343,2020-08-12 16:19:17+00:00,0,True,11,2020-08-12 22:59:55,2020
235,344,True,4,active,0,False,0,True,344,2020-08-12 22:49:14+00:00,0,True,15,2020-08-12 22:59:55,2020
236,345,True,0,active,0,False,0,True,345,2020-08-12 22:14:07+00:00,0,True,19,2020-08-12 22:59:55,2020
237,346,True,4,active,0,False,0,True,346,2020-08-12 22:56:50+00:00,0,True,11,2020-08-12 22:59:55,2020
238,347,True,13,active,0,False,0,True,347,2020-08-12 18:59:12+00:00,0,True,2,2020-08-12 22:59:55,2020
239,348,True,4,active,0,False,0,True,348,2020-08-12 22:04:22+00:00,1,True,10,2020-08-12 22:59:55,2020
240,349,True,6,active,0,True,0,True,349,2020-08-12 18:36:47+00:00,1,True,10,2020-08-12 22:59:55,2020
241,350,True,13,active,0,False,0,True,350,2020-08-12 16:34:03+00:00,0,True,4,2020-08-12 22:59:55,2020
242,351,True,4,active,0,False,0,True,351,2020-08-12 22:58:30+00:00,0,True,11,2020-08-12 22:59:55,2020
243,352,True,9,active,0,False,0,True,352,2020-08-12 22:49:51+00:00,0,True,6,2020-08-12 22:59:55,2020
244,353,True,6,active,0,True,0,True,353,2020-08-12 15:33:31+00:00,0,True,9,2020-08-12 22:59:55,2020
245,354,True,5,active,0,False,0,True,354,2020-08-12 22:51:37+00:00,1,True,9,2020-08-12 22:59:55,2020
246,355,True,11,active,0,False,0,True,355,2020-08-12 22:49:15+00:00,0,True,6,2020-08-12 22:59:55,2020
247,356,True,0,active,0,False,0,True,356,2020-08-12 22:55:45+00:00,0,True,23,2020-08-12 22:59:55,2020
248,357,True,6,active,0,False,0,True,357,2020-08-12 22:40:30+00:00,1,True,8,2020-08-12 22:59:55,2020
249,358,True,19,active,0,False,0,True,358,2020-08-12 22:08:38+00:00,0,True,0,2020-08-12 22:59:55,2020
250,359,True,6,active,0,False,0,True,359,2020-08-12 22:57:05+00:00,0,True,9,2020-08-12 22:59:55,2020
251,360,True,3,active,0,False,0,True,360,2020-08-12 22:46:10+00:00,0,True,12,2020-08-12 22:59:55,2020
252,361,True,5,active,0,False,0,True,361,2020-08-12 22:54:44+00:00,0,True,14,2020-08-12 22:59:55,2020
253,362,True,19,active,0,False,0,True,362,2020-08-12 22:50:31+00:00,0,True,0,2020-08-12 22:59:55,2020
254,363,True,14,active,0,False,0,True,363,2020-08-12 22:49:15+00:00,0,True,5,2020-08-12 22:59:55,2020
255,364,True,11,active,0,False,0,True,364,2020-08-12 22:57:06+00:00,0,True,8,2020-08-12 22:59:55,2020
256,365,True,0,active,0,False,0,True,365,2020-08-12 22:54:00+00:00,0,True,19,2020-08-12 22:59:55,2020
257,366,True,14,active,0,False,0,True,366,2020-08-12 22:59:17+00:00,0,True,1,2020-08-12 22:59:55,2020
258,367,True,13,active,0,False,0,True,367,2020-08-12 22:53:07+00:00,0,True,6,2020-08-12 22:59:55,2020
259,368,True,11,active,0,False,0,True,368,2020-08-12 22:15:57+00:00,1,True,3,2020-08-12 22:59:55,2020
260,369,True,10,active,0,False,0,True,369,2020-08-12 22:56:41+00:00,0,True,5,2020-08-12 22:59:55,2020
261,370,True,12,active,0,False,0,True,370,2020-08-12 22:51:03+00:00,0,True,7,2020-08-12 22:59:55,2020
262,371,True,9,active,0,False,0,True,371,2020-08-12 21:30:41+00:00,0,True,10,2020-08-12 22:59:55,2020
263,372,True,12,active,0,False,0,True,372,2020-08-12 22:52:10+00:00,1,True,6,2020-08-12 22:59:55,2020
264,373,True,7,active,0,False,0,True,373,2020-08-12 22:46:22+00:00,0,True,8,2020-08-12 22:59:55,2020
