,num_docks_disabled,last_reported,num_docks_available,station_status,eightd_has_available_keys,is_renting,legacy_id,is_returning,station_id,num_bikes_disabled,num_ebikes_available,is_installed,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
95,0,2020-08-07 23:29:46+00:00,9,active,False,True,106,True,106,0,0,True,6,,,2020-08-07 23:54:55,2020
96,0,2020-08-07 23:47:56+00:00,18,active,False,True,107,True,107,0,0,True,1,,,2020-08-07 23:54:55,2020
97,0,2020-08-07 23:28:31+00:00,13,active,False,True,108,True,108,0,0,True,4,,,2020-08-07 23:54:55,2020
98,0,2020-08-07 21:51:42+00:00,22,active,False,True,109,True,109,0,0,True,13,,,2020-08-07 23:54:55,2020
99,0,2020-08-07 23:46:27+00:00,10,active,False,True,110,True,110,0,0,True,5,,,2020-08-07 23:54:55,2020
100,0,2020-08-07 22:01:16+00:00,15,active,False,True,111,True,111,0,0,True,0,,,2020-08-07 23:54:55,2020
101,0,2020-08-07 23:50:57+00:00,13,active,False,True,112,True,112,0,0,True,2,,,2020-08-07 23:54:55,2020
102,0,2020-08-07 22:44:15+00:00,14,active,False,True,113,True,113,0,0,True,1,,,2020-08-07 23:54:55,2020
103,0,2020-08-07 23:40:00+00:00,9,active,False,True,114,True,114,0,0,True,6,,,2020-08-07 23:54:55,2020
104,0,2020-08-07 23:52:46+00:00,2,active,False,True,115,True,115,1,0,True,16,,,2020-08-07 23:54:55,2020
105,0,2020-08-07 23:51:56+00:00,6,active,False,True,116,True,116,0,0,True,17,,,2020-08-07 23:54:55,2020
106,0,2020-08-07 23:40:12+00:00,7,active,False,True,117,True,117,0,0,True,12,,,2020-08-07 23:54:55,2020
107,0,2020-08-07 23:46:01+00:00,6,active,False,True,118,True,118,0,0,True,13,,,2020-08-07 23:54:55,2020
108,0,2020-08-07 23:52:57+00:00,10,active,False,True,119,True,119,0,0,True,5,,,2020-08-07 23:54:55,2020
109,0,2020-08-07 23:38:23+00:00,0,active,False,True,120,True,120,0,0,True,15,,,2020-08-07 23:54:55,2020
110,0,2020-08-07 23:41:52+00:00,11,active,False,True,121,True,121,0,0,True,6,,,2020-08-07 23:54:55,2020
111,0,2020-08-07 23:29:37+00:00,0,active,False,True,122,True,122,1,0,True,14,,,2020-08-07 23:54:55,2020
112,0,2020-08-07 21:48:48+00:00,11,active,False,True,124,True,124,0,0,True,4,,,2020-08-07 23:54:55,2020
113,0,2020-08-07 23:47:18+00:00,13,active,False,True,125,True,125,0,0,True,2,,,2020-08-07 23:54:55,2020
114,0,2020-08-07 20:53:53+00:00,7,active,False,True,126,True,126,0,0,True,8,,,2020-08-07 23:54:55,2020
115,0,2020-08-07 23:40:23+00:00,2,active,False,True,128,True,128,1,0,True,16,,,2020-08-07 23:54:55,2020
116,0,2020-08-07 23:36:10+00:00,6,active,False,True,129,True,129,0,0,True,13,,,2020-08-07 23:54:55,2020
117,0,2020-08-07 22:54:10+00:00,4,active,False,True,130,True,130,0,0,True,11,,,2020-08-07 23:54:55,2020
118,0,2020-08-07 23:54:05+00:00,9,active,False,True,131,True,131,0,0,True,9,,,2020-08-07 23:54:55,2020
119,0,2020-08-07 23:42:33+00:00,11,active,False,True,133,True,133,2,0,True,10,,,2020-08-07 23:54:55,2020
120,0,2020-08-07 22:24:53+00:00,10,active,False,True,135,True,135,0,0,True,7,,,2020-08-07 23:54:55,2020
121,0,2020-08-07 23:44:02+00:00,11,active,False,True,136,True,136,0,0,True,8,,,2020-08-07 23:54:55,2020
122,0,2020-08-07 23:50:25+00:00,7,active,False,True,137,True,137,0,0,True,8,,,2020-08-07 23:54:55,2020
123,0,2020-08-07 23:19:19+00:00,3,active,False,True,138,True,138,1,0,True,11,,,2020-08-07 23:54:55,2020
124,0,2020-08-07 23:51:43+00:00,7,active,False,True,139,True,139,0,0,True,12,,,2020-08-07 23:54:55,2020
125,0,2020-08-07 20:57:05+00:00,0,active,False,False,140,True,140,17,0,True,0,,,2020-08-07 23:54:55,2020
126,0,2020-08-07 23:46:04+00:00,12,active,False,True,141,True,141,0,0,True,3,,,2020-08-07 23:54:55,2020
127,0,2020-08-07 23:40:17+00:00,16,active,False,True,142,True,142,0,0,True,7,,,2020-08-07 23:54:55,2020
128,0,2020-08-07 23:42:58+00:00,13,active,False,True,143,True,143,1,0,True,9,,,2020-08-07 23:54:55,2020
129,0,2020-08-07 23:01:45+00:00,5,active,False,True,144,True,144,0,0,True,14,,,2020-08-07 23:54:55,2020
130,0,2020-08-07 23:10:57+00:00,13,active,False,True,145,True,145,0,0,True,6,,,2020-08-07 23:54:55,2020
131,0,2020-08-07 23:53:57+00:00,6,active,False,True,146,True,146,1,0,True,12,,,2020-08-07 23:54:55,2020
132,0,2020-08-07 23:30:47+00:00,8,active,True,True,149,True,149,0,0,True,10,,,2020-08-07 23:54:55,2020
133,0,2020-08-07 23:25:05+00:00,11,active,False,True,150,True,150,0,0,True,8,,,2020-08-07 23:54:55,2020
134,0,2020-08-07 23:54:08+00:00,14,active,False,True,151,True,151,0,0,True,5,,,2020-08-07 23:54:55,2020
135,0,2020-08-07 23:49:40+00:00,6,active,True,True,152,True,152,1,0,True,8,,,2020-08-07 23:54:55,2020
