,station_status,eightd_has_available_keys,num_bikes_disabled,num_docks_available,is_returning,num_bikes_available,legacy_id,last_reported,num_docks_disabled,is_installed,num_ebikes_available,is_renting,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
72,active,False,0,14,True,5,81,2020-07-28 21:12:37+00:00,0,True,0,True,81,,,2020-07-28 21:12:55,2020
73,active,False,0,15,True,0,82,2020-07-28 20:57:24+00:00,0,True,0,True,82,,,2020-07-28 21:12:55,2020
74,active,False,1,11,True,3,84,2020-07-28 21:12:49+00:00,0,True,0,True,84,,,2020-07-28 21:12:55,2020
75,active,False,0,13,True,6,85,2020-07-28 21:06:38+00:00,0,True,0,True,85,,,2020-07-28 21:12:55,2020
76,active,False,0,10,True,9,86,2020-07-28 21:04:59+00:00,0,True,0,True,86,,,2020-07-28 21:12:55,2020
77,active,False,0,9,True,6,87,2020-07-28 21:05:43+00:00,0,True,0,True,87,,,2020-07-28 21:12:55,2020
78,active,False,2,13,True,4,89,2020-07-28 21:04:45+00:00,0,True,0,True,89,,,2020-07-28 21:12:55,2020
79,active,False,1,7,True,11,90,2020-07-28 20:52:09+00:00,0,True,0,True,90,,,2020-07-28 21:12:55,2020
80,active,False,1,18,True,0,91,2020-07-28 21:12:33+00:00,0,True,0,True,91,,,2020-07-28 21:12:55,2020
81,active,False,1,4,True,14,92,2020-07-28 13:05:08+00:00,0,True,0,True,92,,,2020-07-28 21:12:55,2020
82,active,False,1,6,True,8,93,2020-07-28 19:37:20+00:00,0,True,0,True,93,,,2020-07-28 21:12:55,2020
83,active,False,0,0,True,11,94,2020-07-28 20:51:11+00:00,0,True,0,True,94,,,2020-07-28 21:12:55,2020
84,active,False,2,5,True,8,95,2020-07-28 21:04:29+00:00,0,True,0,True,95,,,2020-07-28 21:12:55,2020
85,active,False,0,14,True,5,96,2020-07-28 21:00:14+00:00,0,True,0,True,96,,,2020-07-28 21:12:55,2020
86,active,False,0,14,True,5,97,2020-07-28 21:12:46+00:00,0,True,0,True,97,,,2020-07-28 21:12:55,2020
87,active,False,0,21,True,1,98,2020-07-28 21:05:57+00:00,0,True,0,True,98,,,2020-07-28 21:12:55,2020
88,active,False,0,6,True,9,99,2020-07-28 20:52:41+00:00,0,True,0,True,99,,,2020-07-28 21:12:55,2020
89,active,True,2,8,True,15,100,2020-07-28 21:09:17+00:00,0,True,0,True,100,,,2020-07-28 21:12:55,2020
90,active,False,0,15,True,0,101,2020-07-28 16:27:21+00:00,0,True,0,True,101,,,2020-07-28 21:12:55,2020
91,active,False,0,14,True,1,102,2020-07-28 20:14:45+00:00,0,True,0,True,102,,,2020-07-28 21:12:55,2020
92,active,False,0,14,True,1,103,2020-07-28 20:56:02+00:00,0,True,0,True,103,,,2020-07-28 21:12:55,2020
93,active,False,0,10,True,9,104,2020-07-28 20:55:12+00:00,0,True,0,True,104,,,2020-07-28 21:12:55,2020
94,active,False,0,3,True,16,105,2020-07-28 21:06:53+00:00,0,True,0,True,105,,,2020-07-28 21:12:55,2020
95,active,False,0,5,True,10,106,2020-07-28 20:35:45+00:00,0,True,0,True,106,,,2020-07-28 21:12:55,2020
96,active,False,1,7,True,11,107,2020-07-28 21:12:51+00:00,0,True,0,True,107,,,2020-07-28 21:12:55,2020
97,active,False,0,4,True,13,108,2020-07-28 20:51:54+00:00,0,True,0,True,108,,,2020-07-28 21:12:55,2020
98,active,False,2,11,True,22,109,2020-07-28 21:11:31+00:00,0,True,0,True,109,,,2020-07-28 21:12:55,2020
99,active,False,4,7,True,4,110,2020-07-28 20:01:30+00:00,0,True,0,True,110,,,2020-07-28 21:12:55,2020
100,active,False,1,11,True,3,111,2020-07-28 19:56:30+00:00,0,True,0,True,111,,,2020-07-28 21:12:55,2020
101,active,False,0,7,True,8,112,2020-07-28 19:02:27+00:00,0,True,0,True,112,,,2020-07-28 21:12:55,2020
102,active,False,0,14,True,1,113,2020-07-28 20:50:06+00:00,0,True,0,True,113,,,2020-07-28 21:12:55,2020
103,active,False,0,14,False,1,114,2020-07-28 19:10:25+00:00,0,True,0,False,114,,,2020-07-28 21:12:55,2020
104,active,False,0,13,True,6,115,2020-07-28 21:02:02+00:00,0,True,0,True,115,,,2020-07-28 21:12:55,2020
105,active,False,0,19,True,4,116,2020-07-28 20:48:12+00:00,0,True,0,True,116,,,2020-07-28 21:12:55,2020
106,active,False,0,3,True,16,117,2020-07-28 21:12:47+00:00,0,True,0,True,117,,,2020-07-28 21:12:55,2020
107,active,False,0,6,True,13,118,2020-07-28 18:52:50+00:00,0,True,0,True,118,,,2020-07-28 21:12:55,2020
108,active,False,0,6,True,9,119,2020-07-28 21:11:22+00:00,0,True,0,True,119,,,2020-07-28 21:12:55,2020
109,active,False,0,2,True,13,120,2020-07-28 21:12:17+00:00,0,True,0,True,120,,,2020-07-28 21:12:55,2020
110,active,False,0,14,True,3,121,2020-07-28 21:08:22+00:00,0,True,0,True,121,,,2020-07-28 21:12:55,2020
111,active,False,0,5,True,10,122,2020-07-28 16:36:41+00:00,0,True,0,True,122,,,2020-07-28 21:12:55,2020
112,active,False,0,12,True,3,124,2020-07-28 20:25:51+00:00,0,True,0,True,124,,,2020-07-28 21:12:55,2020
113,active,False,0,13,True,2,125,2020-07-28 19:34:34+00:00,0,True,0,True,125,,,2020-07-28 21:12:55,2020
114,active,False,0,14,True,1,126,2020-07-28 21:10:13+00:00,0,True,0,True,126,,,2020-07-28 21:12:55,2020
115,active,False,1,5,True,13,128,2020-07-28 20:58:14+00:00,0,True,0,True,128,,,2020-07-28 21:12:55,2020
116,active,False,0,10,True,9,129,2020-07-28 20:40:43+00:00,0,True,0,True,129,,,2020-07-28 21:12:55,2020
117,active,False,0,9,True,6,130,2020-07-28 17:28:30+00:00,0,True,0,True,130,,,2020-07-28 21:12:55,2020
118,active,False,1,5,True,12,131,2020-07-28 21:07:54+00:00,0,True,0,True,131,,,2020-07-28 21:12:55,2020
