,is_installed,last_reported,num_bikes_available,num_ebikes_available,station_id,num_bikes_disabled,station_status,is_returning,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
214,True,2020-07-29 21:54:52+00:00,6,0,282,1,active,True,282,0,False,8,True,,,2020-07-29 22:09:40,2020
215,True,2020-07-29 21:46:18+00:00,2,0,296,0,active,True,296,0,False,21,True,,,2020-07-29 22:09:40,2020
216,True,2020-07-29 22:05:53+00:00,10,0,318,1,active,True,318,0,False,8,True,,,2020-07-29 22:09:40,2020
217,True,2020-07-29 21:59:02+00:00,10,0,319,0,active,True,319,0,False,15,True,,,2020-07-29 22:09:40,2020
218,True,2020-07-29 21:57:53+00:00,14,0,327,0,active,True,327,0,False,1,True,,,2020-07-29 22:09:40,2020
219,True,2020-07-29 22:09:26+00:00,10,0,328,0,active,True,328,0,False,5,True,,,2020-07-29 22:09:40,2020
220,True,2020-07-29 21:55:40+00:00,12,0,329,0,active,True,329,0,False,3,True,,,2020-07-29 22:09:40,2020
221,True,2020-07-29 22:04:33+00:00,12,0,330,0,active,True,330,0,False,3,True,,,2020-07-29 22:09:40,2020
222,True,2020-07-29 22:09:20+00:00,9,0,331,1,active,True,331,0,False,5,True,,,2020-07-29 22:09:40,2020
223,True,2020-07-29 22:07:40+00:00,10,0,332,1,active,True,332,0,False,4,True,,,2020-07-29 22:09:40,2020
224,True,2020-07-29 21:51:14+00:00,22,0,333,0,active,True,333,0,False,3,True,,,2020-07-29 22:09:40,2020
225,True,2020-07-29 21:07:31+00:00,9,0,334,0,active,True,334,0,False,10,True,,,2020-07-29 22:09:40,2020
226,True,2020-07-29 22:09:10+00:00,9,0,335,0,active,True,335,0,False,10,True,,,2020-07-29 22:09:40,2020
227,True,2020-07-29 21:08:19+00:00,11,0,336,0,active,True,336,0,False,4,True,,,2020-07-29 22:09:40,2020
228,True,2020-07-29 21:15:37+00:00,13,0,337,1,active,True,337,0,False,1,True,,,2020-07-29 22:09:40,2020
229,True,2020-07-29 21:51:12+00:00,2,0,338,0,active,True,338,0,False,13,True,,,2020-07-29 22:09:40,2020
230,True,2020-07-29 21:59:39+00:00,10,0,339,0,active,True,339,0,False,5,True,,,2020-07-29 22:09:40,2020
231,True,2020-07-29 15:27:12+00:00,13,0,340,1,active,True,340,0,False,5,True,,,2020-07-29 22:09:40,2020
232,True,2020-07-29 15:51:22+00:00,8,0,341,0,active,True,341,0,True,7,True,,,2020-07-29 22:09:40,2020
233,True,2020-07-29 22:09:14+00:00,7,0,342,0,active,True,342,0,False,8,True,,,2020-07-29 22:09:40,2020
234,True,2020-07-29 15:29:35+00:00,4,0,343,1,active,True,343,0,False,10,True,,,2020-07-29 22:09:40,2020
235,True,2020-07-29 21:37:22+00:00,1,0,344,0,active,True,344,0,False,18,True,,,2020-07-29 22:09:40,2020
236,True,2020-07-29 21:21:00+00:00,4,0,345,1,active,True,345,0,False,14,True,,,2020-07-29 22:09:40,2020
237,True,2020-07-29 22:07:31+00:00,2,0,346,0,active,True,346,0,False,13,True,,,2020-07-29 22:09:40,2020
238,True,2020-07-29 17:43:34+00:00,5,0,347,0,active,True,347,0,False,10,True,,,2020-07-29 22:09:40,2020
239,True,2020-07-29 21:36:09+00:00,8,0,348,2,active,True,348,0,False,5,True,,,2020-07-29 22:09:40,2020
