,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
71,True,0,0,80,True,1,80,2020-08-10 02:02:16+00:00,34,True,active,0,False,2020-08-10 02:12:35,2020
72,True,0,0,81,True,1,81,2020-08-10 02:07:57+00:00,18,True,active,0,False,2020-08-10 02:12:35,2020
73,True,0,0,82,True,2,82,2020-08-10 02:06:48+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
74,True,0,0,84,True,4,84,2020-08-10 01:39:15+00:00,11,True,active,0,False,2020-08-10 02:12:35,2020
75,True,0,0,85,True,7,85,2020-08-10 01:43:05+00:00,12,True,active,0,False,2020-08-10 02:12:35,2020
76,True,0,0,86,True,2,86,2020-08-10 02:06:16+00:00,17,True,active,0,False,2020-08-10 02:12:35,2020
77,True,0,0,87,True,7,87,2020-08-10 02:02:29+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
78,True,0,0,89,True,14,89,2020-08-10 01:45:09+00:00,5,True,active,0,False,2020-08-10 02:12:35,2020
79,True,1,0,90,True,16,90,2020-08-10 02:11:59+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
80,True,1,0,91,True,4,91,2020-08-10 01:32:27+00:00,14,True,active,0,False,2020-08-10 02:12:35,2020
81,True,0,0,92,True,13,92,2020-08-09 23:38:09+00:00,6,True,active,0,False,2020-08-10 02:12:35,2020
82,True,2,0,93,True,11,93,2020-08-10 00:16:49+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
83,True,1,0,94,True,9,94,2020-08-10 00:27:28+00:00,1,True,active,0,False,2020-08-10 02:12:35,2020
84,True,1,0,95,True,3,95,2020-08-10 02:10:25+00:00,11,True,active,0,False,2020-08-10 02:12:35,2020
85,True,0,0,96,True,18,96,2020-08-10 01:55:45+00:00,1,True,active,0,False,2020-08-10 02:12:35,2020
86,True,0,0,97,True,17,97,2020-08-10 01:54:23+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
87,True,0,0,98,True,6,98,2020-08-10 01:11:50+00:00,17,True,active,0,False,2020-08-10 02:12:35,2020
88,True,1,0,99,True,2,99,2020-08-10 01:02:43+00:00,12,True,active,0,False,2020-08-10 02:12:35,2020
89,True,0,0,100,True,12,100,2020-08-10 01:54:34+00:00,13,True,active,0,True,2020-08-10 02:12:35,2020
90,True,0,0,101,True,13,101,2020-08-10 01:57:49+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
91,True,0,0,102,True,6,102,2020-08-10 00:51:00+00:00,9,True,active,0,False,2020-08-10 02:12:35,2020
92,True,0,0,103,True,5,103,2020-08-10 01:44:03+00:00,10,True,active,0,False,2020-08-10 02:12:35,2020
93,True,0,0,104,True,15,104,2020-08-10 02:11:20+00:00,4,True,active,0,False,2020-08-10 02:12:35,2020
94,True,0,0,105,True,4,105,2020-08-10 01:33:27+00:00,15,True,active,0,False,2020-08-10 02:12:35,2020
95,True,0,0,106,True,8,106,2020-08-10 00:24:51+00:00,7,True,active,0,False,2020-08-10 02:12:35,2020
96,True,0,0,107,True,8,107,2020-08-10 02:05:04+00:00,11,True,active,0,False,2020-08-10 02:12:35,2020
97,True,0,0,108,True,4,108,2020-08-10 01:50:37+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
98,True,2,0,109,True,5,109,2020-08-09 23:28:55+00:00,28,True,active,0,False,2020-08-10 02:12:35,2020
99,True,0,0,110,True,1,110,2020-08-10 01:11:15+00:00,14,True,active,0,False,2020-08-10 02:12:35,2020
100,True,0,0,111,True,3,111,2020-08-10 00:57:33+00:00,12,True,active,0,False,2020-08-10 02:12:35,2020
101,True,0,0,112,True,12,112,2020-08-10 01:42:29+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
102,True,1,0,113,True,10,113,2020-08-10 01:44:58+00:00,4,True,active,0,False,2020-08-10 02:12:35,2020
103,True,0,0,114,True,2,114,2020-08-10 00:48:48+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
104,True,1,0,115,True,15,115,2020-08-10 01:34:07+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
105,True,0,0,116,True,10,116,2020-08-10 01:14:13+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
106,True,0,0,117,True,12,117,2020-08-10 02:06:11+00:00,7,True,active,0,False,2020-08-10 02:12:35,2020
107,True,0,0,118,True,17,118,2020-08-10 01:51:15+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
108,True,0,0,119,True,7,119,2020-08-10 02:07:25+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
109,True,5,0,120,True,10,120,2020-08-10 02:08:31+00:00,0,True,active,0,False,2020-08-10 02:12:35,2020
110,True,1,0,121,True,8,121,2020-08-10 02:10:54+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
111,True,0,0,122,True,12,122,2020-08-10 01:33:17+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
112,True,0,0,124,True,12,124,2020-08-09 22:54:45+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
113,True,1,0,125,True,10,125,2020-08-10 02:05:56+00:00,4,True,active,0,False,2020-08-10 02:12:35,2020
114,True,0,0,126,True,5,126,2020-08-09 23:26:23+00:00,10,True,active,0,False,2020-08-10 02:12:35,2020
115,True,1,0,128,True,12,128,2020-08-10 00:20:13+00:00,6,True,active,0,False,2020-08-10 02:12:35,2020
116,True,0,0,129,True,7,129,2020-08-10 00:47:57+00:00,12,True,active,0,False,2020-08-10 02:12:35,2020
117,True,0,0,130,True,14,130,2020-08-10 01:40:34+00:00,1,True,active,0,False,2020-08-10 02:12:35,2020
118,True,0,0,131,True,16,131,2020-08-10 02:11:12+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
119,True,0,0,133,True,14,133,2020-08-10 01:36:16+00:00,9,True,active,0,False,2020-08-10 02:12:35,2020
120,True,1,0,135,True,1,135,2020-08-10 00:23:47+00:00,15,True,active,0,False,2020-08-10 02:12:35,2020
121,True,1,0,136,True,9,136,2020-08-09 23:20:04+00:00,9,True,active,0,False,2020-08-10 02:12:35,2020
122,True,0,0,137,True,7,137,2020-08-10 00:58:41+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
123,True,2,0,138,True,8,138,2020-08-10 02:07:31+00:00,5,True,active,0,False,2020-08-10 02:12:35,2020
124,True,0,0,139,True,9,139,2020-08-10 01:56:03+00:00,10,True,active,0,False,2020-08-10 02:12:35,2020
125,True,0,0,140,True,15,140,2020-08-10 01:52:13+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
126,True,0,0,141,True,1,141,2020-08-10 01:53:45+00:00,14,True,active,0,False,2020-08-10 02:12:35,2020
127,True,0,0,142,True,12,142,2020-08-10 01:19:38+00:00,11,True,active,0,False,2020-08-10 02:12:35,2020
128,True,0,0,143,True,19,143,2020-08-10 01:58:23+00:00,4,True,active,0,False,2020-08-10 02:12:35,2020
129,True,0,0,144,True,15,144,2020-08-10 00:54:33+00:00,4,True,active,0,False,2020-08-10 02:12:35,2020
130,True,0,0,145,True,14,145,2020-08-10 01:38:18+00:00,5,True,active,0,False,2020-08-10 02:12:35,2020
131,True,2,0,146,True,11,146,2020-08-10 01:59:50+00:00,6,True,active,0,False,2020-08-10 02:12:35,2020
132,True,0,0,149,True,4,149,2020-08-10 01:13:03+00:00,14,True,active,0,True,2020-08-10 02:12:35,2020
133,True,1,0,150,True,5,150,2020-08-10 01:39:26+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
134,True,0,0,151,True,1,151,2020-08-10 01:33:30+00:00,18,True,active,0,False,2020-08-10 02:12:35,2020
135,True,0,0,152,True,15,152,2020-08-09 23:49:24+00:00,0,True,active,0,True,2020-08-10 02:12:35,2020
136,True,0,0,156,True,0,156,2020-08-10 01:06:26+00:00,15,True,active,0,False,2020-08-10 02:12:35,2020
137,True,0,0,157,True,0,157,2020-08-10 01:40:53+00:00,15,True,active,0,False,2020-08-10 02:12:35,2020
138,True,1,0,159,True,8,159,2020-08-10 02:12:20+00:00,6,True,active,0,False,2020-08-10 02:12:35,2020
139,True,0,0,160,True,6,160,2020-08-10 01:52:49+00:00,8,True,active,0,True,2020-08-10 02:12:35,2020
140,True,1,0,161,True,13,161,2020-08-10 02:07:42+00:00,9,True,active,0,True,2020-08-10 02:12:35,2020
141,True,0,0,162,True,7,162,2020-08-09 21:30:56+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
142,True,1,0,163,True,11,163,2020-08-10 01:17:26+00:00,7,True,active,0,True,2020-08-10 02:12:35,2020
143,True,0,0,167,True,1,167,2020-08-10 02:06:11+00:00,14,True,active,0,False,2020-08-10 02:12:35,2020
144,True,0,0,169,True,16,169,2020-08-09 20:18:48+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
145,True,0,0,170,True,0,170,2020-08-09 17:19:21+00:00,14,True,active,0,True,2020-08-10 02:12:35,2020
146,True,0,0,171,True,5,171,2020-08-10 01:29:48+00:00,18,True,active,0,True,2020-08-10 02:12:35,2020
147,True,0,0,173,True,5,173,2020-08-10 00:40:08+00:00,9,True,active,0,True,2020-08-10 02:12:35,2020
148,True,0,0,174,True,2,174,2020-08-10 01:50:42+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
149,True,0,0,175,True,1,175,2020-08-10 01:46:42+00:00,16,True,active,0,True,2020-08-10 02:12:35,2020
150,True,0,0,176,True,12,176,2020-08-10 01:16:33+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
