,eightd_has_available_keys,station_status,num_bikes_available,is_installed,is_returning,station_id,is_renting,num_docks_available,last_reported,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
64,False,active,11,True,True,73,True,3,2020-07-27 01:31:26+00:00,1,0,73,0,,,2020-07-27 02:14:45,2020
65,True,active,11,True,True,74,True,8,2020-07-27 01:56:23+00:00,0,0,74,0,,,2020-07-27 02:14:45,2020
66,False,active,3,True,True,75,True,11,2020-07-27 01:59:31+00:00,1,0,75,0,,,2020-07-27 02:14:45,2020
67,False,active,13,True,True,76,True,3,2020-07-27 02:09:39+00:00,1,0,76,0,,,2020-07-27 02:14:45,2020
68,False,active,5,True,True,77,True,8,2020-07-27 02:07:47+00:00,2,0,77,0,,,2020-07-27 02:14:45,2020
69,False,active,14,True,True,78,True,2,2020-07-27 02:06:30+00:00,3,0,78,0,,,2020-07-27 02:14:45,2020
70,False,active,13,True,True,79,True,4,2020-07-27 02:03:06+00:00,2,0,79,0,,,2020-07-27 02:14:45,2020
71,False,active,2,True,True,80,True,33,2020-07-27 01:55:15+00:00,0,0,80,0,,,2020-07-27 02:14:45,2020
72,False,active,2,True,True,81,True,16,2020-07-27 01:54:28+00:00,1,0,81,0,,,2020-07-27 02:14:45,2020
73,False,active,6,True,False,82,False,9,2020-07-27 00:10:12+00:00,0,0,82,0,,,2020-07-27 02:14:45,2020
74,False,active,5,True,True,84,True,10,2020-07-27 02:03:51+00:00,0,0,84,0,,,2020-07-27 02:14:45,2020
75,False,active,0,True,True,85,True,19,2020-07-27 01:48:04+00:00,0,0,85,0,,,2020-07-27 02:14:45,2020
76,False,active,17,True,True,86,True,2,2020-07-27 01:31:10+00:00,0,0,86,0,,,2020-07-27 02:14:45,2020
77,False,active,7,True,True,87,True,8,2020-07-27 01:44:39+00:00,0,0,87,0,,,2020-07-27 02:14:45,2020
78,False,active,11,True,True,89,True,7,2020-07-27 02:04:25+00:00,1,0,89,0,,,2020-07-27 02:14:45,2020
79,False,active,13,True,True,90,True,6,2020-07-27 01:21:07+00:00,0,0,90,0,,,2020-07-27 02:14:45,2020
80,False,active,3,True,True,91,True,16,2020-07-27 01:47:24+00:00,0,0,91,0,,,2020-07-27 02:14:45,2020
81,False,active,15,True,True,92,True,3,2020-07-26 23:11:38+00:00,1,0,92,0,,,2020-07-27 02:14:45,2020
82,False,active,13,True,True,93,True,1,2020-07-27 01:42:16+00:00,1,0,93,0,,,2020-07-27 02:14:45,2020
83,False,active,9,True,True,94,True,2,2020-07-27 01:32:11+00:00,0,0,94,0,,,2020-07-27 02:14:45,2020
84,False,active,8,True,True,95,True,7,2020-07-27 01:57:23+00:00,0,0,95,0,,,2020-07-27 02:14:45,2020
85,False,active,3,True,True,96,True,16,2020-07-27 02:00:33+00:00,0,0,96,0,,,2020-07-27 02:14:45,2020
86,False,active,8,True,True,97,True,7,2020-07-27 02:13:23+00:00,4,0,97,0,,,2020-07-27 02:14:45,2020
87,False,active,8,True,True,98,True,14,2020-07-27 01:17:45+00:00,0,0,98,0,,,2020-07-27 02:14:45,2020
88,False,active,12,True,True,99,True,2,2020-07-27 02:11:43+00:00,1,0,99,0,,,2020-07-27 02:14:45,2020
89,True,active,17,True,True,100,True,8,2020-07-27 01:58:53+00:00,0,0,100,0,,,2020-07-27 02:14:45,2020
90,False,active,2,True,True,101,True,13,2020-07-27 01:55:27+00:00,0,0,101,0,,,2020-07-27 02:14:45,2020
91,False,active,4,True,True,102,True,9,2020-07-27 01:40:20+00:00,2,0,102,0,,,2020-07-27 02:14:45,2020
92,False,active,6,True,True,103,True,9,2020-07-27 01:27:52+00:00,0,0,103,0,,,2020-07-27 02:14:45,2020
93,False,active,2,True,True,104,True,17,2020-07-27 00:37:50+00:00,0,0,104,0,,,2020-07-27 02:14:45,2020
94,False,active,16,True,True,105,True,3,2020-07-27 01:54:52+00:00,0,0,105,0,,,2020-07-27 02:14:45,2020
95,False,active,12,True,True,106,True,3,2020-07-27 01:10:40+00:00,0,0,106,0,,,2020-07-27 02:14:45,2020
96,False,active,3,True,True,107,True,16,2020-07-27 02:06:08+00:00,0,0,107,0,,,2020-07-27 02:14:45,2020
97,False,active,3,True,True,108,True,13,2020-07-27 01:53:04+00:00,1,0,108,0,,,2020-07-27 02:14:45,2020
98,False,active,19,True,True,109,True,15,2020-07-27 01:26:48+00:00,1,0,109,0,,,2020-07-27 02:14:45,2020
99,False,active,6,True,True,110,True,8,2020-07-27 01:57:36+00:00,1,0,110,0,,,2020-07-27 02:14:45,2020
100,False,active,4,True,True,111,True,11,2020-07-27 02:11:20+00:00,0,0,111,0,,,2020-07-27 02:14:45,2020
