,station_id,is_returning,is_renting,station_status,num_bikes_disabled,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_installed,last_reported,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
68,77,True,True,active,0,5,0,10,0,True,2020-07-30 15:36:15+00:00,False,77,,,2020-07-30 16:24:25,2020
69,78,True,True,active,0,18,0,1,0,True,2020-07-30 16:22:15+00:00,False,78,,,2020-07-30 16:24:25,2020
70,79,True,True,active,0,3,0,16,0,True,2020-07-30 15:57:35+00:00,False,79,,,2020-07-30 16:24:25,2020
71,80,True,True,active,1,33,0,1,0,True,2020-07-30 16:21:15+00:00,False,80,,,2020-07-30 16:24:25,2020
72,81,True,True,active,0,7,0,12,0,True,2020-07-30 16:20:07+00:00,False,81,,,2020-07-30 16:24:25,2020
73,82,True,True,active,0,4,0,11,0,True,2020-07-30 15:58:58+00:00,False,82,,,2020-07-30 16:24:25,2020
74,84,True,True,active,0,11,0,4,0,True,2020-07-30 16:13:52+00:00,False,84,,,2020-07-30 16:24:25,2020
75,85,True,True,active,0,18,0,1,0,True,2020-07-30 15:34:49+00:00,False,85,,,2020-07-30 16:24:25,2020
76,86,True,True,active,0,6,0,13,0,True,2020-07-30 16:22:03+00:00,False,86,,,2020-07-30 16:24:25,2020
77,87,True,True,active,1,3,0,11,0,True,2020-07-30 16:20:48+00:00,False,87,,,2020-07-30 16:24:25,2020
78,89,True,True,active,0,16,0,3,0,True,2020-07-30 15:52:34+00:00,False,89,,,2020-07-30 16:24:25,2020
79,90,True,True,active,0,9,0,10,0,True,2020-07-30 15:16:47+00:00,False,90,,,2020-07-30 16:24:25,2020
80,91,True,True,active,2,12,0,5,0,True,2020-07-30 16:14:09+00:00,False,91,,,2020-07-30 16:24:25,2020
81,92,True,True,active,1,11,0,7,0,True,2020-07-30 12:41:43+00:00,False,92,,,2020-07-30 16:24:25,2020
82,93,True,True,active,3,5,0,7,0,True,2020-07-30 15:50:53+00:00,False,93,,,2020-07-30 16:24:25,2020
83,94,True,True,active,0,7,0,4,0,True,2020-07-30 16:22:29+00:00,False,94,,,2020-07-30 16:24:25,2020
84,95,True,True,active,1,11,0,3,0,True,2020-07-30 15:50:56+00:00,False,95,,,2020-07-30 16:24:25,2020
